brain	heart	kidney	liver	ovary	testis
ENSACAG00000000002	4.87313164151879	4.83927461718081	4.97329281544215	5.96132558935612	6.03522285387346	2.79209636869621
ENSACAG00000000003	0.65878388911845	0.736528239991014	0.149041956371738	-0.00786910314523079	0.560925480406646	0.254669052874724
ENSACAG00000000004	7.87893472901263	8.07388360204843	7.89445151074286	7.48250114099162	9.33449829174391	8.04389765304265
ENSACAG00000000006	7.80284165171809	7.19128725081206	7.5379842018132	7.28737057351873	6.45554385333199	6.79053602933959
ENSACAG00000000007	9.33038227371447	2.84305753905539	3.64772862707081	2.17359750493403	1.88100391303357	8.61732045095557
ENSACAG00000000008	6.64881434080044	5.79622649853149	3.95199379140114	2.84990704545285	5.74990192378027	3.32175927991746
ENSACAG00000000009	8.69754535569746	9.22345911735054	9.08704096269378	8.63075619053952	8.03787231510035	10.5230454677827
ENSACAG00000000010	6.86173902118216	7.09256241056039	7.48621117072738	6.78803866007759	6.5918036609115	7.150523165418
ENSACAG00000000011	6.57641163122439	6.26084377283695	8.96617665003638	6.5871052018139	7.08180472589127	6.77558484082756
ENSACAG00000000012	5.64736707821897	5.97070110301652	3.08993020856116	3.16112913847203	6.14322044577706	4.64005132293635
ENSACAG00000000013	6.8730214481525	2.8138909025667	1.82713951737739	0.946685361964079	5.89421510228013	3.82867552197872
ENSACAG00000000014	7.02462979322605	6.84347176933212	5.97531023753629	6.39336181152904	8.18418039399595	7.82973883467895
ENSACAG00000000015	7.98725047032845	8.74816921643293	8.28076271780609	8.67765000562258	7.65545683542648	6.89577041361495
ENSACAG00000000016	5.04034264528294	7.32788209317234	4.27465885659397	3.84911074793853	2.83902560571891	10.2932599971506
ENSACAG00000000017	10.6318580211314	9.13050253357337	9.6183315120444	9.57676067811925	9.1298132490941	9.41616283927931
ENSACAG00000000018	4.65747670500199	3.07712700412169	4.70680423160127	1.56589421432893	4.64365971805271	10.5949488626908
ENSACAG00000000019	3.97801268017424	0.170366790383932	0.907365850769989	1.78198353164122	4.28740041658912	1.95520518903054
ENSACAG00000000020	1.56051550213287	4.1637221626678	1.36590739332632	1.9311822918076	5.77888167005778	1.23308783762142
ENSACAG00000000021	8.39777009789569	9.14604865169166	9.16719192154057	11.853000414199	9.01162984756431	11.5791547506235
ENSACAG00000000022	2.8982767655205	8.79039782828671	5.41074282426871	6.08801099545936	8.26178054723213	5.89360749474991
ENSACAG00000000024	6.71113609117524	5.58565558583792	5.48955782065307	5.87644805894209	6.76390872167135	6.03688205390938
ENSACAG00000000026	4.83684834875968	4.81205447512242	4.53463036552794	4.77023161812139	7.59497748188963	6.66110607237965
ENSACAG00000000027	3.79573208240731	1.8964083729945	1.37084102496376	1.48206549500151	2.6676651994837	1.31794373151758
ENSACAG00000000028	7.21020403256025	7.33379206702161	8.50989806140976	7.28170547784389	7.51071821779114	7.46127766133181
ENSACAG00000000029	6.1492057810629	6.99871919423457	6.2909471693281	5.067063287363	8.31476081937296	8.05481937257323
