brain	heart	kidney	liver	ovary	testis
ENSAMXG00000000001	7.00824733511913	7.02748184755861	5.63869893621575	6.44452944550845	5.3058035699264	5.20083113383838
ENSAMXG00000000002	4.17997708154797	4.95899378589176	4.97735421870734	5.54057774515912	4.16838469099951	3.2013379932279
ENSAMXG00000000003	8.06338534400854	3.66538549720951	3.97732183891564	3.49558972765657	4.82166275955176	5.6582138933254
ENSAMXG00000000004	5.58050660253701	1.37426896458824	7.95763086347567	-0.207097728012002	1.31197173886312	2.38711333077228
ENSAMXG00000000005	6.45235101464357	4.97094792020508	5.41941166253297	4.85638430983508	3.54397359545279	3.2613926576776
ENSAMXG00000000006	0.638159016476929	0.137957314155302	0.604572801012524	5.31019538167711	2.03669676049446	2.40060619242235
ENSAMXG00000000007	6.85689026740852	2.70475459726426	1.86624519890865	2.28317632552979	1.04052281976584	2.39570618934605
ENSAMXG00000000008	10.0327344107394	2.56743570860731	1.75488302980925	2.63683275764889	1.60344676744016	1.99752689123978
ENSAMXG00000000009	7.44452039246624	7.56125913490156	6.75969651373651	7.14287671349053	5.60900560203932	5.71066750868886
ENSAMXG00000000010	2.48488801175477	-0.150162087611792	0.677323350740117	0.859763801401638	3.13050385949894	2.70413470795364
ENSAMXG00000000011	7.1954208636434	5.25944497351347	8.43829907824313	8.0918555976969	7.48627322556325	8.19444384224342
ENSAMXG00000000012	5.9644966581604	5.73983946489349	5.40287192744563	5.26001865222902	6.92090210274524	6.56863506322871
ENSAMXG00000000013	3.96342393725259	4.95285056459226	4.72722350664633	2.39653181463473	4.55269347991544	5.71384963599602
ENSAMXG00000000014	4.47005982109492	5.50517491261151	8.94985138690284	6.58534642150352	4.5546584854065	3.77874735962226
ENSAMXG00000000015	3.91399760145292	2.85822209001973	3.20469657383215	1.98311131849164	3.15434469175004	4.47356904838034
ENSAMXG00000000016	7.45083576952132	2.67922276490102	3.10770249592219	1.8766185660571	2.35532606712506	3.17629703875754
ENSAMXG00000000017	6.10505391821374	7.56269594046239	7.05740367942622	9.04287584281042	5.21949382095536	3.76628535832478
ENSAMXG00000000018	8.1328310528977	9.55998988409572	9.57409497900574	10.6899309807305	7.30714668581389	6.57372386375407
ENSAMXG00000000019	5.17258311925414	8.61223808012361	7.08135890553066	8.26626128102346	6.08945120763302	5.48316590262803
ENSAMXG00000000020	4.35469106772	6.26022485491235	7.07338989617589	6.08797155227711	8.01909777908021	6.71999170353116
ENSAMXG00000000021	6.36787317986502	5.05040364785016	4.81936721211917	4.0255911254918	3.57625762941681	4.25338014797729
ENSAMXG00000000022	1.65659701931402	3.27872184041808	2.70436975038643	3.47058254516285	4.31463240859189	3.82069906284125
