brain	heart	kidney	liver	ovary	testis
ENSCJAG00000000001	3.64415120107754	2.91451692065453	5.17171285667955	6.91952750466861	5.09092378729719	6.28732877706376
ENSCJAG00000000002	2.1741178552776	0.659922308886474	5.35737767689045	0.178791213256962	6.18160380295253	2.68874046615988
ENSCJAG00000000003	4.64357769547534	7.9554522726813	13.1821095343075	8.78202616460586	11.2322340167067	10.7727904015941
ENSCJAG00000000004	0.328722011803391	0.490689194248262	0.591749920842611	-0.0534947529238628	0.464862416100983	0.453353133087473
ENSCJAG00000000005	7.87882578058865	7.5525878531783	7.78842369160119	8.94548207345568	9.06040603976944	9.14015346946003
ENSCJAG00000000007	8.13518187348214	8.43703977581883	5.96819590436462	8.73119741474903	4.14526689579117	5.99612923798181
ENSCJAG00000000008	13.338492583578	12.5853164087097	13.570683690209	12.8454437461463	13.7043169821829	13.5825275063804
ENSCJAG00000000009	4.52371233012903	5.95990536001473	6.4815377099088	7.19667549902195	6.93449298696999	7.47189967077662
ENSCJAG00000000010	5.28973737190617	3.70676898283742	3.33591076293399	2.90404270620713	3.32413396895201	4.10597867400643
ENSCJAG00000000011	4.27918881535567	2.9606972054307	3.021087582474	3.93542526610718	5.05852761787028	4.14372798053957
ENSCJAG00000000012	2.99452434464615	3.86230803314472	2.82357500525084	2.56765064043516	3.91272301578986	4.07781115561306
ENSCJAG00000000014	7.7893539830838	7.70932987774507	7.57614947938254	7.2394976280008	8.88366926142679	8.91907032965373
ENSCJAG00000000015	7.40625369542211	8.07668483003333	7.57095954106211	7.14184700671457	8.41988900789026	7.87987784876116
ENSCJAG00000000017	5.35401422821161	3.88740881809859	5.8575191454458	1.55274909332237	6.85653497840427	7.0485211995126
ENSCJAG00000000018	0.476752996364809	0.648103327606864	0.532386450191297	0.288400402060547	0.219056507782331	3.13550350714307
ENSCJAG00000000020	-0.0190918982047587	0.268815773274466	0.193656562808065	0.474700370497807	-0.137135083422215	0.93785942193048
ENSCJAG00000000022	5.15323374239517	5.12854922867917	4.95541633471332	4.78797918304922	5.79106551853685	5.88920340071622
ENSCJAG00000000023	5.83119553917956	4.89158306024713	4.43682987728157	3.45240091133738	6.60354105208841	6.30911156179365
ENSCJAG00000000024	3.89771898077482	4.67478391963709	3.50874643849757	3.92961591342966	3.76135306599472	4.15719170899259
ENSCJAG00000000026	7.72706847015568	7.45422255603629	6.87055491078313	7.21091547051059	7.30396167863988	7.56928070244711
ENSCJAG00000000028	5.3366379197914	4.3212048379802	5.25784850175351	3.426410046612	5.09706221919602	4.49875231057878
ENSCJAG00000000029	2.34104906182649	2.48116130936457	3.85468168245436	4.26409842229368	2.90581837792372	3.67270245650346
ENSCJAG00000000030	4.42835814263411	4.02413447503865	3.97932582721766	2.47082376432809	3.7590710070818	3.35279824173104
ENSCJAG00000000032	7.04291823325183	1.03411701889825	4.18044868279699	0.72685073382987	1.06332994490121	3.3439115900656
ENSCJAG00000000033	7.5641826987959	7.31985937439327	6.58674785555076	6.78454414587835	6.7326256372907	7.18731063894701
ENSCJAG00000000034	6.36976760856181	7.42956809942637	6.91467808387857	6.52759406312477	7.43895698749092	6.28819737433747
ENSCJAG00000000035	7.47565662385821	6.3621191817051	5.92713006353303	5.8202227969736	6.35590794813052	6.27588362400544
ENSCJAG00000000036	5.97450590995728	5.69559645603146	4.8981984729855	4.96458170124479	4.39774967815795	5.25591646368004
ENSCJAG00000000037	9.44634135962854	9.19553811075372	8.95707590339408	8.76516814976041	9.09176436149377	9.220303947398
ENSCJAG00000000038	3.6323131624821	3.29706639462863	2.79014626509153	1.09354260566426	1.02020788726559	1.16105500086057
ENSCJAG00000000040	8.61746092576484	3.4393762490362	8.39738437786547	6.30193034543393	5.47676966191345	7.90304795657225
ENSCJAG00000000041	1.84708475268884	2.87190833010566	3.15160736788888	2.9053070612142	2.92202339650761	2.02801232560128
ENSCJAG00000000042	6.1553705212232	6.58256347115149	8.1452835115235	8.23349504978147	8.46126221152013	8.82498955775514
ENSCJAG00000000043	0.786800098410569	0.997376155899714	4.61972946768381	1.43421133702069	6.44439175476057	6.5387930404484
ENSCJAG00000000044	6.24523359059869	5.67086519935507	5.47051244078853	5.59219844946354	6.20764332572685	5.537811463797
ENSCJAG00000000045	4.53732977485214	3.86836330479005	4.4938669218964	4.41207589610046	4.53948781675393	4.9714728966004
ENSCJAG00000000048	8.17564177182983	8.16571046320283	7.86786541189741	7.81619733299203	7.67348855222379	7.12932982797083
ENSCJAG00000000049	0.0463976878332593	-0.0522518392357298	2.13295439602193	1.72052723769106	-0.700245118524257	-0.187447535501648
