brain	heart	kidney	liver	ovary	testis
ENSDARG00000000001	6.21043426772547	5.18004723304422	6.29097970356176	6.35628318145565	7.19082042414858	5.1782881660147
ENSDARG00000000002	5.5834376759603	7.13530530854497	3.82298507222943	4.9837262149252	3.48363256436685	3.80564434645469
ENSDARG00000000018	7.56568546966994	7.59036028477303	7.90749422469146	7.27718234478343	8.26151975761906	7.87891250173113
ENSDARG00000000019	9.61767578660444	9.45822465314419	9.20707253453215	9.46763515968314	9.01352802153272	9.84796456179695
ENSDARG00000000068	7.38193022051855	8.04183747074998	8.96079483373399	8.55440933214807	6.72523432208234	7.29023858564952
ENSDARG00000000069	8.65199922573385	9.82461471314814	10.4431740095903	12.3829146759449	8.02157297927448	8.09761268948609
ENSDARG00000000086	8.30105796192582	6.85487428198474	6.46991735630334	7.59468936096364	6.1016344807314	7.39536151739237
ENSDARG00000000103	8.62761358813993	8.83962573015984	7.28914436099232	8.64150073995113	8.27872691822809	8.27286570651277
ENSDARG00000000142	7.63814872464332	5.77278730618352	5.28985209804061	5.78509169660327	5.27335235342766	6.34307349219256
ENSDARG00000000151	6.66065813065446	7.23716497836353	6.7531308419436	6.88144688538091	6.6938798580727	5.11548197650697
ENSDARG00000000161	6.34284078308909	3.29012296770418	3.27985264072623	2.91103150406742	3.5065971207806	3.49672618864478
ENSDARG00000000175	4.15711348947557	4.63049765412986	3.60552259459641	1.56780805875717	1.96904978451862	2.40705460918304
ENSDARG00000000183	8.44477105846063	6.23624324041196	5.54570881085042	3.23825564839612	6.57407808775931	5.87405871662317
ENSDARG00000000189	8.17616507266269	6.83171515302016	4.39172205532506	3.32647591486274	4.63698947718204	2.70106417453522
ENSDARG00000000212	6.26002401176685	7.91682519340756	2.96408213840222	6.07791652860776	3.28242501563318	3.01495046617222
ENSDARG00000000229	5.73656331308551	5.23098316051203	4.94398016018905	5.60619443018276	2.14153384824162	5.75611489595829
ENSDARG00000000241	7.95953943798951	9.34382107339802	8.7172141299612	9.08576782324824	4.03107596424412	5.95374728720462
ENSDARG00000000324	8.64209653455574	7.63031115959968	7.47389163781803	7.63611278223091	7.58538349321028	7.33563517038399
ENSDARG00000000349	3.33838151345782	1.87903631063156	5.03688511926202	0.987873816352666	2.2028708212942	10.9450654742953
ENSDARG00000000369	1.63919209401304	7.97457318770401	7.62146792482464	2.02752323702516	1.88771278545098	3.43063489389819
