brain	heart	kidney	liver	ovary	testis
ENSMUSG00000000001	6.84000811835304	7.30465205365443	8.62702165763814	9.02423959494853	9.05965701557257	7.72788242215814
ENSMUSG00000000003	0.0144402907883015	-0.161638640334912	0.0334783398973106	-0.0278644290384945	0.0648587419480568	0.441103535712717
ENSMUSG00000000028	3.32135930574485	5.15433979094326	3.7977973001051	3.59990223667529	5.62906562228587	7.62634583369558
ENSMUSG00000000037	2.39040059545471	2.99226374345693	1.40695743080438	0.237531626035499	4.2301355019371	6.55890263951671
ENSMUSG00000000049	2.49397057935713	4.03098597038245	6.70704869963213	15.0478626907419	1.76592481347011	9.33114773032469
ENSMUSG00000000056	7.51949842296062	9.38642980726923	7.1980542594606	8.57971592007167	6.34047934012834	4.55543950502651
ENSMUSG00000000058	6.8257303246982	8.68855122167458	6.91720660080219	4.56548146070373	7.86274417476238	3.63705572072716
ENSMUSG00000000078	6.99433524501645	8.56270692136102	6.79953445243337	5.47109872768932	7.86570326654565	4.67613922228305
ENSMUSG00000000085	8.19819159776323	8.81010600552028	7.35276754351095	6.60092484519306	7.60707142318811	9.85470575539281
ENSMUSG00000000088	10.8412322356443	13.566313694941	12.1267525887829	11.9173046216767	9.80289221289595	11.0393494895574
ENSMUSG00000000093	2.81285692323057	5.38043672057233	7.47864999562399	3.50423832195671	5.88606256890773	3.33901997689376
ENSMUSG00000000094	0.80945448975067	0.415484177516972	0.210616062827345	0.173864634942978	3.0385660446793	2.77881677079375
ENSMUSG00000000103	-0.00629920556007702	-0.00117922745368664	-0.0177291774907428	-0.00965259987870332	0.0547828152111871	5.33217586967179
ENSMUSG00000000120	3.83796456472661	3.00739063291379	2.83165578640336	4.07461039085137	3.66292147238863	7.35015897450525
ENSMUSG00000000125	4.16945123595124	0.162575418062348	-0.17872034623116	0.0131526416622001	0.102557154806046	7.48657341391745
ENSMUSG00000000126	5.53070934435072	4.97842105114276	2.43713547444482	2.15344224951476	3.24874708935322	1.96002385760207
ENSMUSG00000000127	6.08814651549962	6.65056111532939	5.21055440625104	5.81621434218124	6.48902784121376	7.54277455786086
ENSMUSG00000000131	8.62156182468998	8.47342208518483	8.11896361554148	8.34410710741937	8.19485506957662	10.658396989342
ENSMUSG00000000134	7.04914285049753	7.10228177352099	6.74441053148906	7.27616774855472	6.74005639747123	6.54369689011854
ENSMUSG00000000142	6.30090647799916	5.33551737564271	3.15942491612643	5.7049454439361	6.04953674845246	3.82039580537148
ENSMUSG00000000148	6.2804919166876	6.09912992203627	6.11987284896575	6.13278578980868	5.32936855008073	6.68819104129114
ENSMUSG00000000149	8.42327932430556	9.80791729402864	9.0463101869374	9.86117539853342	7.60940559437207	7.64231245982487
ENSMUSG00000000154	2.17618714602182	4.07460589049448	11.9812528511613	10.4002113152912	3.42361086189994	7.13621349935164
ENSMUSG00000000157	0.456031342124989	-0.249110359900757	5.39157610528201	4.40749565531217	2.35858577865308	1.25051255642136
ENSMUSG00000000159	2.1091584622139	1.5302069248693	8.83090481042897	8.39219270434088	5.39822662737147	4.12583122522538
ENSMUSG00000000167	5.2769278434729	4.21601822976391	4.86990952656098	4.04226264301319	5.69757692814662	8.91578661925413
ENSMUSG00000000168	8.83015492695385	11.1981607644344	9.48066136126629	8.8070694200839	7.92868584657857	9.36439253827816
ENSMUSG00000000171	8.91253800767153	11.8853808726405	11.1403430495129	11.1199544767027	8.9820661975997	8.3597724728143
ENSMUSG00000000182	1.80896452434865	0.57154332540758	-0.042644421962133	0.314259593143549	0.629157564107744	1.14576044765169
ENSMUSG00000000183	1.10791007722345	2.3387803822874	0.398943991257361	0.661261512615683	0.359127797412131	1.23537416906556
ENSMUSG00000000184	7.60965662773415	8.91875272007347	5.67833660110373	5.74513907072499	8.62610273079404	4.50845908175909
ENSMUSG00000000194	7.31344366672986	7.60855221189361	7.60559884355173	7.15004253702986	7.44570178709723	8.32637880769405
ENSMUSG00000000197	7.65354955050738	2.37611451615834	2.22265799286934	1.3815948447733	2.85218604052001	3.39446916816415
