brain	heart	kidney	liver	ovary	testis
ENSOCUG00000000001	0.439956792176799	0.963780531524139	12.833229649815	8.73447198889895	1.35168119502165	3.65500338941944
ENSOCUG00000000003	6.15572626393949	3.1774220067237	4.66460168520213	9.29679642393951	0.116669327882098	5.33478535259763
ENSOCUG00000000004	6.76771143111626	7.64818686698382	5.97044229259234	5.95874991536602	6.44855782683629	6.19639789568505
ENSOCUG00000000005	6.87167027053063	7.35534373665901	7.25790737266182	6.95658840461906	7.7493814017793	8.59243517882699
ENSOCUG00000000006	7.26755751605824	8.39440075758182	8.33071757561462	7.21336561831511	7.29618543705546	6.43464407622491
ENSOCUG00000000007	6.25293414013973	8.31032158986983	5.52715054405048	4.83140402948115	9.09723661450367	6.90264333084621
ENSOCUG00000000008	0.954961451229877	2.13203366118684	1.73777618744962	0.685737209422192	2.14073587108093	11.0339547684864
ENSOCUG00000000009	11.3671374853193	10.8259443469479	11.6766411582128	11.1642644633099	12.5985491863172	9.56931904385651
ENSOCUG00000000010	6.29521667445207	5.92335702273331	6.71834106462361	7.76466784332765	6.82659184012827	6.17151204063703
ENSOCUG00000000012	8.13242931631336	12.2983773933864	9.96380168729049	9.70624419838747	10.7918933355585	6.05940338796455
ENSOCUG00000000013	6.07999859449031	4.4399997169254	5.4002329770709	6.46214160046652	7.64861199159001	8.36060871108264
ENSOCUG00000000014	13.3557008889351	12.6222945013455	15.3666775691674	16.874036474409	16.9514889301436	13.6960090007235
ENSOCUG00000000015	6.94460324141635	9.41891479883763	7.40466941617422	5.97705107976288	6.91921405087284	7.54005509546865
ENSOCUG00000000016	4.17337563301288	5.07996174919432	4.35833797487745	4.25220249743744	4.20406049714949	9.40834694818766
ENSOCUG00000000017	7.0070343275294	6.15196347734133	5.01519608381739	3.89037893716348	5.88867579619272	10.0686015944256
ENSOCUG00000000018	9.79218831539913	10.8238269173711	9.95621599725299	10.3120769914707	10.1758106252246	8.93682971222334
ENSOCUG00000000020	6.25842571604975	6.4675755297899	6.25885072791093	6.47385870900652	6.3574717833352	6.06954078091627
ENSOCUG00000000021	9.3027510675711	8.41544603428968	7.7721345844303	7.25516277811342	8.61964687461688	7.88435407688114
ENSOCUG00000000022	7.44485774968092	8.06581502694794	7.63097569835453	7.45919814554978	6.97778411687658	7.97743163701027
ENSOCUG00000000023	6.30409661226193	10.8621098668889	7.63700561965944	8.72034149400226	5.87318511459898	5.61181605665922
ENSOCUG00000000024	6.55254911264992	5.50333173397991	5.23540377018111	5.43998470656855	6.01337006553421	6.55903255021247
ENSOCUG00000000025	2.88298839329039	4.03243890749557	6.89892885538975	8.00339187268242	6.62289670262441	5.54744682125837
ENSOCUG00000000026	1.18167507594055	0.441801394435442	1.65400649631862	5.04788859184201	4.47976218567897	5.51181444736636
ENSOCUG00000000028	5.63894713199791	5.13354502762739	8.7749674249175	5.73966752629988	7.10093553554326	5.43236322797454
ENSOCUG00000000030	7.34750169002258	7.92474515654938	7.73767536113877	7.93185879975418	8.14005140486095	6.02924077368658
ENSOCUG00000000031	3.70750521023321	2.56423717794827	1.47211246382465	2.18341349779673	3.89153633196477	7.59221117208017
ENSOCUG00000000032	5.75461823008198	5.87183913191303	6.63294032861462	7.07962221838689	6.22488453413774	5.22556724601441
ENSOCUG00000000034	6.15115495332693	6.3146711431951	5.9304248710371	6.55009620799389	6.6879768399108	5.74574252086731
ENSOCUG00000000036	1.11782026039194	0.2372488653643	-0.0121589274881933	0.0129665658660136	0.247021715856851	0.110682731233813
ENSOCUG00000000038	6.48638476546298	6.51544579559213	6.78782765261928	6.22631951774582	5.21891628847077	5.29101019097027
ENSOCUG00000000040	7.97761683778772	8.20181877154268	7.33817391517073	7.43336602783437	8.2806915589785	9.32164381779802
ENSOCUG00000000041	-0.107770949263164	9.93977984471861	0.0319470714823815	0.259991876066554	-0.311016172875474	0.225306791673354
ENSOCUG00000000044	0.712787659874359	1.06559446668247	0.525010872479199	0.549539586480437	2.74116066157719	9.37751529589546
ENSOCUG00000000045	2.63699255046108	2.15507548815306	2.56006849736529	3.01585596617887	1.54660728177398	1.2805400333427
ENSOCUG00000000046	0.297993401156835	0.00893186510094866	-0.00264599914116994	-0.00552390452831859	0.0624624378854154	0.0336972907944143
ENSOCUG00000000049	3.41808735768079	2.40080885992828	1.50892066977556	9.38129590752948	5.3799162876623	0.417694867480739
ENSOCUG00000000051	6.03538340370837	6.31445310472066	7.38094959023872	5.84625288598623	5.48745957239232	5.20546958393141
ENSOCUG00000000052	0.0134938319080454	0.0366879468293868	0.00407962179883864	0.0106288847712852	0.0127056161906411	2.27782593969326
ENSOCUG00000000054	1.08315438125988	0.133699060051379	-0.05778611335204	0.198997353570235	4.23638904185988	-0.127101797752143
ENSOCUG00000000055	4.395690218041	3.51143924715224	1.46453659454289	1.33364615721645	2.92363621835748	12.0027412116201
ENSOCUG00000000057	7.86955978147908	7.8639103286781	7.48725886397729	6.65794335202968	7.76560256162926	7.81596555564959
ENSOCUG00000000059	6.39674943085239	5.34082720225261	6.27707137509701	5.67693914522057	5.99398335069665	5.60943113931749
ENSOCUG00000000060	9.01212026723054	8.04681230252052	7.6675939278295	8.13225569184112	8.7093021826956	10.5467581387068
ENSOCUG00000000061	3.44728173153749	2.90448510515603	3.76827809657439	3.76186739285556	5.07194938264495	5.09737983529664
ENSOCUG00000000063	6.81839393769394	6.87701034366143	6.41000178459557	6.409534528021	7.05659260300699	5.99142588476972
ENSOCUG00000000064	9.44589711119452	9.51288215072582	8.39132692632591	8.09054559388045	8.87913263009819	10.8345619612143
ENSOCUG00000000065	-0.155678488802936	1.02939005329797	1.55350227923935	0.956771701917096	0.621480785445723	-0.164487785696672
ENSOCUG00000000066	6.65922515979341	3.94321499874818	4.95041771113571	4.10231407768186	4.8789640395525	5.77687875664273
ENSOCUG00000000068	4.41496175723865	1.17631684900778	3.89116756352844	0.120975172224086	0.788966277298274	4.66750636346786
ENSOCUG00000000069	6.42978386156226	9.21808203059483	8.8887163839455	8.8664931114729	9.45598563847185	6.03438397188082
ENSOCUG00000000070	0.799362220458525	0.315203886041787	0.142317775931574	0.461074998747648	0.180926817345782	4.58219360895174
ENSOCUG00000000071	5.60390937564481	5.50999943589595	5.22653767957935	5.46088357293434	5.67340197902202	5.132025496089
ENSOCUG00000000072	6.28538958569165	0.996134800539583	0.329689445703634	0.243678272263697	-0.0462235008172274	1.1701083620385
ENSOCUG00000000073	8.80818984418817	8.38371502359807	8.35101249114726	7.71775460178075	8.83229349644965	9.83370713213813
ENSOCUG00000000074	8.38413864273753	9.61276073522984	9.02912289336996	7.92934400559633	8.70618716137613	10.7696435630219
ENSOCUG00000000075	10.6171208530822	9.46835808239191	9.48127686921153	9.64740180841792	10.4150095164579	11.0993599686173
ENSOCUG00000000076	6.85709335827073	6.07914326480637	9.05208027670713	5.45959809665621	5.07578336125409	3.83840875574312
ENSOCUG00000000077	5.00174662138198	8.048173504166	7.36822880846043	8.82551716860271	4.52787694411851	3.58915005399133
ENSOCUG00000000078	8.54475000307556	6.39170904087547	10.076498811904	10.1249406418509	7.88632750786907	7.00231938202988
ENSOCUG00000000079	0.00558102298524435	0.213182027331105	-0.0723800486709682	0.140891338333292	0.208860966673711	3.84982521441382
ENSOCUG00000000080	5.90862097361474	8.41382578822211	6.38806933608515	4.72660077440126	5.97562863943437	6.22626243959174
ENSOCUG00000000081	8.57381428735185	8.47495445757583	8.68137755123269	9.09083035607067	8.65665553887987	8.72245127525431
ENSOCUG00000000083	3.99850109470896	2.67911440199899	2.85699465893123	3.20161856099352	4.24521619673184	1.3794957444422
ENSOCUG00000000085	8.47122642377227	7.78514090746141	7.86097189312604	8.17271983804848	8.30037514712124	6.75195615165369
