brain	heart	kidney	liver	ovary	testis
ENSOARG00000000006	17.8151849869613	17.1264807838222	16.4929745378916	17.1360494035568	14.5636694606918	14.2433004198537
ENSOARG00000000010	13.2047473270236	13.6480383895193	12.5932733330659	11.2328603457633	10.5113965003006	9.59646946597392
ENSOARG00000000016	16.2114586532559	16.9319485124732	16.0719583965933	15.5296462620488	13.9085506429436	13.5358116463817
ENSOARG00000000019	13.4733125001581	13.9834456115245	13.2906023425018	11.4470195318642	10.5784986294163	10.1104697537855
ENSOARG00000000021	13.3812002406237	14.6460480969761	15.0851359404105	12.4450700011445	11.7250845567579	10.5920022908786
ENSOARG00000000022	14.1566279889707	14.7266641557151	13.6138447535976	12.7970362484036	11.4808767286537	9.88349384512081
ENSOARG00000000023	12.8882673945592	14.0347175128904	12.3110538974555	11.8445955925228	10.5379761568485	9.21843598600452
ENSOARG00000000025	13.2005291461654	13.3725179490053	12.5492633307066	11.262650815365	10.1799645719854	8.88695153800082
ENSOARG00000000027	17.79001408619	17.2148969673496	14.5130366081761	17.4526701770892	14.4519628857757	15.4054154612574
ENSOARG00000000028	18.5012735372242	17.8843017972583	16.7450709380846	17.7514740829217	15.4431320969844	15.1379066694192
ENSOARG00000000032	16.5667132065654	16.7729581929324	15.5459268349554	15.7530352403541	14.2992862570087	13.6542819141557
ENSOARG00000000033	17.7008109736593	17.1228018264124	16.45524136393	16.2508266120381	14.4132973290727	14.1429355963276
ENSOARG00000000035	18.6231455751233	18.0665191606243	17.0488912057681	17.4731360440141	15.2135711360434	14.8584863175169
ENSOARG00000000038	9.16528296468067	9.3702526264746	8.76138574165437	8.71734381215722	8.2649563337699	9.73266767702827
ENSOARG00000000039	0.17662733447675	0.10446424381487	0.0813269856764131	-0.0767676024965566	0.0629290078188849	0.177238465890369
ENSOARG00000000040	8.58204073122525	8.94573033302857	8.74658874526036	8.38025958130175	9.36638961473778	8.25560059516315
ENSOARG00000000041	3.22961574275538	-0.0904591836150928	-0.0723959079345772	1.57809898782894	0.516298347410078	2.81808219187995
ENSOARG00000000042	6.28512238817621	4.63090130846131	3.92267754255084	16.0058379628879	4.64283891208886	3.46693280516829
ENSOARG00000000043	8.17504655076318	7.04430245336533	8.31723898503307	6.17365400999162	8.22562214487169	6.51769081939359
ENSOARG00000000044	0.339906662074497	0.155501956447323	0.913950597602719	0.430075851805676	0.717631642920405	3.89786477056294
ENSOARG00000000045	-0.0997814099038105	0.0603703434404649	0.0290082090598091	-0.00352615011702987	0.0978413412293809	0.103949341271629
