brain	heart	kidney	liver	ovary	testis
ENSRNOG00000000001	2.5884521733513	3.11320689724118	1.54769701747204	1.27781368183644	2.85690201290039	0.157150715488746
ENSRNOG00000000007	9.30881329990556	2.92820806969715	1.07325481855117	1.93117450795954	3.71027851422303	4.75584188038859
ENSRNOG00000000008	2.60503236741343	1.50398987121708	0.996364736356233	0.543396066631796	0.989390145340692	0.546253710528679
ENSRNOG00000000009	0.272174361457637	0.295225748306405	0.110530296409053	0.253338298109293	-0.180023682837231	8.07360530588431
ENSRNOG00000000010	8.06791830365098	0.553637978620963	0.233023808171168	0.511467662376935	5.93609307816879	2.39391851568364
ENSRNOG00000000012	3.08711087967009	6.88512781771632	2.58753662387596	1.24182725492623	2.17000178851894	2.05531655073721
ENSRNOG00000000017	2.90739128994605	0.407960195950332	5.8432020193272	1.6904299177709	5.15587619652778	4.17651028018254
ENSRNOG00000000021	6.58735495032422	6.46214474250815	6.41927532364896	5.46475504578557	6.75879715266836	6.99254875377751
ENSRNOG00000000024	6.11097248614439	5.75176630019204	5.07934214575734	9.15747055882559	5.51199979088488	3.05469514083795
ENSRNOG00000000033	8.48641360428301	6.59152587696616	3.79586692767236	4.45188135759064	4.97827376101881	3.5316329488043
ENSRNOG00000000034	4.14800526004483	4.4349002378285	8.68133950327282	5.93811277359074	5.86954147268278	5.64281156392344
ENSRNOG00000000035	-0.286916271886379	0.322588890684218	0.759716563935343	3.33138571341301	1.35724047623466	2.06093223354778
ENSRNOG00000000036	5.09075578630233	2.02302464526946	5.94458140314252	3.96626863909476	9.30214927470929	2.19205655936766
ENSRNOG00000000040	4.71660384201218	5.70797880535073	6.88887452583532	2.88152022209466	5.71928187772407	4.4281330582387
ENSRNOG00000000041	4.67805125651977	4.9053417121352	8.16953265411294	9.67404413837986	4.02124798973799	2.60824830301033
ENSRNOG00000000042	7.76906135098576	7.05836691123056	7.97569761444399	6.63241111372872	6.64005345288191	8.42665042953032
ENSRNOG00000000043	6.60381686366502	7.43572942799847	7.38043290894413	7.18345202233019	8.00350895185828	5.35454541046002
ENSRNOG00000000044	7.29723397466946	7.08189179939873	6.74749105474215	6.16669056382924	6.85101790729474	9.8128421540627
ENSRNOG00000000047	7.38469288235204	6.72197083926438	9.1170998246172	8.48698754989165	8.46453190054172	7.02964514329438
ENSRNOG00000000048	7.95319606818242	7.14496794149783	8.09466734139287	8.09373908046007	8.14310697787192	7.71689492081885
ENSRNOG00000000053	5.56019347523885	5.57083909675474	5.10568618373639	15.0878737814859	4.7509351906181	4.56974945912851
ENSRNOG00000000054	9.43553193223654	5.92659898386295	6.16895157342706	4.27817098968753	7.26470978451106	10.8542859388214
ENSRNOG00000000055	0.103302894153937	1.64801165340072	0.407810824879078	1.0251268404182	0.764896490614453	0.310400723666107
ENSRNOG00000000060	10.5425710266226	2.63402184620423	1.68393026522162	1.3685573405069	2.20199384686242	3.61945892065543
ENSRNOG00000000062	7.05111605118982	6.79901057476581	6.73226384734227	6.27455196769742	7.37239706132935	5.29587107238787
ENSRNOG00000000064	12.4614238563271	14.8109927250824	13.1284116797491	12.7591789789917	11.5112448713871	11.6482664348979
ENSRNOG00000000065	0.747729911427223	0.873218013315658	0.825578242272194	0.749716679291952	0.849088722393899	3.70865878337821
ENSRNOG00000000066	7.50951485260738	7.19331363078234	7.1767713544644	7.14105420842644	7.29927593557905	8.06872209477643
ENSRNOG00000000068	8.15064062774545	9.56563189460914	9.47397864779443	10.26639662748	8.27755729934802	6.4659392492593
ENSRNOG00000000070	5.80327479802178	4.86542357363786	4.70277826109061	4.70266362321021	5.51378867358278	7.52299704764398
ENSRNOG00000000073	7.57161921022229	7.70483957149844	7.80122197356992	9.39758343472911	7.29393214728555	7.71262336411441
ENSRNOG00000000075	7.33493123256615	6.5019335777846	6.40954983742726	6.4116570986021	6.92310699562866	7.58161672780274
ENSRNOG00000000081	5.21547098754368	8.69023891287513	6.19758053110373	8.15679875229302	8.41485947418697	5.18718875270863
ENSRNOG00000000082	7.39458598755951	9.82530290669053	7.32514648564017	6.76119020176136	7.02853169705762	7.06933512998305
ENSRNOG00000000091	4.66292803160382	5.62860385480668	3.22800288168138	3.14246177260894	5.65630471668247	2.28400265486125
ENSRNOG00000000095	7.43834084190756	6.88178409479488	7.57921240096204	8.42393424614908	7.30041716422072	7.72432818106604
