brain	heart	kidney	liver	ovary	testis
ENSXETG00000000002	5.91916186304512	7.70161108691979	8.31075802244422	8.66950969637742	9.026952535268	7.03311439280001
ENSXETG00000000003	4.58855398221285	5.83266507507763	5.18683304004449	5.59323929534096	3.02203304850255	1.56075418502828
ENSXETG00000000004	0.0190375641242338	2.27551282702056	0.379474333332277	0.595913040943853	-0.197752945437798	0.518757190220317
ENSXETG00000000007	5.75700216097767	6.30337184241907	6.08500282711591	6.1577077013038	5.55897769798438	6.89722665569724
ENSXETG00000000009	3.2366561565751	8.33522330731761	2.93321408085584	3.75334638657674	0.909414244228309	2.05284688637269
ENSXETG00000000011	4.46186167166178	5.81655410110242	10.6269928315048	4.56479090555159	9.61584627731028	5.25151750370448
ENSXETG00000000013	6.34665629204685	8.6205662948794	9.46818904146976	8.64629248360722	7.05169367030063	7.88830381455726
ENSXETG00000000014	8.42738342691456	0.620234193613012	1.88470390961898	0.142454233503	2.24655903869233	3.80831839935284
ENSXETG00000000016	4.70114411432402	4.56634390040178	4.66454753171641	3.0720632862389	2.25127595321441	3.72530173291618
ENSXETG00000000020	4.92464189240544	3.34429947124057	8.6375069927264	5.06690667601264	4.94842594922209	7.46895571748839
ENSXETG00000000021	6.51793460581854	4.40362797310906	6.1321110698683	5.51758524015468	10.0750675604193	7.10744350102872
ENSXETG00000000022	8.26331470112948	9.23029048707552	8.20600929342869	7.91172197573507	8.7766046693254	8.17817515476595
ENSXETG00000000026	4.77297903736712	3.22387475048719	4.51188806164993	3.70466507876773	9.57087272506554	10.3270485870823
ENSXETG00000000029	5.32443598175218	7.83894377809656	6.32650622068611	5.34188726511632	4.56911775304798	5.01419516559083
ENSXETG00000000035	8.28419539967168	9.13627269243257	8.61221740512197	8.63662354878853	7.92749797371869	7.58419650566969
ENSXETG00000000036	8.27964618699471	10.7059812081813	10.3786620299493	9.52423196102642	9.55487455524238	8.87059220613863
ENSXETG00000000037	10.7901373960662	10.0960134453098	10.4553619443935	10.3647132305355	8.46917367667269	9.62794914341495
ENSXETG00000000038	7.99606618695514	9.04907279085098	9.46541208416131	9.99965321802911	9.61821453121637	10.7507511904089
ENSXETG00000000039	1.45794904068631	0.87633834698458	3.63837603045695	5.19163331555324	0.309109994183129	1.29931183199779
ENSXETG00000000040	8.88844944398561	9.15941108421614	10.9410952587729	10.5271478007048	9.3729937916743	8.72215221993621
ENSXETG00000000041	0.826804506788469	0.277321025358384	0.845806768158817	0.954492830403604	0.637794338655671	4.56095987018829
ENSXETG00000000042	6.29047124759995	7.64899350198118	7.18847150163017	7.95620070246309	5.40909728411041	7.85852106625109
ENSXETG00000000043	8.34054139707314	8.48635833781703	8.55088150040879	9.01718357980738	8.56371837165034	8.36273697633193
ENSXETG00000000044	6.61654471814792	6.20095858637085	6.82556744777908	6.97562302873639	7.55016098801194	6.91149385571659
ENSXETG00000000046	2.89633196669524	3.51666556775977	2.64515894051414	2.30229475827854	1.84613429788632	5.7043028219082
ENSXETG00000000048	0.333124773693283	1.9191540277705	5.25427200072152	2.23359997195105	1.85448644548428	2.23240837458901
ENSXETG00000000049	6.59715863864702	8.02062134869774	7.09581150171654	7.35182007831304	5.75684733574573	9.29522628675905
ENSXETG00000000050	6.61985529540009	5.14363382419891	4.56040952115723	3.77850563743804	4.0146473560454	6.6695289270751
ENSXETG00000000051	5.13215511047269	5.45954638413879	5.46543865087892	5.28924365989482	6.48430523914452	4.95875111283938
ENSXETG00000000052	8.52833999336883	5.9367632178025	5.8731517166626	6.38661915168601	6.7789381021776	7.99470412471048
ENSXETG00000000053	5.94967009282109	4.98227644447276	4.93622207723509	5.57722963535615	1.67153528213072	3.42026927328832
ENSXETG00000000054	6.76537359529746	6.40865363044405	6.53400483983774	6.43213417171923	7.84877800070229	6.90492818539746
ENSXETG00000000055	2.33598391884537	2.44548203024649	2.80461425146369	4.19366851000912	0.965050347002933	1.37640284146576
ENSXETG00000000056	8.20192392592066	9.39983978261346	9.7159507402114	10.4835842639243	9.46767317707304	8.75359854376995
ENSXETG00000000057	5.20091047133309	8.02316996520417	8.21582409330125	8.82871218561646	7.96640427790703	5.53521106929318
ENSXETG00000000060	8.00485698307599	8.059665146225	8.21605774558372	7.87534958616669	6.66590111796328	8.20466078401653
ENSXETG00000000061	10.1171467412698	4.43762019406439	6.96747934653737	4.7853051997482	6.99528922197253	8.26633828528931
ENSXETG00000000062	7.58735901621163	9.12059185440684	7.96098374963943	8.09870842675713	8.18169566618948	6.74264477741566
ENSXETG00000000063	-0.113166650372161	-0.0691431884925202	-0.000380410269627034	0.239939291436194	-0.16556330192323	0.412596239831894
ENSXETG00000000066	8.69565750259584	9.29702778889633	9.17424216844808	9.29798861277825	9.77992965596696	8.82883741722321
ENSXETG00000000067	2.09586739264298	0.342122983172942	6.50214651134411	6.34310013042862	2.43656993454817	1.80767247626448
ENSXETG00000000068	6.13876818006464	5.57534102732099	5.73492870858391	5.90085575515139	7.05404040094296	6.30515162891325
ENSXETG00000000070	7.70199399214654	7.13910811151925	7.22566265832942	7.28436225010191	6.84884114036075	7.68206511021929
ENSXETG00000000071	6.76217359538759	6.6452144807861	6.35662401421491	6.49816009210367	7.59353801280054	7.72667726788394
ENSXETG00000000072	6.48635539740441	6.77772376015232	6.55802606030582	6.5794385617974	8.6483692468759	7.00859824057842
ENSXETG00000000073	7.46964231490958	8.21337226088243	8.58120318027614	10.5425514221591	9.10785023340478	9.63777960134075
ENSXETG00000000074	11.7620732260621	5.45988238282579	2.46188123186574	1.20014975449714	3.18107980083387	6.98595385463277
ENSXETG00000000076	9.20304828350015	10.1101612241398	8.84587531037441	8.13870764500735	0.763284436947284	7.52617717657129
ENSXETG00000000078	4.6653913952433	10.1360640507513	7.69399514582773	9.47050214465836	3.87377383630904	5.23479192819506
ENSXETG00000000079	4.11284896614216	5.02680790845979	4.62768889015374	5.42089022756081	2.99077632059938	4.08206161340629
ENSXETG00000000081	9.17631068209797	7.72437177224819	4.16031896733705	2.54375647548201	1.20319047730554	4.95061490430568
ENSXETG00000000082	7.96695163672926	8.91359538431906	9.09248453509782	9.51019845273547	8.73561833052671	8.8311736405958
ENSXETG00000000083	7.26193930730566	7.02009305712856	7.40331205440146	8.27815000475821	6.36000555002415	6.88132356842543
ENSXETG00000000087	9.49274633631033	9.953365479147	8.9622178327071	7.91883658450521	4.94091242365068	7.67484570033858
ENSXETG00000000088	5.80025181834517	6.71618542572282	11.5995187071115	11.1339655170644	6.24880739884375	8.73985256111581
ENSXETG00000000089	6.57466666213247	6.34367206657512	11.9247680397165	8.92735529117495	4.33109450059204	7.17549981290371
ENSXETG00000000091	8.8317096086459	8.24691099886355	8.31633808269163	8.19634453620991	8.86324305958327	7.42535397386181
ENSXETG00000000093	0.403820098456452	0.492215967419534	0.749780280422142	0.299594853159521	0.421581502261402	0.695360349291007
ENSXETG00000000101	5.18497391244687	6.95195835087761	8.54354633278046	8.61687878776246	2.50091131544301	3.92529858524659
ENSXETG00000000104	2.14673998777521	3.51818094445012	5.00790121215188	11.5991245217655	-0.127882666411554	3.71296168233908
ENSXETG00000000108	4.13336987480545	5.79947389395452	5.58277175209387	5.29816782299964	7.91847382044859	6.32977871440204
ENSXETG00000000109	14.8862166856653	16.4728066305917	16.5416164804054	16.9235754555951	11.7370599764664	14.2107434036538
ENSXETG00000000110	4.35325811304988	2.61814194371103	5.49486411796611	-0.00162513381271587	0.277854545348175	5.30528112490751
ENSXETG00000000111	2.60685224303769	0.908378154473297	2.06854697312227	-0.447586339695001	-0.170571868356037	5.646390389198
ENSXETG00000000114	0.433558956294087	7.42800667558379	8.70485231682005	6.08376175909399	0.948869721705307	2.30141521325933
ENSXETG00000000116	8.44057395396273	7.681985130874	7.67184159710424	7.76782200581643	9.73462414116889	9.06074910578377
ENSXETG00000000117	8.97015544270443	6.25473119636033	7.45907855800538	7.72332907610813	8.32609929717949	6.79543263637497
ENSXETG00000000118	5.10142058860443	6.30215980225096	4.88666173794625	5.18312744428764	0.81183239268129	3.510079231692
ENSXETG00000000121	4.99913280295293	7.09762057187619	6.7453705988399	7.04185443991379	7.44970995931058	5.59445922486339
ENSXETG00000000124	9.02352449105665	8.89523475399825	11.337283796834	9.81664689838495	6.9559517635328	7.0918010132742
ENSXETG00000000128	5.2784942203651	2.47352292295757	3.99547722469423	2.05706064844836	1.77726673382271	1.84588187164385
ENSXETG00000000129	8.32102002446867	8.8400985749413	8.69259926582632	8.77658358968095	9.25546511087527	7.89980888952655
ENSXETG00000000130	7.53567970509049	6.14327003269388	8.62759710445877	0.932750501724388	0.509849496684982	4.86980812308945
ENSXETG00000000132	13.5119963429663	15.7869522857167	15.628707061124	16.1620283385433	10.8006588374912	13.5953484125556
ENSXETG00000000135	11.0652734049533	13.3575538504759	8.95058670973797	2.99886902150061	1.11610947560291	7.15210254622365
ENSXETG00000000137	3.78363111281273	0.840674321041508	0.186661632549451	0.221511152088068	0.611489380937062	2.58350388177847
ENSXETG00000000138	8.92101768512132	8.64063989491573	8.01320636707912	7.53235205801608	10.6219909065113	10.0605978432659
ENSXETG00000000139	0.240398882179839	0.2653426104572	0.178034066163813	-0.0760507243643018	0.115204167452605	4.50992445156805
ENSXETG00000000140	8.41038425998811	8.07184951741277	7.89048771509278	7.31680760406614	9.35588294957363	9.47525106004113
ENSXETG00000000142	6.24241542584045	-0.157697293050887	0.37092946885329	0.963256452070602	0.692921817269066	2.03458043971578
ENSXETG00000000143	7.5544513714012	9.20607889263137	8.55147665155001	7.49978229548986	6.0213733455841	6.85223609157461
ENSXETG00000000145	7.50169810041633	7.32414953254668	7.65714769669621	7.33726411559091	6.63188799103264	6.94855694314924
ENSXETG00000000147	5.84960818068457	0.62250533859997	1.29430488868343	0.465791209789833	7.12194176348997	7.36466843200132
ENSXETG00000000148	1.74441668112919	2.53848739459298	2.86186611100269	1.49164599656743	1.54540490632695	2.78833823647626
ENSXETG00000000150	6.83852535061951	7.32597236088742	8.17174493296817	7.87979509019096	6.47778081136293	6.85939687261258
ENSXETG00000000151	8.01600938287425	8.72108025184247	8.45919834117691	8.21174844113036	9.49688160957135	9.03967591475187
ENSXETG00000000152	7.88882509788544	7.70148556546984	8.1772933302957	7.93248584823191	4.39104167823502	6.40801354620223
ENSXETG00000000154	4.70735643677135	7.42824503703767	6.84051910417006	6.51362855088668	0.999151646277981	3.55056511459753
ENSXETG00000000155	6.53825478035411	4.64857975031489	10.6243271347008	8.2382295611895	9.275532108768	6.97745655240255
ENSXETG00000000156	4.52443570684627	7.21350390926573	5.1450368089789	6.25528894157575	1.57874570659176	3.51997483594791
ENSXETG00000000157	5.86054616986938	5.64693734994877	6.86264823729215	7.27225523185089	9.30094446795396	9.17783576996405
ENSXETG00000000158	7.26681366719634	5.87439941111897	5.06198366538099	6.4030154318818	6.762092456381	3.5992771717873
ENSXETG00000000161	9.51436105736266	8.43461668081997	7.36844599809882	6.9159371046435	9.78550451066762	7.66029389693072
ENSXETG00000000170	5.5101787091255	4.81515490669924	4.70355566099869	4.50154845281324	8.10701309369613	5.98897276383793
ENSXETG00000000172	5.8654248386286	5.3442731175465	9.21930743953387	9.71919055491917	2.31485360655624	7.15343313369234
ENSXETG00000000183	7.46661858451557	6.41195376128292	5.87019046884799	5.2433419178751	9.40067953228894	5.55124876645551
ENSXETG00000000185	6.79199243615229	6.39567557198093	6.22847678729691	5.70315228281407	7.83665454340686	6.38570057740105
ENSXETG00000000187	9.23262584516541	11.0882981369547	12.3796556916519	12.443441601946	9.38571939249583	8.67119187855462
ENSXETG00000000190	11.6933059099082	5.38658523828558	4.8140948124909	0.484281744810273	6.14986874736966	8.94821449387564
ENSXETG00000000198	4.97569530737671	4.73775196222078	5.35411971273328	5.73033204406384	4.73358471179504	6.3520142239784
ENSXETG00000000199	2.19215304350481	3.13189148948345	2.51199184451165	4.84911293050644	0.90610971749606	1.59592266727529
ENSXETG00000000201	7.17091260926225	6.806583478844	6.76268966901265	6.89219358855073	6.00399351418154	6.45541890613473
ENSXETG00000000204	9.45796563269199	4.18814440926852	4.26694771340321	1.85376084386193	1.31891763783096	4.31236215013191
ENSXETG00000000210	4.8893779235975	0.113511539258042	0.483339364060192	0.136130200992881	3.42061351256555	1.64289332987235
ENSXETG00000000213	4.85248616714973	3.22427565953639	3.2122685008806	3.39469081644709	2.48141034982392	2.998368230631
ENSXETG00000000215	6.17288757126341	5.62231658874237	5.64804037390676	6.01356986680599	8.12907510567133	6.26564131993855
ENSXETG00000000216	6.16696859550423	6.56029961837983	6.1819096159315	6.84412773559708	8.61074139623323	6.33419412101729
ENSXETG00000000217	4.76557256439949	1.85886764421613	0.705972058331256	0.88719938813022	5.33138878309214	4.75323269494714
ENSXETG00000000221	7.82591979740381	5.38736106465965	4.76206967870784	1.03889309873072	2.38141809839638	5.59832390207046
ENSXETG00000000222	4.87213002860756	3.44574942226783	3.58732911059816	4.85811713730939	5.08548492849179	5.81877789733096
ENSXETG00000000225	2.84210378155517	0.819181728216304	0.355385786228818	0.211194017396138	1.03346706826924	1.05475427343338
