brain	heart	kidney	liver	ovary	testis
ENSAMXG00000000001	7.27922943145088	7.03817258474443	5.71727442687325	6.17222402585697	4.71800440885828	5.05267640170068
ENSAMXG00000000002	4.46900431802004	4.92092945307492	5.00297791611703	4.56894218443506	3.33362827544205	3.74364306105456
ENSAMXG00000000003	7.94550153081926	3.67342849350988	3.96222224712343	3.73984653982007	5.11068781634831	5.58481147361886
ENSAMXG00000000004	5.80137781866685	1.31891827920325	7.83522316811626	0	1.09913625526506	2.05333071093774
ENSAMXG00000000005	6.85432982384161	4.96911911282504	5.4977559938304	4.41436913110013	2.68162425253473	3.11650292673343
ENSAMXG00000000006	0.758276354285207	0	0.359392550785644	4.54833805857452	1.71722400838211	3.22435668539518
ENSAMXG00000000007	6.7356405308451	2.75456139599795	1.97057653996335	2.26827072595596	1.17008433030597	2.44804682756143
ENSAMXG00000000008	10.3000949034495	2.55471097533107	1.7668476018752	2.49839517147351	1.1097639693399	1.7958594923102
ENSAMXG00000000009	8.01674847212888	7.53377448051806	6.80876052599948	6.56281644945525	4.43687378593124	5.52201735169211
ENSAMXG00000000010	1.91633334669211	0	1.03809286989891	0	3.53407152413495	3.82396141083968
ENSAMXG00000000011	6.82861975803378	5.32572763386428	8.57310257496633	7.8471813852142	7.91670564314148	8.72538812819485
ENSAMXG00000000012	6.16725889876639	5.73026555484765	5.3718969516418	5.62982349902492	6.74025648713055	6.00996590021028
ENSAMXG00000000013	4.78104403598129	4.91104406882291	4.6872358626357	2.79699045813142	3.38344104943113	4.40039273673409
ENSAMXG00000000014	4.79480759106849	5.52283420345838	9.09373096305568	5.80630189975177	3.65849445235693	3.97626939921843
ENSAMXG00000000015	4.10028937802257	2.89159809242901	3.2558593355259	2.54933037727612	3.02088096395091	3.66584591829123
ENSAMXG00000000016	7.98467578180507	2.632570806882	3.06720926489062	1.77261229743135	1.4701887032877	2.67724462078809
ENSAMXG00000000017	6.14112183025861	7.52204823979284	7.0294751919734	8.29630675685146	4.91103382534416	4.4540558060559
ENSAMXG00000000018	8.294634975837	9.55687338625156	9.67578627953397	9.61815383796045	6.59844521569764	7.28459231613584
ENSAMXG00000000019	5.85830650824605	8.57917197077481	7.12083309558786	7.79559419429761	4.77666727909733	5.06570392444621
ENSAMXG00000000020	5.35985727895379	6.15390358382016	6.87719316703987	6.79685123092194	6.74815432202865	5.05183106315166
ENSAMXG00000000021	6.91076615458616	5.04084000993965	4.86415124520989	3.95270878172134	2.63568536478353	3.62704588405022
ENSAMXG00000000022	2.06803617182003	3.20992967586619	2.69069574777229	2.27541955688145	3.22385572898764	4.467100319417
ENSAMXG00000000023	7.62424174192176	9.26780181295103	9.76843495248219	5.39201935115826	8.3390188095667	5.36363356345251
ENSAMXG00000000024	3.8439985503226	2.27836228198442	2.67905606098258	0.53822341204029	4.14088885911065	5.43156785801459
ENSAMXG00000000025	8.60064383598541	2.07994072075357	3.25032667768754	1.37093933224352	2.00297201918572	4.00373507552304
ENSAMXG00000000026	5.59933948526885	11.4797506760704	6.02343248320677	3.24393929707097	4.10693180381702	3.89190164462371
ENSAMXG00000000027	5.05750808138605	7.77792516237248	5.82959973076392	3.90548523694624	4.67019911746288	5.15347388162224
ENSAMXG00000000028	9.43417915875267	10.9215758862574	7.45291179330691	7.14087930252969	6.75409565807011	6.78825788683299
ENSAMXG00000000029	4.8395282142847	0.815384753652417	2.5601336066017	2.35331752034696	3.12974887633839	3.93970222808111
ENSAMXG00000000030	4.65908646489833	2.43729279538267	7.01028643980192	2.35214204196196	6.40776277135522	7.72997974963113
ENSAMXG00000000031	4.78326919580007	5.99196037614394	5.79917868982531	6.73449936088667	6.94333300871967	7.54523962242942
ENSAMXG00000000032	4.28858412717305	2.64860791378907	2.60389962543108	2.484169583523	0.912799280306313	3.82592651421436
ENSAMXG00000000033	10.3967321678874	11.838834072292	10.3543100479051	9.20375350851122	9.76850754084461	9.21504619005729
ENSAMXG00000000034	7.86295366257742	4.84095217888006	4.23916128993453	1.80909889199011	5.38326639707882	4.99018163245691
ENSAMXG00000000035	4.90552824069638	6.50978280245374	6.29403187463747	5.88716502361355	6.9648625613425	6.89551498857131
ENSAMXG00000000036	7.91321076930725	4.89984857438901	1.47710362713874	0	0.225807068827672	1.10326059204366
ENSAMXG00000000037	6.88599795440318	6.30730383021949	6.00244635323061	5.94902680479457	7.4952993192766	6.78357935239229
ENSAMXG00000000038	5.80263272061555	6.61294830788006	5.69285932883037	5.74154144290842	2.73751372564688	3.34538369088339
ENSAMXG00000000039	10.8842545139672	1.63110287023064	1.80255291765032	0.725219622856995	2.16121235833496	5.95600236755065
ENSAMXG00000000040	8.91284735388035	2.51523164982362	1.7547467108722	1.90248863595819	3.05349826608581	3.3890012559676
ENSAMXG00000000041	8.27777886303821	4.24929929098046	3.28162309057545	0.872378240993525	1.19849663030951	0.726845308366481
ENSAMXG00000000042	8.07861657337229	8.97355888645193	8.12676024385468	9.61603065280751	8.52048839594699	8.41540102945865
ENSAMXG00000000043	8.19267777551926	9.99693204420001	9.69049002821616	9.38781640458159	9.05650573215042	7.24226710683953
ENSAMXG00000000044	6.39863957152088	7.69905567524429	6.42711866679102	4.35250860761828	3.5855899801	3.68983842869531
ENSAMXG00000000045	6.492640296011	3.63561410993579	3.2120573345197	4.04787834122509	1.53972360733728	2.77562206699335
ENSAMXG00000000046	6.01146636076325	3.79389412949124	3.55299007356302	3.33680264123663	2.50982975019649	4.23899998543927
ENSAMXG00000000047	2.52794106777227	1.8327309429211	2.83266183348562	10.5724763235412	3.92008264314239	4.57646720585107
ENSAMXG00000000048	6.37120605456276	6.17209939928681	5.97316686988137	6.45931051855326	7.02853850472783	5.93516035568373
ENSAMXG00000000049	6.57371536602495	4.19036175187061	4.25454848061076	4.81174286241182	2.33044928395649	4.86770571240188
ENSAMXG00000000050	4.00229079665215	1.67064448178965	2.10538896851548	2.27130595433233	5.93681352517651	4.27071531593555
ENSAMXG00000000051	8.38730264960589	9.60976753189207	8.90761342409075	8.73597660168672	8.69567947948443	7.05402540301848
ENSAMXG00000000052	4.79336770071477	6.90098487120169	6.29776393077436	7.37804569402081	5.76377413127089	6.54310935620622
