brain	heart	kidney	liver	ovary	testis
ENSCJAG00000000001	2.49378571552902	2.00200506656358	4.58353214755821	7.40108279959665	4.27271297721874	6.50136549814492
ENSCJAG00000000002	1.41291487186653	0.148419495724198	4.96735209192905	0.872139377440563	5.52549943869358	1.60743402236672
ENSCJAG00000000003	3.01290566657244	7.07492435268321	12.4279207534013	11.4003740631264	9.85113939841979	5.03623396456737
ENSCJAG00000000004	0	0	0.237198590740126	0	0	1.70246744963954
ENSCJAG00000000005	7.53923701453884	7.52128830750427	7.69737442210887	8.82043354287412	9.07729968293111	8.5386903175547
ENSCJAG00000000007	7.04106612682819	7.9779181252528	5.56184492043504	9.43366406345581	3.75170115349778	4.07729119438496
ENSCJAG00000000008	12.9551881674123	12.6463695437818	13.5603979277629	13.1167620492746	13.5532515490516	12.0794056698518
ENSCJAG00000000009	5.05830370879132	6.07543561155588	6.66719235077542	7.6251378547867	7.07256510060991	6.55429329770566
ENSCJAG00000000010	5.42563983010187	3.64429153651602	3.21704663530607	3.11289728148172	2.97660275810464	3.5341523722449
ENSCJAG00000000011	5.29214552165674	3.06729130397948	3.23765391972583	3.28997617929139	5.14675150078056	3.52064618825959
ENSCJAG00000000012	3.59451172919629	4.30532877845652	3.22784923121483	2.93863980269161	3.33268999921676	1.25254670945886
ENSCJAG00000000014	7.52413899219235	7.71263462871185	7.54591600436179	7.56785144051221	8.50291077842326	6.87993305303163
ENSCJAG00000000015	7.46707946149601	8.0581880794661	7.58474670838258	7.1819457919914	8.54015088091527	6.52308417500107
ENSCJAG00000000017	5.33784570754036	4.13731592662794	6.03423975938726	1.78782376856985	6.15616793017096	4.335484055345
ENSCJAG00000000018	0	0	0	0	0	5.23784034588754
ENSCJAG00000000020	0	0.165346932039975	0	0	0	1.86884671587016
ENSCJAG00000000022	5.55342952894989	5.05702335834761	4.89484820947118	4.88328415543719	5.54223073075909	5.21283824787983
ENSCJAG00000000023	4.58729879130959	4.13742662203965	3.74442173468883	3.47853645700033	6.52773378238879	7.44838069480746
ENSCJAG00000000024	4.76244821281253	4.435531650038	3.4170032103479	4.11015548242034	3.2981603007292	4.44778620627131
ENSCJAG00000000026	8.19172467961191	7.49983448937341	6.94593570057183	7.15870184986216	7.28990878454549	6.56645073901749
ENSCJAG00000000028	5.0567419311882	4.2085460163893	5.17120342722208	3.7325094661759	5.27233279559084	3.67982983575595
ENSCJAG00000000029	2.31135013071844	2.68165707336587	3.94268327123071	4.68654215062053	2.70131962240342	1.55823772481125
ENSCJAG00000000030	4.35631769038703	3.42334644729108	3.55572017712959	2.61373227411462	2.58857894878434	4.17351496813504
ENSCJAG00000000032	6.81945994630841	0.691677045604466	3.92606483286536	0.497880562941064	1.28423489760698	4.01879600046658
ENSCJAG00000000033	7.73142105158853	7.49465238475852	6.77127741934241	6.47827411223148	7.21486471159065	7.8444183463473
ENSCJAG00000000034	7.00738572902636	7.5809861906462	7.08934409231646	6.42601550759235	7.64626072107323	4.74789503856034
ENSCJAG00000000035	7.49146193455592	6.28508487727344	6.03280624923172	5.66383200079833	6.66132996469958	6.98195639655319
ENSCJAG00000000036	6.16563835740524	5.79534923753972	5.04458303864117	4.87939664697691	5.14379375832733	4.90315765181187
ENSCJAG00000000037	9.52709205391527	9.30449631939607	9.11644267465218	8.61255355182767	9.55967640185373	9.25322342105211
