brain	heart	kidney	liver	ovary	testis
ENSCAFG00000000001	2.62749715356698	6.15889428224952	5.40033604820255	7.20024982886721	6.21331304421437	4.78395415047437
ENSCAFG00000000002	0	0.0560032872597733	0	0	0	0.089059167813682
ENSCAFG00000000005	2.51907798512413	3.88102084109972	3.18370424548706	3.58864140920679	5.12247083857303	2.3493370646991
ENSCAFG00000000006	0	0.331706337751944	0.735378500792813	0.977047560273961	0	0.0888495097408525
ENSCAFG00000000007	4.99629717002744	5.74542823965717	5.9543014523533	5.50284488032617	6.0986182555802	6.15202420657214
ENSCAFG00000000008	6.8431911811122	7.43039043637843	7.33949001827094	7.04100010872012	7.82546559442457	6.46505742997407
ENSCAFG00000000009	6.53498769473064	7.50865796906076	8.15833722862135	8.41426730791014	8.88817954785433	5.82483573705726
ENSCAFG00000000010	4.45407517763156	6.24508166456777	4.99067995938039	6.59076215512617	6.74979470048279	7.39263473893518
ENSCAFG00000000011	4.13061843687832	5.96238651463247	4.60559794292534	4.91801340727124	5.29468328801998	5.3093297744558
ENSCAFG00000000012	5.17837612041949	6.18605788183478	4.7480738623657	5.95586813634247	6.95718865046393	6.75581834641606
ENSCAFG00000000013	3.34640775865924	0.187007780603178	3.5087790375457	0.885485133514639	0.518222249702415	1.87389588552907
ENSCAFG00000000014	0	1.06885413204432	1.54145017155536	1.33328167960819	0	0.866110825895257
ENSCAFG00000000015	1.29358767772608	1.49236070480548	3.03039674736915	0.719745758843436	1.77543162656126	0.189458080510936
ENSCAFG00000000016	10.3454997706396	5.13589892715999	5.20506932556338	6.34970282938197	5.27682870538094	2.43229597787284
ENSCAFG00000000017	4.55592458569303	4.97788553113109	4.08156469014745	5.34583167488355	5.6405079393116	4.97820386095937
ENSCAFG00000000019	3.41831721026101	5.28400331627507	5.02085919784347	4.4259743668057	5.10876415832598	5.5417835540234
ENSCAFG00000000020	4.47720343998537	5.31925560301701	5.60175736023779	5.26439714774832	6.34950961486957	4.73006734414065
ENSCAFG00000000021	5.72766427607343	6.6111506851521	6.52504616931722	7.66008901853637	7.55328037631273	6.56150089875493
ENSCAFG00000000022	4.69449729494932	4.16738703273254	4.42684170579149	4.30843660824371	4.37345779251063	4.15474502258547
ENSCAFG00000000024	4.84390962474258	1.49192234835834	7.81587419089651	2.48149871951083	3.52542373032985	3.7639784615515
ENSCAFG00000000025	4.61468721120431	0.876188035865058	0.243155372437959	0.326618118640575	3.31526556124012	2.31153148203659
ENSCAFG00000000026	7.47800101232552	9.96232499783285	10.2695235109358	12.6278490032984	14.6402733683435	9.05409906749943
ENSCAFG00000000027	11.2262642709718	13.4828202302233	12.6992656206216	14.0854317057893	15.378777857224	11.7051361365984
ENSCAFG00000000028	5.96079026184844	8.29900230477877	6.39346991135283	8.40707699597571	9.29493955565623	7.49958124990156
