brain	heart	kidney	liver	ovary	testis
ENSDARG00000000001	6.2016646257129	5.53232624505458	6.42162889999381	6.24125775396652	6.89694437094501	5.47675175031343
ENSDARG00000000002	5.22978241410529	7.92892707445512	4.4740664283568	5.16768045289392	3.2211624396152	4.26427835001035
ENSDARG00000000018	7.52900485273918	7.78082745430774	7.97325511885631	7.19705538919086	8.38091281909731	8.079565468791
ENSDARG00000000019	9.91228437002361	9.42152681452015	8.74231208700898	9.32033409129387	8.2351790890391	9.48662007645246
ENSDARG00000000068	7.26142453195403	7.42643344992467	9.3560325331166	8.73637084311437	7.51541951626229	6.75417252612269
ENSDARG00000000069	8.60222915544679	9.14552176795357	10.5196564403108	12.3716282709435	9.39163969637094	7.79237778780081
ENSDARG00000000086	8.16998177672633	7.04784691489868	6.59283311850694	7.69282179944212	6.16489458970269	7.60370103783936
ENSDARG00000000103	8.72615665347297	8.86187734086696	7.06385195519217	8.61973316717638	7.94240460779215	8.18307257417253
ENSDARG00000000142	7.68323932201014	6.01983669808671	5.21562355749674	5.73879754755882	4.95677333767924	6.1200956690148
ENSDARG00000000151	6.49568040763905	7.4764435572623	7.17800975471515	6.85426972925745	6.85961761514136	5.72073037725558
ENSDARG00000000161	6.60108016864684	2.86861039776016	2.73729884870946	2.98511557872491	2.59179256657657	3.70074702583122
ENSDARG00000000175	4.30152401296956	3.5561273308417	2.84077528514747	1.94788308072008	2.22178410014504	1.88189752116131
ENSDARG00000000183	8.23348245707857	5.83726696549403	5.68522936886224	3.67353462685601	6.7406156628586	6.21560978509918
ENSDARG00000000189	7.81556541602635	6.50914399253171	4.6734232726424	3.84583063654398	5.05109137418543	3.58600633778913
ENSDARG00000000212	5.209607017979	9.81223273639319	5.59809510777141	6.28220795554055	3.54272285016205	4.3719151201851
ENSDARG00000000229	5.6876076309151	5.37189357453404	5.00573963995295	5.59769391251242	2.26331368883327	5.70642950312566
ENSDARG00000000241	8.21709323356955	9.14725011066703	8.34723426890536	8.88490039169846	3.83680725565037	5.53797247271246
ENSDARG00000000324	8.46893825623279	8.23412164020471	7.82882974922969	7.72189394418344	7.01460109221355	7.84267956960212
ENSDARG00000000349	3.55078161025498	1.05267458294638	4.87065988049348	1.02669639437687	2.22936104568061	10.2033767803649
ENSDARG00000000369	1.47473623846492	7.75130984745034	7.34039770320256	2.56274130821064	1.57705598835809	3.89292407380727
ENSDARG00000000370	9.1334137917241	5.53521400637962	4.10991668483773	2.47423406328498	3.46815648488091	5.87452477776177
ENSDARG00000000380	4.44336736573074	1.33617101967975	2.57406443985478	1.67477094304972	1.19782876668235	5.90308181567818
ENSDARG00000000394	9.3797029232947	8.78501968213278	8.49134908673025	8.31905128776661	8.67638047035275	8.81343135652758
ENSDARG00000000423	6.04034457667861	6.28651858275193	6.58717167401912	6.35663544012685	7.50481315800347	6.04925957729739
ENSDARG00000000442	6.60962628743047	7.54959981512867	7.47449157180313	5.71973644849927	9.08775910793568	6.57923006591147
ENSDARG00000000460	3.09787387317931	4.51731509867088	5.388328371095	4.32266671788441	1.16393799686777	2.89470035468543
ENSDARG00000000472	8.21360394023726	3.21047524480545	2.02378233912462	1.85577813805697	3.06053825014618	2.88621795223677
ENSDARG00000000474	1.5609721068113	2.62719150901191	0.705070154519678	0.75877421518313	0	0.441079859466209
ENSDARG00000000476	4.31355312819443	5.14753800238178	5.47770382624502	4.4838192773099	6.74610392466909	6.57262441533322
ENSDARG00000000489	7.61235899637351	8.53698419015632	8.12529860262763	7.92464717331881	8.53702837829403	8.50350776080485
ENSDARG00000000503	11.8543175777998	3.77965245177822	1.96537176407225	2.18720210319534	0.878250292819706	3.68195841085339
ENSDARG00000000516	2.23476132461162	1.8710939595396	3.18323789888126	2.14654095951721	0.608816592538335	9.98218285387608
ENSDARG00000000529	5.71504441993727	5.88083402555537	6.45349408085474	4.82788443683589	7.52602984023827	8.06252383785611
ENSDARG00000000540	7.49942163362267	7.36000388818633	7.39394586431492	7.07647231877615	8.44609372927824	6.67023774172372
ENSDARG00000000542	6.9407990382892	7.13166768912577	7.52989800441741	6.47922698206903	8.6752414902306	7.40860477530406
