brain	heart	kidney	liver	ovary	testis
ENSGMOG00000000001	2.95658208428858	5.58614129096935	9.06166195293175	10.6545280080217	12.4708312437013	8.13733969910298
ENSGMOG00000000002	7.60313922349472	7.8167158916209	8.1891615644491	6.19514210234862	7.15357165045473	5.38297411072295
ENSGMOG00000000003	0	8.8082873939961	0	0.340863537840989	8.44567313674098	7.45281276744594
ENSGMOG00000000004	8.17522672999433	1.04965991969734	1.60811642191709	7.51636802834668	3.71985818067394	5.76022709501677
ENSGMOG00000000005	3.59868256308848	3.22479908936431	0	0.928980284539565	5.22679244064663	0
ENSGMOG00000000006	9.70864836192099	9.33552785497298	9.28084400036887	8.85501764453467	10.560738938968	9.66636669921119
ENSGMOG00000000007	9.1606206261554	2.68972568041087	2.6339741040385	3.05289821415627	0.985264097536616	4.60650559231415
ENSGMOG00000000008	4.88999116518361	11.2933121705966	10.0447961942619	9.65268387558873	1.46063327825211	3.5467380892048
ENSGMOG00000000009	9.48709368453952	9.24747176771962	9.4669254478268	8.76419862574906	10.2184050544713	9.01066952218453
ENSGMOG00000000010	7.76028534253557	0.503513931309342	0.182616420123578	0.208543013294791	2.717459398057	2.75946540138056
ENSGMOG00000000011	5.04989127874914	3.12754367303603	5.72724019785461	7.72280785712302	0	1.78330530234678
ENSGMOG00000000012	5.73114312224345	2.96176286727556	2.94548706464914	4.29191921685869	1.92012244699176	2.92360934074417
ENSGMOG00000000013	0	0	0	0	0	0
ENSGMOG00000000014	12.0032199895825	12.6287408863478	12.2084361430884	12.2802732741494	13.0658591654572	13.1351658005928
ENSGMOG00000000015	9.12553565368558	9.75195094239378	9.51080871240886	9.88769092074062	8.98973100790639	9.81508967988379
ENSGMOG00000000016	10.1160042398947	7.97227700507827	8.72454603020575	8.27217164976312	8.00790603016009	7.43484069830131
ENSGMOG00000000017	7.68984846060732	4.7353210717264	3.26363072896154	3.6455534445615	3.16126782566919	3.59363452687985
ENSGMOG00000000018	4.58666324524274	6.58104242146076	8.09581092490272	7.05216906606474	9.09222342716014	5.64317574302951
ENSGMOG00000000019	7.63870294139201	8.14780212260615	8.19648430917606	9.19076728953162	6.58385681103506	8.40714632491924
ENSGMOG00000000020	7.13775164717491	7.14413757120086	7.27245943731292	6.98906357302378	6.84856813633462	7.12870691213625
ENSGMOG00000000021	7.05078839649673	8.55371724893008	8.58958907869704	7.99790339787067	8.45597439335654	10.3128651824264
ENSGMOG00000000022	5.10377838396755	6.78341818516171	7.93282724674349	5.17383357090587	1.20082924171313	3.53460701494362
ENSGMOG00000000023	7.54159825496745	8.44826424713123	9.38127848837184	9.19786877330685	10.4330861181315	9.43519777945933
ENSGMOG00000000024	0	6.97872521995141	8.89768114480066	6.81552543565969	4.9359831237283	4.65109023065921
ENSGMOG00000000025	9.62335215197779	4.98079389352545	5.97978865529905	7.18330381508012	6.78014555995106	7.813598014845
