brain	heart	kidney	liver	ovary	testis
ENSGALG00000000003	6.58691666417002	1.18640788596702	2.18206331266536	0.741806780426147	2.88408785182103	4.20470699407902
ENSGALG00000000004	7.06047735544721	8.09493863456934	6.63797449240604	6.02524433734912	4.48555850236181	6.85900831719068
ENSGALG00000000011	7.09442191485168	7.85017203329524	6.34450766596618	6.25518381340344	5.77572606274078	6.71280054033445
ENSGALG00000000038	0.40586001993795	7.83505334574774	1.02898498678311	0.419222745088249	1.76936527986618	1.76419578146576
ENSGALG00000000044	0.926226846335953	0.237749851134116	0.29330745731339	0.466257470679028	1.94134735035844	0.535268503682631
ENSGALG00000000048	5.20678157353514	4.66168186173153	6.99818952896551	3.91719736196922	3.63137891566543	3.98758530936977
ENSGALG00000000055	8.29421588320084	10.3865588744607	8.6391120972616	9.00573615980482	8.01387617548536	7.94058062133944
ENSGALG00000000059	10.37092836799	3.82729646011952	3.63073368030622	3.59863750993082	5.10988498768307	4.49167607470653
ENSGALG00000000067	6.60377382340439	5.84169149701592	7.8783866733984	9.68060554295901	4.97693170029846	5.26332446586798
ENSGALG00000000071	4.04470667006865	3.89569946803673	5.13354909189716	4.59846414318471	4.02359383952994	5.0645923800022
ENSGALG00000000081	0.870272452689589	1.11561927211343	1.45718953311132	3.98008511499953	1.19605009070386	6.20489331373928
ENSGALG00000000086	10.2299455232083	11.3268366896382	8.89520203318325	9.4403227405519	7.91456932743172	10.4944454296137
ENSGALG00000000091	5.69762818462804	6.98146501007636	7.51537473792296	7.0166880059738	5.63146332057657	6.22982082743528
ENSGALG00000000094	8.73697964649315	8.78774222695885	7.50833902283625	7.44880636230321	6.45256020103522	8.93687741788928
ENSGALG00000000102	7.25742154569867	5.13472352662651	5.33700761311391	4.73387524132617	6.21819248546603	8.90005079548624
ENSGALG00000000104	4.90534946781276	4.98086202246654	4.7201155805244	4.87146543238484	3.71420360985133	3.13925584059177
ENSGALG00000000106	6.71578370193866	6.50556559764281	6.29208948599262	6.44011010738935	4.87429421004009	7.76887976314651
ENSGALG00000000107	1.83352283343319	3.41238928213077	3.51895832103146	1.77553447258093	3.04351704272429	1.12381864457246
ENSGALG00000000109	5.49858862248098	7.33120500034113	6.57609996005794	9.954639322057	4.68681012747367	5.97883805529905
ENSGALG00000000112	11.1759038147085	2.91273151117372	1.67516921754454	1.72127193768587	2.27225051727195	8.46756041478717
ENSGALG00000000115	0.0953552371310418	1.14774354658057	1.29112575331128	0.447888085458303	2.51667233949808	0.16466901280116
ENSGALG00000000120	0	2.75228299163848	0.0341924438040915	4.5570261689334	0.150617130976647	0.884913387599413
ENSGALG00000000122	11.7072391827818	13.8553095168384	11.9836059448289	12.6307828824602	10.6412798490574	12.8072699341436
ENSGALG00000000123	1.17851251100761	1.84460754517803	1.19495786262913	0.578182693393145	1.16730562835999	2.87643891307152
ENSGALG00000000129	7.32106227803063	7.27435135976142	6.3698900563231	6.46797261607771	5.60088235850006	6.36286880718577
ENSGALG00000000136	1.35479430106318	2.23566269359595	2.4076889756255	2.33392135415483	1.18406556494215	0.291989814534584
ENSGALG00000000137	7.72484036680189	9.31168340296284	7.98916038282789	8.16778183962285	7.10632276310159	8.24540534720052
ENSGALG00000000141	6.69715379077728	9.91333573371131	8.42327119761488	9.59582572098559	7.3700741921393	6.09330726759525
ENSGALG00000000142	7.35854892726251	7.83373307192983	8.10963054530023	9.64168499245076	6.67785439335726	5.87973689636881
ENSGALG00000000146	7.40800127886885	7.84117413018079	7.66887151102888	7.34192860704055	6.06820082217985	7.1197193122402
ENSGALG00000000150	12.1328192420051	13.849385528342	12.2883266116221	13.0808194477992	10.8357514153331	12.1289549172234
ENSGALG00000000151	3.68591364038213	4.3931536052134	2.7785941840412	2.71946842361637	3.25863538427751	2.78658421546523
ENSGALG00000000154	3.00340305717331	3.54352398694477	6.60495270909635	5.77975409983414	5.21781812077153	5.17589188957166
ENSGALG00000000156	8.16331746881146	8.6010049476882	7.68522468854192	7.85278102889444	6.49719980647525	6.83238622853259
ENSGALG00000000158	6.05505194477105	7.15076602115963	5.81608887578137	6.73808888715737	5.0231944282939	5.02090935895542
ENSGALG00000000161	6.93764537136876	6.52125714150479	7.45790059276751	7.23439676505319	4.63882030051124	6.6332081737955
ENSGALG00000000162	3.81039098329782	3.38544199193939	2.11821786526109	1.94655482435769	1.72817191692187	1.22199242916489
ENSGALG00000000164	5.07306489420931	4.19141298165463	1.30835904939223	0.827898520902801	2.29759064772702	2.22162892913326
ENSGALG00000000168	7.18404484508348	6.01445438010458	2.69068279559779	1.1538932163601	1.71261100393463	1.78083120521945
ENSGALG00000000172	0.179305322145122	0.385349678348327	0.0690321544757509	0.0630084509407539	0.0493302496164168	3.12140259810947
ENSGALG00000000184	2.80021550908309	2.8469074334346	3.6187795499416	1.38119226127	3.82574379943925	6.44155301419224
ENSGALG00000000186	7.42916360422278	6.93952833724744	5.99542614709792	5.67201170413439	4.96524255303344	5.87301760201679
ENSGALG00000000189	5.64740089893087	6.09958480011399	6.64351749271686	6.21712659251337	4.23744369554465	6.56555627303524
ENSGALG00000000195	7.81758779093365	5.31801475683869	6.00988104504744	6.26097210717367	4.78876952400812	5.12646964089004
ENSGALG00000000201	4.8736499752628	6.00720218473936	5.9245449254559	6.06474785751802	5.06436214823866	4.94900559935418
ENSGALG00000000208	5.47906253536931	5.87593164588419	5.55661719871046	4.88758666642121	5.28981431313094	6.18473274602458
ENSGALG00000000209	11.0346872372784	9.50790627309713	8.7284356471665	8.02859668848166	5.83607990581242	6.12124251118941
ENSGALG00000000215	4.77261448616577	4.87423181869046	5.75348675080128	5.30005510270531	4.73837344990998	5.73590136855342
ENSGALG00000000217	8.30831110095361	1.52594663261906	0.997332709905578	0.655912664003077	1.98497932564875	1.6034862434278
ENSGALG00000000218	7.31853065090855	8.17787090380152	7.98541118069021	8.78394940830386	5.97981858845072	7.38174503088285
ENSGALG00000000220	7.64916132557223	6.88961101855072	6.35831075138791	5.85320680102094	4.51255652148357	8.03410692331507
ENSGALG00000000223	7.31666597039423	9.57421995272481	8.73501284757666	9.65719707055359	6.59585333390746	9.50388147396476
ENSGALG00000000225	2.48574191980137	5.01665138846234	4.42246560283418	4.35802012952478	3.46038805949921	3.2292430576195
ENSGALG00000000226	6.1203730118095	3.65908109151056	4.95448750461081	3.04584946212562	4.16977255583459	5.18573895364184
ENSGALG00000000227	10.6370655218943	8.58457688103127	7.14210981068236	6.27268461465623	6.30407088945803	7.58525079248184
ENSGALG00000000233	5.17032149922919	6.26122839985994	5.77652914001285	5.47689841008143	4.74977096141994	6.5138713794521
ENSGALG00000000234	4.41141930021242	5.89880020136352	7.29293337525993	5.92134939872575	3.86820892770488	6.54785091611761
ENSGALG00000000235	8.50535568678407	9.33486912034601	8.21171250458437	8.16647010593567	7.42078611927613	6.86899390385779
ENSGALG00000000239	0.987536257072297	0.52081109874993	0.794239107009899	0.798702849855689	1.7972989431596	6.13623772936766
ENSGALG00000000241	8.1019405182296	5.62705776625168	6.19120496968639	8.15022488934664	3.71581586298851	4.6695744605034
ENSGALG00000000242	0.984076204444966	5.64103056776026	1.66189571433505	1.08269105530853	3.30554418764483	5.86264128111446
ENSGALG00000000243	4.41858247117257	6.60400282078373	5.94501709783826	6.18369070436245	5.67827906267899	6.749689127709
ENSGALG00000000244	8.6546911925709	8.23313188101119	3.65730302296501	3.25771923137339	4.71382728140328	7.0256303666676
ENSGALG00000000247	6.01835628243854	7.04933414116417	6.56873120958801	6.66674468948239	4.81372996350258	6.38190671849984
ENSGALG00000000249	2.60590314199849	3.85472297544938	4.79182397961151	4.13125373329455	3.61255132920576	4.43076491228173
ENSGALG00000000251	2.86983404406254	3.7081958221762	3.73822732025434	3.60213232183053	2.55298743912014	3.17843283204274
ENSGALG00000000253	6.54910696290387	7.44626593107712	6.68080284710714	7.08277885331919	4.69633480514192	6.45303510114525
ENSGALG00000000255	4.94602421898345	5.46409056827775	6.72715591864601	7.92429162266437	4.23518984509022	4.8780994301129
ENSGALG00000000259	8.21263215812576	8.68177163177582	7.63685013265963	8.04170703856088	6.55853187351411	7.92171849259699
ENSGALG00000000264	6.95912788613025	6.81458913985978	6.82335807611703	6.27583841838391	5.34879538990134	7.94995220436105
ENSGALG00000000273	5.12536468598681	6.08518118326159	6.47919622581403	5.56434412988422	3.91846251237497	4.85592103204059
ENSGALG00000000274	2.97986552769933	0.155525135547017	0.117667234658058	0.767419210701124	0.13521920465234	1.79028367120923
ENSGALG00000000275	5.90561705059971	7.44678572430057	6.94807275516153	6.87098991818953	5.91989077358868	7.21730221808253
