brain	heart	kidney	liver	ovary	testis
ENSONIG00000000001	6.73070776829895	8.95147449557459	7.13185338107557	5.95419777101812	8.34233706601728	7.93460841759604
ENSONIG00000000002	9.05211367618195	10.7333708416337	9.04612996690549	6.93243910381814	9.20648056080725	9.36564584108578
ENSONIG00000000003	11.100945735045	6.92201078626509	2.13798991837275	1.18533337030058	2.22062212378343	5.40538929951794
ENSONIG00000000004	5.61217795195495	7.10891059357826	4.39435515124694	5.36699640880826	6.70771782626167	5.81529526807244
ENSONIG00000000005	6.7252838464752	7.26121740847734	6.27881748707377	4.25116188934911	6.46023757360155	7.52011353034973
ENSONIG00000000006	13.7940750170733	16.4966427407	16.7157317535806	12.8661517684387	13.2699763326537	13.4564942695946
ENSONIG00000000007	0.287717881033743	0	0	0.309908823080872	1.03692767902482	3.10001167376978
ENSONIG00000000008	0.27674591855889	11.0570972996872	0	0.341121344026893	0.87571357342169	3.41238092857296
ENSONIG00000000009	6.39846106860577	4.8967814405298	5.34351626594953	4.72275283181742	4.96306099639886	5.62046326077961
ENSONIG00000000010	6.82729859711016	8.37452010500705	10.2903206382433	5.79862954230141	6.59536950216244	6.84248519811521
ENSONIG00000000011	7.06720096266858	6.9735918329112	7.74778554642437	7.03087515589573	9.8917723985832	7.21032698523145
ENSONIG00000000012	5.60929732049416	5.53020556881562	4.67868785482607	4.30906290250693	7.67955422499652	6.26621697078376
ENSONIG00000000013	6.0120709990779	8.01672240763361	8.55139886580409	6.92213287211911	6.87139183132004	6.93428972759586
ENSONIG00000000014	6.4986590690677	8.70776010619405	7.51841143718615	5.14504703362916	7.94898560326757	7.3568678372556
ENSONIG00000000015	7.04221565854108	6.01913089051434	6.06462991561589	4.48406598911566	8.19631130136893	7.97362524082956
ENSONIG00000000016	0.388323389459476	0	0	0.0525226996158409	0	3.05542490524059
ENSONIG00000000017	4.98828276264435	0.927867557104432	0.197037598426977	0.166466329006433	0.682409397566228	2.52668493805397
ENSONIG00000000018	1.34169617356785	2.75123086131983	1.4279770586525	0.175429574548324	8.77190953847435	4.12570036543929
ENSONIG00000000019	7.33888815018648	7.2523120014565	7.80644999836699	5.46220163596118	7.87336324075399	8.66387129285394
ENSONIG00000000020	2.75463018248864	6.17884099019201	3.29765208058927	2.19235711672756	5.09939118971647	3.13242923171254
ENSONIG00000000021	12.5014574171443	10.5748084260805	11.097757697194	7.41753239323005	10.5065127060074	8.594891225185
ENSONIG00000000022	0.736520533773653	0	0.43959785344529	1.13887139372437	2.14989738711489	4.59120875565074
ENSONIG00000000023	1.0187313310793	0	0.199867544688096	0.488663000490026	0.460255575168883	3.49255027060304
ENSONIG00000000024	0.44076128188554	0	0	0.766370837651998	1.33003822296965	4.3028836997532
ENSONIG00000000025	1.0760344322715	0	2.99013617629863	3.73015711953904	0.548462424200625	3.69517134086806
ENSONIG00000000026	0	0	0.210888012863578	1.32278418006702	1.23680093139457	2.20997250706447
ENSONIG00000000027	0.38024660568201	1.92544366736521	4.05794935801491	0.559965402227694	0.6102585550567	1.95058882550279
ENSONIG00000000028	5.38265815044093	4.38781875482109	5.69368849087144	3.75156849330575	3.70316905473854	4.21194491500649
ENSONIG00000000029	9.88167133057413	11.0291116775814	10.985844665242	8.49014974738473	8.88934589145891	8.57784050108248
ENSONIG00000000030	1.73300953811263	4.78453018878428	4.23440405132754	1.1595126321508	2.67175258255975	2.37265096537451
ENSONIG00000000031	2.77745309071183	4.336735181293	6.85799161083457	1.25441701393143	0	3.40970346027952
ENSONIG00000000032	5.02026812470098	6.22241973337442	5.76959772692778	2.34027766086353	8.78646916502392	5.40941307137929
ENSONIG00000000033	7.43875619177188	7.80598377055008	7.41765836164507	5.42155246381242	7.6829841824257	7.34072752210938
ENSONIG00000000034	0.720827416576717	9.12379950999973	2.0075902967029	0.567689909591161	1.86119586146426	4.61744595401133
ENSONIG00000000035	5.4982589321439	5.56900460231957	5.69997242122893	3.82002059538616	8.25711296195385	6.53597741388971
ENSONIG00000000036	7.58287857900467	7.32843610612801	7.68028814221376	6.20986542907275	6.85316088575621	6.54003464614916
ENSONIG00000000037	1.2958425503338	0	1.15891443483135	0.565917586307155	5.62117222603738	3.81650875416992
ENSONIG00000000038	8.48580217543461	8.0095483798407	5.76077683733804	3.59710236823523	4.66404957869938	6.68834710575881
ENSONIG00000000039	4.15044691541616	4.95085702018682	4.66516800484207	3.2938381717419	5.97414993393123	5.53999112782576
ENSONIG00000000040	6.02109180673157	6.87599913159494	7.31010616741694	4.94201115338779	3.73518874356991	8.45011302315284
ENSONIG00000000041	1.57241643232884	0	1.78075792127988	0.348078458605141	5.97512164149881	3.37706844387487
ENSONIG00000000042	7.09343172007583	8.90948113432775	8.71103664939138	7.21994315506576	9.55343634548796	7.74463822927723
ENSONIG00000000043	3.48746253875253	3.03242349071263	2.30185914889857	2.10462009846309	2.70032776171039	4.62049793623481
ENSONIG00000000044	5.82859758666995	0	0	8.97864702717807	6.33423062430392	9.11384006079473
ENSONIG00000000045	0.894500450000191	1.7456990830446	1.69380471009678	4.93446351692989	1.37781512154628	3.43401172703038
ENSONIG00000000046	6.34315330837337	3.70374826419111	0.127547093910277	0.663606849158961	1.68567496864546	6.41606651869246
ENSONIG00000000047	9.09747074590849	11.5881973176457	11.6019699282032	9.15318302062433	9.53331189058337	8.81075491500325
ENSONIG00000000048	7.72329001010096	8.23029851817162	7.09772638373568	7.47164336635401	6.96826706759064	7.00945432976275
ENSONIG00000000049	8.20023268435142	8.19892720472473	7.75585594645008	6.89464409133254	7.47678299606816	7.07471257510546
ENSONIG00000000050	6.4461647150664	4.73687095922153	7.0918507443446	3.4231055652888	6.46021298438204	6.51330095262924
