brain	heart	kidney	liver	ovary	testis
ENSOANG00000000110	8.36998067304057	8.80103693163583	8.34224547618179	8.50582259351617	8.4604781036314	7.64995317598956
ENSOANG00000000111	2.17077053530155	4.3340583722395	1.70616205896606	0.265676051247735	3.71847870063058	2.41299897610282
ENSOANG00000000112	6.09286410001933	8.04408346193257	6.19143365799554	7.6440098479312	7.1031136886771	6.56025789723178
ENSOANG00000000113	5.78397315961046	9.49993906934778	8.04147145594311	4.28830613960158	12.0875986675532	3.33453372562693
ENSOANG00000000114	0.615310881769456	2.89524886835089	1.08182368631976	0.12118072207081	1.98109307971994	0.405148710395215
ENSOANG00000000118	0	0.109588715916421	0.0810496026994656	0	0.137971444787456	3.32288362655679
ENSOANG00000000123	0.0957918696674101	0	0	0.30085649610153	0.618340751762553	0.12356646812549
ENSOANG00000000124	3.70834147960696	4.45101405667824	4.0331666182532	5.76165224634954	7.61054124456769	2.89195297142799
ENSOANG00000000125	4.30591097792039	3.88840919025586	7.88094031204534	4.09191248010255	5.36010640293968	6.86280754886057
ENSOANG00000000126	7.428700643612	6.59897192731154	6.73442380496307	5.66063911782637	7.92101908737478	6.05855647522757
ENSOANG00000000127	11.9652921942912	10.7919749252144	11.1009749381384	10.176214448875	11.211855516748	10.8065421253394
ENSOANG00000000128	0	0	0	0	0	3.83095675231058
ENSOANG00000000129	5.07974733139992	6.05919662536626	5.33377557330675	2.8591560887646	7.86693145227573	3.02906918292491
ENSOANG00000000130	8.17427781636786	8.03679719210877	7.63504173646809	8.10385519518316	8.02331681679446	7.10175522001955
ENSOANG00000000131	4.89208377442223	3.91370571738444	4.82029457751677	4.84743794702931	4.22183856029079	4.78378080528779
ENSOANG00000000132	8.39134298367653	8.90724133700322	8.67211705597659	9.64597924487901	8.0385749966653	8.33201769355895
ENSOANG00000000133	0	0	0	0	0	1.11534940750714
ENSOANG00000000134	5.60766730983557	6.79943903269408	7.00501843503901	4.60151433406747	6.90813790808038	4.42979890266745
ENSOANG00000000135	3.24602500407847	5.09116858806813	4.60954142242213	4.58071983819416	6.52160851111865	7.27240175623331
ENSOANG00000000137	7.74486933458078	7.73123921924483	5.97376772046477	3.51348731265717	6.87671117849135	3.18663065824255
ENSOANG00000000138	1.20398414261435	1.03028779325573	2.02711269612961	0.425612011749008	5.23006078702145	4.77346878153687
ENSOANG00000000139	2.35034588482771	3.45368755820209	3.43533406083702	4.49267227076489	9.31242188556329	2.48037551523848
ENSOANG00000000140	4.04643957689376	6.97487303453591	5.69844117662871	5.51597590270026	6.5488369380997	8.13009636475259
ENSOANG00000000141	5.29242099648083	5.51721209068558	5.3485279265752	4.93348111373557	4.86156697438809	4.36709992663878
ENSOANG00000000142	4.66046781456059	4.64534422573395	5.28926727392738	5.51495357437921	4.49989387586986	4.45217877948414
ENSOANG00000000143	9.00920897182927	9.26260419648396	7.50584578153589	7.88543869791708	8.1637724993177	6.54258933668529
ENSOANG00000000144	4.81192701124211	6.82582519484841	4.73526017058538	5.02734153131381	6.44470292415978	4.42045383252983
ENSOANG00000000145	2.87116017074883	3.95872759050912	2.64935561705782	1.49696874164773	5.03787430215221	2.03435097329532
ENSOANG00000000146	2.45991270685423	4.06410613185309	3.49989751944544	1.01925192028731	5.4473749710715	2.15929181686796
ENSOANG00000000147	3.88366464227646	4.14322515414235	5.05465775950363	3.41642219970611	6.44835762257806	2.26503697362965
ENSOANG00000000148	7.70661637182597	8.33109130579707	7.93868357758583	8.0005262646851	8.34003182447803	6.68015321617102
ENSOANG00000000149	0.574320793050604	1.09129710470054	0.845007435605643	0.239891252534331	2.93107192975015	1.27659949382418
ENSOANG00000000150	7.41100609538291	7.16588771753803	7.57392221924336	8.1593218979769	6.66943073369197	5.02646824636845
ENSOANG00000000151	0	0.118640823570716	0.0875347486409303	0.166843661648768	0.26315769883542	1.06141302409472
ENSOANG00000000152	0	0	0	0	0	0.914630340978307
ENSOANG00000000153	7.15037986453902	7.62884281894481	7.02952119623432	7.34499330721401	7.69012052739512	6.87343399394346
ENSOANG00000000154	3.59494460356708	4.73887795242358	4.30889773742802	4.86057499676915	5.57766113351651	3.47290632746387
ENSOANG00000000157	0.895792626750948	0	0	0	0	0
ENSOANG00000000158	3.7088023692669	6.28999903824448	4.97638970424849	5.97763670678628	3.25727205247859	1.81749955997932
ENSOANG00000000159	2.13136050812392	4.16114685129672	2.86886408046859	0	0.536000663786625	3.25006298756033
ENSOANG00000000160	1.16363173433936	0	0.515356500020176	0.663680749025415	3.82358542876461	2.20146372018087
ENSOANG00000000162	1.65147767226673	0	0.353722521127841	0	1.65074473453915	3.64538740478992
ENSOANG00000000163	4.10269728578062	2.97950851186388	3.25432272706588	1.2703245669353	3.67993759367551	5.38020886156718
ENSOANG00000000164	2.10062557314075	1.02274148136155	2.13012303249239	0	0	1.375440199073
ENSOANG00000000166	0.253293982223086	0.300969477612033	0	0.402593884767212	1.782580718615	0
ENSOANG00000000167	0.382334527983514	0.910118422144151	0	0	1.10486018932125	0
ENSOANG00000000168	0.26906647502443	0	0.47940154267163	1.0896937741385	0.0179066543278748	0.66128074051743
ENSOANG00000000169	0	0	0	1.11036532537587	0	0
ENSOANG00000000170	0.639499070696211	0	0	1.04903187616245	0	0
ENSOANG00000000171	0	0.239944317957514	0.226872800156933	0.930227981746038	0.727353282592422	0.34275499260399
ENSOANG00000000172	0.468726286667639	0.530626302953851	0.61770624500353	2.6740036596421e-08	3.13554473280137	2.37780193882904
ENSOANG00000000173	0.665845274891236	1.87611034511026	1.52300006607406	2.51237939310847	5.89953571345835	5.33693119204391
