brain	heart	kidney	liver	ovary	testis
ENSOCUG00000000001	0.565210786937957	1.79245325876336	13.0658193368442	8.22744367649715	1.19777902987766	2.77761936889423
ENSOCUG00000000003	6.13944352800087	3.4956117862937	4.6430876762267	9.16295232426445	0	4.94659234449173
ENSOCUG00000000004	6.9692612027474	7.82871366371953	5.95356738271468	5.84340738323026	6.69642851059278	6.06621685151904
ENSOCUG00000000005	7.10358799235662	7.10335842852393	7.27245182908962	7.07023565404951	7.3798574797166	8.54084468470066
ENSOCUG00000000006	7.36803588212003	8.43962654137014	8.36860686932027	7.15513519367785	7.3168270137219	6.56361059729429
ENSOCUG00000000007	6.72418350161546	8.03570387952467	5.50030796836588	4.84746381908234	10.1684636146028	7.88147207330787
ENSOCUG00000000008	1.57494179220117	2.15676210088277	1.88879977236135	0.481757479657399	2.67285458519223	11.7586591255049
ENSOCUG00000000009	11.3401131739851	10.878918665298	11.623052768188	11.1504671424577	12.8775076807815	9.6171726564216
ENSOCUG00000000010	6.58911959139745	5.89825638145456	6.9098489425061	7.66918367152544	6.453470692787	6.2697504121137
ENSOCUG00000000012	8.46211760371764	12.2470467213821	9.98724226411643	9.71301515688756	10.2268070473238	5.87560324245508
ENSOCUG00000000013	5.99240338915592	4.2488162396349	5.30765556241494	6.61589619090333	7.51478767379314	8.41709064995463
ENSOCUG00000000014	13.3891797584472	13.1598879065823	15.4039698893091	16.5324000483496	17.8054614568637	13.8835807273136
ENSOCUG00000000015	7.22014278456909	9.72779211899047	7.36219896194029	5.79198902571932	7.38438221170287	7.32658949085574
ENSOCUG00000000016	4.00057007757184	4.88767339439532	4.30958995527242	4.43792256812669	3.36164530053497	9.16215387193645
ENSOCUG00000000017	7.1496821175208	6.568995805471	5.04497880420859	3.64925991858156	6.04045374219794	9.76782555300505
ENSOCUG00000000018	9.62276382778784	11.0190069775839	9.94136677676183	10.2145260249895	10.5703971668428	9.11529143810503
ENSOCUG00000000020	6.48626488485697	6.14660714854958	6.37332243242674	6.56301690709099	6.1106848911653	6.31725542100291
ENSOCUG00000000021	9.23421368460153	8.4499517823736	7.75485958532441	7.27137076479372	8.41082290291455	7.63504079555876
ENSOCUG00000000022	7.3369889332694	8.05632219528247	7.57877309967952	7.47615926065121	7.27624335512927	8.27618636753281
ENSOCUG00000000023	6.49943563579734	10.9648771432627	7.79495550882306	8.57084793775009	5.88686224745762	5.67603738584042
ENSOCUG00000000024	6.04114421175375	5.7881865501614	5.21437796514501	5.39694357512302	5.4643491772304	6.24646767238077
ENSOCUG00000000025	2.8702690892179	4.88832582575739	7.1110217341468	7.44141393305293	7.32882874864777	5.46956957445834
ENSOCUG00000000026	1.62001973997316	0.219138247355576	1.86502628439898	5.00168071327927	4.25809324378237	6.14704960438793
ENSOCUG00000000028	5.95768114543065	5.6548455725557	8.95472422937362	5.29392418563525	8.12289151674372	5.84355679000622
ENSOCUG00000000030	7.11292654470889	8.14035495204018	7.96000730350509	7.77576791137644	7.61527133679302	5.91143977972909
ENSOCUG00000000031	3.89570299444354	1.35751594639841	0.860310400257327	2.95604990073998	4.86221783405802	9.15822495316358
ENSOCUG00000000032	5.25815443218818	6.03531108578319	6.62676866610092	7.0739427449937	5.91413535996617	5.11044753603579
ENSOCUG00000000034	6.04133882886114	6.32240843443665	5.91899034273382	6.56839449650907	6.59530087110927	5.73560467538287
ENSOCUG00000000036	1.15825265738791	0.270081419239912	0	0	0	0
ENSOCUG00000000038	6.3703684404398	6.4917294310519	7.00012508890831	6.16057429796852	4.93209220507555	5.54255468371134
ENSOCUG00000000040	7.65207677187499	8.35296631315737	7.29381515500483	7.40668469700073	8.36329172045466	9.40572544573505
ENSOCUG00000000041	0	10.0831968654838	0.12205730777089	0.103258108657722	0	0.653688087108398
ENSOCUG00000000044	0.49279558269316	1.14225022578427	0.612857602411542	0.465427772086441	3.18836468525303	9.73024396603393
ENSOCUG00000000045	3.46722150966077	1.74672619180216	2.22781305212058	3.28629376048186	1.72322763338943	0.815638696806818
ENSOCUG00000000046	0.313016858233945	0	0	0	0	0
ENSOCUG00000000049	4.13648276482956	2.10227302668345	1.5979273294019	9.34587597159483	6.26433915432778	1.16547675402816
ENSOCUG00000000051	6.32093528844632	5.9001719563254	7.50476297357918	5.98019398327807	5.05407744590278	5.45737633630448
ENSOCUG00000000052	0	0	0	0.0327398682494693	0	2.30005761322269
ENSOCUG00000000054	1.0184257147546	0.230714344540124	0	0.124960343308529	4.25755255494012	0
