brain	heart	kidney	liver	ovary	testis
ENSORLG00000000001	7.90885771817367	9.74741575440353	8.15654089213931	8.26313413083353	6.46313759090779	7.7911198803759
ENSORLG00000000002	8.63314126083651	7.3015952844666	7.65778692372308	6.12690265834121	6.96629694720599	7.68884537153586
ENSORLG00000000003	8.98442031163748	3.83855981574882	2.40395337590807	1.00366856045317	1.65396541043115	2.97174057634186
ENSORLG00000000004	1.7184184357291	2.17319339163735	2.16395809659288	0.505350449121435	0.934593504535447	2.87748160555942
ENSORLG00000000005	7.13396573291947	6.81916735536097	7.55858805356311	8.20394496713269	8.27695995777075	8.12551367135999
ENSORLG00000000006	7.24824003899922	6.0783756047755	6.89598829258785	7.21528620443183	8.19083500302126	6.65720241468992
ENSORLG00000000007	7.74532816595144	6.59932612142556	6.39823170186561	5.7734938070403	7.97488359002599	6.66122829218674
ENSORLG00000000008	7.04600708121344	7.16291184706939	7.21259709136506	8.13758111150288	8.54413809744189	8.91826084664201
ENSORLG00000000009	3.0009332202933	8.44616848815783	4.367958480112	9.66309102007534	4.11397635044429	3.59358884732008
ENSORLG00000000010	6.7344959690899	7.32779405238663	7.34463576876671	10.8280824397124	6.66705325205708	8.36703345056243
ENSORLG00000000011	0.812603734603951	0.0748884099889292	3.07515584943432	0.240999052743471	1.26102665498782	3.56500548073221
ENSORLG00000000012	1.12243418438865	0.88988045318645	1.53118587721142	5.36733990181256	6.01609014761502	4.13077672755056
ENSORLG00000000013	9.30365326238593	7.79078360295686	6.37348380458915	7.40279953240772	7.06665806558417	8.07658763798364
ENSORLG00000000014	10.7716152343106	13.0666669221044	12.5690474459008	11.6189311028198	7.23616128826386	10.167549741541
ENSORLG00000000016	1.44796489442799	2.65544630343424	3.27973697748374	1.65069719336129	1.92019677207528	2.25981695280079
ENSORLG00000000017	3.41849459098322	3.59527480856896	0.910295836231205	4.2691756476825	1.05408243008844	3.81250158957357
ENSORLG00000000018	0	0	0	0.205667616063643	1.05123372167728	1.73063519542129
ENSORLG00000000019	1.35135992412857	1.28170045282252	0	2.94485194155431	1.26939645999563	0.918649229457567
ENSORLG00000000020	0.117699927861541	0.589638532554936	1.94357815039129	1.30702033798627	3.10929657316703	1.38795877334398
ENSORLG00000000021	2.5072337075568	4.30735036105291	5.25806695423877	1.5458268885007	2.02108961512878	2.70393756073164
