brain	heart	kidney	liver	ovary	testis
ENSOARG00000000006	17.1266445612366	17.4787846693486	16.5386470370821	15.6936778648835	15.7032124486268	11.602695781322
ENSOARG00000000010	12.5429564057209	13.6581808233726	12.6971834745717	9.79014789796333	11.9623855420336	6.58368021506302
ENSOARG00000000016	15.5594291770905	16.7411611440729	16.1005459505465	15.0427555171838	14.2687203724362	12.6060611953553
ENSOARG00000000019	13.2826480124675	13.699440678807	13.3221033265917	10.9977964983512	11.3073849217693	8.38579760791212
ENSOARG00000000021	13.3360014918125	14.3739435922202	16.540620863725	11.2308815404307	12.7461393963002	7.47740271972324
ENSOARG00000000022	13.4097777250221	15.2733202770225	13.9609523353084	11.4521925588732	12.4235990208471	7.58701413368096
ENSOARG00000000023	12.6064151599306	14.5561878716348	11.9707570476141	10.7904771384545	11.2217442573009	7.74775099749467
ENSOARG00000000025	12.4240891002244	13.4352754185736	12.5375472135781	10.1138679190298	11.0235969114641	7.42700763518321
ENSOARG00000000027	17.2859529228494	17.7464327481021	12.7156958922219	16.1710891485482	15.8413763667898	12.2885968380897
ENSOARG00000000028	17.4373604861173	18.0761648557958	16.406027269241	16.4320903872006	16.2022940754563	13.5778149682627
ENSOARG00000000032	15.6549469216699	16.7869888199386	15.2139692312377	14.0734088242403	15.5428317671093	11.3809749742278
ENSOARG00000000033	16.8659946099453	17.2514867764843	16.6991299957834	14.6621371817737	16.045824511191	10.3114669780303
ENSOARG00000000035	17.7449908265133	18.4149430769713	17.0017621697884	16.1173263430254	16.2685358501607	12.4146514808251
ENSOARG00000000038	8.78452253403714	9.75309264321008	9.14402232161818	8.29589155701467	8.31218003480382	9.17611264092336
ENSOARG00000000039	0	0	0	0	0.231871092752629	0
ENSOARG00000000040	8.32986287106742	8.16393289010809	8.69628235210615	7.69017581243363	9.53224277322417	8.28302460340148
ENSOARG00000000041	2.5740301350491	0.228709730564765	0	0.68480785450932	0.621607402644518	3.32378606201621
ENSOARG00000000042	7.13617856632753	5.01393420662138	3.8643981811551	14.3175407397127	3.99098798050915	6.09829719167472
ENSOARG00000000043	8.30357216537383	6.89210574782439	8.16673705317651	5.99257584157288	7.83268689698505	7.64783646800135
ENSOARG00000000044	0	0	0.903096638249601	0.379367629132244	0.783805634383966	3.88887634721353
ENSOARG00000000045	0	0	0	0	0.235155042907303	0.0517943641762714
ENSOARG00000000046	0.832869111234805	0.0612552153958661	7.55648765019578	0	0.353748333495482	2.47896525510439
ENSOARG00000000047	0	0.320279236444091	0.265297237078221	0.164650557741667	1.12804116145968	2.24466134606714
ENSOARG00000000048	7.08379044790128	8.29805524922953	8.30424585238891	6.41663772234377	7.99024042156804	6.10764800910961
ENSOARG00000000049	0.658067458732965	0	0.321953498899452	0.913397960853413	0.68688559645949	2.67345907821373
ENSOARG00000000050	0	0	0	0	0.247512165062476	0.0723099515253652
ENSOARG00000000051	0	0	0	0	0.458557044582458	0
ENSOARG00000000052	4.2074107603496	3.49531755784183	3.31592235511391	3.46016595264965	4.59996112282818	5.74283521477642
ENSOARG00000000053	0	0.575777780122103	9.91339280490283	9.91912797066781	0.375463756428845	0.657704831826763
ENSOARG00000000054	0	0.470975666819908	0	0.693581360837355	1.05056226898823	0.720707793529105
ENSOARG00000000055	0	0	0.243520173745644	0.191185095315796	0.464630977797436	1.80958370653943
ENSOARG00000000056	6.50373042149888	7.55504963291408	10.8126265986081	8.23788132089995	6.73131494424171	10.7662399456665
ENSOARG00000000057	8.38340214592579	3.71209927602016	3.9905106440862	5.24202801908143	6.38723743385769	5.64642478909289
ENSOARG00000000058	7.1422083878219	6.42389750256018	9.70851020333997	6.57528978388103	6.67033921483203	4.77165036085554
ENSOARG00000000059	0.958966118364555	0	0	0	0.535198349062102	1.95178886697047
ENSOARG00000000060	0	0.183489508750395	0	0.000734087158722773	0.516673344260723	0.244497358337255
ENSOARG00000000061	0	0	0	0	0.224932091171035	0.169279466024306
ENSOARG00000000062	0	0	0	0	0.193985019616063	0.16987047556863
ENSOARG00000000063	0	2.33102911012414	0.7683132897694	1.77080497133126	2.49927245872773	1.47213694043428
ENSOARG00000000064	1.72260644493281	1.61627994785338	1.04025358696665	3.43661647786655	0.795073639011033	3.64423880435939
ENSOARG00000000065	5.39517290783902	7.0863846749448	6.76195534812197	5.84008773027097	6.52903452482825	10.2452814419316
ENSOARG00000000066	3.69382870801123	4.94754062397568	7.01124287359329	4.50543869876983	4.70074171541109	3.1422739876614
ENSOARG00000000067	9.74694516657555	10.0414671489875	10.2602167396341	9.09080073611281	9.96661247468284	7.38575695793881
ENSOARG00000000068	6.74095565452012	4.43210375179665	4.09150752170729	5.30466556441045	4.77790735690208	5.6348390166285
ENSOARG00000000069	3.96309558997082	4.2013991204594	4.74873511009852	1.61427094869495	3.49233752201599	1.65873250739279
ENSOARG00000000070	1.41798801388944	1.88648479421836	1.21067389910814	2.45631574816502	2.30892320010083	1.3955036579855
ENSOARG00000000071	0	0	0	0.391784008150199	2.58814780011904	3.26523668830955
ENSOARG00000000072	2.93173642260995	1.72170501481927	1.43860154732542	0.743732308664977	3.80216163649545	6.07896790599326
ENSOARG00000000073	1.37390503783856	2.00386922725688	3.26778022312451	1.94957154714578	3.60609104546006	1.86713737926511
ENSOARG00000000074	0	0	1.08296374350327	0	0.219367515912001	1.13602422800583
ENSOARG00000000075	0	0	1.14228838449264	1.38329286691942	0.251653864551527	6.77219004670143
ENSOARG00000000076	0	0	0	0.782794962673034	0.210993210179131	4.05246679440668
ENSOARG00000000077	8.04682763278019	9.26719092771833	9.45398287982282	8.76293793124745	7.78587274324909	7.42032421018028
ENSOARG00000000078	6.5537289406752	5.90610261157581	5.77172727033995	2.87864699389371	6.88422937775988	6.5375818461897
