brain	heart	kidney	liver	ovary	testis
ENSRNOG00000000001	2.57328211606675	3.15836193224161	1.68208152880101	0.907002220825258	2.45785858110527	0.982774448794217
ENSRNOG00000000007	9.70318030832365	2.66541308370472	0.785917584516448	1.80100295229724	4.43071154648055	3.4038105465024
ENSRNOG00000000008	2.65088619659917	1.48668590365155	0.97309179243103	0.37720130556953	0.948119573363858	1.02337564404062
ENSRNOG00000000009	0.386014015339994	0.219611444231506	0.105371617380353	0.204733531602238	0	4.87723913119846
ENSRNOG00000000010	8.05860793604075	0.594801576788413	0.184762417467879	0.520966543209565	5.83296057231229	2.11692286121232
ENSRNOG00000000012	3.19061098957559	6.5568556700727	2.4498657143994	1.10017433006944	2.73113480446531	2.5018714748236
ENSRNOG00000000017	2.69931625800318	0.5700827850804	5.74560465231313	1.4627035610189	5.04499405750137	4.10607922389634
ENSRNOG00000000021	6.47427287729471	6.28926619368539	6.16769438468133	5.4183639638359	6.55016722663521	6.68017775311576
ENSRNOG00000000024	6.08827949880532	5.52342497463015	4.8215041287879	8.80966417743095	6.68768995325355	3.79582818728776
ENSRNOG00000000033	8.46024591623169	6.42811145238615	3.68174028581877	4.27319706183552	4.73142242682011	3.42287566784306
ENSRNOG00000000034	3.88049169604379	4.34670518015548	8.24705702707863	6.05124423768947	6.08472813832818	5.74680410360636
ENSRNOG00000000035	0.63873534509686	0.109951107369871	0.443512805798688	2.69241072676883	1.72902797024735	2.27871809715362
ENSRNOG00000000036	5.12870358384212	1.99908024358459	5.7265433689608	3.69533399634717	9.69731795557913	3.62415118311005
ENSRNOG00000000040	4.88199675661113	5.6043734472451	6.57111829176103	2.56953016767869	5.4999626397744	4.31507935847441
ENSRNOG00000000041	4.70807734945834	4.8341750918788	7.91179553703597	9.3041279308721	3.5308934727061	3.52329914345149
ENSRNOG00000000042	7.86210384643553	6.85965965632517	7.55755944207573	6.45538549253971	6.2032085194934	7.38332153286577
ENSRNOG00000000043	6.63826960998112	7.14541099384332	7.03551850609523	6.85167285859696	9.19355904029538	6.12379392091613
ENSRNOG00000000044	7.33602741727183	6.84319830093807	6.38876702420801	5.97491474803264	7.24540085053814	8.33074173994519
ENSRNOG00000000047	7.04816199825895	6.56574933591384	8.62287010865914	8.59871847277367	8.67208480627998	6.6724588941487
ENSRNOG00000000048	7.85291182369683	6.96402005741525	7.71945517485771	7.94675826030361	8.18492367971347	7.39249497456717
ENSRNOG00000000053	5.50054592286511	5.11265640289573	4.67608082936316	14.9538735129736	6.04292661911166	4.78011196435613
ENSRNOG00000000054	9.40084953437504	5.78405052462722	5.80631022234629	4.27752175348206	7.23322053943152	8.75046767591484
ENSRNOG00000000055	0.314836519048844	1.74793717667508	0.34344428348015	0.594708694475504	0.671351436604356	1.02579283654009
ENSRNOG00000000060	10.4804612222576	2.62882595711895	1.39192989024946	1.47788664504614	2.56305300591638	2.93846336550123
ENSRNOG00000000062	7.19040950987629	6.61767468752234	6.41961806549949	5.97948752990428	7.0827691467501	5.75184961145256
ENSRNOG00000000064	12.3069186748446	14.3921349047827	12.3990640563673	12.6666316060505	11.9034016814477	11.0177380948744
ENSRNOG00000000065	0.85578753248592	0.758842226135765	0.814190906516556	0.773804522429647	0.714935312057634	2.19778371050546
ENSRNOG00000000066	7.54928753037263	7.03325465662376	6.86389376993758	6.89739911549646	7.06090726634825	7.45702495742149
ENSRNOG00000000068	8.12584213255448	9.35706738748991	9.02201256391362	9.97137524522351	8.33198349326855	6.88146317535924
ENSRNOG00000000070	5.17621245842635	4.92544162180969	4.94076953795545	4.82178936359462	4.52621923775294	6.05441232747873
ENSRNOG00000000073	7.45226455597021	7.41573330456492	7.38819430734622	9.40601892706178	7.46003993248226	7.05951283663679
ENSRNOG00000000075	7.46325753123384	6.38384752030494	6.18635664735882	6.09783424874606	6.43881550251177	7.11912655207249
ENSRNOG00000000081	5.10905088779875	8.41972806396782	6.02058920207064	8.08550205897466	7.97863748978702	5.57578154286736
ENSRNOG00000000082	7.4768157751447	9.60556498101363	6.95549042986337	6.55297502054676	6.76336371364652	6.77229387632756
ENSRNOG00000000091	4.87504139078216	5.51378571797693	3.1183270199068	2.86800334919611	5.10889755625839	2.90296954022796
ENSRNOG00000000095	7.32641516805026	6.68639508781814	7.24466294411885	8.26238032850685	7.62037515631098	6.9684048372399
ENSRNOG00000000096	5.1086431428575	4.56120946646669	11.1047094668467	8.67543424790509	5.2266847024839	4.76607203892627
ENSRNOG00000000097	3.56280350013252	4.65031349887466	4.49081271659686	2.13334281133705	2.82369412253485	3.94401208414385
ENSRNOG00000000098	8.55384473299845	8.84084496118601	7.60204787589452	8.00770678480014	8.2576062679081	7.03979076320204
ENSRNOG00000000104	7.12045382013378	7.00556828751735	6.55540138861733	7.06451650425443	7.10549737564425	7.56327341304707
ENSRNOG00000000105	11.3865780066124	5.323685326437	5.65328317416155	4.26893089494603	5.85397876340181	3.96520906651161
ENSRNOG00000000108	7.68818275672016	7.8860861047028	8.68731221875404	8.88489982737971	9.2340657657052	6.8985185661748
ENSRNOG00000000109	0.871533758536545	0.070487990040606	0	0.160299855193437	0	0
ENSRNOG00000000111	7.52808314614878	6.13201130013176	7.31059623026834	4.99075645708752	7.23803333901931	7.27603313510112
ENSRNOG00000000112	6.29242468031472	5.88776074266672	5.94116623401411	5.82915995849886	6.5255082798091	5.65551253602219
ENSRNOG00000000113	5.99925343749919	4.93341756879406	4.63177220205225	5.07611243257333	5.1138415830265	4.14574126531386
ENSRNOG00000000121	4.63687729945708	5.4236134880387	5.12998519451555	4.94396889826249	5.87362707172501	5.67232617017062
ENSRNOG00000000122	6.49812823266	8.5344532069589	9.35023217257399	10.677649760158	8.74134056418202	7.52540284315889
ENSRNOG00000000123	6.9749865055918	6.20262139786371	5.66592166254323	5.50860861606389	6.67778652137544	8.97309954360261
ENSRNOG00000000124	0.130534030163627	0	0	0	0	0.897907418571077
ENSRNOG00000000127	8.54930912824872	8.3925798402048	8.09212443567282	8.32293457317148	7.51743550430788	9.05378620410442
ENSRNOG00000000129	8.18037104963379	5.0031540108298	1.20219165805526	0.46226242749994	3.13443807802108	2.71914438751204
ENSRNOG00000000130	7.54079409256878	7.18756248500408	5.23844500495871	5.61597254997274	6.04104757294628	5.42542757538843
ENSRNOG00000000133	8.75241622221319	8.18452062928284	8.13636513508569	8.80828028008794	8.96990114236889	7.48171244010535
ENSRNOG00000000137	3.43224017689649	4.1095877189744	4.22461243176291	5.34918133903917	5.57022889253851	4.60895274672744
ENSRNOG00000000138	2.45966358264211	1.77743250891568	4.73762106684179	0.661554781034403	1.40770843311779	2.47723227024853
ENSRNOG00000000142	7.59473763806482	6.91217708906113	7.73799761305567	3.87342488535145	8.34866315801847	5.36674254208478
ENSRNOG00000000145	8.1617635170897	6.80196688953021	6.77642077070613	4.26638625726005	6.31214242892128	7.30045609950045
ENSRNOG00000000150	7.20008884176571	6.74087037978238	6.90979410614637	7.58250155891175	7.55810293607268	6.99139137042677
ENSRNOG00000000151	6.27435819328233	6.8471268861003	6.72821834431714	6.91604075852025	6.66462219590293	4.36991574905534
ENSRNOG00000000155	7.64055858661304	7.42323958541046	6.98448142205159	7.30460282274793	6.8488153737052	7.20415915599226
ENSRNOG00000000156	3.25625490632455	4.08222406728705	2.38218508628647	3.32376305961476	4.91465485049372	2.73285355678831
ENSRNOG00000000157	8.45263972698453	7.91167065352568	7.63489679492623	8.07693892199175	7.98826691025398	7.46425354720065
ENSRNOG00000000158	8.36537479660232	6.33920791187752	8.69993067603986	13.1203254740239	7.28232953635989	6.36535397533725
ENSRNOG00000000161	7.60045654643817	6.93029941867969	7.04527758783759	6.86098778553423	6.08263191924837	5.39658393366101
ENSRNOG00000000164	9.37313474027947	9.73780568891162	10.3102418326628	11.5650693269067	10.2207421167194	8.80564564709811
ENSRNOG00000000165	1.70100568261968	3.51354990837626	3.02735364977996	7.96154743868692	4.25090886640423	2.10588228819972
ENSRNOG00000000166	5.44217774713672	5.08274686722016	5.01761374285009	5.43816789930414	6.10116583210189	4.08574513072003
ENSRNOG00000000167	6.23477607795241	8.70842018731563	5.76947323797927	7.06866425435286	5.50359102334316	6.69577060255668
ENSRNOG00000000168	8.81853500909788	6.51485802788676	12.0460918248151	6.71743775529066	7.51176732891489	8.10886186016328
ENSRNOG00000000169	4.27365377498944	5.07263743902982	4.26366016065074	4.18243937606833	5.22165549407484	4.33744415861177
ENSRNOG00000000170	7.9849228529112	6.82509240368392	7.19040356774551	7.14499945014539	6.61302806549349	7.95632652726678
ENSRNOG00000000172	5.3390920940445	6.78548173332639	6.5629665220666	7.99076774003855	6.89125673700633	8.90821311655083
ENSRNOG00000000175	5.42857933890674	4.77065351619212	4.52466578360753	3.96864763789138	7.19162126534686	5.54727604778979
ENSRNOG00000000177	4.70600209608563	2.94182508022404	7.15316971277465	6.79968965044714	6.49501900157192	2.93028537844663
ENSRNOG00000000184	1.5496868847813	1.44859119083778	1.74676809665955	10.4565928829237	4.39052972974637	2.20171442650701
ENSRNOG00000000185	6.65095643365311	8.50433838134791	9.01878115182498	9.58358247700393	8.70046496890519	5.9450735655464
ENSRNOG00000000186	8.33925221539916	7.80325381986396	10.2365845611695	11.7810512067036	10.7495532354442	8.35046431890582
ENSRNOG00000000187	1.87633692146175	4.02814650076571	8.14838862802111	4.21705697800168	4.21188479910438	2.65350460156665
ENSRNOG00000000190	6.98541172560722	6.8704065376253	7.04108135332751	6.50744709320025	6.15515447118974	7.00498764037093
ENSRNOG00000000195	3.21194312030308	5.22132776519522	5.29844610133596	5.90189123758075	5.00341663232551	4.19648841915277
ENSRNOG00000000196	3.54088445191819	3.0196122447689	2.93802164287572	3.09627287074001	7.19504879673552	3.00488831169608
ENSRNOG00000000199	0.0723751773291059	0.477313628204654	0.197955505946708	0.0668630019150939	5.26913631177593	4.03822034451049
ENSRNOG00000000201	3.7300973187287	4.51828280704425	11.4783594818731	12.8535876937226	9.1587537915521	7.65175738474545
ENSRNOG00000000204	8.42496995237235	8.41495196569306	8.04282242600016	8.4743908934906	8.633048666796	7.90309385574516
ENSRNOG00000000219	6.97257281962754	7.71637493311264	6.8502094582316	7.65584099060095	7.3940655067221	6.73551104727308
ENSRNOG00000000221	6.5665630720932	7.20851722559304	6.51907622643816	8.32990768469898	7.33001224662532	7.47588395990207
ENSRNOG00000000230	5.79877111134277	6.65870758567456	5.75497948443901	6.9446604341569	6.93691478652879	6.80322681745448
ENSRNOG00000000231	8.05938625898747	4.28954134113709	5.88357743140533	3.65910676496078	6.95172096093853	4.94271490562539
ENSRNOG00000000233	3.77102972911301	2.77547444405158	2.62071878364824	2.54022508326371	2.89795928793368	2.63072645041589
ENSRNOG00000000236	9.25089881560496	8.98952445963549	8.59455534604395	9.17022677614053	9.61153685386369	8.9401032960179
ENSRNOG00000000237	7.96878796009013	6.95336649991359	6.44815668846991	6.27687618119074	5.84160315450839	5.57184407630237
ENSRNOG00000000239	1.68044250766351	5.34524179107441	2.61699156194763	1.04127482801799	6.18497152581808	2.3540117293743
ENSRNOG00000000244	5.96326667875423	5.58750719480516	4.69202954022287	4.90440272802156	4.88707134354848	7.85236066887607
ENSRNOG00000000245	5.77499563954813	6.2555856731707	6.52007394346245	5.04284972234114	6.76761090626708	7.87271616849167
ENSRNOG00000000246	8.07898274293487	7.39522575875709	6.44436243539176	6.50475839998625	7.40563484813955	8.09162271443203
ENSRNOG00000000247	6.49497732085793	6.00011103944233	6.82465852002808	6.29911015982577	6.82074171207937	6.72935359728529
ENSRNOG00000000248	9.32894365963912	9.56563710779754	9.31199782291196	9.42600845024269	10.4595794149077	9.13841976521193
ENSRNOG00000000249	6.1779411362796	6.61193749684465	6.49548402571282	7.01219379574987	7.16618349779324	6.56087307378159
ENSRNOG00000000250	6.16488786933293	6.7877604157221	5.99783759858333	6.1640334408111	7.20202907869243	7.38150877045098
ENSRNOG00000000251	0.317890974174427	0.12450846295393	0.255226915883619	0.193651736008579	0.597907741825713	0.567026906192152
ENSRNOG00000000252	0.870420960194815	2.19579778640568	1.31849729778824	0.597564840158382	3.65145916060761	0.93838448179607
ENSRNOG00000000257	7.13348514785885	3.78835279401937	2.5690717214421	5.21781272161572	4.73099318408064	3.65980236978464
ENSRNOG00000000258	7.37764059535203	6.93930287603478	6.09883722349731	6.97389042888465	7.17377272558303	8.03937193614652
ENSRNOG00000000262	6.99892644931946	5.56486592475813	5.82481178346679	4.48745938114437	6.81626449526042	6.82647588892829
ENSRNOG00000000264	6.86685482797706	6.07905524815546	7.46543882894033	7.38616586136957	6.18918799240724	4.26771611357606
ENSRNOG00000000274	8.97331475016086	2.84420301389152	6.61046596259918	1.39798303594765	3.48569453228989	8.51363358687924
ENSRNOG00000000275	7.01147011889188	4.17267379322535	3.41359517578176	1.92925568852626	6.95360484837132	5.48675510609318
ENSRNOG00000000277	6.0714704041697	5.81167647491191	3.96501098154488	2.15087873816263	3.23213771881094	3.45136613491644
ENSRNOG00000000279	5.6770430743877	7.44081343312175	6.04546668421811	6.23667750218828	5.8377941461503	5.20552629138229
ENSRNOG00000000281	7.75816784213491	8.15353251065937	7.57831923215094	9.70599340604359	6.2895047028227	4.3808614813264
ENSRNOG00000000282	0.111419099315907	0	0	0.189336897851342	2.12083797864672	2.08221692700927
ENSRNOG00000000283	6.45387731486366	6.25657419781004	5.75779809570218	5.57838624124634	6.68761662486208	7.31308302810808
ENSRNOG00000000288	4.20285777980346	5.26691688561452	5.07710514872215	3.30790639223199	5.99123614435209	3.5433078608182
ENSRNOG00000000299	6.53046837930759	6.35477540706903	6.20486062730729	5.42936474716832	5.77827154644473	5.68568467067896
ENSRNOG00000000302	7.41453978176019	8.33252064306913	6.90281172389157	7.3231574041259	6.86966892006394	6.68449182466714
ENSRNOG00000000303	5.20262448869641	5.17829762285492	5.06941513879277	4.56764861951048	6.28787220067586	7.97759923838123
ENSRNOG00000000304	8.77975058462878	9.88796406966439	10.3543620312591	12.0076294220222	10.3824419019175	9.159062023074
ENSRNOG00000000306	5.26399603635479	6.0000958705895	6.32250260134324	6.05957048311757	6.61710191751978	6.94883915319738
ENSRNOG00000000307	4.12898775044413	5.60248516010775	4.06940797662935	3.08403175696116	5.24334398397609	4.36682626542265
ENSRNOG00000000308	5.34508990693828	5.06519459935573	4.99186980855611	5.25538821449053	5.49011045420247	5.3382176194723
ENSRNOG00000000312	7.0711026039283	6.07905523188537	6.31729998795722	6.40036206970141	6.69090426122399	5.7475189278779
ENSRNOG00000000314	7.77266546837909	7.56668157901701	7.74823325767818	8.82999590156145	8.20137930214183	7.39559088675832
ENSRNOG00000000316	6.23086333638722	4.5363141079477	0.993542365485466	1.06994089912159	4.00062296435164	4.00328385688844
ENSRNOG00000000320	0.139062620899872	0.320818151689678	1.13074685690388	0.348698486240542	0	0.396230001149951
ENSRNOG00000000321	4.51051375855711	1.62883290129952	6.84612298100385	1.68674492071043	4.01180707361865	2.60490669731102
ENSRNOG00000000322	7.41366086974227	7.37153189612319	7.57077640021104	7.96587155919823	8.41497508133903	6.84765784063251
ENSRNOG00000000323	1.96841159885849	4.17589325347854	3.56881056138079	2.78009649743686	3.4947818755782	1.97099939265581
ENSRNOG00000000327	8.13802325683735	6.40185759394793	5.92632804099134	6.40011541392369	6.0248063718129	6.55239672853874
ENSRNOG00000000335	0.974823958162255	0.92461488794332	0.551675113751492	0.989928900928739	0.913889750646183	0.859233353865906
ENSRNOG00000000340	9.56967546257604	10.1741807478174	9.86425018139699	10.3722156984335	10.6740089117393	10.2973282186824
ENSRNOG00000000341	5.11658291354647	6.34439945471789	7.46853144203743	4.53476706212394	7.37381470390109	6.21282604065205
ENSRNOG00000000345	1.39857055949679	1.52220254512892	1.86365590121765	1.13155284550457	1.01255920774472	3.07015569395804
ENSRNOG00000000368	8.68201087174278	3.9564109991283	5.47083495117742	1.12101991406743	4.46337794406799	2.10687083182404
ENSRNOG00000000373	5.37596968928613	8.1414260563686	4.62836437170855	2.13394656211877	4.20617772500231	7.4654057066908
ENSRNOG00000000376	0.778719171862772	1.04444857289438	0.633628660261693	1.43702979840924	0	0.702968490047375
ENSRNOG00000000378	6.75934347160776	7.45607599694707	5.55986704378958	5.9403215664146	6.37458176346979	5.97231098165937
ENSRNOG00000000383	1.4717554056171	7.83003583767463	2.00490560887762	1.22512886719889	0.813651802264611	2.95616455664909
ENSRNOG00000000384	2.4150189271511	0.0267210920303829	0	0	1.21761943517784	0.788111991379247
ENSRNOG00000000386	5.07215447739617	4.60665090218437	9.06770961515328	9.33929505853708	4.48346199083231	4.61942497352756
ENSRNOG00000000387	7.01860989034919	6.4985766020015	7.05845279829639	7.44584944548112	7.12968030331963	5.8174594936167
ENSRNOG00000000390	7.10664884847735	5.79312880033112	5.71428809920702	4.68805983014784	5.12704730605142	4.30305715009905
