brain	heart	kidney	liver	ovary	testis
ENSSSCG00000000002	1.97702099308763	5.60282801708543	2.5554969897041	2.98128891133346	4.42773744787733	4.18588247363659
ENSSSCG00000000003	5.04164983144933	5.56846275752172	6.4924002561957	7.78770783267243	5.43911827394587	4.69170929365407
ENSSSCG00000000005	6.84896893283139	6.97256889922574	6.43027102416326	6.62009758611076	6.58415302848256	5.86281035787867
ENSSSCG00000000006	4.44111249279957	5.90869591083137	8.02145980866001	7.53139793242917	4.59550554647453	4.00833993946203
ENSSSCG00000000007	6.56002894103295	6.5360687739861	6.25973704419638	7.26687824523997	5.9611559154015	5.20461217642149
ENSSSCG00000000010	5.77919410361431	9.37398291692594	7.693083779916	9.07605153960078	9.77057050134069	5.55822606982342
ENSSSCG00000000014	6.25906630372392	7.89342089794984	5.65915017771029	5.57993360852377	6.36045776930138	6.84705525203048
ENSSSCG00000000018	8.74743979637673	7.66324591444824	6.6667811984079	6.15575623738268	8.02321399448155	9.05396227740298
ENSSSCG00000000019	7.41887842498791	7.24741378344847	7.65945891285682	7.76086296719004	7.08467383528899	9.77657539199501
ENSSSCG00000000020	4.77049041716078	2.4812493549982	2.3475191296707	1.4173062664159	1.78027557736575	3.17924990469024
ENSSSCG00000000021	2.94064147639126	3.26956414441305	5.70928780310765	5.84583196628509	3.37008501274894	4.14642158289189
ENSSSCG00000000022	7.47881841972606	6.39471949663662	6.48241143031375	4.50230719422933	7.27006030435384	5.794973046255
ENSSSCG00000000024	6.96484361035794	9.47976963541318	3.55293401912037	6.03824187214889	6.65376778782806	3.15210313277565
ENSSSCG00000000025	5.01665971543981	5.25083041761478	4.31423148791098	5.27748234441034	3.86499004183526	4.22455108809849
ENSSSCG00000000026	9.3955580378899	0.0053716779206504	0.0188001336862207	0.121487214361299	0.758302945722033	5.17575407288153
ENSSSCG00000000028	4.13188958271874	0.844419595536606	3.09600142128609	0.525521827589209	1.80438626919337	7.27346670853815
ENSSSCG00000000029	4.35247702232577	1.86411617058962	5.86097018101666	0.603865767415636	4.77080018553894	3.62231172434858
ENSSSCG00000000031	6.93598264422612	5.81786569757855	6.30607881746365	6.46222479299199	5.76794588913163	6.11500157210682
ENSSSCG00000000033	5.37414642511899	10.0599950924072	7.67818314455774	6.231389114047	7.77080035284211	5.20794976409198
ENSSSCG00000000034	9.1141407356973	8.23131908098211	8.36751838974781	8.46214223595523	8.54645896189303	5.61010441587179
ENSSSCG00000000035	9.01007279845722	7.44449724351141	6.51247792468497	5.12320829461944	7.20916334435026	8.32138572326842
ENSSSCG00000000036	7.4027025689173	8.67112860639518	8.71897410381074	7.01701810907745	7.75710483593397	7.13909801870836
ENSSSCG00000000037	6.60560987141015	7.90719462691426	8.55083417433564	9.41007832237575	8.0564038885642	8.43882434788934
ENSSSCG00000000038	9.51978648839036	10.8654644193019	9.80317137451618	10.4229742905241	11.1473472006316	9.5329569893102
ENSSSCG00000000039	8.07949802851039	8.28874301660186	8.24718415298382	7.76641248261822	8.31771306405665	8.07701199234628
ENSSSCG00000000040	9.40478445085628	3.31224597037373	3.33675026051648	2.6880378255864	3.95591705159175	9.20888573461366
ENSSSCG00000000045	9.03789586640558	9.8747791053424	9.07979056744189	8.67933291904641	7.87717916652566	7.22272976321059
ENSSSCG00000000046	1.11867107979037	2.33378149905476	9.85586184058473	13.2740574417699	4.04841569873108	7.01714553777066
ENSSSCG00000000050	6.95530390968261	7.60070883316495	9.00241579022806	7.64633651779883	8.36486450009673	6.68378466681079
ENSSSCG00000000057	0	0.0797405141740682	0	0.0379675276445783	0.158236182405088	8.2419671336727
ENSSSCG00000000058	11.5830615340292	10.5876658750909	9.89693233547266	9.64118399387419	9.51787439119852	9.91860905960764
ENSSSCG00000000059	6.04260551839706	6.36248670772666	6.35842273125828	6.36433460915161	6.38030399394514	7.13229149964089
ENSSSCG00000000061	7.69440438092834	5.93853262018793	9.70698857020958	8.56198355520428	6.58119358074349	6.74755519533111
ENSSSCG00000000062	8.31743210619255	4.41982590824122	6.81904852527472	2.53371606935089	8.78523494609478	5.7195501228549
ENSSSCG00000000063	6.36741788906464	6.47555224736268	6.70448171282237	6.81263960208361	6.3394435759834	5.98598430509862
ENSSSCG00000000064	10.5459606558788	11.6887097373768	11.2731549397927	9.74212312059145	9.44469563744688	9.03250239029213
ENSSSCG00000000066	6.05589424504599	5.21535683926079	5.61596919851843	4.34250687916432	5.36462415606848	6.27866684442091
ENSSSCG00000000067	4.50820972730811	2.85592418443569	1.07747541287688	1.46212223028432	2.87379348933348	4.05006711011395
ENSSSCG00000000068	6.10176458218591	6.91061616155444	7.05856662531616	6.09362409154844	6.99224613351288	6.18821949681191
ENSSSCG00000000071	9.98521307810859	10.1097742706081	11.2392186759756	11.1241210988834	9.97474238551503	9.40623720902486
ENSSSCG00000000072	7.75458081615291	6.66881978837764	8.40479899825539	8.95253253078002	8.40258689810193	8.16658548963838
ENSSSCG00000000073	0.326491264888171	0.986087666742129	1.57177091160706	2.93193631267622	1.67910417476005	6.03162918881582
ENSSSCG00000000074	6.9235719048336	0.385611729427672	0.421114094985643	0.514236916243615	0.941486504045279	3.1298322688721
ENSSSCG00000000075	6.40083135578995	6.07719803624235	5.84179074391872	5.61950234453534	6.26996387857922	5.91049075878097
ENSSSCG00000000076	7.44640039093726	6.52542175456284	6.3659282793411	4.75710306597617	5.97768995398019	6.25844443199987
ENSSSCG00000000077	7.04639952308559	8.2337754794735	8.08411002051454	8.06180208459672	7.19030400728354	7.51209106999354
ENSSSCG00000000078	5.62283596243792	5.60860288619052	5.17478744204616	5.15331881034504	5.28243641525307	6.2830769146688
ENSSSCG00000000079	1.45100155691759	1.10307767716914	5.90341285517645	3.21709690252743	2.70611921391331	7.24381850467568
ENSSSCG00000000080	1.81744068197655	2.33170867855357	2.94619045268783	2.49689983678098	1.88560175979219	4.23368646082671
ENSSSCG00000000081	2.48013225537226	1.66152621811376	1.42017677508309	1.6909413446805	1.99535920867027	6.69925438454981
ENSSSCG00000000082	6.27816026268613	0.4349325133097	4.47808575689627	0.108794740701218	0.832801507646677	0.509370726314812
ENSSSCG00000000083	7.24404050109978	8.676587366721	8.26163909349406	8.87523035161513	8.04006651597635	7.30953026538022
ENSSSCG00000000084	10.4615963584934	11.2148139896145	9.75230462573506	10.9485606897774	9.9670044065764	9.0953396172157
ENSSSCG00000000087	6.694835897533	6.03433692693622	5.98667464002581	5.65855431977704	5.99691474831604	3.84098477311675
ENSSSCG00000000089	5.88184628265307	4.98218917333745	5.95421733760169	8.13751961991901	5.06819859503613	7.96509268814401
ENSSSCG00000000090	7.42438726852841	6.7433780633611	6.28001604285176	4.13268724716708	4.69148323663145	3.41981643509607
ENSSSCG00000000091	5.05669252087911	6.32962826021633	5.72670704823765	5.55041599248252	6.63358008200026	5.5535253614378
ENSSSCG00000000092	10.3262722356038	3.39445132594943	0.788854228620886	0.590626599173695	2.35350837529407	3.63589441594167
ENSSSCG00000000093	6.55374389728707	6.89739724436839	6.8222994577177	5.5704169690829	6.14633829738274	7.2807375772172
ENSSSCG00000000094	6.91927669543798	9.39083881439324	8.35791661945245	8.71769152938461	7.96467698147442	8.72570966373772
ENSSSCG00000000095	6.84497744539753	6.98352853073702	7.28165472131244	6.80313821985608	7.13091809487179	7.16656127467101
ENSSSCG00000000097	8.48084893910755	9.35464627985219	8.78634723288144	8.39474754716422	8.59245522659317	8.30281332431556
ENSSSCG00000000103	1.50481396535664	0.965149805280575	0.359023723399539	0.333376448069164	0.708058383114634	6.88746056115335
ENSSSCG00000000104	10.0386995187163	10.6060624755326	10.3425371666962	9.72501022299552	9.9182692538074	8.69231832769996
ENSSSCG00000000105	4.47724342753758	7.58956299828909	5.48171662665969	8.19212142988731	8.09166066510194	3.41765043520835
ENSSSCG00000000106	9.03832926608672	7.40718540053176	0.304863684295161	0.15490451624377	0.469206561824338	3.23208419727557
ENSSSCG00000000107	7.33296232167278	7.41606709702645	6.08390980191821	5.47388065661043	7.15533138101697	4.64499812131679
ENSSSCG00000000108	7.62335288120249	7.14561198734443	5.74084683172112	6.01406819193318	6.84922506696184	3.54689002684391
ENSSSCG00000000110	6.30475157116189	5.32922498609748	5.9400468825462	5.08437348924136	5.77168139739924	6.96051572876379
ENSSSCG00000000111	5.35861584463621	4.08343331146383	8.20165413860916	2.82904524510183	1.65082294474752	3.41838547718282
ENSSSCG00000000113	2.11126838620154	2.05391534177907	0.977333330838061	0.251940184808142	0.8453286017256	1.993669190295
ENSSSCG00000000114	8.34423117037139	7.66296403238937	7.46106891417715	6.78503788565939	6.32369814980817	6.96748593288822
ENSSSCG00000000116	8.84046830910989	10.3017276010425	9.01080421747399	9.09895903047334	8.34244683457675	7.54199854220922
ENSSSCG00000000117	6.129364891665	6.30207717061813	6.2777887899334	3.31458691027233	5.05041093988108	7.62086004700134
ENSSSCG00000000118	6.50847712965414	6.70011797633617	7.3196047085816	4.25621567085921	6.14430126457311	5.10198263308281
ENSSSCG00000000119	8.86757983274547	10.1139282592492	9.46799578224605	10.0409627472343	9.42027205226937	9.02360856440031
ENSSSCG00000000120	6.03996612217997	5.70334721988422	5.68260297854575	5.68319901608559	5.4080861496787	5.06130555889734
ENSSSCG00000000121	2.80139133584881	1.2302225858428	1.76206582295031	2.84049978258673	1.54910831010305	0.493784237135583
ENSSSCG00000000130	5.03648059324637	5.72379155090136	4.09843027117825	5.68791784841793	4.57222331525871	1.93110600269871
ENSSSCG00000000131	7.68906482989715	2.05183829396466	2.85996760602221	0.136345780760237	0.985260961319975	2.4200513200337
ENSSSCG00000000132	1.11342390773205	0.304001122712092	1.87668588568142	4.70353659470909	0.145235533365068	9.03239344953936
ENSSSCG00000000133	8.16507413613889	8.1581052710257	9.74833784521534	11.8412535491209	6.54757640950481	6.20947892677013
ENSSSCG00000000135	8.23375432736615	3.9972066469809	4.45058216103664	1.67700422178814	4.62384816278773	3.4056454789538
ENSSSCG00000000136	3.32208611192657	4.57357724499379	3.39303751878488	5.32320250732773	4.26039220168045	1.86670380705344
ENSSSCG00000000137	5.40327986262649	5.59943491568906	4.39466002260479	6.15577761437	5.2430446464234	3.54730765864117
ENSSSCG00000000138	9.30638769007691	0.750410540058792	2.50523435670407	0.616712119609352	1.49391378873758	2.84346260188032
ENSSSCG00000000139	6.87065530172825	7.30959335809284	7.67240370327929	7.72091337979727	7.44017094557964	8.67407045206414
