brain	heart	kidney	liver	ovary	testis
ENSXETG00000000002	6.20489158387661	7.60108476501007	8.42353654843463	8.51834838511711	8.63283289662433	6.94366540574482
ENSXETG00000000003	3.93344472090941	5.69743729067722	5.03103497125631	6.05467000228438	3.02201928689503	2.0835653427682
ENSXETG00000000004	0.0719464637151738	2.4343792275565	0.600958486549143	0.28547417909323	0.0423285398481133	0.622260301010068
ENSXETG00000000007	5.83146710713173	5.90978550522296	5.98741186745339	6.634157820114	4.57267603713867	6.40175193143262
ENSXETG00000000009	3.64538837895685	8.16543053461673	3.12301993681431	3.6754457334809	0.611857268818667	2.32233865193988
ENSXETG00000000011	4.10046968968716	5.10668038697359	10.0143005722534	6.14468011108204	7.2079854966809	4.47885273542146
ENSXETG00000000013	6.37146846082937	8.60297208152303	9.3566340530417	8.67364977580214	7.04418435273348	7.84780141380394
ENSXETG00000000014	7.6353996634957	0.612278513101589	1.64353616979438	0.636520035660968	2.83300250440878	4.3696190397975
ENSXETG00000000016	2.92295748615503	3.92432493710562	4.13300924244889	5.06000945201055	0.528920310523277	3.41284016792405
ENSXETG00000000020	4.56558984840748	2.79629354437203	7.96833212945856	5.74897091078803	4.07589940001864	7.19144678644482
ENSXETG00000000021	6.02500558691377	4.3758079253475	6.31629678415233	5.70136900062338	9.99537031390956	7.19330796066528
ENSXETG00000000022	8.29578053383107	9.19210851334876	8.14704748700621	8.0650417017938	8.64055726127051	7.84129649164066
ENSXETG00000000026	3.93901892840136	3.06227266282069	4.59624006108719	4.00403693918659	10.0866105096444	11.0145815454065
ENSXETG00000000029	5.233442083703	8.29501267677173	6.56246090643951	5.06623866304347	4.74673954117816	5.03551386788003
ENSXETG00000000035	8.29658862379587	9.16698412490519	8.57936458238515	8.6178489866084	8.0009174540135	7.56592483319476
ENSXETG00000000036	8.10987059438349	10.5526050597472	10.1608680689481	9.98674430142839	8.82426750542659	8.78304650918107
ENSXETG00000000037	10.772394975521	10.0351388067251	10.3421396447018	10.3945010294659	8.40177253231359	9.7015367963003
ENSXETG00000000038	8.11169013483795	8.96473351620573	9.32647405292332	9.93162766278776	9.82713034811419	10.8798949683641
ENSXETG00000000039	1.97834611138182	1.36268900136261	4.57843311332575	3.88850525284393	0.226739811379362	1.85004600013762
ENSXETG00000000040	9.05446583262715	9.2322209932248	10.9791470425306	10.3285682133783	9.55042164020966	8.69059589523619
ENSXETG00000000041	1.18276656728848	0.30897723084588	1.08634938090945	0.624256674037229	1.01303109816544	4.9147614052327
ENSXETG00000000042	6.47560314006792	8.00595786656875	7.1808250227029	7.30274376353416	6.73356925513673	8.15600685948781
ENSXETG00000000043	8.60436581197755	8.61919703500729	8.62097079112962	8.84205442848372	8.5118184428736	8.29565744521177
ENSXETG00000000044	6.11740456255629	5.91757444215609	6.68646457777305	7.46633091277987	7.10425883189317	6.75805304609123
ENSXETG00000000046	1.90294231422637	3.04703406707487	1.80488923741712	3.60311770813886	1.42739937190195	5.53256524996428
ENSXETG00000000048	0.170707252315371	1.28699727006432	3.96793043655225	3.49309597182043	0.174800745209814	2.00462857951105
ENSXETG00000000049	6.82610219614959	8.12167696561689	7.16424231147158	7.06258985459084	5.84146987380882	9.32393635026179
ENSXETG00000000050	6.18968041088463	5.24816260306659	4.76753416785573	3.79918280067077	4.05174692545757	6.85427178059399
