liver	ovary	testis
ENSAMEG00000000001	NA	0	0.05423196
ENSAMEG00000000002	NA	2.778398	2.400082
ENSAMEG00000000003	NA	4.059096	1.754849
ENSAMEG00000000004	NA	10.31382	7.961635
ENSAMEG00000000005	NA	5.07531	3.063439
ENSAMEG00000000006	NA	2.020758	0.5689281
ENSAMEG00000000007	NA	3.157193	3.347282
ENSAMEG00000000008	NA	0.8032923	0.1248264
ENSAMEG00000000009	NA	0.05065702	0
ENSAMEG00000000011	NA	3.817593	0
ENSAMEG00000000012	NA	5.020533	4.888797
ENSAMEG00000000013	NA	1.05849	1.647955
ENSAMEG00000000014	NA	1.378506	1.019218
ENSAMEG00000000015	NA	7.596234	8.302232
ENSAMEG00000000016	NA	0.2811985	1.16134
ENSAMEG00000000017	NA	1.420547	2.751654
ENSAMEG00000000018	NA	3.333671	7.116011
ENSAMEG00000000019	NA	1.397266	0.1049053
ENSAMEG00000000020	NA	1.566216	0.3302693
ENSAMEG00000000021	NA	2.876224	3.319972
ENSAMEG00000000022	NA	1.581322	1.405851
ENSAMEG00000000024	NA	6.266929	4.472286
ENSAMEG00000000025	NA	1.235439	1.46925
ENSAMEG00000000026	NA	3.539979	2.106787
ENSAMEG00000000027	NA	3.046512	2.400666
ENSAMEG00000000028	NA	3.534037	0.7421727
ENSAMEG00000000029	NA	0.5488371	0.3093462
ENSAMEG00000000030	NA	4.368419	0.3725387
ENSAMEG00000000031	NA	4.655449	0.9628392
ENSAMEG00000000032	NA	3.894905	0.9693071
ENSAMEG00000000033	NA	3.679829	1.916492
ENSAMEG00000000034	NA	2.850519	1.397409
ENSAMEG00000000035	NA	4.865958	2.015066
ENSAMEG00000000036	NA	4.231317	2.742407
ENSAMEG00000000037	NA	4.926692	3.145316
ENSAMEG00000000038	NA	4.515567	3.752406
ENSAMEG00000000039	NA	4.948232	2.634249
ENSAMEG00000000040	NA	5.49022	4.013096
ENSAMEG00000000041	NA	2.20031	4.868178
ENSAMEG00000000042	NA	5.164275	3.719008
ENSAMEG00000000043	NA	5.00353	2.452548
ENSAMEG00000000044	NA	4.843753	4.847285
ENSAMEG00000000045	NA	5.511196	4.043345
ENSAMEG00000000046	NA	2.808984	1.121097
ENSAMEG00000000047	NA	5.13397	3.656176
ENSAMEG00000000048	NA	5.894318	5.384029
ENSAMEG00000000049	NA	4.723509	3.210481
