heart	kidney	liver	ovary
ENSANAG00000000009	0.4865259	0.3030244	1.142296	1.668096
ENSANAG00000000010	4.484512	4.865142	4.61319	5.537036
ENSANAG00000000013	0.1322725	0.5610543	0.4181327	0.09041554
ENSANAG00000000015	0.1083722	0	0	0
ENSANAG00000000017	1.690033	1.687576	1.120445	1.703942
ENSANAG00000000018	6.456903	6.945163	6.141598	7.200752
ENSANAG00000000019	0	3.43618	0	0
ENSANAG00000000020	1.662411	2.003618	1.529291	2.285201
ENSANAG00000000022	4.587521	4.758975	4.560721	4.932453
ENSANAG00000000026	0	5.735059	0	0.906348
ENSANAG00000000028	0.3647058	0.9406389	0	0.0270783
ENSANAG00000000029	8.244844	6.143681	5.456353	4.516702
ENSANAG00000000031	0.7907312	1.223756	0	2.347119
ENSANAG00000000032	0	0	0	0.150119
ENSANAG00000000046	4.598312	4.511455	4.163241	3.415102
ENSANAG00000000048	4.064616	4.408766	0.8476378	4.251999
ENSANAG00000000051	3.646612	3.437313	2.608963	3.654962
ENSANAG00000000052	0.0394015	0.09842589	0.0771429	0
ENSANAG00000000053	6.543306	6.128149	5.61078	5.982047
ENSANAG00000000054	1.413794	4.774165	3.887291	2.668986
ENSANAG00000000055	7.710056	7.702644	6.961704	7.449825
ENSANAG00000000056	7.122096	2.801996	1.719897	2.929245
ENSANAG00000000057	0.26503	0.8753806	1.283975	0.7941355
ENSANAG00000000059	4.119959	3.992499	2.997007	5.259893
ENSANAG00000000060	6.635215	5.011331	0.6643008	3.244086
ENSANAG00000000061	0.3679692	0	0.1161009	1.312589
ENSANAG00000000062	5.818482	6.789755	6.255025	7.135412
ENSANAG00000000063	2.153449	5.152872	4.05364	2.122809
ENSANAG00000000067	0.07400993	0.1217049	0	0.1917675
ENSANAG00000000079	3.866385	5.036813	5.147414	4.01746
ENSANAG00000000134	6.686837	6.300556	5.399817	6.495327
ENSANAG00000000135	2.302164	0	0.7749839	0.3104762
ENSANAG00000000151	0	0.09095299	3.274587	0
ENSANAG00000000155	4.652389	2.736869	1.966881	3.818411
ENSANAG00000000178	1.768769	3.459196	1.511048	3.369457
ENSANAG00000000179	4.409853	4.709947	4.172488	5.491279
ENSANAG00000000200	8.731629	9.747434	8.912843	11.32459
ENSANAG00000000220	4.093883	2.796737	1.046865	4.131125
ENSANAG00000000237	5.308368	4.738336	5.003386	5.246716
ENSANAG00000000266	4.721537	4.38432	5.016501	5.019613
ENSANAG00000000268	0.8271264	0.3527664	0.1564031	0
