brain	heart	kidney	liver	ovary	testis
ENSCJAG00000000001	-0.340505970542558	-0.0489752010707077	1.81999963280136	5.27639899358121	1.32721150164003	1.84115631028969
ENSCJAG00000000002	0.273494487461016	-0.0280063402575549	2.96447284379126	0.343081360546503	3.02975719565369	0.325626720659042
ENSCJAG00000000003	3.1301803998684	5.8807823721943	11.4463681120517	5.95429983503187	7.76470673025946	2.62455963863976
ENSCJAG00000000004	-0.0225916663789444	0.0660447259652425	0.13593731876837	0.104529768977407	0.0820432822828412	0.138083031225937
ENSCJAG00000000005	4.44643575058	3.9837377448988	4.72164152574371	5.14005578288362	6.24283627331777	7.84568302797384
ENSCJAG00000000007	4.06581067388392	4.57390613973978	3.00861781960681	5.95456592073849	0.972026445156345	2.2744133881244
ENSCJAG00000000008	10.9418382574196	9.74527052330989	11.0793071302489	8.49442463449881	11.6814880575992	11.1230455528616
ENSCJAG00000000009	4.64691004019395	4.85720476517659	4.94495041899103	2.16429367180794	6.24986847420222	3.30599254476619
ENSCJAG00000000010	3.69469821799173	1.75879417323926	1.45073939357805	0.107745195025675	1.74602881900498	2.1823261143891
ENSCJAG00000000011	2.32693029960079	1.23119072482829	1.14894966833314	1.32327854776399	3.0622829017262	1.99410596015088
ENSCJAG00000000012	1.55266433288282	1.744186801036	1.19088101510558	0.460386414138695	1.73430453266555	0.748978113503714
ENSCJAG00000000014	5.81512050737139	5.11031304897604	5.14279490186083	2.94983855990298	6.51417999566873	6.22733863727916
ENSCJAG00000000015	5.37356352105751	5.4258456755179	5.0610127533156	2.87241582991616	6.41001063711262	5.32635373043686
ENSCJAG00000000017	4.03982560426138	2.06259934876328	3.63974398687359	-0.445553543447192	4.36716131431407	4.14966182204099
ENSCJAG00000000018	0.253081165570519	0.208519028268726	0.144746975975277	0.145371390405776	-0.0502336304963783	2.5076772727269
ENSCJAG00000000020	0.0287822761171741	-0.0383489244775105	-0.0681326240897253	-0.0840090550854976	-0.106825035929673	1.72596376014491
ENSCJAG00000000022	2.99055298498752	2.52948579882375	2.49660057880656	1.30888516137941	3.70282855531051	3.67045578122419
ENSCJAG00000000023	2.73993021597256	1.78716822118137	1.64806840909502	0.804868641575203	3.7642520354487	5.71998907716276
ENSCJAG00000000024	2.30840497272811	2.41722616232185	1.73044593869064	1.16229047474801	2.19257339208574	1.70321435517981
ENSCJAG00000000026	5.42558909782974	4.68368027963557	4.26465148892943	3.08503019111258	5.33786677664316	5.24185633763107
ENSCJAG00000000028	2.38309995912276	1.52872914385521	2.62496556247527	1.0135501683096	2.68449040568878	1.57177930588095
ENSCJAG00000000029	1.53156680656166	1.22612242013617	2.01266494258079	0.69758795105826	1.3996696454843	1.53938370870259
ENSCJAG00000000030	2.06616299577012	1.52767288671424	1.60146067915525	0.808958672551344	1.40566771884354	1.37900723586459
ENSCJAG00000000032	4.29733882442993	0.192098844034105	1.76970250315081	0.242613164365373	0.0707009819697784	2.09221920472632
ENSCJAG00000000033	5.28861381277047	4.51285284552903	4.02522774636992	2.56970694061946	4.94391447029984	5.22423563545793
ENSCJAG00000000034	5.04236036860207	5.24645714020751	4.70261537304344	2.00566102947229	6.04325040117584	3.81133000401919
ENSCJAG00000000035	5.30509421497088	3.72182057760196	3.57402724047514	2.12813143626329	4.60916385241554	2.73708181784149
ENSCJAG00000000036	3.69407188348531	3.02495386314649	2.4942378649647	1.50922479338753	2.74799024071845	2.66192958874284
ENSCJAG00000000037	6.78783911317917	6.15536584951609	6.19587676089127	4.81443817986612	6.905116847441	6.30917649195342
ENSCJAG00000000038	1.53306062426775	1.0963438920061	0.9810006683341	0.437121480897988	0.257861582908772	1.05685025021236
ENSCJAG00000000040	6.60903722139392	1.94303231253992	6.28908104796823	2.77157115338843	2.8384895909442	2.67608489427822
ENSCJAG00000000041	0.776796578487512	1.1238680471251	1.39811806952848	1.00422429292292	1.38537104860106	0.691870524584286
ENSCJAG00000000042	4.15610940380975	4.00592105625528	5.70400470122584	3.79833266919303	6.38269700795709	6.52123069287572
ENSCJAG00000000043	0.245178214066988	0.3072797803956	2.46690145978613	0.319887266750246	3.69993401026851	2.14867191657529
ENSCJAG00000000044	4.01710738498948	2.99612021906168	2.99891126553205	1.79111614172366	4.14541313223649	3.25152558399553
ENSCJAG00000000045	2.09593663039677	1.44078285282546	2.10306678390518	1.29271267478023	2.7315884993238	2.30709923718311
ENSCJAG00000000048	5.53171324815458	4.99869354656035	5.08456211861633	3.77512378366925	4.67546236278505	5.53538766616861
ENSCJAG00000000049	0.0865361636985825	0.0700802691153034	1.1378498920099	0.335871917259588	-0.058812877522405	0.845701339552064
ENSCJAG00000000050	3.99072617334798	2.06933621754047	2.72413925619779	1.16006882809652	3.217964430079	1.8397060905975
ENSCJAG00000000052	4.50067972120735	3.27528335337198	4.15796670515901	2.09613618984921	4.81111859930233	4.83387706311878
ENSCJAG00000000054	4.48388469791708	3.30151940332185	4.11053469123323	1.93932966583902	5.41888627080937	5.22076976079041
