heart	kidney	liver
ENSCATG00000000001	0	0	0.157843117
ENSCATG00000000002	5.382564	6.157218	5.017427567
ENSCATG00000000004	4.682045	4.980098	4.354635518
ENSCATG00000000007	0	0.1276589	0.033798344
ENSCATG00000000009	0.03194986	0	0
ENSCATG00000000012	0.1283746	0	0.599559651
ENSCATG00000000020	4.87176	4.402627	2.912538737
ENSCATG00000000028	2.047238	2.699658	2.617058641
ENSCATG00000000029	1.541128	1.31997	0.473427427
ENSCATG00000000031	0.02771007	0.0974539	0
ENSCATG00000000033	2.64438	2.525397	1.289002242
ENSCATG00000000035	5.564206	6.279274	5.417226705
ENSCATG00000000036	2.010121	3.432214	2.343567007
ENSCATG00000000037	5.372559	7.69726	6.303886664
ENSCATG00000000039	2.62407	2.986895	2.462341117
ENSCATG00000000040	1.400828	3.990365	3.097042708
ENSCATG00000000041	5.132393	4.547739	3.861184199
ENSCATG00000000043	2.943244	2.331568	0
ENSCATG00000000044	5.409552	5.658411	4.499343965
ENSCATG00000000045	0.9293141	7.670823	1.829056367
ENSCATG00000000046	2.983422	4.215228	3.338726757
ENSCATG00000000047	3.127643	11.564	9.798147276
ENSCATG00000000048	3.564874	3.349579	2.755445236
ENSCATG00000000049	3.957032	4.204587	3.294841271
ENSCATG00000000050	5.598416	6.828841	4.528661328
ENSCATG00000000065	0.2927688	0.12634	0
ENSCATG00000000066	0	2.582342	0
ENSCATG00000000074	3.710325	3.724296	2.30309452
ENSCATG00000000091	0	0.1000462	0
ENSCATG00000000109	0.8798171	1.014748	0
ENSCATG00000000122	5.086096	6.488014	4.836843146
ENSCATG00000000123	4.095418	5.290126	2.87387618
ENSCATG00000000139	0	0.1183008	0
ENSCATG00000000140	5.945084	7.166529	7.424997646
ENSCATG00000000141	5.901093	4.466373	0.860531414
ENSCATG00000000142	5.923918	6.32889	5.395942959
ENSCATG00000000180	0	0	0.399458784
ENSCATG00000000185	0	0	0.339169318
ENSCATG00000000186	1.895337	2.496715	1.972191207
ENSCATG00000000187	4.41224	8.246674	7.244677792
ENSCATG00000000220	1.151365	0.9622188	0.411045454
ENSCATG00000000222	4.473074	4.143962	1.226108342
ENSCATG00000000223	3.359282	4.591307	1.410751384
ENSCATG00000000226	0	0	0.837194057
ENSCATG00000000229	1.292146	0.6528738	0
ENSCATG00000000265	2.057225	2.246414	2.137641229
ENSCATG00000000279	0.0990098	0.1929587	0.171815352
ENSCATG00000000280	1.355766	1.846176	2.602834537
ENSCATG00000000282	1.769619	3.111684	6.413338515
ENSCATG00000000283	2.985194	2.097671	1.914935673
ENSCATG00000000284	5.098209	4.510823	3.147420677
ENSCATG00000000294	4.853766	5.184705	4.31993869
ENSCATG00000000312	4.277947	3.642873	1.239868475
ENSCATG00000000316	1.577944	0.7715425	0.752204803
ENSCATG00000000318	1.79783	1.785026	0.723795314
ENSCATG00000000334	0.2401421	0.1479344	0.033296268
ENSCATG00000000346	2.648979	3.545762	2.747703619
ENSCATG00000000359	5.751512	5.366843	4.970283088
ENSCATG00000000360	3.05846	3.96284	2.549380849
ENSCATG00000000364	6.126823	3.793011	1.265253247
ENSCATG00000000382	0.9523895	2.075307	0.443984249
ENSCATG00000000384	2.155293	2.128551	0.633877551
