brain	heart	kidney	liver	ovary	testis
ENSCLAG00000000006	13.51184	14.29424021	13.24892	12.616123783	11.91957472	10.1128
ENSCLAG00000000010	13.0261	13.02805109	12.63885	12.634416297	11.42245378	9.706294
ENSCLAG00000000016	15.93557	16.43710996	15.46316	15.087935154	13.69862871	12.29587
ENSCLAG00000000019	14.90645	15.49580819	15.06282	14.491834311	13.4582528	11.52129
ENSCLAG00000000021	12.4414	11.68917246	11.08426	10.99341255	9.79389426	8.219231
ENSCLAG00000000022	15.39923	15.61322256	15.04404	14.770364505	14.03061541	11.76057
ENSCLAG00000000023	15.98237	16.75576127	15.8387	15.146461281	14.3393281	12.13003
ENSCLAG00000000025	13.97358	14.62892393	14.54566	13.754417798	13.4055005	10.99469
ENSCLAG00000000027	12.80041	12.77475	11.97143	11.647656289	10.56332023	9.437207
ENSCLAG00000000028	13.05918	13.53840721	12.8196	12.380617989	11.3130474	9.42633
ENSCLAG00000000032	12.27812	11.91210717	11.67489	11.597279753	10.46295209	9.08138
ENSCLAG00000000033	12.9631	13.31517787	12.67608	12.454427825	11.42778947	9.350838
ENSCLAG00000000035	13.89391	14.60036013	14.24398	13.694880193	12.84259784	10.82443
ENSCLAG00000000038	0.3353723	0.32999039	0.6800858	0	0.22625079	0.3708751
ENSCLAG00000000039	0.1184854	0.1910446	0.1112589	0.056578673	2.11728611	3.211715
ENSCLAG00000000040	2.13772	0	0	0	0	0.0564978
ENSCLAG00000000041	4.897608	5.22786812	4.503749	1.858215787	4.70374303	4.505808
ENSCLAG00000000042	2.5534	1.91009559	2.425011	1.109534408	3.00268452	1.621337
ENSCLAG00000000043	4.527671	1.85174704	2.792755	1.268476314	1.88401955	4.025835
ENSCLAG00000000044	0	0	0	0	0	0.1007767
ENSCLAG00000000045	1.605584	1.31427308	1.550206	0.797681237	2.58774662	0.9563771
ENSCLAG00000000046	0.05550846	1.73364068	0.9377557	1.39263066	2.65529458	0
ENSCLAG00000000047	1.93786	1.49629872	3.137453	3.244744	2.81737562	0.1499188
ENSCLAG00000000048	1.298664	0.25662907	1.093506	0	1.04823619	3.318077
ENSCLAG00000000049	1.685667	0	0	0	0	0.1308738
ENSCLAG00000000050	3.339049	2.25227032	2.548853	1.419042627	3.49717802	1.41393
ENSCLAG00000000051	0.6912376	2.2007366	0.6958406	3.892410456	6.09042793	1.380441
ENSCLAG00000000052	0.2754815	0.29991866	1.138146	0	0.2734586	3.392857
ENSCLAG00000000053	9.501371	1.51659665	2.625121	0.302326071	1.09283324	0.4700985
ENSCLAG00000000054	4.470055	4.09095503	4.211736	3.579783559	3.66382278	2.326316
ENSCLAG00000000055	1.78349	0	2.546215	0	0	0
ENSCLAG00000000057	2.340508	0.80680412	0.9693704	0.502480312	1.69633664	0.8490249
ENSCLAG00000000059	1.611692	1.05603548	1.235016	0.392716376	1.01395528	0.4251649
ENSCLAG00000000060	1.462246	0.18487185	0.08843648	1.260001561	0.08412565	0.04570409
ENSCLAG00000000061	2.706626	1.97622064	2.328598	1.605740846	3.14537258	8.171167
ENSCLAG00000000062	3.711814	1.81083791	3.266586	2.137726468	3.44039148	3.555608
ENSCLAG00000000063	1.806675	0	0.05708131	0.029069341	0.06138069	0.02920055
ENSCLAG00000000064	2.880809	1.65531519	2.595191	2.128550766	2.15319895	2.423099
ENSCLAG00000000065	0.4245029	0.3572395	0.1242715	0.922011314	0.69476727	0.4168744
ENSCLAG00000000066	1.456743	0	0	0	0	0.3496767
ENSCLAG00000000067	3.483519	2.71173937	3.478765	1.926033587	4.14869824	3.534286
ENSCLAG00000000068	0.7288278	0.3753431	0.8589899	0.615923788	1.53427082	0.5061053
ENSCLAG00000000070	3.261964	0.06576985	1.827396	0.039130812	0.25907479	0.0718987
ENSCLAG00000000071	3.92765	2.81924308	3.587101	2.91184495	3.51843442	3.62728
ENSCLAG00000000072	2.81334	2.55849296	2.924374	2.839494062	2.73434761	1.866659
ENSCLAG00000000073	4.71155	4.52095648	5.253066	4.954447597	4.68441482	4.311648
ENSCLAG00000000074	3.410717	1.94755021	2.8116	2.073333541	2.94058587	0.8054881
ENSCLAG00000000075	0.3521856	0	0	3.237514771	0.03793754	0
ENSCLAG00000000076	4.736637	3.49966733	4.63601	3.259609955	4.63339052	5.31965
ENSCLAG00000000077	4.327526	1.9497889	2.807751	1.916895825	2.82789014	5.233714
ENSCLAG00000000078	4.57053	1.78509434	6.031402	0.105005244	7.04983766	3.32516
ENSCLAG00000000081	0	0	1.767439	0	0	10.30979
ENSCLAG00000000082	6.418787	2.82514858	3.196333	0.972555913	2.82930769	0.3503909
ENSCLAG00000000083	3.016063	2.16172648	2.254497	1.553424403	2.80458228	2.441011
ENSCLAG00000000085	0.5980943	0.59446642	0.6116997	8.867087686	1.43204625	1.036875
ENSCLAG00000000086	2.387139	1.62147756	2.552495	1.418081978	2.58424097	1.502239
