brain	heart	kidney	liver	ovary	testis
ENSDARG00000000001	3.27853778720138	1.68828587224332	3.04463170256407	2.03216604818877	4.47108575692414	3.06879388742268
ENSDARG00000000002	2.58127475617433	3.45487473218421	1.290472669763	1.20724834475635	1.87732102729211	1.610139623978
ENSDARG00000000018	4.56190175511162	3.76233780710564	4.70011407071454	2.52122817612223	6.0406355722802	5.16021573273281
ENSDARG00000000019	6.92436617357265	5.07925654950168	5.17026524684914	4.56328092338573	5.80910890949166	6.94255671447469
ENSDARG00000000068	4.53053144418249	3.68043569298565	5.85775513734272	3.39350648122934	5.14258917513932	4.18369762041619
ENSDARG00000000069	5.78223286721793	5.27002511994587	7.29084310398666	7.08954450245413	6.23226436335028	5.63138816145283
ENSDARG00000000086	5.26623337367875	2.82476862492454	3.17353718163626	2.95178265406587	3.96742157802942	4.80590889681078
ENSDARG00000000103	5.55747851425043	4.70674141605376	3.76447745329896	4.10785752070538	5.74168067726091	5.48681980503175
ENSDARG00000000142	4.93462691160731	1.91618468259267	1.92253786339303	1.3357918326848	2.53182926299658	3.73797191596407
ENSDARG00000000151	3.49511247037921	3.42109129608331	3.80803326023398	2.44569725265961	4.73110060971301	2.8664986531512
ENSDARG00000000161	3.63667430332683	0.847100019338727	1.05146208398666	0.513661437234329	1.25851070589985	1.18443435727629
ENSDARG00000000175	1.86897531403291	1.29209463994688	0.981026044439626	0.0892800207493206	0.4670728381527	0.695894634165485
ENSDARG00000000183	5.26449251239605	2.38262462607554	2.66536590378783	0.561742900701145	4.25498142551342	3.66600626034738
ENSDARG00000000189	4.87514354119823	2.9216814276668	1.94126297745254	0.61993541322582	2.58040715635005	1.57084058993214
ENSDARG00000000212	3.35460373384472	5.35457315401622	1.94167303762378	1.7154502366241	2.23975882998672	1.14510837515547
ENSDARG00000000229	2.80096128411484	1.77718993731296	2.07036871774737	1.49524919317631	0.941663766225517	3.06737384000228
ENSDARG00000000241	5.35639786306994	4.8367765766546	4.85670024563699	3.97794444841372	1.42115710621254	3.48729733981922
ENSDARG00000000324	5.41749946234553	4.06237409160669	4.26651337172992	3.16432959256896	4.9940216741577	5.01829745462522
ENSDARG00000000349	1.45577765992442	0.1966344048574	1.70442110635922	-0.114358023780419	0.587793523241975	7.96588895616286
ENSDARG00000000369	0.327460181919326	3.65922485135488	3.9855091640978	0.289568938740094	0.614765369730704	1.7580219263887
ENSDARG00000000370	6.12215988620841	1.93471474187379	1.54680492328343	0.555891559942221	1.63587671393797	3.15211758561929
ENSDARG00000000380	1.93317726731371	0.0393527794528641	0.603154009773271	0.271380195697689	0.597961771311041	3.28001841004836
ENSDARG00000000394	6.26534682329168	4.77403853325666	5.12014495520893	3.60888817685801	6.73607169821189	5.81736902311872
