heart	kidney	liver
ENSDNOG00000000005	2.079955	2.960929	2.946261
ENSDNOG00000000006	1.156481	2.337323	2.05283
ENSDNOG00000000007	0.1512938	0.4397146	0.5447208
ENSDNOG00000000011	0.09117607	0.4023729	0
ENSDNOG00000000017	1.765009	3.476459	3.511983
ENSDNOG00000000021	0.1631844	0.7162016	9.110953
ENSDNOG00000000026	5.215997	7.195289	7.363697
ENSDNOG00000000027	1.643311	4.213604	0.8261502
ENSDNOG00000000033	2.634558	3.803753	3.640826
ENSDNOG00000000034	2.123696	3.477885	3.334527
ENSDNOG00000000042	0.08867325	0.3590016	0.4286473
ENSDNOG00000000046	0.2826438	2.670055	0.1952758
ENSDNOG00000000048	0.1425494	2.371654	0.74548
ENSDNOG00000000049	0.548839	0.3931064	0.2151095
ENSDNOG00000000050	0.5681771	0.9145446	0.7667207
ENSDNOG00000000051	1.50965	2.535779	3.246998
ENSDNOG00000000054	0	0.6930707	0.06608795
ENSDNOG00000000055	0.7322536	3.745356	2.906852
ENSDNOG00000000057	2.735737	4.856224	4.396913
ENSDNOG00000000061	2.601002	4.434762	5.13068
ENSDNOG00000000066	2.701174	4.787584	3.573665
ENSDNOG00000000067	1.529391	2.662184	3.075148
ENSDNOG00000000070	0.08069586	0	0
ENSDNOG00000000073	5.26682	7.964531	7.997592
ENSDNOG00000000074	0.6998217	1.464407	1.520925
ENSDNOG00000000076	0.527774	1.554112	0.9198503
ENSDNOG00000000079	4.796411	8.033401	7.427204
ENSDNOG00000000081	0.1922535	0.540193	0
ENSDNOG00000000083	1.507018	5.027012	3.927385
ENSDNOG00000000085	0.9947977	1.879247	2.182554
ENSDNOG00000000091	0.3382396	2.026694	0.9465976
ENSDNOG00000000093	0.01205502	1.730462	0.5143021
ENSDNOG00000000094	0.03096755	0	0
ENSDNOG00000000095	0.7048693	2.708068	2.940838
ENSDNOG00000000096	1.181491	2.975647	2.982999
ENSDNOG00000000097	0.7298773	2.122759	0.9413219
ENSDNOG00000000106	0.9566589	1.925741	0.6953917
ENSDNOG00000000110	0.4502025	1.634412	1.770537
ENSDNOG00000000111	0.03431363	0	0.1468781
ENSDNOG00000000112	3.089179	2.031525	3.180631
ENSDNOG00000000115	1.585145	1.352075	2.619643
ENSDNOG00000000116	0	0.1113805	3.887408
ENSDNOG00000000119	0.09531846	0.08385833	0.3935271
ENSDNOG00000000120	0.6009091	3.709963	2.425312
ENSDNOG00000000125	1.153066	3.51081	3.242467
ENSDNOG00000000127	2.633354	3.606809	5.233037
ENSDNOG00000000130	2.858876	4.365112	3.617733
ENSDNOG00000000133	0.7848289	2.14108	1.956529
ENSDNOG00000000135	0.6578951	2.543172	3.39134
ENSDNOG00000000138	0.6353844	3.396932	3.036026
ENSDNOG00000000144	0	0	0.3160611
ENSDNOG00000000147	0	0.07574565	3.046241
ENSDNOG00000000149	0.4519744	2.717857	0.8869894
ENSDNOG00000000151	1.998112	3.211695	4.692133
ENSDNOG00000000153	0.3220135	1.478237	2.073868
ENSDNOG00000000154	0.03136103	0.4702349	0.5443271
ENSDNOG00000000156	0.7015171	2.71595	2.712059
ENSDNOG00000000165	0.4706285	0.8870674	0.932966
ENSDNOG00000000166	0.0821949	1.75605	0
ENSDNOG00000000172	2.227827	3.024664	0.4807459
ENSDNOG00000000175	0.8382572	1.965086	2.489766
ENSDNOG00000000176	0.356447	2.883621	1.399795
ENSDNOG00000000179	0.1358986	0.2358165	1.500282
ENSDNOG00000000184	1.319057	2.342276	2.044198
ENSDNOG00000000193	2.556694	3.348456	3.530608
ENSDNOG00000000196	0.9071385	2.447053	2.317292
ENSDNOG00000000200	1.275091	3.357908	2.632652
ENSDNOG00000000201	0.5741616	2.808031	3.317659
ENSDNOG00000000204	1.014091	0	0
ENSDNOG00000000207	0	0.7674963	0.2680103
ENSDNOG00000000208	1.757198	2.738625	2.727966
ENSDNOG00000000210	0.6532738	3.119801	2.623977
ENSDNOG00000000214	1.00563	2.601675	2.83847
ENSDNOG00000000215	4.26129	5.710145	5.490654
ENSDNOG00000000217	0.4557241	0.9714843	0.8334471
ENSDNOG00000000222	0.1612608	0.4869666	0.352406
ENSDNOG00000000223	3.161585	4.298977	6.247257
ENSDNOG00000000225	0.8187156	1.664155	2.691168
ENSDNOG00000000226	0.3307374	2.426729	2.778366
ENSDNOG00000000228	1.673235	1.969771	1.803578
ENSDNOG00000000230	0.7790554	4.412314	1.516973
ENSDNOG00000000232	3.202085	4.390805	3.288202
ENSDNOG00000000234	0.5536947	1.971954	2.157456
ENSDNOG00000000239	0.359673	0	0
ENSDNOG00000000240	1.923176	3.709533	3.887594
