brain	kidney	liver
ENSEEUG00000000002	6.94701814165899	6.98691417754915	6.47612268079187
ENSEEUG00000000004	3.62053168445901	2.39082065571997	2.64810515982103
ENSEEUG00000000007	5.19390917020258	5.19793186446227	4.43531746533515
ENSEEUG00000000008	2.59425424894241	2.7676234147585	2.63232083629909
ENSEEUG00000000009	2.29697953390164	0.822515817986344	1.33303164811202
ENSEEUG00000000010	5.73122915014918	1.31108674595223	0.252534603898589
ENSEEUG00000000011	3.04487761932465	4.89154808434925	5.8816357963261
ENSEEUG00000000012	6.80091427173634	8.45869125223268	7.17925947603098
ENSEEUG00000000013	0.137622477445921	4.96390089857176	6.73565097398232
ENSEEUG00000000014	7.94873473610549	7.21769361193942	6.8514211519551
ENSEEUG00000000015	4.89120427973255	3.48226105693529	1.96838366333217
ENSEEUG00000000017	1.95256443572245	2.87202986321483	4.64677670106272
ENSEEUG00000000018	4.69521470410115	5.13161697222432	3.72558032367453
ENSEEUG00000000019	8.63197504184279	6.03243804269809	-1.80845408895154e-05
ENSEEUG00000000020	5.17473053940314	4.45098076564468	3.50915769495218
ENSEEUG00000000021	3.39883991969255	0.926415929277848	3.4247206510296
ENSEEUG00000000022	2.04233181206721	3.08589005368004	1.76819413425275
ENSEEUG00000000023	5.70439736198866	5.24830373393025	0.824168654081088
ENSEEUG00000000024	5.48188546219922	5.05919196157648	5.19800657622431
ENSEEUG00000000025	4.88759370663743	4.44025432937498	2.91128346398759
ENSEEUG00000000026	0.39332834554209	1.32361855186574	0.393399602592166
ENSEEUG00000000027	3.73439965797354	2.90376913686826	2.2198357051582
ENSEEUG00000000029	6.02940267496504	5.62757993845909	2.91602288657587
ENSEEUG00000000030	7.243826031354	7.99069944709986	4.93824652154614
ENSEEUG00000000032	6.44805110285999	5.42458516711167	4.17602073002834
ENSEEUG00000000033	5.15334396361555	4.82441133014061	4.28493320624384
ENSEEUG00000000034	3.86101392450667	3.41340138469719	2.43721769079614
ENSEEUG00000000035	0.761704510600881	5.15154734512932e-05	-0.0001030260743321
ENSEEUG00000000036	2.93652543031517	3.07448364798546	3.26733942169937
ENSEEUG00000000037	2.65416316860727	2.15251217056239	-4.13391696628969e-05
ENSEEUG00000000038	2.02274349596958	5.29990237668695	3.20792912734347
