brain	heart	kidney	liver	testis
ENSGACG00000000002	2.30858583571429	0.8620427	1.00146162352941	0.612688021428571	NA
ENSGACG00000000003	1.97317060714286	3.457863	1.82595497058824	0.391382178571429	NA
ENSGACG00000000004	1.24604143928571	1.888749	1.25377035294118	0.557935885714286	NA
ENSGACG00000000005	1.19792374285714	1.153001	1.62668508235294	0.794939048571429	NA
ENSGACG00000000006	2.46601182142857	2.250064	1.93346042941176	1.82366436428571	NA
ENSGACG00000000007	0.900333117857143	1.957699	2.47049456470588	8.34094271428571	NA
ENSGACG00000000008	0.410352855	0.4770037	0.850522741176471	0.0672599385714286	NA
ENSGACG00000000009	5.53962139285714	4.852337	6.00396352941176	4.92147764285714	NA
ENSGACG00000000010	7.941644	6.889437	6.15905988235294	5.98990607142857	NA
ENSGACG00000000011	9.26277664285714	9.595017	7.874368	6.13827978571429	NA
ENSGACG00000000012	4.06876967857143	5.415255	3.99578147058824	2.02966178571429	NA
ENSGACG00000000013	3.43320339285714	3.397537	3.07878429411765	2.34748042857143	NA
ENSGACG00000000014	5.19922464285714	0.6473891	1.07578570941176	0.226886392857143	NA
ENSGACG00000000015	3.07010317857143	4.546487	2.3779342	3.1102145	NA
ENSGACG00000000016	10.0172230357143	11.39411	8.55212905882353	7.64291014285714	NA
ENSGACG00000000017	3.67841060714286	2.815327	4.02115717647059	2.16650421428571	NA
ENSGACG00000000018	3.33785928571429	3.758975	4.47610605882353	2.466175	NA
ENSGACG00000000019	1.063245275	0.9232329	0.238145258823529	0.0226306914285714	NA
ENSGACG00000000020	0.0183374035714286	0	0	0	NA
ENSGACG00000000022	1.16980977142857	2.062481	0.686590596470588	0	NA
ENSGACG00000000023	0.47677595	0.08418022	0.0750133823529412	0.148508171428571	NA
ENSGACG00000000024	3.97954035714286	2.285725	3.78895229411765	2.92013828571429	NA
ENSGACG00000000025	6.70592967857143	5.617487	5.50812588235294	4.61730278571429	NA
ENSGACG00000000026	2.72239868571429	1.684496	2.28179203529412	1.64150318571429	NA
ENSGACG00000000027	5.26923628571429	4.043012	5.35558823529412	3.96869621428571	NA
ENSGACG00000000028	3.96914478571429	2.192311	2.11113251176471	1.5116444	NA
ENSGACG00000000029	1.1317297	1.900784	0.722774123529412	0.423340057142857	NA
ENSGACG00000000030	5.66219	0.337364	0.389512944705882	0.254371078571429	NA
ENSGACG00000000031	6.42395842857143	0.748748	0.510240808823529	0.165748385714286	NA
ENSGACG00000000032	0.938648446428571	1.600336	0.713080507058824	0.306673063571429	NA
ENSGACG00000000033	7.76682107142857	8.780533	7.26775858823529	6.14090078571429	NA
ENSGACG00000000034	4.5505865	2.183089	2.79255941176471	1.48720697857143	NA
ENSGACG00000000035	2.59875921428571	5.308608	3.21032527647059	2.83865235714286	NA
ENSGACG00000000036	0.0666550439285714	0.03906187	0.0768520347058824	0.0186554928571429	NA
ENSGACG00000000037	4.70879714285714	2.182832	2.4522742	1.75484076428571	NA
ENSGACG00000000038	8.56148314285714	8.823189	8.43146894117647	7.14403257142857	NA
ENSGACG00000000039	3.85562685714286	0.2599678	0.345768834705882	0.0199166757142857	NA
ENSGACG00000000040	0.729181057142857	0.8188358	0.989418466470588	0.133881914285714	NA
ENSGACG00000000041	0.448999165105536	0	0.664016447058824	0.0904902285714286	NA
ENSGACG00000000042	0.180326625	0.4532963	0.350485839629412	0.124617907142857	NA
ENSGACG00000000043	5.04912771428571	4.689305	3.23830264705882	3.10942707142857	NA
ENSGACG00000000045	2.564866725	0.9689607	2.63176265294118	1.39195352142857	NA
ENSGACG00000000046	0.215307923540357	0	0.764993322941177	0.255784510714286	NA
ENSGACG00000000047	2.91565564285714	1.783063	1.39740130588235	0.973733564285714	NA
ENSGACG00000000048	7.11783003571429	5.167579	6.18970464705882	2.64293371428571	NA
ENSGACG00000000049	5.27092160714286	3.148028	3.37254876470588	1.83899492142857	NA
ENSGACG00000000050	2.04469002857143	2.140123	1.27453717890311	1.81861092857143	NA
ENSGACG00000000051	1.405567191175	2.103771	2.6387871	1.15334816631429	NA
ENSGACG00000000052	0.0697716892857143	0	0.0882956941176471	0	NA
ENSGACG00000000053	0.779402075	2.357558	0.402741635294118	0.198168414285714	NA
ENSGACG00000000054	1.91368610357143	2.602839	1.589895	0.618988414285714	NA
ENSGACG00000000055	0.354129382142857	0	0.578716576470588	0	NA
ENSGACG00000000056	1.93054798571429	0	0.861376060228341	6.16400864285714	NA
ENSGACG00000000057	4.31843092857143	4.448696	3.64768570588235	3.14848542857143	NA
ENSGACG00000000058	3.87893728571429	6.061696	7.26497723529412	3.07328085714286	NA
ENSGACG00000000059	7.75350342857143	0.2095694	1.36625383470588	0.0824262835714286	NA
ENSGACG00000000060	4.14829753571429	3.51339	4.06871882352941	4.15497571428571	NA
ENSGACG00000000061	8.94913239285714	8.012652	9.26807558823529	8.7452105	NA
ENSGACG00000000062	5.35038925	3.035439	2.55723347058824	0.76904135	NA
ENSGACG00000000063	5.32142964285714	3.407449	2.52374500588235	4.07077128571429	NA
ENSGACG00000000064	2.89422925	1.74295	2.38472500588235	1.47922395714286	NA
ENSGACG00000000065	2.90613296428571	0.9025089	1.24285732352941	2.00958888571429	NA
ENSGACG00000000066	0.0434972392857143	0	0.10701736	0.714482921428571	NA
