brain	heart	liver
ENSMGAG00000000617	9.2476494313375	0.148079325476351	0.0929423228472496
ENSMGAG00000000629	0.300388470641256	0.464637732383787	3.0396436751964
ENSMGAG00000000633	8.79847315831558	9.33012717583329	8.98402729739366
ENSMGAG00000000634	0.269609227474367	0.682542051465224	9.31838281932886
ENSMGAG00000000635	3.42272700450388	2.51095123596192	6.64671820666729
ENSMGAG00000000636	1.66493155735986	2.03124893335955	1.2127152104147
ENSMGAG00000000637	6.2937762703084	4.74811090678918	4.24463096221602
ENSMGAG00000000638	2.04952058254556	1.13230888854182	0.704729028651869
ENSMGAG00000000639	0.935455285361366	2.10413495653817	1.43781374464319
ENSMGAG00000000641	2.69091740413361	2.23325186123611	2.92045796530734
ENSMGAG00000000643	0.182605950618702	0.176754655776552	0.0259241134319615
ENSMGAG00000000644	0.877398592140691	0.0414352670855999	0.0381124683383633
ENSMGAG00000000645	5.55098284543312	3.13108409703234	1.64456112995324
ENSMGAG00000000646	6.38711164805147	5.35325931514819	5.72264486935738
ENSMGAG00000000647	3.75065755680651	2.76198074890166	1.90988729792274
ENSMGAG00000000648	5.66853878969491	3.82551367656624	3.86770930095632
ENSMGAG00000000649	6.1989582232203	6.30722091669224	5.14110241049104
ENSMGAG00000000650	4.59611157070272	2.85940205754331	4.89218196439569
ENSMGAG00000000651	0.613504507950305	0.0753752232728644	0.167651112626307
ENSMGAG00000000653	5.47527265553844	4.75610314125562	4.26798883421853
ENSMGAG00000000654	1.75704638516869	1.70410038325365	0.29836702755547
ENSMGAG00000000655	6.39702632092688	4.24612021139823	4.06843197955349
ENSMGAG00000000656	7.36745027270391	6.87127060737055	7.34377613751824
ENSMGAG00000000657	0.983291574907562	1.89814066162766	2.14433521347484
ENSMGAG00000000659	0.146890427639547	-0.00270093668387612	0.00393309553166392
ENSMGAG00000000660	6.01883647602245	0.550678862122021	0.173546792753946
ENSMGAG00000000661	0.0751058412051403	-0.000649970037676573	-0.00299528369104548
ENSMGAG00000000662	0.307757628756562	0.00806979568393451	0.0908399171139308
ENSMGAG00000000663	1.89966759703714	2.424327399055	1.27387979336276
ENSMGAG00000000664	-0.0150507758797789	0.0698272803833355	1.87515453406889
ENSMGAG00000000665	0.564766504852583	1.76566647572731	1.61457458701437
ENSMGAG00000000667	4.66799412715349	4.05872350149098	2.4576112626111
ENSMGAG00000000668	0.0940528413991122	0.0094951810878564	-0.00720188034783469
ENSMGAG00000000669	5.61346692095938	3.6332976512266	3.4558752472243
ENSMGAG00000000670	0.152207384873604	-0.013427739272933	0.0714175531423775
ENSMGAG00000000673	1.10466258006579	0.107670935035497	-0.00375644728663395
ENSMGAG00000000674	0.53330925591418	3.87366574052571	0.974270826828647
ENSMGAG00000000676	4.08664559427473	2.67227786132906	3.02072329099729
ENSMGAG00000000677	3.15368382466605	2.30768671842039	1.08792612372397
ENSMGAG00000000678	2.97839754147577	1.61045392034978	0.852282133553175
ENSMGAG00000000679	0.0231374723136127	0.0436370263782956	0.186719048791494
ENSMGAG00000000680	3.70786780833168	2.92730921201308	3.04902873911089
ENSMGAG00000000682	0.507822020231528	0.297989171284836	0.512338653131169
ENSMGAG00000000683	4.52922066727195	3.51917763363191	4.50799206278296
ENSMGAG00000000684	6.24836016770619	5.89075858681576	5.59765861755575
ENSMGAG00000000685	7.31943919244865	0.481931993142561	0.498435521434848
ENSMGAG00000000686	0.312040001485153	0.0623479006047506	0.03115920007864
ENSMGAG00000000687	3.53130602315436	0.445796066664967	0.450333222557624
ENSMGAG00000000689	4.53351657499007	4.41698854540541	4.00540833721751
ENSMGAG00000000690	1.02123031332692	2.18164525502108	1.39987470518
ENSMGAG00000000691	5.74927564664889	4.59327938333636	6.76303621665339
ENSMGAG00000000692	2.09276346295414	3.38964526506527	1.78375643648613
ENSMGAG00000000693	6.63419374069631	5.66174361414366	5.85624187132859
ENSMGAG00000000694	0.311774587798828	0.0494165626267453	0.0302279318388759
ENSMGAG00000000695	0.318438968538192	2.13026287103051	1.75505244345093
ENSMGAG00000000696	9.23391423355767	2.24715161705739	1.44812682298924
ENSMGAG00000000698	4.51254793855969	1.81334654172937	4.02477576565068
ENSMGAG00000000699	1.65193388427601	0.900954407531561	0.866975962923165
ENSMGAG00000000700	6.09974077404288	5.36307757360119	5.33246165189709
ENSMGAG00000000701	5.52944141564627	5.4305136835165	4.17768242324088
ENSMGAG00000000702	0.291431801778136	0.0531132265584381	0.0421363800453044
ENSMGAG00000000703	1.68898819144459	0.230088592340855	0.675927941010394
ENSMGAG00000000704	2.51327678956884	0.0417860536147813	0.0624646020831313
ENSMGAG00000000705	8.57896710395451	8.21870004507892	7.91435546090469
ENSMGAG00000000706	3.52757312680539	3.16027114505179	3.55274364460201
ENSMGAG00000000707	3.9958698935197	3.40455060461967	3.26260221868616
ENSMGAG00000000708	6.62545859795068	0.394185514732968	0.151552970868824
ENSMGAG00000000709	4.15866740079303	1.35547333353583	1.80234076612224
ENSMGAG00000000710	4.53003853387832	4.36071434360961	5.63993157922291
ENSMGAG00000000711	4.9922734823505	4.32889497730335	5.77253120539011
ENSMGAG00000000712	1.74307021367664	3.65140057099559	1.34833563266269
ENSMGAG00000000713	5.40713258179933	2.8861396829092	2.90928562392248
ENSMGAG00000000714	0.0684338228273857	0.0688155698460908	0.0634222293760883
ENSMGAG00000000715	4.4027944350078	3.57063843550135	4.09881942142203
ENSMGAG00000000716	4.44471299919921	2.50761949724717	2.29658961446687
ENSMGAG00000000717	4.93782108426833	2.18432574391458	0.215239224012211
ENSMGAG00000000718	4.08815939146386	3.98351297698467	3.86646629703676
ENSMGAG00000000719	6.04331318115478	5.2255674956731	4.78878918790866
ENSMGAG00000000721	0.114918312523555	0.102112133213759	0.00258160718763254
ENSMGAG00000000722	0.0764519088522571	0.077224633021293	0.0195365708046071
ENSMGAG00000000723	5.24580494740593	4.68996373629738	4.80645263671193
ENSMGAG00000000724	4.35735954988061	3.19511044986097	3.00772334704172
