brain	heart	kidney	liver
MGP_PahariEiJ_G0000003	0	0	1.125287	0.6828339
MGP_PahariEiJ_G0000004	0	0	1.860665	2.15081
MGP_PahariEiJ_G0000005	0.3834682	0.9018914	2.719181	2.16431
MGP_PahariEiJ_G0000006	0	0.296663	1.493811	0.5082288
MGP_PahariEiJ_G0000008	0.1556922	0.111582	2.828414	1.905817
MGP_PahariEiJ_G0000009	0	0	0.7205406	0.4776631
MGP_PahariEiJ_G0000010	0	0.3150433	0.1996981	0.1034523
MGP_PahariEiJ_G0000011	0.1047989	0.4649453	0.3662724	0.6200073
MGP_PahariEiJ_G0000012	1.895191	1.825582	3.392771	3.119944
MGP_PahariEiJ_G0000018	0	0	0	2.180231
MGP_PahariEiJ_G0000021	0	2.397967	0	0
MGP_PahariEiJ_G0000022	0	0	3.576655	0
MGP_PahariEiJ_G0000024	0	2.456215	0	0
MGP_PahariEiJ_G0000026	0	0	5.143487	1.739503
MGP_PahariEiJ_G0000027	0	0	5.805842	2.29153
MGP_PahariEiJ_G0000028	0	0	4.82461	0
MGP_PahariEiJ_G0000030	0	0	0	0.8655942
MGP_PahariEiJ_G0000032	0	0	0.8615934	0
MGP_PahariEiJ_G0000039	0	0	0	0.5574326
MGP_PahariEiJ_G0000040	0	0	0	0.5593058
MGP_PahariEiJ_G0000041	0	0	1.082437	0.7602576
MGP_PahariEiJ_G0000043	0	0	1.445054	0.9210912
MGP_PahariEiJ_G0000047	0	0.5767437	0	0.6672293
MGP_PahariEiJ_G0000049	0.8937785	0	0	0.8295419
MGP_PahariEiJ_G0000050	0	0	1.447225	0
MGP_PahariEiJ_G0000051	0	1.07912e-06	1.082437	1.083241
MGP_PahariEiJ_G0000053	0	0.695683	0	0
MGP_PahariEiJ_G0000082	0	0	1.489003	0.5281782
MGP_PahariEiJ_G0000083	0	0	0	0.700951
MGP_PahariEiJ_G0000084	0	0	0	1.466888
MGP_PahariEiJ_G0000090	0	0.6186286	0.967584	0
