brain	heart	kidney	liver	ovary	testis
ENSOANG00000000110	5.25577454911593	4.8647684295978	5.04699085325458	4.64873347175562	5.73611987460776	6.24666247617879
ENSOANG00000000111	0.778380280332753	1.56167699069016	0.531973674289861	-0.00749278632835862	1.80002835616291	0.949863899756665
ENSOANG00000000112	4.06010322966769	4.11515763431186	3.91044403063184	3.86175040288513	4.27561731702796	4.00981601663708
ENSOANG00000000113	4.06281506686447	6.14832172937768	4.89137733295547	1.86723608173254	8.71724265433849	1.55055524830471
ENSOANG00000000114	0.286989505519148	1.02673998569669	0.468536515328498	0.188904218647067	0.293674233110415	-0.0838927970660107
ENSOANG00000000118	0.0384284021702227	-0.00415311737869281	-0.0141427183155114	-0.011708544243256	0.0358162018711006	1.84172998264132
ENSOANG00000000123	0.0161386416163388	0.0206430031654232	0.00992557007575079	0.0745104394961329	0.146409894643485	0.00879885288017508
ENSOANG00000000124	1.96277645183544	2.05807825164558	1.76484810935124	2.40861988986986	4.66340845128145	0.977025364852624
ENSOANG00000000125	2.15419774021075	1.02417195114056	4.41628710732624	1.08176956412464	2.91875984122734	4.02255414712241
ENSOANG00000000126	5.35732292327839	3.80142325076795	4.63914690375397	2.099386397391	5.3688295166322	4.33754602515611
ENSOANG00000000127	8.87818224882566	6.76851494997321	7.79321959391423	6.41311371138112	8.19059946819715	8.28646318348522
ENSOANG00000000128	-0.0114632768359467	0.010743414882246	0.00859617259419709	0.0138714954082112	-0.0329149479372667	2.19970742563346
ENSOANG00000000129	3.36239909878318	3.46692095166406	2.08251980203869	1.26487647931446	4.61640234383828	0.927177089476952
ENSOANG00000000130	5.484038123612	4.07365685428852	4.38913332324982	4.25425393758874	5.23343254170604	4.81347643874346
ENSOANG00000000131	3.12497524293209	2.50385848017481	3.30521077571866	2.82318973495215	2.39243561268017	2.73894773566412
ENSOANG00000000132	5.77055386172539	4.9331157555073	5.48833309455533	5.82623163433997	5.09994141747976	5.70253031132562
ENSOANG00000000133	-0.00903078113841499	-0.0157956353381159	-0.00820720120204635	-0.0215893411440689	0.0313700846649802	0.428268425216882
ENSOANG00000000134	3.73561273613652	3.06538161832653	3.68046588050578	1.6223166722991	3.87013933097367	2.49321520688278
ENSOANG00000000135	1.47415882850525	1.67734610389298	2.27160136066419	1.24013112356739	4.09957461037735	5.87803042189034
ENSOANG00000000137	4.87817364799733	3.81205011997545	2.89518153449198	1.35442670866783	3.70001749864954	1.37810167866199
ENSOANG00000000138	0.527672095069506	0.141677956636914	0.549833049698868	0.0555591514270335	2.94899325425482	3.14647463248153
ENSOANG00000000139	0.93403327324177	1.26209182580806	1.33414057414992	1.41425854840466	6.36914631970404	1.02446647578149
ENSOANG00000000140	1.93317856389985	3.05712418755122	2.5884674613654	2.07341188620281	3.74595398385231	5.86973892777412
ENSOANG00000000141	2.61331905604633	2.0335145264748	2.26945949878775	1.67543526028937	2.3950320872902	2.33622353412459
ENSOANG00000000142	1.97641781490797	1.38743585453594	2.10986900968446	2.06751195331435	1.93109278409741	1.89247747717024
ENSOANG00000000143	6.09583138970496	5.25580581646697	4.34502782792828	4.25026265637309	5.04134018495079	3.7619242715501
ENSOANG00000000144	2.67036820399407	2.97815725486769	2.44761234884528	1.7368781771802	3.5982041764784	2.82150742556242
ENSOANG00000000145	1.17837081422114	1.21797803134339	0.889576237476976	0.466974076102326	2.33318117422936	0.599533347107951
ENSOANG00000000146	1.05125048905279	1.2210051338293	1.48270915477067	0.384062093374702	2.65887466509063	0.582238024847745
ENSOANG00000000147	1.97606205218971	1.60630424899636	2.71278263606033	0.819602651880647	3.73617646516981	0.768378924405823
ENSOANG00000000148	5.69766670511588	4.4195339213163	4.76620037380354	4.1623012821209	5.73689290629262	4.94297003259774
ENSOANG00000000149	0.209184520963767	0.413276020094144	0.158759249474025	0.0502735338366148	0.989092523741808	0.294576896074815
ENSOANG00000000150	5.36068815883289	4.16889983715688	5.45375057861834	3.92297970714346	5.02406875369921	3.30596752569249
ENSOANG00000000151	-0.000484862764859481	0.0290890432662633	0.00844687948350944	0.0108875160624185	0.0504138242962865	0.32943084414063
ENSOANG00000000152	0.0215271261508061	0.00603596858985161	-0.00394178010622758	0.0109395255758736	-0.0162272715800304	0.274770272413511
