brain	kidney	liver	testis
ENSPMAG00000000001	13.2687600033181	NA	NA	12.2075362408185
ENSPMAG00000000002	3.49442242146604	NA	NA	4.24628744533958
ENSPMAG00000000003	2.71209500905215	NA	NA	2.85179094547855
ENSPMAG00000000004	5.22635163990336	NA	NA	9.66965480696645
ENSPMAG00000000005	5.65926813909325	NA	NA	6.15020312806749
ENSPMAG00000000006	1.37453638435154	NA	NA	3.08787332248463
ENSPMAG00000000007	3.00295508546598	NA	NA	2.04547067634016
ENSPMAG00000000008	6.56995112448898	NA	NA	6.60712713911025
ENSPMAG00000000009	3.66512796371958	NA	NA	6.00308634680421
ENSPMAG00000000010	2.16097324794467	NA	NA	3.48985112055325
ENSPMAG00000000011	3.86020762157149	NA	NA	4.6715584632851
ENSPMAG00000000012	4.90911709627749	NA	NA	5.9288178752251
ENSPMAG00000000013	4.22035951714406	NA	NA	4.53369526455939
ENSPMAG00000000014	0.575073928544073	NA	NA	0.10747537455927
ENSPMAG00000000015	0.680118310160447	NA	NA	2.42534188139553
ENSPMAG00000000016	1.87347029229808	NA	NA	1.23696158101924
ENSPMAG00000000017	5.44531518893984	NA	NA	5.3205521776016
ENSPMAG00000000018	3.72054737166092	NA	NA	1.14506080339083
ENSPMAG00000000019	3.78724733238639	NA	NA	1.75587513213612
ENSPMAG00000000020	2.12539306801434	NA	NA	3.3300742628566
ENSPMAG00000000021	4.98146601462073	NA	NA	4.98391687579273
ENSPMAG00000000022	7.92400013836899	NA	NA	6.1293526493101
ENSPMAG00000000023	1.7111024497749	NA	NA	2.93084552525103
ENSPMAG00000000024	3.66375663239417	NA	NA	3.58762575305827
ENSPMAG00000000025	2.21382440023381	NA	NA	1.32112864766191
ENSPMAG00000000026	0.966472388812267	NA	NA	0.230309579877329
ENSPMAG00000000027	8.40381219033668	NA	NA	4.36952579663322
ENSPMAG00000000028	1.5452541140276	NA	NA	1.144725160724
ENSPMAG00000000029	4.97052809573279	NA	NA	6.97026878567208
ENSPMAG00000000030	2.85860972332328	NA	NA	8.80715302076717
ENSPMAG00000000031	6.93023125663722	NA	NA	6.45129053462785
ENSPMAG00000000032	4.16365146102885	NA	NA	4.68671371071148
ENSPMAG00000000033	9.06528949821066	NA	NA	8.03434748489337
ENSPMAG00000000034	3.3521862041477	NA	NA	4.14932682252302
ENSPMAG00000000035	3.51554924524271	NA	NA	1.54184982957287
ENSPMAG00000000036	6.64800353361208	NA	NA	5.46824129287919
ENSPMAG00000000037	5.24876567386134	NA	NA	3.93351121238664
ENSPMAG00000000038	7.56898141260277	NA	NA	6.79422063597232
ENSPMAG00000000039	0.903542351744447	NA	NA	1.79462990655553
ENSPMAG00000000040	0.286488104788582	NA	NA	0.705954492114175
ENSPMAG00000000041	6.36056832499845	NA	NA	3.13621713601553
ENSPMAG00000000042	5.89927401562671	NA	NA	7.98590689573287
ENSPMAG00000000043	5.18490622858897	NA	NA	1.88021629611029
ENSPMAG00000000044	2.26417913856088	NA	NA	2.62733161239115
ENSPMAG00000000045	6.75376344158574	NA	NA	7.76907719914258
ENSPMAG00000000046	4.76848096105706	NA	NA	3.09361540042938
ENSPMAG00000000047	0.653807381211977	NA	NA	1.69885591688023
ENSPMAG00000000048	9.9405362570881	NA	NA	4.29298461011898
ENSPMAG00000000049	3.06139560399724	NA	NA	0.938395761027621
ENSPMAG00000000050	1.4041023304707	NA	NA	0.253384420293022
ENSPMAG00000000051	6.71978378231343	NA	NA	5.47487514986568
ENSPMAG00000000052	4.95767226392305	NA	NA	3.53548136676945
ENSPMAG00000000053	5.95736116491944	NA	NA	2.45300259280558
ENSPMAG00000000054	4.48249143275805	NA	NA	5.63572504541945
ENSPMAG00000000055	7.27654048389905	NA	NA	0.262389527009529
ENSPMAG00000000056	7.58596838162286	NA	NA	3.91460170277139
ENSPMAG00000000057	1.98582190563565	NA	NA	1.10011399964353
ENSPMAG00000000058	2.95098375136414	NA	NA	3.18882526935858
ENSPMAG00000000059	0.874096304038886	NA	NA	6.23497174361114
ENSPMAG00000000060	2.04328078641672	NA	NA	3.50765948383277
ENSPMAG00000000061	0.859307345998847	NA	NA	2.35671382701153
ENSPMAG00000000062	6.62438490363596	NA	NA	5.29765520264038
ENSPMAG00000000063	0.544255483003112	NA	NA	0.236074461968881
ENSPMAG00000000064	4.22028542566822	NA	NA	1.54373864331781
ENSPMAG00000000065	5.05242131372105	NA	NA	4.6753801177895
ENSPMAG00000000066	1.02193831552987	NA	NA	2.00312319070126
ENSPMAG00000000067	4.33371185568446	NA	NA	0.927933385155399
ENSPMAG00000000068	4.54684706160926	NA	NA	4.84037750890737
ENSPMAG00000000069	0.918732761766058	NA	NA	0.428004622339422
ENSPMAG00000000070	0.551386878050183	NA	NA	1.42089257049816
ENSPMAG00000000071	3.17800850241004	NA	NA	0.740916005899559
ENSPMAG00000000072	4.81045670562638	NA	NA	4.0408118227362
ENSPMAG00000000073	5.86455291479206	NA	NA	1.10507219107945
ENSPMAG00000000074	2.30045978548135	NA	NA	2.66173034218648
ENSPMAG00000000075	5.76465915054083	NA	NA	5.17219167059165
ENSPMAG00000000076	0.311574237385079	NA	NA	0.446032876149209
ENSPMAG00000000077	8.14634581452982	NA	NA	6.96671085670182
ENSPMAG00000000078	2.6099379094495	NA	NA	0.847574457505025
ENSPMAG00000000079	1.84747955476151	NA	NA	11.4444039203849
ENSPMAG00000000080	4.57654372851794	NA	NA	1.74410822682064
ENSPMAG00000000081	2.00821929541833	NA	NA	3.27631538481673
ENSPMAG00000000082	6.61388530889251	NA	NA	2.80980735407493
ENSPMAG00000000083	5.67307236971199	NA	NA	8.91607466688012
ENSPMAG00000000084	5.13647219402896	NA	NA	5.04263006971041
ENSPMAG00000000085	7.6231686828342	NA	NA	5.72071660965798
ENSPMAG00000000086	3.85972735568547	NA	NA	4.35387450514526
ENSPMAG00000000087	2.07906893055027	NA	NA	3.52448779249731
ENSPMAG00000000088	4.08661902500751	NA	NA	1.96556807492492
ENSPMAG00000000089	5.12143998107164	NA	NA	3.76468416028363
ENSPMAG00000000090	2.61355800003199	NA	NA	4.12320125068006
ENSPMAG00000000091	2.5000706468213	NA	NA	6.36922589778702
ENSPMAG00000000092	2.30757666653103	NA	NA	3.54844670668973
ENSPMAG00000000093	0.427359059031548	NA	NA	0.873136318684523
ENSPMAG00000000094	2.61367772998893	NA	NA	1.35566554311066
ENSPMAG00000000095	1.9035779064741	NA	NA	1.34746522325899
ENSPMAG00000000096	2.36623168886079	NA	NA	4.6154051033921
ENSPMAG00000000097	0.447392801527661	NA	NA	0.932999822723387
ENSPMAG00000000098	2.0593560040147	NA	NA	3.580011601853
ENSPMAG00000000099	1.36830357907755	NA	NA	0.597946205224471
ENSPMAG00000000100	4.04357963630951	NA	NA	7.87017562990487
ENSPMAG00000000101	1.78614450709776	NA	NA	3.26854492502235
ENSPMAG00000000102	5.64525438215758	NA	NA	6.52061894142425
ENSPMAG00000000103	1.77525754989045	NA	NA	-0.22074262190454
ENSPMAG00000000104	1.4556244688988	NA	NA	4.88898591601202
ENSPMAG00000000105	5.63867995996306	NA	NA	4.48704761536938
ENSPMAG00000000106	6.14944801205064	NA	NA	5.58507297349356
ENSPMAG00000000107	4.48498123814833	NA	NA	3.10067070251669
ENSPMAG00000000108	1.91356319668482	NA	NA	3.94311415515183
ENSPMAG00000000109	4.14854188307996	NA	NA	0.646485601200427
ENSPMAG00000000110	4.24409312839197	NA	NA	6.78400158308032
ENSPMAG00000000111	5.10749129723475	NA	NA	4.6069915166525
ENSPMAG00000000112	2.33943806137112	NA	NA	5.67985917528883
ENSPMAG00000000113	4.29709799980815	NA	NA	8.1809326449185
ENSPMAG00000000114	0.301538799395322	NA	NA	2.82673378004678
ENSPMAG00000000115	1.61175906305873	NA	NA	2.83726416941271
ENSPMAG00000000116	1.6890545683843	NA	NA	10.675110641157
ENSPMAG00000000117	1.13412517293343	NA	NA	9.07612210566567
ENSPMAG00000000118	1.64871122069481	NA	NA	0.608298973051915
ENSPMAG00000000119	6.99498705951454	NA	NA	6.31452111485458
ENSPMAG00000000120	2.69813618732611	NA	NA	2.70221645773887
ENSPMAG00000000121	4.80794106786276	NA	NA	3.73213714737237
