brain	heart	kidney	liver	ovary	testis
ENSRNOG00000000001	0.981607601279245	1.13410858664025	0.454065132942962	0.446422420649738	0.985825252243003	0.215364605390278
ENSRNOG00000000007	7.55416996242811	0.816135965230753	0.263874515105987	0.45610404873424	2.27105871245068	2.26756129695501
ENSRNOG00000000008	1.07995258135794	0.411160743827824	0.223764935998114	0.20312072444278	0.478283948031271	0.227943309304028
ENSRNOG00000000009	0.12501480606401	0.0497862028236442	-0.0242127812872632	0.0817164352169763	0.00281204921840547	5.10776397697328
ENSRNOG00000000010	6.07963016980729	0.0633485953266932	0.0169858528208084	0.0361205294290493	3.6346354244426	0.751944117123675
ENSRNOG00000000012	1.37614080852421	3.82836077554212	0.991599598724293	0.470697362515062	0.904541232946596	0.686152835821753
ENSRNOG00000000017	1.22605423266449	0.158591786700143	3.57947059734463	0.49325668533118	2.85937896693086	1.94208355839737
ENSRNOG00000000021	4.29138150290896	3.54704747042857	3.96768220768548	2.61907415744556	4.7954056669766	4.27040357626927
ENSRNOG00000000024	3.92798505120089	2.83539226540508	2.81208857542714	5.92935561059817	3.66941307342785	1.03063498532341
ENSRNOG00000000033	6.28289865355952	3.62721603040393	1.72472740156132	1.78891340498121	2.77772623439017	1.46985864904437
ENSRNOG00000000034	2.10566162648053	1.83899421543203	6.1949860525595	2.97733529356947	3.94213781483149	2.91509383702913
ENSRNOG00000000035	0.054510316043664	0.0692723382832003	0.319050202729457	1.14811718956784	0.572239500407155	0.727490134752316
ENSRNOG00000000036	3.02711418009702	0.530035732856977	3.62618347644553	1.35166579327771	7.12599651978146	0.687725797408198
ENSRNOG00000000040	2.68549791165364	2.88334344891491	4.4184876481288	1.08313990561901	3.35417369993797	2.04393655284344
ENSRNOG00000000041	2.50282315915614	2.36203394302147	5.78222586891527	6.48446404259888	2.39571155654524	1.00784970694039
ENSRNOG00000000042	5.45506345887723	4.13946860277492	5.48816482446576	3.63822782642258	4.48563272242644	5.70298572502853
ENSRNOG00000000043	4.4112788394083	4.48943672298036	4.845222957986	4.03855408774006	5.90066509715513	2.8763243544272
ENSRNOG00000000044	5.05216804193652	4.08783280740534	4.30808365438079	3.14365860534393	4.77173301699785	7.07201955732323
ENSRNOG00000000047	5.04600611350333	3.74671975704612	6.59605591818562	5.44669567014041	6.57699673775936	4.25556624973091
ENSRNOG00000000048	5.58648266839917	4.18938144056052	5.61012068136594	5.02158129618347	6.07968125338723	4.97127959979451
ENSRNOG00000000053	3.35118597953344	2.6508493740367	2.78149486947577	12.1262676895991	2.68173863246144	2.23394746962291
ENSRNOG00000000054	7.22145785692769	2.98538720251187	3.81893956004486	1.63053259836836	5.40956482939102	7.87271412440274
ENSRNOG00000000055	0.0197009996696646	0.506078514119527	0.110991010307136	0.231949908368956	0.209136747983674	0.108118818482448
ENSRNOG00000000060	8.50012450748648	0.736497317653345	0.506936429274548	0.287577699853557	0.983317006561173	1.3015182893966
ENSRNOG00000000062	4.73924431982863	3.8604302131931	4.32765929923593	3.32374153307455	5.07147107538254	2.71720444531879
ENSRNOG00000000064	10.1848089317657	11.6492199284444	10.7702316713647	9.54110104661341	9.62141911606179	8.66376731639079
ENSRNOG00000000065	0.240618862072032	0.187241673329147	0.165591173911086	0.196996753648817	0.256819979844728	1.3117847048457
ENSRNOG00000000066	5.20209009102811	4.23713970361577	4.70422061707147	4.10460407244497	5.16344785176828	5.30468825378839
ENSRNOG00000000068	5.87687472997648	6.51717998077196	6.99699146028319	7.06490414463827	6.19201858118565	3.79526084841972
ENSRNOG00000000070	3.2703663475708	2.3766032939689	2.86486543147223	2.08290141619482	4.0327616765964	4.35487491552453
ENSRNOG00000000073	5.1596022201282	4.7143413547251	5.27872494104804	6.43818140919859	5.29098804492301	4.9013456701385
ENSRNOG00000000075	5.05920480732914	3.6121271082077	3.98123854123079	3.45675740662313	4.57469656018389	4.78355424140144
ENSRNOG00000000081	2.85703360513581	5.70945462482355	3.72107420207459	5.28107061439212	6.09345726111505	2.6725263816815
ENSRNOG00000000082	5.19104108407717	6.78078708922264	4.81906657849272	3.76024016250607	4.74803439247464	4.32243098236624
ENSRNOG00000000091	2.685810113522	2.84398680196453	1.28226161095137	1.15999129727833	3.01239575395784	0.81040418049053
ENSRNOG00000000095	5.13781294533203	3.90371103033863	5.11584837835753	5.31787099186363	5.28359913112105	4.92238367121239
ENSRNOG00000000096	3.01380489173972	1.96237658872258	9.31061295956565	5.66460920678747	3.01748125013766	2.10013606202548
ENSRNOG00000000097	2.01861987161152	2.24643172088325	2.5850023218122	0.590186135262888	1.38202612351874	1.47993348993368
ENSRNOG00000000098	6.38337948884317	5.99160271693136	5.58399208842033	4.95423245559294	6.13443058716025	4.06982328232538
ENSRNOG00000000104	4.90164308946104	4.16460770492601	4.44034078913259	4.14296646124508	5.1570368884794	5.42860188740546
ENSRNOG00000000105	8.98515594154993	2.66819308210848	3.50472407257571	1.97546454733989	4.01683654521206	1.02467057805356
ENSRNOG00000000108	5.46940776413274	5.04114359356984	6.64888867395381	5.92393840111294	7.22274343141402	3.69035784853057
ENSRNOG00000000109	0.498454827169139	-0.00164872431425639	-0.0469461975035671	0.00859568633246363	-0.0105335747052509	0.00197815734938072
ENSRNOG00000000111	5.64129287944706	3.38105020768007	5.37878206967204	2.01574895126486	4.2801418679816	5.55661939813929
ENSRNOG00000000112	4.01950954449418	3.19630825200332	3.77167666653489	3.09568552815484	4.1207025731898	2.97946758556587
ENSRNOG00000000113	3.78447912707934	2.32219076407961	2.55080834509708	2.42285606556127	3.00202178230073	1.62323730521004
ENSRNOG00000000121	2.5280033211101	2.81369398111189	2.9576825412186	2.31846395621218	3.21533231440926	3.5140527968264
ENSRNOG00000000122	4.39764695051046	5.65972165483447	7.48483636340229	7.58686503188047	6.59439693294374	5.06655621012781
ENSRNOG00000000123	4.90305815063668	3.43867062767868	3.48488621212146	2.63201011871937	4.50208687698769	8.501189947633
ENSRNOG00000000124	0.0411721780163061	0.0108632889810802	-0.0218248926587133	0.0845273124417312	-0.18755389419572	0.475380188155631
ENSRNOG00000000127	6.15390392907024	5.57120968712421	6.00548433886901	5.44559490883573	6.00902542682679	7.4379285055031
ENSRNOG00000000129	6.14355806229882	2.41493646544293	0.340704935453772	0.0877295170421415	1.25341096874977	0.518616733297988
ENSRNOG00000000130	5.37346079914702	4.40840057440551	3.27543075242408	2.69520515064165	3.47678755558528	3.91446333230969
ENSRNOG00000000133	6.6693642030486	5.3355759921434	6.1344316123294	5.68548177057794	6.75250365055923	5.02509675546648
ENSRNOG00000000137	1.85339297771402	1.76649220849428	2.25330762643662	2.26259705309819	3.19037219223923	2.96229713591265
ENSRNOG00000000138	1.06446054063458	0.413454395310802	2.75043893372452	0.160544446737269	0.319818962711559	1.07549361859652
ENSRNOG00000000142	5.24438691988973	4.16334801067899	5.60470795415418	1.64851956836941	6.55580212758183	2.14529214767173
ENSRNOG00000000145	5.80770077561403	3.98914295352862	4.55118102944603	1.98331557296129	4.74827339549763	5.60083628513808
ENSRNOG00000000150	5.04390146672428	3.94388642746834	4.68518514039241	4.67816567990603	5.43999039120655	4.75112781208775
ENSRNOG00000000151	3.91399154503862	4.12213895173033	4.50215293968436	4.17896081856592	4.61838102434403	1.53616897848071
ENSRNOG00000000155	5.27411262527246	4.63433350216711	4.83297969714484	4.48687866388059	5.00968265801574	4.84599280485462
ENSRNOG00000000156	1.24836509444951	1.6678994613024	0.981910166117849	1.44130532853808	2.86009770761611	0.730900599808043
ENSRNOG00000000157	6.36506846129781	5.06802600020506	5.57758239308353	4.9737778752765	5.78449172586489	4.76786997975174
ENSRNOG00000000158	6.20377752274857	3.58800537579683	6.83661680483542	10.0940519354688	5.15586688604888	3.76115237973277
ENSRNOG00000000161	5.25047846456446	4.1621303057379	4.95411921159541	4.02863864294154	4.42363796942681	2.46074178517455
ENSRNOG00000000164	7.21610661818938	6.92596011007459	8.35432474149984	8.5733666404547	8.0278729980678	6.1307242740751
ENSRNOG00000000165	0.330878192351895	1.52334212525283	1.16264866738466	5.22778992415224	2.02975541359861	0.657988770452971
ENSRNOG00000000166	3.20240577553631	2.43989440580357	2.83983352656737	2.8098455984396	3.9221641481585	1.44567609775054
ENSRNOG00000000167	3.79942886537046	6.00493951410667	3.48845620384352	4.3153044517458	4.74066091729426	5.27291381997493
ENSRNOG00000000168	6.54865201200757	3.71937298772432	10.3275697816296	3.69408586339306	5.31886905606129	5.9073723118654
ENSRNOG00000000169	2.27542519245794	2.4395381886684	2.17434936485414	1.72464993252923	3.21586623813585	1.71444355253211
ENSRNOG00000000170	5.7441384468555	3.99671622465956	5.13353659122413	4.19374825766047	4.76213881397012	6.11938047001594
ENSRNOG00000000172	3.61791812225887	4.10293498003323	4.23185217604412	4.84332122587119	4.0045011404563	8.63812254235677
ENSRNOG00000000175	3.2786151809678	2.2294647503419	2.36772090805662	1.69312896479808	4.56124789679061	2.86298564052598
ENSRNOG00000000177	2.81733957571258	0.938832271022044	5.00164355157067	3.71340680790122	4.30950167249724	0.694973500174971
ENSRNOG00000000184	0.381762487185183	0.355761070380736	0.609423333897012	7.53608728129055	1.98381009791404	0.524963244202439
ENSRNOG00000000185	4.54628629942297	5.70070420394873	7.11331159366069	6.4460305031688	6.3666639454567	2.60126197625463
ENSRNOG00000000186	6.20876609299554	4.92550995135784	8.40859591219336	8.74944091265747	8.49677562911997	5.31152638121786
ENSRNOG00000000187	0.654557333591716	1.71019093277385	6.1081015293237	1.57843064132237	2.16410586621489	0.665985209659346
ENSRNOG00000000190	4.45235997329827	4.1876899493106	4.81863098194747	3.94112520268622	4.53621169638672	4.54303826899406
ENSRNOG00000000195	1.53094214259201	2.64266812782486	3.12025576155632	3.12444455652133	3.3965403950514	1.59417350480307
ENSRNOG00000000196	1.6249973094121	1.10962978630283	1.16527151092541	1.1327171665506	4.42752146906829	1.05121480211131
ENSRNOG00000000199	0.0925779959777462	0.148568684448607	0.107627813996307	-0.00289705580273496	2.74328302951847	3.57659906670408
ENSRNOG00000000201	1.8923277203099	2.07246339624484	9.87678138909479	9.72809490235324	6.67273569911608	4.48546534013035
ENSRNOG00000000204	5.99059687543245	5.63652389660336	5.97248429056112	5.66725685629375	6.45602238729258	5.03141437925052
ENSRNOG00000000219	4.79610544812778	4.9211841192139	4.76601774372377	4.69001977268281	4.81137356056062	4.80860099644339
ENSRNOG00000000221	4.33796518050964	4.35196243963124	4.53775957546137	5.35404227214567	5.11310130440158	5.60072034561182
