brain	heart	kidney	liver
ENSRBIG00000000006	12.34582	9.301183	12.25265	11.42134
ENSRBIG00000000010	12.39181	10.07856	12.20743	11.72411
ENSRBIG00000000016	14.15552	14.44724	15.4542	14.39024
ENSRBIG00000000019	15.09537	13.07492	16.04716	14.962
ENSRBIG00000000021	9.240166	10.02058	10.24551	9.038255
ENSRBIG00000000022	14.07504	12.60249	15.08118	14.05805
ENSRBIG00000000023	14.3197	12.37093	14.41848	14.00499
ENSRBIG00000000025	13.52536	12.01525	12.77794	12.993
ENSRBIG00000000027	10.49047	12.42845	14.27957	13.56571
ENSRBIG00000000028	13.08142	11.87044	13.82431	13.21698
ENSRBIG00000000032	10.8935	9.351087	12.21429	11.16356
ENSRBIG00000000033	12.44357	11.19674	13.418	12.70995
ENSRBIG00000000035	12.86903	11.4374	13.59889	12.71741
ENSRBIG00000000038	5.278821	1.671026	2.275737	1.257433
ENSRBIG00000000039	7.348055	8.595873	7.953347	7.585135
ENSRBIG00000000040	6.016389	4.03521	0	0
ENSRBIG00000000041	1.301354	7.109684	5.932456	6.394387
ENSRBIG00000000042	1.056819	0.7001618	0.2081714	0.1639225
ENSRBIG00000000043	3.851909	0.9557852	2.593237	1.749581
ENSRBIG00000000044	0.542579	0.01546688	0.5735161	0.0414321
ENSRBIG00000000046	0.3734088	6.511849	0.1947817	0.4832054
ENSRBIG00000000047	9.16439	6.542828	3.992903	3.548772
ENSRBIG00000000049	5.442376	3.427135	3.071373	2.037206
ENSRBIG00000000050	0	0.3458017	0.07771798	0
ENSRBIG00000000051	0.05642899	0.04730609	0.7700019	0.199683
ENSRBIG00000000052	3.775293	2.258181	3.175381	2.796743
ENSRBIG00000000053	0.5381945	0.11847	0.05118525	0
ENSRBIG00000000055	4.382515	6.502967	4.678016	3.74178
ENSRBIG00000000057	0.392712	5.78674	0.6469488	0.1471621
ENSRBIG00000000058	4.206049	1.752547	2.666511	1.501638
ENSRBIG00000000059	3.801667	1.442412	3.299224	2.428646
ENSRBIG00000000060	1.147938	7.229722	5.076367	7.37682
ENSRBIG00000000062	3.448791	2.121347	1.853287	1.189565
ENSRBIG00000000067	7.737112	6.822182	6.48229	5.143793
ENSRBIG00000000069	1.339405	2.452184	2.929882	0.6675597
ENSRBIG00000000073	1.598637	4.538973	3.490455	2.197271
ENSRBIG00000000077	2.089593	0.5561547	1.44987	0.76541
ENSRBIG00000000078	2.116009	1.070277	0.9168427	0.2054676
ENSRBIG00000000079	4.770556	6.282109	3.228939	1.787589
ENSRBIG00000000080	0	0.09297351	0	0
ENSRBIG00000000086	0.6881667	0.3397683	0.2306248	0
ENSRBIG00000000105	5.577459	7.522632	7.187127	5.974958
ENSRBIG00000000112	3.775135	4.630906	4.108516	2.242066
ENSRBIG00000000113	4.938794	1.613367	3.662399	3.572477
ENSRBIG00000000138	5.552565	0.1969104	0.03593339	0.05675151
ENSRBIG00000000139	0.9027065	0	0.2576491	0.1680104
ENSRBIG00000000153	0	0.1618219	0.3975467	0.4858379
ENSRBIG00000000165	1.836066	5.998042	3.492738	3.205907
ENSRBIG00000000193	0	1.098332	0.7801186	0
ENSRBIG00000000194	4.072723	4.774882	3.441624	2.241977
ENSRBIG00000000195	5.863017	0	0.02390802	0
ENSRBIG00000000207	0.4620209	0	0.05098821	0
ENSRBIG00000000222	4.151494	3.352855	3.780594	2.736194
ENSRBIG00000000223	5.824371	6.152378	8.421244	7.639001
ENSRBIG00000000224	5.99808	4.361572	4.822302	4.727654
ENSRBIG00000000231	2.522093	0.9902106	0.1435711	0.09733032
ENSRBIG00000000235	8.028851	1.679946	6.640345	6.895921
ENSRBIG00000000261	0.1284963	0.03949653	0.9106398	0.1055107
ENSRBIG00000000271	2.958316	0.2766777	2.493681	1.719346
ENSRBIG00000000299	4.337397	0.9260351	0.7754206	0.0630854
ENSRBIG00000000313	0.996704	1.192346	0.6753381	0.6052573
ENSRBIG00000000320	0	0.4814695	0	0
ENSRBIG00000000322	1.381106	0.07817518	1.790493	0
ENSRBIG00000000323	4.660261	2.997348	3.396431	2.895183
ENSRBIG00000000324	6.885959	4.442771	7.957486	6.563416
ENSRBIG00000000325	3.277111	3.819093	3.169433	2.353346
ENSRBIG00000000335	1.769454	0.4350834	0.3720963	0.7462121
ENSRBIG00000000353	0	0	1.235464	0
ENSRBIG00000000354	0	0.1614969	0.170343	0.3899346
ENSRBIG00000000371	3.369903	3.275607	2.756214	2.732376
ENSRBIG00000000373	3.977519	2.622171	3.05839	1.783753
ENSRBIG00000000377	1.198595	0.8228721	0.3277954	0.9864634
ENSRBIG00000000399	1.285544	5.146915	4.673244	5.898456
ENSRBIG00000000400	0	0	0.7000988	0
ENSRBIG00000000401	4.700773	6.291344	6.601474	5.30577
ENSRBIG00000000433	5.033071	3.760679	2.582101	1.719157
ENSRBIG00000000437	1.678946	3.990497	4.998302	3.409144
ENSRBIG00000000438	0.3246655	0.3476203	0.5998565	6.998208
ENSRBIG00000000471	3.174865	2.039395	1.718263	3.072166
ENSRBIG00000000474	0	0	2.814411	0
ENSRBIG00000000483	3.399853	2.714188	2.706822	1.231764
ENSRBIG00000000485	3.947944	5.626892	5.101412	4.616956
ENSRBIG00000000488	4.058373	2.589945	3.743556	2.548706
ENSRBIG00000000492	2.816637	0	0	0
ENSRBIG00000000493	4.831837	2.375482	4.650466	4.174758
ENSRBIG00000000494	1.382424	2.27566	2.76894	2.334548
ENSRBIG00000000502	3.752363	4.822613	4.633809	2.999089
ENSRBIG00000000520	3.623609	3.163629	4.043432	2.641932
ENSRBIG00000000521	0.09638803	0	0	0
ENSRBIG00000000540	5.126015	3.35525	3.354001	1.724253
ENSRBIG00000000541	4.167302	6.46407	8.33371	8.058966
ENSRBIG00000000542	0.8684094	0.1054075	0.08052123	0
ENSRBIG00000000544	4.257305	4.687346	5.553105	3.890758
ENSRBIG00000000545	0	0.4355934	0	0
ENSRBIG00000000546	1.530515	1.554926	1.229387	1.581518
ENSRBIG00000000547	1.416737	0.2249219	0.2704309	0
ENSRBIG00000000548	5.019995	5.623709	6.161785	5.765675
ENSRBIG00000000598	2.378903	0.6467018	1.047838	0.5055942
ENSRBIG00000000599	0.3896813	0.3659758	0.1460647	0.6598533
ENSRBIG00000000600	4.528784	4.455663	3.647372	6.610384
ENSRBIG00000000602	3.716322	4.009911	3.867481	2.094391
ENSRBIG00000000643	7.135114	5.264551	4.372165	3.030626
ENSRBIG00000000644	4.294753	1.313484	2.303038	0.8573536
ENSRBIG00000000657	3.117148	1.479469	1.703477	1.274077
ENSRBIG00000000662	4.987062	5.558952	4.23549	4.754529
ENSRBIG00000000677	1.160094	3.375596	1.765526	0.6644364
ENSRBIG00000000679	5.617725	5.598469	5.305033	5.450627
ENSRBIG00000000680	5.123244	4.079476	4.125991	3.213341
ENSRBIG00000000681	7.580138	4.088659	6.735238	6.239108
ENSRBIG00000000682	2.97995	2.25679	3.927953	1.248583
ENSRBIG00000000683	3.246634	2.907821	2.349457	1.659495
ENSRBIG00000000733	0.8384791	2.82189	5.239024	3.575603
ENSRBIG00000000734	3.583567	0.2247145	0	0
ENSRBIG00000000739	6.022305	4.382021	4.505046	3.306445
ENSRBIG00000000752	4.837297	1.477403	2.292688	0.2317113
ENSRBIG00000000753	4.975703	5.95713	5.931897	4.070738
ENSRBIG00000000758	4.992388	0.5105052	1.608805	0.8548845
ENSRBIG00000000764	3.828439	4.312658	6.359468	4.350709
ENSRBIG00000000766	2.716062	0	0	1.58962
ENSRBIG00000000767	2.506909	1.028189	1.294213	0.4787151
ENSRBIG00000000771	0.7065809	0.8899228	1.576614	0
ENSRBIG00000000772	1.266169	0.0824083	3.714355	1.859819
