brain	heart	kidney	liver	ovary	testis
ENSSSCG00000000002	0.223266435510163	2.19246985495685	0.431380004305562	0.836090728427489	2.23008815615956	2.31080895200871
ENSSSCG00000000003	2.2092750967366	1.87007543443998	3.61035751662212	4.50120425162713	2.87581667886041	2.67963066554004
ENSSSCG00000000005	3.9519433412293	3.29542920576028	3.84832846085943	3.34608594754882	4.35268936097031	3.6531094564582
ENSSSCG00000000006	1.88759252812194	2.32531965522867	4.94764258449441	4.30195105731754	2.00131842726985	2.38575327378176
ENSSSCG00000000007	3.65011848425926	2.99246291870319	3.6491815050507	3.82571391283208	3.77492316434915	3.29523051458333
ENSSSCG00000000010	3.21567148277735	5.8979008241003	5.11932805824561	5.57871736165219	7.41257361370334	3.62950576552009
ENSSSCG00000000014	3.37163899091323	4.29186623169986	3.09943300442567	2.38930552090706	3.90521385262648	4.75426339041012
ENSSSCG00000000018	5.80003708793938	4.08117279090543	4.11383952963811	2.76208030981755	6.11895930043549	7.08071560258466
ENSSSCG00000000019	4.64587467539205	3.75060350846046	5.16118360577555	4.26940239788431	4.85847065620141	7.59546414775749
ENSSSCG00000000020	2.0759502390323	0.468458962286833	0.556612832697085	0.288882018564982	0.521104198644171	1.86334406210157
ENSSSCG00000000021	1.05834876340922	1.09508145572703	3.08675446257692	2.56018790505923	1.56911997288353	2.65839170310013
ENSSSCG00000000022	4.64399986821687	2.89258236524886	3.53540592536645	1.65807590369343	4.8045479477408	3.24183206506136
ENSSSCG00000000024	4.14422501363763	5.95540748443497	1.39107947046018	2.74765534155435	4.95950458215922	1.68987800716491
ENSSSCG00000000025	2.40131208257498	2.06356773995403	1.72016291880625	2.11174280528734	1.95569622054984	2.25225048253647
ENSSSCG00000000026	6.46347135296146	0.00516262505656921	0.0259860865638049	0.0386584531250998	0.189990110126425	3.32021338324774
ENSSSCG00000000028	1.71109067129769	0.122777690191368	1.23914290906138	0.12606032519976	0.544201712170341	5.76132162047765
ENSSSCG00000000029	1.85591365806697	0.102230200139122	3.54551043340842	0.234778250689917	2.37822975074131	1.69211777063468
ENSSSCG00000000031	4.08559659879603	2.30110876519178	3.67981810255535	3.12229723877561	3.6081602309168	3.92635291733867
ENSSSCG00000000033	2.98449656224553	6.78063664207291	4.776770261676	2.83906260737833	5.99376371485415	3.26416882072775
ENSSSCG00000000034	6.04520908299641	4.48745085679705	5.42619467382815	4.99111363479502	6.55278919554802	3.60575966586414
ENSSSCG00000000035	6.06065009751611	3.77916569819252	3.74403240966531	1.95293241694781	5.30443901087811	6.31844708481799
ENSSSCG00000000036	4.49969682917439	4.9028863585924	5.84324180796939	3.62851377497376	5.45158009095991	5.22873409553675
ENSSSCG00000000037	3.77748020932649	4.21048617189972	5.9902798877046	5.91919016303024	6.13153646659715	6.57607508083681
ENSSSCG00000000038	6.19590183759833	6.74732372560266	6.32741680422115	7.03874432580382	8.63912486895026	8.14480581326297
ENSSSCG00000000039	5.3443741196263	4.62730873823728	5.30114985351737	4.31378391790338	5.96276338891406	6.13859303487692
ENSSSCG00000000040	6.65094922898518	0.827872680498526	1.30510097856225	0.751130489340066	1.47182737053722	8.02128602344319
ENSSSCG00000000045	5.99148547123891	5.9416965772626	6.68189205001508	5.3436157869743	5.7087004023816	4.96758624377022
ENSSSCG00000000046	0.544869090297074	0.704055406962162	8.11174147279553	9.64103671515517	2.43825374798517	5.62661268645865
ENSSSCG00000000050	3.95981358576781	3.80012352933053	6.19186364159978	4.25761437030119	6.0120730174196	4.52472924599774
ENSSSCG00000000057	-0.0122212898140076	0.000383646218682406	-1.8255477955412e-05	-0.0138834804293889	0.0507014592488105	6.731746624157
ENSSSCG00000000058	8.73179605053191	7.0165805488013	7.35637836315204	6.10225052600528	7.61862961456822	8.13275571108334
ENSSSCG00000000059	3.27073402933865	2.78716853607637	3.6582533511361	3.05156928875734	4.17918368588008	4.76670738536105
ENSSSCG00000000061	4.63224241889191	2.42468786422123	7.79216856853415	5.19947853816432	4.47678476924924	4.39240028161681
ENSSSCG00000000062	5.3003889048644	1.32576250613608	4.23859713966691	0.583555350754793	6.63371011249339	3.87751945533099
ENSSSCG00000000063	3.5431459787307	2.8019360380202	4.39682936360579	3.53142694567519	3.93191765129449	3.63644133427354
ENSSSCG00000000064	7.56179237417861	7.63897878738889	8.5536235997162	6.36352732992873	7.23105445277836	6.76011107927142
ENSSSCG00000000066	3.2065643630716	1.80508945947259	3.04407830930796	1.47872242207487	3.16604744574861	3.80668806018525
ENSSSCG00000000067	1.98651014415853	0.703921104522666	0.270924777994599	0.307010731611577	0.982810635698349	2.22975247803247
ENSSSCG00000000068	3.29290115508222	3.18127600792662	4.02853738062525	2.86612866106408	4.34876631701526	4.40271155712407
ENSSSCG00000000071	7.18954754897554	6.42274322190488	8.49800381735852	7.65149866515682	7.73190427155026	7.47819127035015
ENSSSCG00000000072	4.97485214743771	3.23333316453657	6.1595344097708	5.44080045346114	6.27663757235001	5.82049247693762
ENSSSCG00000000073	0.576880514323589	0.764675780194043	1.03459350143875	0.92245699385713	1.13854853047953	4.14495355666934
ENSSSCG00000000074	4.07593124465749	0.0542035331986759	0.139990063947324	0.0619715699517454	0.288677381344018	1.5957599895217
ENSSSCG00000000075	3.39784111252155	2.59106414033191	3.04982721586767	2.38816956346545	3.9618439058476	4.16135852279433
ENSSSCG00000000076	4.26773666720628	2.76827494857267	3.50208661967513	1.90263219280037	3.51497214436188	4.63183317860629
ENSSSCG00000000077	4.28698694521055	4.52195417501689	5.61385028242001	4.66320334289017	5.00042576940047	5.20202623923764
ENSSSCG00000000078	3.12691365583623	2.25674562982875	2.69636901713797	2.03405211278444	2.88635950788473	4.3791223705066
ENSSSCG00000000079	0.467296352865884	0.291517756772069	3.82666493312225	0.782727337878985	1.08021564986099	5.19690856965285
ENSSSCG00000000080	0.427059508433683	0.413344592611982	1.05810462839011	0.558767745035603	0.50401871167437	2.47797147412647
ENSSSCG00000000081	0.793693214549531	0.327169562950321	0.439283821993589	0.357254074193722	0.563151459449786	4.95284047752954
ENSSSCG00000000082	3.61098513767501	0.00887906462724287	2.44438602831827	0.0174089290851693	0.22162261095011	0.181157723202545
ENSSSCG00000000083	4.57960485458406	5.05336912860717	6.07966181933838	5.46842802963841	5.87413502463932	5.09409558859794
ENSSSCG00000000084	7.62558455417256	7.69069582352667	7.10775775731119	7.39592327225548	8.23715962281251	6.48937505030457
ENSSSCG00000000087	3.67965057435873	2.34653200191342	3.16627559365683	2.51890337778816	3.58766617604792	2.04493138850738
ENSSSCG00000000089	3.99728579343197	3.24085142163468	4.40464957277277	4.23493951066791	4.54426703174964	6.15182601230745
ENSSSCG00000000090	4.53592911544818	3.01444729173011	3.31285615001926	1.63474915184363	2.00457006910938	2.0439422400873
ENSSSCG00000000091	2.58290611918215	2.97204277978029	2.80137745619196	2.23689720424852	4.68703393783039	3.14419074203753
ENSSSCG00000000092	7.40153409657334	1.42909136882964	0.121214747071166	0.0703722679386593	0.903550149810428	1.87841397803793
ENSSSCG00000000093	3.52171954077772	3.16006335551417	3.99545715811334	2.36536971031756	3.94044832320623	5.09568055804582
ENSSSCG00000000094	3.88955494109344	5.52562946063576	5.23851621272864	5.32140864572359	5.47808032884545	7.1676516567384
ENSSSCG00000000095	3.75468806281971	3.17827879211593	4.33193023645625	3.53675188686232	4.37000779607956	5.1953698949183
ENSSSCG00000000097	5.64132774093183	5.72777046056324	6.45961165271913	4.89748952801437	6.64658716890339	5.97303117840382
ENSSSCG00000000103	0.40307514186698	0.153507432902732	0.128613204239223	0.0311796037636246	0.244540546164907	5.11685500686122
ENSSSCG00000000104	7.14137817774504	7.03783237504297	7.55474953958944	6.24912868368209	7.42635194762919	6.93910852027726
ENSSSCG00000000105	2.00839411454986	4.378284716076	3.0540646699989	4.58625323620821	6.51169075506453	1.5975626331455
ENSSSCG00000000106	6.06173512835003	4.24220152428236	-0.0284192851190938	0.0397202367061516	0.126002596836716	2.01641381977191
ENSSSCG00000000107	4.41081262602472	3.80776290690911	3.46750974952927	2.25062753543755	4.93342879280006	2.86376678907549
ENSSSCG00000000108	4.52472372039842	3.5153351764371	3.04856757435507	2.68362158470304	4.86383341732476	1.85355462430991
ENSSSCG00000000110	3.18235715919677	1.73654614435314	3.07412994383698	2.0863117332062	3.29498678393485	5.20936230880486
ENSSSCG00000000111	2.38305779325729	0.796286166923204	5.39819726735579	0.886302417379388	0.311240478940714	1.88890680058164
ENSSSCG00000000113	0.551857998626315	0.360136777643997	0.213185342656771	0.0351247044710226	0.205790386928685	0.654175584220472
ENSSSCG00000000114	5.18437653605901	3.76426362299766	4.44545498166241	3.54638457746115	3.90681681898584	5.45880626241522
ENSSSCG00000000116	5.96481896101685	6.5549287364195	6.56532040556844	5.72601529971505	6.13903725714497	5.60865521426271
ENSSSCG00000000117	3.44827164172907	2.86291244184437	3.7054201757651	0.835655358802055	3.01457913140178	5.59802053057887
ENSSSCG00000000118	3.55254432521452	2.84819797935893	4.29479080918832	1.47421449305156	4.05256969943305	3.41290612312276
ENSSSCG00000000119	5.94318154862846	6.31966984391918	6.67708023242267	6.60379623714894	7.37417539092841	6.72565992759414
ENSSSCG00000000120	3.12968353149883	2.15231502683871	3.18627490522939	2.50757718121511	3.07804313494937	2.49409260130601
ENSSSCG00000000121	0.737120610747839	-0.0158877835961891	0.193040889855125	0.906124173998945	0.234832574942245	0.224347527632762
ENSSSCG00000000130	2.68684238830284	2.75728902957631	2.05615155831223	2.33911823181287	2.94191197835679	0.579580711277677
ENSSSCG00000000131	4.8345089644062	0.311455437229864	1.171260535558	0.0749698966227981	0.153180488368431	0.588746464271665
ENSSSCG00000000132	0.157447677710006	-0.037503529227674	0.296245906892205	1.81391796931549	-0.151036670405105	7.96382094327785
ENSSSCG00000000133	5.359024578401	4.30313870413964	7.52108290181989	8.52861068414655	4.07989703572577	3.91739398125617
ENSSSCG00000000135	5.23341804748043	1.30650832411095	1.78372355587176	0.338700596878888	2.50588139432394	1.81741946912231
ENSSSCG00000000136	1.29033173529298	1.85722889234807	1.322705934196	1.98462144452337	2.63192782887392	0.894855594279323
ENSSSCG00000000137	2.70387777411718	2.24243493107513	1.94908929904332	2.87620265956753	3.0541162768837	1.88776429309517
ENSSSCG00000000138	6.48523853282754	0.0744006192237014	1.08636404757987	0.106934200883014	0.50462492388848	1.26995237243083
ENSSSCG00000000139	4.2605698050881	3.72528005170238	5.01982747239227	4.30793248955373	5.24894326941244	6.90904333356235
ENSSSCG00000000141	4.38069438624828	4.2996738050203	4.73058177053378	4.63896419633868	5.65268403213505	6.39721693612113
ENSSSCG00000000142	2.93530272626277	0.804157369768098	0.832627221895224	1.06854251494366	3.92549705288284	1.75687053156702
