brain	testis
ENSTGUG00000000001	1.91906359863149	0.909072204105524
ENSTGUG00000000002	6.0246794807819	5.47816622432098
ENSTGUG00000000003	6.06070902140825	3.76700526910858
ENSTGUG00000000004	2.44408701068501	2.48003496794496
ENSTGUG00000000005	-0.00120635225328144	0.546294723426511
ENSTGUG00000000006	3.58537677478282	3.33892534231821
ENSTGUG00000000007	2.69556090205871	3.2313066271572
ENSTGUG00000000008	1.69267152012153	1.88543997296875
ENSTGUG00000000010	5.70270471560465	7.56385751985272
ENSTGUG00000000011	4.32189386583603	4.70039673582523
ENSTGUG00000000012	0.322053588141472	2.08608857890892
ENSTGUG00000000013	3.67761175257937	5.70560640892855
ENSTGUG00000000014	5.73631911092132	5.44180666723605
ENSTGUG00000000015	0.034685585703347	4.19731714288996
ENSTGUG00000000016	4.73363531954109	5.32040004137673
ENSTGUG00000000017	0.457252923775371	1.16790925200722
ENSTGUG00000000018	5.90149089534083	5.94889698064418
ENSTGUG00000000019	0.319497317946818	0.0962654461595449
ENSTGUG00000000020	1.02566947157399	0.674425785278018
ENSTGUG00000000021	10.1565022281397	8.69095464891421
ENSTGUG00000000022	1.98960633723576	2.19926795495939
ENSTGUG00000000023	4.55278063668193	6.2768990899542
ENSTGUG00000000024	0.124269828661035	3.40097128068356
ENSTGUG00000000025	4.83026704020103	5.83680521273026
ENSTGUG00000000026	0.387679536456027	2.13607239063192
ENSTGUG00000000027	4.84128878027181	4.79488632585123
ENSTGUG00000000028	0.812421598163633	2.18697983884243
ENSTGUG00000000029	7.388715131945	7.067606604165
ENSTGUG00000000030	1.90220181573004	1.90878155280988
ENSTGUG00000000031	2.23096244314321	3.28430033723705
ENSTGUG00000000032	3.92352994075502	2.15902784440162
ENSTGUG00000000033	3.22129065195788	0.888887877459684
ENSTGUG00000000034	1.66497950849039	0.159872207862176
ENSTGUG00000000035	3.27534371185705	5.08885819776217
ENSTGUG00000000036	5.31507412638494	5.65699962084518
ENSTGUG00000000037	4.56446958090321	5.01310992395704
ENSTGUG00000000038	5.33640861707239	6.25809048211616
ENSTGUG00000000039	6.14879399339115	6.24196001982655
ENSTGUG00000000040	1.76077840744519	2.12077387766442
ENSTGUG00000000041	3.15841377533807	2.61501100731911
ENSTGUG00000000042	5.66983649656952	6.61787351029143
ENSTGUG00000000043	8.00771756932547	7.61877562535691
ENSTGUG00000000044	9.73866846166751	9.69311361499746
ENSTGUG00000000046	6.82687972140196	7.59147250246079
ENSTGUG00000000047	5.62467205827813	9.39134649183228
ENSTGUG00000000048	6.27139287780788	7.1506566999097
ENSTGUG00000000049	8.87576984103969	9.99022881021425
ENSTGUG00000000050	4.05511967501757	2.59702897494728
ENSTGUG00000000051	0.421805611688555	0.985122998267668
ENSTGUG00000000052	-0.00231844171570543	1.72192432514712
ENSTGUG00000000053	0.437209731631369	1.09528763843923
ENSTGUG00000000054	0.293420467730735	1.26017889680779
ENSTGUG00000000055	7.30600550492358	3.85390581856258
ENSTGUG00000000056	7.00050899359093	6.75039001922721
ENSTGUG00000000057	1.65928497542103	1.66399774040359
ENSTGUG00000000058	4.9547792987302	5.25480043714274
ENSTGUG00000000059	5.66552493520612	7.09036386104831
ENSTGUG00000000060	4.16611077351043	1.81167901280203
ENSTGUG00000000061	2.88600870796871	3.74140754276053
ENSTGUG00000000062	0.666050770790811	0.314813220960901
ENSTGUG00000000063	3.89042794392518	3.50531316822447
ENSTGUG00000000064	2.03379592577734	3.07153322266799
ENSTGUG00000000065	0.982633929445957	0.497307744995463
ENSTGUG00000000066	6.44109715039991	5.50266854880028
ENSTGUG00000000067	6.34953706572839	5.29295346948149
ENSTGUG00000000068	0.781715323388873	1.63824486316671
ENSTGUG00000000069	7.94681511686814	3.46852164939557
ENSTGUG00000000070	5.03870354252797	4.65161803908276
ENSTGUG00000000071	0.904400629236423	8.5334306789574
ENSTGUG00000000072	2.92919507657758	5.12118777026725
ENSTGUG00000000073	4.70581086056285	2.70987375164477
ENSTGUG00000000074	0.693658716731931	2.25348016802887
ENSTGUG00000000075	0.00222843348026165	3.96547569955922
ENSTGUG00000000076	9.04282854335036	8.5023110366156
ENSTGUG00000000077	0.618075989162769	4.13551866584503
ENSTGUG00000000078	1.03350779342764	1.44226338638374
ENSTGUG00000000079	5.7466736264058	6.06950412078261
ENSTGUG00000000080	5.53891777332488	8.95064234669201
ENSTGUG00000000081	2.98661343440497	3.70989369678509
ENSTGUG00000000082	3.76846435392622	4.76070060488801
ENSTGUG00000000083	5.66029735101239	5.39462328029616
ENSTGUG00000000084	8.40057063817491	6.88366108547528
ENSTGUG00000000085	3.08640920998148	4.49051503672223
ENSTGUG00000000086	3.55394687550007	2.89691870683313
ENSTGUG00000000087	0.0910553371718049	0.945336471817919
ENSTGUG00000000088	4.13439799512786	3.20391101461643
ENSTGUG00000000089	4.47714244079969	3.47186701093428
ENSTGUG00000000090	3.04666123612238	3.07971762496619
ENSTGUG00000000091	1.22864727549646	1.31135930684396
ENSTGUG00000000092	5.26965940835287	5.84628677494139
ENSTGUG00000000093	6.17128088109565	3.62387569004638
ENSTGUG00000000094	1.69140018950978	5.39836409813732
ENSTGUG00000000095	9.20972891654237	9.95964391703956
ENSTGUG00000000096	1.74872420949661	3.36632713817683
ENSTGUG00000000097	3.16661456911595	6.01646795931882
ENSTGUG00000000098	4.8295367732755	6.45581601350682
ENSTGUG00000000099	4.24699121669876	7.20460168323705
ENSTGUG00000000100	0.261240425871042	0.85810721905354
ENSTGUG00000000101	2.14940537124639	1.95332088626082
ENSTGUG00000000102	6.55406953051124	8.58742540846626
ENSTGUG00000000103	1.48251448106459	1.68664455680624
ENSTGUG00000000104	1.13137456577802	5.03862663599928
ENSTGUG00000000105	3.70236057885534	1.36976226343398
ENSTGUG00000000106	8.2578825617577	4.2530793147269
ENSTGUG00000000107	1.56193012637586	0.258588244205757
ENSTGUG00000000108	5.89719382102467	0.777767770259315
ENSTGUG00000000109	6.43263888607055	6.802035008455
ENSTGUG00000000110	8.2664907794632	8.35745599494375
ENSTGUG00000000111	8.77469495393386	7.19683780486508
ENSTGUG00000000112	6.27479579257447	5.45169528894326
ENSTGUG00000000113	5.08389549257693	4.40676018893589
ENSTGUG00000000114	8.21916459534606	6.68617021396181
ENSTGUG00000000115	5.40361166476383	1.75029367237518
ENSTGUG00000000116	3.81797015527383	1.14185340084518
ENSTGUG00000000117	4.54541001295316	6.1847436278072
ENSTGUG00000000118	4.73178037601747	6.00193520528092
ENSTGUG00000000119	5.5162404315872	5.60338937190508
ENSTGUG00000000120	2.47221740076152	1.82391346438211
ENSTGUG00000000121	6.64181873575752	8.14988079272743
ENSTGUG00000000122	2.77492255957524	0.583538787940958
ENSTGUG00000000123	5.38225924492697	1.69289859855243
ENSTGUG00000000124	3.52520298965851	4.63570903102447
ENSTGUG00000000125	0.0364128113418227	0.274490832641199
ENSTGUG00000000126	0.927137605146667	0.423165517893334
ENSTGUG00000000127	4.84729183500674	0.146435594979791
ENSTGUG00000000128	6.89168685157626	7.48039444527122
ENSTGUG00000000129	4.85329072649416	0.387721853850848
ENSTGUG00000000130	0.356380638512012	0.168823184463965
ENSTGUG00000000131	4.38686532727839	0.0138580181648461
ENSTGUG00000000132	2.27926134909894	4.17293828603652
ENSTGUG00000000133	3.18028809470654	2.47549471588037
ENSTGUG00000000134	6.62946758150815	6.97714858880887
ENSTGUG00000000135	1.8237420200816	0.757820906421874
ENSTGUG00000000137	0.0590912927472954	0.234488621758114
ENSTGUG00000000138	0.453727237613697	1.23099835382558
ENSTGUG00000000139	1.12522260946872	0.894243838260519
ENSTGUG00000000140	1.98051689182739	3.03323065785116
ENSTGUG00000000141	4.05661204278161	4.69961787165517
ENSTGUG00000000142	3.32970840198721	5.67047612737171
ENSTGUG00000000143	7.15368684930035	7.86331178543227
ENSTGUG00000000144	5.22760821179442	6.65073069795008
ENSTGUG00000000145	1.36266232170818	2.59949470154213
ENSTGUG00000000146	4.67330960749944	6.25756617750168
ENSTGUG00000000147	3.0539987134285	3.48162219304783
ENSTGUG00000000148	4.8881631504257	2.41201221538955
ENSTGUG00000000149	7.28558984722606	7.83432245832183
ENSTGUG00000000150	5.83338879209702	4.2942792903756
ENSTGUG00000000151	12.7446370278607	11.5299089164178
ENSTGUG00000000152	10.8285820966652	12.1270667100044
ENSTGUG00000000153	4.73515638127297	4.35501152284775
ENSTGUG00000000154	0.662736458555382	0.818036091000521
ENSTGUG00000000155	6.12186444577494	7.29395666267519
ENSTGUG00000000156	5.03141941116314	2.3932690998439
ENSTGUG00000000157	1.30170153095579	8.43479440713262
ENSTGUG00000000158	5.40478300532016	1.56896531737287
ENSTGUG00000000159	5.9266889504711	3.2752471485867
ENSTGUG00000000160	2.97265124900692	1.18375288631258
ENSTGUG00000000161	8.49041051306552	8.4289511274701
ENSTGUG00000000162	6.86649001057885	6.90482196826344
ENSTGUG00000000163	6.01401549256035	4.70382618898561
ENSTGUG00000000164	4.35881050671704	3.50493047984888
ENSTGUG00000000166	4.34441046544211	3.64296127034034
ENSTGUG00000000167	0.930514963577713	1.45377810926686
ENSTGUG00000000168	3.21094756589674	2.0902786356431
ENSTGUG00000000169	5.19986137437383	6.31881821021184
ENSTGUG00000000170	3.42169375483169	1.93336226883828
ENSTGUG00000000171	6.89212916203438	7.39456851389687
ENSTGUG00000000172	6.27028068154681	6.48631028869292
ENSTGUG00000000173	3.39224089695295	0.621963709141146
ENSTGUG00000000174	2.88020853120101	0.960092806396968
ENSTGUG00000000175	3.81671657518125	7.44132360778959
ENSTGUG00000000176	6.73189686336289	7.28171674324468
ENSTGUG00000000177	5.35180547127083	3.75991491952083
ENSTGUG00000000178	10.1903863519862	9.51421694404126
ENSTGUG00000000179	0.034473223888584	0.022554318334248
ENSTGUG00000000180	4.79773857842749	4.95359026471754
ENSTGUG00000000181	5.31187072035156	7.89366217227866
