kidney	liver	ovary	testis
ENSTRUG00000000001	0	0.02222357	0.2137118	0
ENSTRUG00000000002	9.853539	6.685950873	9.679837	8.613031
ENSTRUG00000000004	0.25076935	0.0401625785	0.6414304	0.1734153
ENSTRUG00000000005	0.89610885	0.164800407	0	0
ENSTRUG00000000006	0.03822995	0	0.6335642	0
ENSTRUG00000000007	0.4412628	0.243097021	0	0.0595935
ENSTRUG00000000008	0.90577635	0.9630963025	0.6480392	0.8688527
ENSTRUG00000000009	6.4989205	4.922706943	7.045847	3.823894
ENSTRUG00000000010	4.492567	2.9092050695	0.2398782	0.1546286
ENSTRUG00000000012	0.62547525	0.4466316955	0.946588	0.1948563
ENSTRUG00000000013	0	0	0	0.02745827
ENSTRUG00000000014	4.6111495	2.4254718875	2.854578	0.7278029
ENSTRUG00000000015	5.253045	0.0239666915	0.117081	0.03821519
ENSTRUG00000000016	6.183792	5.5430798	8.205212	2.845191
ENSTRUG00000000018	2.042381	1.0803653505	3.32226	0.2994826
ENSTRUG00000000019	2.928881	1.8760030585	2.658167	1.074555
ENSTRUG00000000020	4.0913395	1.859982931	3.515338	2.203252
ENSTRUG00000000021	2.1409855	0.218441237	0.3696217	0
ENSTRUG00000000022	7.26838	5.136742818	5.535932	4.277843
ENSTRUG00000000023	5.248588	2.9341203965	4.442015	1.389291
ENSTRUG00000000024	1.4611785	2.715395504	5.4837	2.148254
ENSTRUG00000000025	0.63297855	0.5254576915	1.777424	0.1525839
ENSTRUG00000000026	4.1041655	2.756980631	3.255312	1.012794
ENSTRUG00000000027	1.4035895	3.01455022	1.845739	0.1716347
ENSTRUG00000000028	4.5088295	1.609814915	1.328567	0.1292595
ENSTRUG00000000029	3.0584105	1.434716202	2.024	0.2104387
ENSTRUG00000000030	3.069624	2.9096836785	2.979899	0.8950784
ENSTRUG00000000031	2.235426	1.4237575345	2.07712	0.03094933
ENSTRUG00000000032	1.65885	1.375706957	1.967327	0.0488144
ENSTRUG00000000033	3.795012	2.394873742	6.019484	0.2650468
ENSTRUG00000000034	0	0	0.1737031	2.891792
ENSTRUG00000000035	0.06784405	0.049513161	0.5478456	0
ENSTRUG00000000036	0.98235075	5.3901875665	0.2859283	0.1321512
ENSTRUG00000000037	4.7946375	0.655335607	5.410626	5.92972
ENSTRUG00000000038	0	0	0.2186163	0
ENSTRUG00000000039	6.1560365	4.148474596	6.606892	3.17267
ENSTRUG00000000040	0.7079806	0.175773269	0.6945754	0
ENSTRUG00000000041	6.251657	3.171422434	5.678586	1.195193
ENSTRUG00000000042	1.7724495	1.7692426005	1.698574	0.3589307
ENSTRUG00000000043	8.0232605	5.589982082	9.123878	6.24747
ENSTRUG00000000044	0	0.116245002	0.1638907	0.10325
ENSTRUG00000000045	0	0	0.04168848	0.0726058
ENSTRUG00000000046	1.2472415	0.602841202	5.675616	5.685096
ENSTRUG00000000047	0.09363732	0.0465149225	0.2455906	0.02047745
ENSTRUG00000000048	0.10402635	0	0.2162947	3.491099
ENSTRUG00000000049	4.357969	1.835697993	5.746729	3.441182
ENSTRUG00000000050	2.1466555	1.205973867	0	0
ENSTRUG00000000051	1.500478	0	0	0
ENSTRUG00000000052	4.056529	1.725058799	0.3370774	0
ENSTRUG00000000053	0.2526028	0.2247463525	2.102154	0.05337941
ENSTRUG00000000054	1.8414765	0.2992250055	0.2847617	0
ENSTRUG00000000055	0	0.0158604125	0.04060393	2.899268
ENSTRUG00000000056	0	0	0	0.03592776
ENSTRUG00000000057	5.9133845	4.5641406905	5.821988	1.936146
ENSTRUG00000000058	0.0883274	0.011418961	0.08302583	0.1148161
ENSTRUG00000000059	3.3365	2.92622333	3.497152	1.552289
ENSTRUG00000000060	1.7759805	1.72832998	2.052805	0.4973492
ENSTRUG00000000061	0.10634731	3.077140835	0.04423799	0
ENSTRUG00000000062	0.808079	1.053014318	0.2515179	0.2655845
ENSTRUG00000000063	3.1928125	1.4675993415	1.76057	0
ENSTRUG00000000064	2.385306	0.2957907235	2.041594	0.4424315
ENSTRUG00000000065	7.7737305	6.8939736145	8.054864	5.95898
ENSTRUG00000000066	1.850841	0.5715013085	1.849131	0.1148679
ENSTRUG00000000067	4.235943	1.0945960505	2.218663	0
ENSTRUG00000000068	5.3641735	4.924835832	4.480491	2.49835
ENSTRUG00000000069	2.838769	2.8827562185	3.214431	0.4967374
ENSTRUG00000000070	2.3162	1.32799749	2.608894	0.09660501
ENSTRUG00000000071	2.757652	0.754113748	2.236235	0.9414421
ENSTRUG00000000072	6.6497595	3.452343152	7.547589	2.579926
ENSTRUG00000000073	0.9130777	2.7965448575	5.203612	0.846576
ENSTRUG00000000074	5.404201	2.391992504	3.791957	1.775692
ENSTRUG00000000075	0.7989467	0.165806179	0	0
ENSTRUG00000000076	1.7634955	1.0759325355	1.322574	0.06717335
ENSTRUG00000000077	1.9153045	1.1006378445	1.292793	0.2434791
ENSTRUG00000000078	2.3321825	0.8447552475	2.723556	0.4506058
ENSTRUG00000000079	0.20167475	0.235934002	0.215404	0
ENSTRUG00000000080	3.4206695	0.921135959	2.241154	0.08247208
ENSTRUG00000000081	4.9096705	2.9564779505	5.010842	1.913856
ENSTRUG00000000082	1.679871	0.764607258	0.8296223	0.06003119
ENSTRUG00000000083	0	3.651290699	0	0.06720488
ENSTRUG00000000084	6.5542435	4.373758229	5.442351	3.28076
ENSTRUG00000000086	2.7968425	0.9172146035	2.528774	0.1997496
ENSTRUG00000000087	4.8462895	2.5513437305	3.560004	3.52397
ENSTRUG00000000088	1.6741535	0.1486867	0.7844688	0.2896468
ENSTRUG00000000089	3.922651	0.1231548	0.7861388	0
ENSTRUG00000000090	3.371987	0.6875445	1.637193	0
ENSTRUG00000000091	0.8615731	0.895309872	0.5904094	0.2413398
ENSTRUG00000000092	6.942845	4.721373653	6.523515	3.852049
ENSTRUG00000000093	4.436655	3.421993062	3.147743	1.615548
ENSTRUG00000000094	3.070936	2.061245406	3.755739	0.8469393
ENSTRUG00000000095	0.6964638	0.0903407265	9.078645	1.51543
ENSTRUG00000000096	1.9523865	0.429074953	0.2606905	0
ENSTRUG00000000097	3.644733	2.7054012505	3.510929	1.171578
ENSTRUG00000000098	1.6028075	0.0425499555	1.453296	0
ENSTRUG00000000099	0.16955654	0.1217065875	1.076552	0
ENSTRUG00000000100	2.411311	1.210340202	2.54145	0.061969
ENSTRUG00000000101	5.8630595	3.3010818845	0.7202268	0.1254416
ENSTRUG00000000102	7.0967555	2.550759539	4.358818	1.141394
ENSTRUG00000000103	0.17831245	0	0	0.1893767
ENSTRUG00000000104	0.03418407	0.0299711025	0	1.703898
ENSTRUG00000000105	7.152812	4.8267555375	7.280706	6.506913
ENSTRUG00000000106	0.5560246	0.311039736	0.1025318	0
ENSTRUG00000000107	2.339333	0.625720627	1.295065	0.1074395
ENSTRUG00000000108	6.1359815	4.2226817935	5.342242	4.351013
ENSTRUG00000000109	2.515504	1.4724409285	2.551024	0.9641628
ENSTRUG00000000110	4.5864395	2.0124547495	1.942751	1.202656
ENSTRUG00000000111	1.239118	2.8076251665	1.414785	0
ENSTRUG00000000112	9.1394495	4.3427968415	4.182597	2.604503
ENSTRUG00000000113	4.21938	1.7784517945	2.28049	0.1006141
ENSTRUG00000000114	3.1382105	0.2377827325	1.791369	0.09834665
ENSTRUG00000000115	6.3397165	3.338879145	0.9203495	0
ENSTRUG00000000116	1.687096	0.8832813985	2.22853	0.5064804
ENSTRUG00000000117	0.86139395	0.149764746	2.995981	0.04578739
ENSTRUG00000000118	6.369076	5.780782245	7.715811	4.987539
ENSTRUG00000000119	0.11274535	0	0.2670287	0.2238822
ENSTRUG00000000120	1.1452594	0.3593653445	0.1735982	0
ENSTRUG00000000121	5.2550305	2.397666012	5.106918	3.812087
ENSTRUG00000000122	0	0	0.7105986	0
ENSTRUG00000000123	0	0.397487285	0.9669169	0
ENSTRUG00000000124	0.086835005	0.1644871475	0	0
