brain	liver	testis
ENSTBEG00000000002	-0.00167324369278959	0.0426423718463948	NA
ENSTBEG00000000003	8.9697367419863	8.24766512900685	NA
ENSTBEG00000000005	3.10122519279214	1.29014090360393	NA
ENSTBEG00000000006	0.180042746325401	0.0217151068372997	NA
ENSTBEG00000000007	0.120006129115291	8.8660442354724e-05	NA
ENSTBEG00000000008	5.35975173481834	0.02039496759083	NA
ENSTBEG00000000009	6.97574427981053	2.22155886009474	NA
ENSTBEG00000000012	2.01416111798869	0.384457191005655	NA
ENSTBEG00000000013	2.57112251198433	3.60552374400783	NA
ENSTBEG00000000014	1.3829708784797	0.0925354607601484	NA
ENSTBEG00000000015	1.51734431994761	5.98982909002619	NA
ENSTBEG00000000017	2.89566628602385	2.55197635698808	NA
ENSTBEG00000000018	3.92825385244873	3.45024932377564	NA
ENSTBEG00000000019	4.24657008956952	4.16892720521524	NA
ENSTBEG00000000020	4.75172164252964	4.64408117873518	NA
ENSTBEG00000000021	4.23727825263431	3.30633212368284	NA
ENSTBEG00000000023	4.14369594608974	0.233355851955132	NA
ENSTBEG00000000025	0.0114568073018356	0.864939596349082	NA
ENSTBEG00000000026	0.645972829010531	1.61074231049473	NA
ENSTBEG00000000027	2.97415163094245	7.15245168452878	NA
ENSTBEG00000000028	0.0125855145352433	1.62252323783493e-05	NA
ENSTBEG00000000029	3.29476039619833	2.19318730190083	NA
ENSTBEG00000000031	2.74353839424252	0.500636577878739	NA
ENSTBEG00000000032	0.126997400164977	0.000163724917511537	NA
ENSTBEG00000000033	0.000453871905322009	0.033792789047339	NA
ENSTBEG00000000034	2.3519092718313	2.04141843908435	NA
ENSTBEG00000000035	2.34961940382196	3.51533554808902	NA
ENSTBEG00000000036	3.11035186278923	1.63709406860538	NA
ENSTBEG00000000037	1.58559324514012	2.45759962742994	NA
ENSTBEG00000000038	8.4043685543739	6.41939197281305	NA
ENSTBEG00000000039	2.10153424105239	1.64144462947381	NA
ENSTBEG00000000040	7.00721654086565	2.32284647956718	NA
ENSTBEG00000000041	4.23493228165176	3.15790110917412	NA
ENSTBEG00000000042	0.276204661571766	1.09605639421412	NA
ENSTBEG00000000043	2.42982206376297	2.01099496811851	NA
ENSTBEG00000000044	3.53582262391183	4.74009218804408	NA
ENSTBEG00000000045	8.78808248199073	7.67968750900464	NA
ENSTBEG00000000046	9.31947028757894	9.90295560621053	NA
ENSTBEG00000000047	1.82909959120326	1.70194252939837	NA
ENSTBEG00000000048	7.38173949321514	4.23672075339243	NA
ENSTBEG00000000050	1.86798278113555	1.05001835943222	NA
ENSTBEG00000000051	3.47880625256602	3.48389187371699	NA
ENSTBEG00000000052	4.91505100694189	0.543093491529056	NA
ENSTBEG00000000053	0.260268403057601	4.5247261984712	NA
ENSTBEG00000000054	2.47020592518546	0.0687932374072683	NA
ENSTBEG00000000056	6.91833326935313	8.42348936532344	NA
ENSTBEG00000000057	0.723367728629605	2.1191920106852	NA
ENSTBEG00000000058	1.31990421235711	0.923606343821443	NA
ENSTBEG00000000060	8.64147848801795	4.17892175599102	NA
