brain	heart	kidney	liver	ovary	testis
ENSXETG00000000002	3.24818921501752	3.34107442128859	4.48633479076797	3.95530149495035	6.8606358965591	4.54129012481348
ENSXETG00000000003	1.7117960498972	2.02939782298587	1.84619081241404	1.53835526775863	1.39751119483807	0.690481244279685
ENSXETG00000000004	0.0121879500571763	0.436992404399769	0.0484925299525817	0.0762747280172157	-0.102307300285943	0.0935648654979688
ENSXETG00000000007	2.95230148184397	2.21847077011901	2.49852890927265	1.9709645429671	3.24652564562432	4.09122155256581
ENSXETG00000000009	1.23152949894504	3.89885275560879	0.681367451083262	0.528418131757558	0.465067775865953	0.871997407231839
ENSXETG00000000011	1.42590819721593	1.86941138569643	6.42139481166121	1.66523972621594	5.68894775517898	2.33077279723423
ENSXETG00000000013	3.42362705999638	4.25726463420725	5.48232676500939	4.14289308325494	4.77962938522299	5.20123152188301
ENSXETG00000000014	4.84588002758617	0.0234956351537112	0.226114356567248	0.161138886306268	0.718459788393468	1.95211844155563
ENSXETG00000000016	1.07715545591649	0.893757559555754	1.08986300788886	1.42781324137436	-0.0163747707009081	1.50327639837022
ENSXETG00000000020	1.73617042708219	0.464516970011995	4.36681754591634	1.81806831647614	2.40601757366925	4.67905066690813
ENSXETG00000000021	3.23578149873573	0.833577308125009	2.38711622758385	1.74810024076917	7.68720476532393	4.71422507974147
ENSXETG00000000022	5.23194461164277	4.7942407678111	4.23230983880312	3.62116998966807	6.41289649400523	5.1680958027613
ENSXETG00000000026	1.75939788989739	0.336353788072377	1.11578362288927	0.958131739998977	7.51436802274596	8.54025285255814
ENSXETG00000000029	2.35632064596645	3.98085102303117	2.98173139578111	1.40904694355258	2.23824560628155	2.35836764570846
ENSXETG00000000035	5.23424621089651	4.70780554263402	4.80690620268171	4.05858492921069	5.74519507618214	4.95186893020913
ENSXETG00000000036	4.96648828762526	6.19823210309385	6.43748286571022	5.15046521610163	7.07202174318163	6.30382365532664
ENSXETG00000000037	7.6992036153719	5.65256288778758	6.52610134464742	5.73505593519039	6.28094785664019	7.09358042893133
ENSXETG00000000038	5.05176936889428	4.50993029252582	5.448081585783	5.36321215742939	7.64753513201523	8.25225756699246
ENSXETG00000000039	0.393551353098669	0.199553898635722	0.908597413513177	1.0914956605863	0.439723836085741	0.671777833232838
ENSXETG00000000040	5.9580511166219	4.7728036975098	7.00274447930576	5.84205491163458	7.24388088726176	6.01264305370246
ENSXETG00000000041	0.189448390076386	0.0514515199788241	0.0969826319649027	0.0347913994324229	0.34177347004523	2.57667795067956
ENSXETG00000000042	3.66715271787911	3.46313196001279	3.49659904596604	3.03301271548874	4.03138208977407	5.35385334055832
ENSXETG00000000043	5.41209087345913	4.14220388688016	4.74215109720003	4.33747174362462	6.46318542759351	5.64198235454942
ENSXETG00000000044	3.21184566376755	1.81601338300588	2.83783125752693	3.18988630659723	4.8945255168826	4.25011549387925
ENSXETG00000000046	0.598435523249378	0.471157629089378	0.368150992884597	0.536645730418047	0.344876404219528	3.05043824343392
ENSXETG00000000048	-0.11205309773418	0.353208821212709	1.72460781281956	0.426931869327849	0.390806334933015	0.508004347962585
ENSXETG00000000049	3.66290513260987	3.68513449433939	3.44081085210828	2.81298024430466	3.76255967393674	6.70207851431438
ENSXETG00000000050	3.31526771558794	1.51267399881531	1.40218184140693	0.767252579911742	1.74513309464999	4.19445897378649
ENSXETG00000000051	2.29705814626294	1.78728876179239	2.0144812903122	1.45863609913081	4.10829568758623	2.41045708460355
ENSXETG00000000052	5.68907089952813	1.89698039646946	2.22883404748266	1.90492926804023	5.00340907174272	5.74917101825321
ENSXETG00000000053	3.03163838568646	1.38710400848702	1.70868273076392	1.3595632878657	0.740510709244907	1.63454519153923
ENSXETG00000000054	3.59956975263913	2.34599727701359	2.86452928275654	2.32986813406888	5.26638864756507	4.12337501059426
ENSXETG00000000055	0.801558530609683	0.486559206845468	0.667804248453425	0.629946814144049	0.339185468745438	0.41884858957258
ENSXETG00000000056	5.32094155404909	5.09133781464247	5.85163811867517	5.71334356163396	7.38561663201186	5.99240585037948
ENSXETG00000000057	2.6610586744636	3.69421519006818	4.51221574121135	3.88382274457157	6.05270846469984	3.39170139304467
ENSXETG00000000060	4.94743093690299	3.73937526117108	4.42986086383241	3.30828224617016	4.5620004143093	5.72036554248987
ENSXETG00000000061	7.30508159982324	1.01506855364678	3.35178275533618	0.835243349387013	5.58749093431025	6.273493013941
ENSXETG00000000062	4.48116147948051	4.70436313965289	3.98639902312977	3.71111517342285	5.87935742332135	4.14944938337415
ENSXETG00000000063	-0.0054382816683221	0.00211245907763213	0.00611207780846805	0.00274186932783614	0.00758118749968747	0.11029615952282
ENSXETG00000000066	5.45418716013056	5.1179141115238	5.54354848105408	4.77135801130311	7.15008457421884	5.80424840303278
ENSXETG00000000067	0.410011587335958	0.262460739338973	3.22973753197024	1.73291221094443	0.970748029174675	0.496452509592003
ENSXETG00000000068	3.28387356377985	1.78486342118174	2.20769623658632	1.65779388112801	4.7783174392535	3.78854944843408
ENSXETG00000000070	4.64695477539832	2.98419041839847	3.4932349406809	2.79566502137452	4.65496338975198	5.10851811039417
ENSXETG00000000071	3.75456685998807	2.60574344326138	2.72925615588986	2.21613966581713	5.14694816825642	5.01009561101178
ENSXETG00000000072	3.53896901011063	2.53254377682851	2.81085060292455	2.24654849216625	6.46502886183061	4.58103058398414
ENSXETG00000000073	4.86664653839109	3.92636811482879	4.71791572775658	5.53936851784344	7.45385370226057	7.03091449311994
ENSXETG00000000074	8.23509702472797	1.36854929124773	0.330115004209562	0.318235580969467	1.06882907847917	4.18495118758437
ENSXETG00000000076	6.14616308784925	5.32938798753181	4.72519256277548	3.84469792671232	0.268307155294163	4.87378425842643
ENSXETG00000000078	2.35997371361976	6.01379905270316	4.16659124278437	4.05271973445636	2.67534106647953	3.23677199065622
ENSXETG00000000079	1.77655046558027	1.47582107776221	1.58273585950996	1.26426010475371	1.45935182684523	1.81930214287561
ENSXETG00000000081	5.98154574076033	3.41258743108248	1.13940021472369	0.357865337832951	0.395972078764385	2.84976378954144
ENSXETG00000000082	5.3103391268545	4.4687859030478	5.12809169686564	4.60740597688286	7.157923485329	6.30626487936559
ENSXETG00000000083	4.34446691146178	2.77992868162199	3.69861397980102	3.57860992151297	4.38447595851245	4.42710588007161
ENSXETG00000000087	6.41361556775546	5.33096876969152	4.94280368291866	3.68406596343171	2.69162203946126	4.77551775850351
ENSXETG00000000088	2.717456371444	2.22814552002707	7.53865050847915	6.81495921845114	4.07756068141348	6.21897202488828
ENSXETG00000000089	3.52641421012096	2.14462650426478	8.03260065627441	4.5374853830913	2.07578792197411	4.51124743040658
ENSXETG00000000091	5.76658103098153	3.78432627795489	4.3954268589019	3.72410794913581	6.75350855818803	4.80003637908082
ENSXETG00000000093	-0.0130797755728605	0.00704409267417492	0.0315855005783499	0.0950604345279397	0.0150004050089641	0.132776799688492
ENSXETG00000000101	2.23898249309598	2.7091200885144	4.74144784997996	4.47438249812948	0.966901415354859	1.77592292607515
ENSXETG00000000104	0.124078511604103	0.785179100411819	1.84869185168693	6.98707141416599	-0.167023364048111	1.72423566008142
ENSXETG00000000108	1.23828417033202	1.59489400911882	1.96915502443975	2.01185115832322	4.84217628272552	3.34629685348009
ENSXETG00000000109	11.6912326198333	11.4835320917843	12.4459371748386	12.4220192470356	9.85083755722264	12.1362914546687
ENSXETG00000000110	1.62633312097218	0.380951467004283	2.01208859325326	0.0235015678925106	-0.0412901638588248	2.44620669658041
ENSXETG00000000111	0.594736464959091	-0.00472901257752476	0.187609188331837	0.0505067273815123	-0.138357843101649	3.10255253900441
ENSXETG00000000114	-0.0873059379979567	2.97408522659691	4.74449775969802	2.00628920405987	0.196563759372638	0.833008509443146
ENSXETG00000000116	5.43693210812469	3.23912206267844	3.7676004806175	3.19022737187957	7.90177014361402	6.72848708169603
ENSXETG00000000117	6.00593110168647	2.31175327592979	3.78927019852547	3.09873879570016	6.13155273313389	4.07930225076445
ENSXETG00000000118	2.4347999058118	2.5618485742174	1.89319502029079	1.10007938371781	0.451774412044086	1.63556567099906
ENSXETG00000000121	2.35612389910934	3.22065220167977	3.16571915272644	2.46938600016179	4.94608004769428	2.97329444504739
ENSXETG00000000124	5.97923033804452	4.58077405270367	7.31246975444555	5.2161628976364	4.81899755630477	4.50382982593808
ENSXETG00000000128	1.72438740938893	0.348818141884705	0.902709094827451	0.611225895802389	-0.0753078358597393	0.39783448341918
ENSXETG00000000129	5.2440907336907	4.39311113371556	4.80859892406515	4.25068708943196	7.16602554091006	5.22873605184816
ENSXETG00000000130	4.83416153919274	2.15297308802397	4.98254392946096	0.00774267853888683	0.35481749655349	2.59492487044162
ENSXETG00000000132	10.729016893545	11.0040768816653	11.570684023502	11.2799655470878	9.39077639241621	11.3091672922245
ENSXETG00000000135	7.13785427525652	8.20317937758363	4.50285816917811	0.876320288745014	-0.114055966292029	4.86577025917136
ENSXETG00000000137	1.86952379532255	0.16526705542989	0.00679410881084392	-0.0281159256835322	0.221687147112631	0.909421187852404
ENSXETG00000000138	6.00776969434096	4.03838527929974	4.08686025674882	2.99302934798109	8.81291607339189	7.76332064372966
ENSXETG00000000139	0.0357771404166848	0.0113830161540652	0.00223262463154392	-0.000172335546802074	0.0332405277801739	2.15579555354096
ENSXETG00000000140	5.76557812737682	3.52632513091329	3.69082851211847	2.68893416350403	8.32528279579611	7.23563604209896
ENSXETG00000000142	3.51155693981096	0.10177947459594	0.139483575306219	0.0432980918824395	0.135171158250666	0.504524803442319
ENSXETG00000000143	4.18179536295058	4.47008538545393	4.51568380237341	3.53175164583284	3.4183225617596	4.33147234971668
ENSXETG00000000145	4.44703053531151	3.18430895596692	3.93786060957072	2.84865598730823	4.32769999147185	4.31707584658867
ENSXETG00000000147	2.80268361479074	-0.0911316127655299	0.131439095014212	0.121924258077451	5.59857797614148	5.25173954427849
ENSXETG00000000148	0.285237869660204	0.189445135888939	0.361300061752366	0.395100295641654	0.102783101932671	0.84830640486993
ENSXETG00000000150	3.9101581833459	3.25683587961122	4.42274963138006	3.26996754156877	4.12245215144775	4.22510376350561
ENSXETG00000000151	4.67051692085803	4.13593915499914	4.43087321563769	4.18493860005554	6.63501057008274	6.28121273545516
ENSXETG00000000152	4.6125782421933	3.32418456470619	4.30787555865348	3.65858195581785	2.16088895503676	3.98690288176245
ENSXETG00000000154	2.03329014777424	3.34097177912263	3.12419088126911	2.04528601970694	0.628115965748266	1.5243315538727
ENSXETG00000000155	3.6270681918043	1.30611033718619	6.82785533871185	3.54269059481599	7.08837211583731	4.32104152879061
ENSXETG00000000156	1.83018079318142	2.93498841022961	1.74049124270769	2.25133365752342	0.453183931547145	1.19519332367914
ENSXETG00000000157	3.51759768407043	1.83368569119087	3.20580779968947	2.61654046965155	6.79964563376387	6.34638606052611
ENSXETG00000000158	4.3288237034791	1.94811852030826	1.77972382735307	2.00380190183144	4.62457166103367	1.55965468443676
ENSXETG00000000161	6.10985955100118	3.7685174036695	3.40982898935418	2.93516238863013	7.13961296391184	5.2638921944353
ENSXETG00000000170	2.2807465468669	1.19389950664719	1.50524642557645	1.26913206183961	5.23075946616199	3.48669980496029
ENSXETG00000000172	3.12850143581508	1.79854215643383	5.45726250642691	4.89810274784265	1.30261697101271	4.40256472937349
ENSXETG00000000183	4.27576741330374	2.34114148628897	2.43773803022589	1.4112096224862	6.78237978289733	3.0844335390929
ENSXETG00000000185	3.66071901460044	2.08737469353878	2.44318874152451	1.72732875205987	5.69407177143419	4.09067574438358
ENSXETG00000000187	6.12585895429623	6.51548927387263	8.34449590336453	7.83836686221778	7.42093783457596	6.17862502195431
ENSXETG00000000190	7.93322188165094	1.3377777075423	1.37327562597786	0.199212728543867	2.79171500735078	6.01949432501714
ENSXETG00000000198	1.96682507516919	1.36418516952668	1.90385837861601	1.81470205977354	2.39732477247093	3.69889450919282
ENSXETG00000000199	0.34355816943368	0.361326013815227	0.348321301245424	1.66434171656641	-0.182962652844133	0.202711206043643
ENSXETG00000000201	3.84557451800368	2.80644811360252	3.05704126625895	2.72653050946984	3.3293923279558	3.79266536683516
ENSXETG00000000204	6.07080660446137	0.680338672259773	1.0530823121891	0.235712488307979	0.363490548911504	1.80246836560104
ENSXETG00000000210	2.35888971716896	0.157396811748112	0.11048922713568	-0.0455603007665131	1.44504558633967	0.397841895057897
ENSXETG00000000213	2.18356102722401	0.585283893248795	0.787024121136791	0.641736712181554	0.706213787089942	0.789891881776842
ENSXETG00000000215	3.44523228944316	1.64731472310391	2.08731323600015	1.67411596154897	6.27378341335786	4.00239587412779
