liver	ovary	testis
ENSAMEG00000000001	0.3697747	0	0.05423196
ENSAMEG00000000002	0.4159706	2.778398	2.400082
ENSAMEG00000000003	0.9000541	4.059096	1.754849
ENSAMEG00000000004	8.53	10.31382	7.961635
ENSAMEG00000000005	1.911906	5.07531	3.063439
ENSAMEG00000000006	0.4028444	2.020758	0.5689281
ENSAMEG00000000007	2.469243	3.157193	3.347282
ENSAMEG00000000008	3.615828	0.8032923	0.1248264
ENSAMEG00000000009	0	0.05065702	0
ENSAMEG00000000010	0	0	0
ENSAMEG00000000011	0	3.817593	0
ENSAMEG00000000012	4.257908	5.020533	4.888797
ENSAMEG00000000013	0.1118449	1.05849	1.647955
ENSAMEG00000000014	0.4177375	1.378506	1.019218
ENSAMEG00000000015	12.31762	7.596234	8.302232
ENSAMEG00000000016	0.07137593	0.2811985	1.16134
ENSAMEG00000000017	1.500568	1.420547	2.751654
ENSAMEG00000000018	0.1489159	3.333671	7.116011
ENSAMEG00000000019	0	1.397266	0.1049053
ENSAMEG00000000020	0.06146212	1.566216	0.3302693
ENSAMEG00000000021	0.4407216	2.876224	3.319972
ENSAMEG00000000022	0.8703063	1.581322	1.405851
ENSAMEG00000000023	0	0	0
ENSAMEG00000000024	5.067923	6.266929	4.472286
ENSAMEG00000000025	0	1.235439	1.46925
ENSAMEG00000000026	0.6660994	3.539979	2.106787
ENSAMEG00000000027	0.6673517	3.046512	2.400666
ENSAMEG00000000028	4.275812	3.534037	0.7421727
ENSAMEG00000000029	0.877544	0.5488371	0.3093462
ENSAMEG00000000030	1.541787	4.368419	0.3725387
ENSAMEG00000000031	1.375017	4.655449	0.9628392
ENSAMEG00000000032	0.5215795	3.894905	0.9693071
ENSAMEG00000000033	1.088678	3.679829	1.916492
ENSAMEG00000000034	1.190141	2.850519	1.397409
ENSAMEG00000000035	2.058372	4.865958	2.015066
ENSAMEG00000000036	3.535854	4.231317	2.742407
ENSAMEG00000000037	1.246274	4.926692	3.145316
ENSAMEG00000000038	1.603231	4.515567	3.752406
ENSAMEG00000000039	4.168867	4.948232	2.634249
ENSAMEG00000000040	3.250866	5.49022	4.013096
ENSAMEG00000000041	0.2561544	2.20031	4.868178
ENSAMEG00000000042	2.364152	5.164275	3.719008
ENSAMEG00000000043	1.228856	5.00353	2.452548
ENSAMEG00000000044	3.554515	4.843753	4.847285
ENSAMEG00000000045	2.491881	5.511196	4.043345
ENSAMEG00000000046	4.420337	2.808984	1.121097
ENSAMEG00000000047	2.657077	5.13397	3.656176
ENSAMEG00000000048	5.207467	5.894318	5.384029
ENSAMEG00000000049	1.068175	4.723509	3.210481
ENSAMEG00000000050	2.789846	3.98953	2.601509
ENSAMEG00000000051	9.369035	10.59702	9.534017
ENSAMEG00000000052	2.708799	5.81861	3.717945
ENSAMEG00000000053	0.0955198	1.971233	1.503847
ENSAMEG00000000054	0	4.412578	0.2752515
ENSAMEG00000000055	2.362481	0.3329531	0.07267261
ENSAMEG00000000056	1.427279	4.01001	3.070657
ENSAMEG00000000057	0.2351952	1.894224	0.1260951
ENSAMEG00000000058	0.2807782	2.874223	2.884951
ENSAMEG00000000059	3.069647	4.260726	2.667869
ENSAMEG00000000060	0.151121	0	3.046961
ENSAMEG00000000061	1.95725	4.862655	1.713075
ENSAMEG00000000062	3.303132	4.644843	6.930134
ENSAMEG00000000063	0.09070103	1.44614	0.2710587
ENSAMEG00000000064	3.394166	7.925709	7.258632
ENSAMEG00000000065	2.961512	5.449568	4.018492
ENSAMEG00000000066	5.042679	1.679978	0.5561027
ENSAMEG00000000067	0	0	0.1720471
ENSAMEG00000000068	0	0.8583773	0.723459
ENSAMEG00000000069	0.1536679	0.9001028	0.3178447
ENSAMEG00000000070	7.456834	8.123076	8.252382
ENSAMEG00000000071	6.321944	5.310649	5.496961
ENSAMEG00000000072	1.573883	6.893156	3.006415
ENSAMEG00000000073	2.283957	5.563466	4.01315
ENSAMEG00000000074	0.870962	1.34463	0.4219789
ENSAMEG00000000075	2.796322	6.005449	3.64486
ENSAMEG00000000076	2.370535	5.343763	4.411453
ENSAMEG00000000077	3.383809	4.359542	3.009388
ENSAMEG00000000078	1.355388	3.657034	3.86375
ENSAMEG00000000079	0.02954066	0.8293186	0.6983954
ENSAMEG00000000080	0	0.4182169	0
ENSAMEG00000000081	0.6216764	1.914237	0.5897692
ENSAMEG00000000082	1.771928	3.916085	4.421432
ENSAMEG00000000084	0	0	0
ENSAMEG00000000085	1.675685	4.793631	3.102473
ENSAMEG00000000086	0.04671637	0.8771026	2.092525
ENSAMEG00000000087	0.2741972	3.885262	2.337597
ENSAMEG00000000088	1.508195	2.356544	1.69228
ENSAMEG00000000089	2.862438	3.766881	1.917443
ENSAMEG00000000090	2.701425	5.243932	2.384332
ENSAMEG00000000091	2.750336	5.037628	3.026538
ENSAMEG00000000092	1.643962	5.317007	2.970325
ENSAMEG00000000093	3.584506	3.712827	1.617176
ENSAMEG00000000094	0.9427112	1.967438	0.787572
ENSAMEG00000000095	3.481506	4.980867	2.296055
ENSAMEG00000000096	7.24366	8.027978	5.331576
ENSAMEG00000000097	1.139201	3.720869	2.048452
ENSAMEG00000000098	0	0	0
ENSAMEG00000000099	0	0	0.05981501
ENSAMEG00000000101	2.313558	5.562176	4.516884
ENSAMEG00000000102	0.3998962	5.1145	0.8856649
ENSAMEG00000000103	5.327378	5.010144	7.379465
ENSAMEG00000000104	3.640829	4.332751	4.374372
ENSAMEG00000000105	1.069956	1.988168	1.268111
ENSAMEG00000000106	4.627262	6.851012	5.647999
ENSAMEG00000000107	2.83848	3.688863	1.653381
ENSAMEG00000000108	0.3869411	1.217057	0.3138425
ENSAMEG00000000109	0.4616459	3.05438	1.440995
ENSAMEG00000000110	0	0.2944202	1.313712
ENSAMEG00000000111	2.378082	4.663868	3.350352
ENSAMEG00000000112	2.160488	4.132124	5.509867
ENSAMEG00000000113	0	3.467041	1.826525
ENSAMEG00000000114	2.009161	5.593452	1.878772
ENSAMEG00000000115	1.025064	3.541552	1.393246
ENSAMEG00000000116	2.712486	5.069496	1.835508
ENSAMEG00000000117	4.129811	6.299811	4.029285
ENSAMEG00000000118	1.250628	3.409049	3.36749
ENSAMEG00000000119	2.348045	6.274791	2.284527
ENSAMEG00000000120	1.365916	3.063272	0
ENSAMEG00000000121	0.3364879	0.850261	0.06117826
ENSAMEG00000000122	2.922685	5.382985	2.396516
ENSAMEG00000000123	2.573518	4.661972	3.136447
ENSAMEG00000000124	0.9674756	3.508429	2.989521
ENSAMEG00000000125	1.270768	4.039621	4.586603
ENSAMEG00000000126	1.254727	2.278306	2.846864
ENSAMEG00000000127	0.9705739	2.839069	2.437531
ENSAMEG00000000128	1.036732	4.490225	2.83317
ENSAMEG00000000129	3.222614	4.02549	3.408016
ENSAMEG00000000130	0.4985082	5.109351	2.556393
ENSAMEG00000000131	0	0.1510847	0.08746447
ENSAMEG00000000132	6.25345	6.509781	5.660184
ENSAMEG00000000133	1.088094	2.37938	3.680291
ENSAMEG00000000134	1.288105	3.619988	2.244863
ENSAMEG00000000135	0	1.163859	4.155612
ENSAMEG00000000136	0.05995092	0.3446557	0.5174038
ENSAMEG00000000137	0	0.8276004	2.104078
ENSAMEG00000000138	0	2.937759	5.471139
ENSAMEG00000000139	3.37357	5.038243	5.172432
ENSAMEG00000000140	1.642812	4.799704	5.52349
ENSAMEG00000000141	11.74575	8.94056	10.44354
ENSAMEG00000000143	7.614864	4.661579	4.235995
ENSAMEG00000000144	1.5085	3.81838	3.104192
ENSAMEG00000000145	3.665336	5.991422	5.083728
ENSAMEG00000000146	0.1285168	3.188676	2.386381
ENSAMEG00000000147	4.198054	0.1095767	0.2560988
ENSAMEG00000000148	0	0	0
ENSAMEG00000000149	3.718153	5.134537	1.948006
ENSAMEG00000000150	0	1.076155	0.7667639
ENSAMEG00000000151	0	2.866688	1.038998
ENSAMEG00000000152	0.4457119	1.355033	3.19516
ENSAMEG00000000153	0	1.828798	0
ENSAMEG00000000154	0	0	0.2452255
ENSAMEG00000000155	4.265294	3.109416	3.049415
ENSAMEG00000000156	1.813841	3.391898	1.978149
ENSAMEG00000000157	0.04580653	1.938632	1.02303
ENSAMEG00000000158	6.360694	4.509538	2.500078
ENSAMEG00000000159	1.807305	4.561937	3.051939
ENSAMEG00000000160	4.256135	6.085947	4.868855
ENSAMEG00000000161	0	0.7034294	0.4366704
ENSAMEG00000000162	0	0.5842217	0.05292235
ENSAMEG00000000163	0.7325349	4.315391	4.940284
ENSAMEG00000000164	0	0.05011437	0
ENSAMEG00000000165	0	0	0
