brain	liver	ovary
ENSAPLG00000000568	5.503463	5.7776205	6.14466819533333
ENSAPLG00000000569	6.022774	5.52968891666667	5.81581845383333
ENSAPLG00000000570	4.437487	6.10281275	5.8819049425
ENSAPLG00000000571	3.762381	0.360190666666667	5.86171426016667
ENSAPLG00000000572	1.518716	1.45866686666667	4.35026265683333
ENSAPLG00000000573	0.5850039	0.105513613333333	0.3363685535
ENSAPLG00000000574	0.04517328	0.04871369125	0.916763579666667
ENSAPLG00000000575	0	0.268075658333333	0.385291727
ENSAPLG00000000576	3.336251	4.36308391666667	4.19469952833333
ENSAPLG00000000577	5.264379	4.65730683333333	5.48975307366667
ENSAPLG00000000578	4.106809	2.19514641666667	5.47622911533333
ENSAPLG00000000579	4.691389	4.64958141666667	4.836056484
ENSAPLG00000000580	3.442579	0.549465051666667	6.37628675483333
ENSAPLG00000000581	5.160017	7.50791858333333	4.75778138333333
ENSAPLG00000000582	3.031116	0.674403391666667	1.50204057916667
ENSAPLG00000000583	5.299725	7.07779691666667	6.17937853433333
ENSAPLG00000000584	1.326728	0.869254183333333	2.95472138816667
ENSAPLG00000000585	3.711473	4.25240808333333	3.95389833616667
ENSAPLG00000000586	0.05948417	0.576289551666667	2.61871095016667
ENSAPLG00000000587	4.181715	8.41301658333333	5.18417086766667
ENSAPLG00000000588	7.556897	3.41883625833333	4.7870670815
ENSAPLG00000000589	3.772962	7.01413708333333	5.30846897433333
ENSAPLG00000000590	0.6378699	4.07678518333333	0.1481688735
ENSAPLG00000000591	0	0	3.85651448866667
ENSAPLG00000000592	4.344395	5.27335158333333	3.79266891033333
ENSAPLG00000000593	0.01975386	0.00957296666666667	0.304288487
ENSAPLG00000000594	6.526894	7.72660016666667	7.37011579566667
ENSAPLG00000000595	3.291082	4.00775516666667	4.36351401516667
ENSAPLG00000000596	0	0.01593365	0
ENSAPLG00000000597	5.927904	6.59791841666667	7.358413756
ENSAPLG00000000598	1.967346	2.32293558333333	2.90521972266667
