brain	heart	kidney	liver	ovary	testis
ENSACAG00000000002	3.69919082941176	2.32779828666667	2.64130514285714	1.84846149152542	4.78662614285714	2.77570271428571
ENSACAG00000000003	0.285427723529412	0.10330908	0	0.0204238559322034	0	0.432563857142857
ENSACAG00000000004	5.35920670588235	4.6616942	4.85376242857143	3.66534835254237	6.20581114285714	4.73203428571429
ENSACAG00000000006	5.006131	3.52830486666667	4.13231728571429	3.55021577966102	4.34284928571429	4.26025757142857
ENSACAG00000000007	6.60969976470588	0.908757053333333	1.16454542857143	0.408963015084746	1.066287	4.18590781428571
ENSACAG00000000008	5.507089	4.39528493333333	3.43520871428571	0.826197644067797	5.62919928571429	3.29577957142857
ENSACAG00000000009	6.03601041176471	5.5506148	5.77997314285714	4.73808469491525	6.12747657142857	6.17396714285714
ENSACAG00000000010	3.79228470588235	3.2903718	3.89372392857143	3.32108337288136	4.31677142857143	3.75568728571429
ENSACAG00000000011	4.04857988235294	3.1347038	5.454236	2.82902565254237	5.68034371428571	3.97010514285714
ENSACAG00000000012	3.56494911764706	3.036141	1.39233418571429	0.70685416779661	3.64611728571429	2.01429614285714
ENSACAG00000000013	4.90938794117647	0.911083582666667	0.72219144	0.175852666779661	3.84099671428571	2.01702024285714
ENSACAG00000000014	4.87838294117647	3.45943406666667	3.13780321428571	2.58821147457627	6.12022942857143	4.905812
ENSACAG00000000015	4.79922394117647	4.82081153333333	4.95018278571429	4.98660759322034	4.99049628571429	4.34201785714286
ENSACAG00000000016	2.42392858823529	3.05822686666667	1.60188797857143	1.32352195084746	0.998292642857143	4.04391298571429
ENSACAG00000000017	7.62498829411765	5.736175	6.38599978571429	5.57812511864407	7.48605414285714	6.40866514285714
ENSACAG00000000018	2.53308282352941	1.01962904333333	1.87803620714286	0.310191122033898	2.57731942857143	4.35084114285714
ENSACAG00000000019	1.99399155882353	0.034452422	0.1471206	0.274353243898305	1.78806458571429	0.790246257142857
ENSACAG00000000020	0.548095123529412	1.59278644	0.621513278571429	0.375216130508475	3.1749193	0.545638085714286
ENSACAG00000000021	5.92019758823529	5.5308114	5.88889578571429	7.76055340677966	7.12110785714286	7.69286228571429
ENSACAG00000000022	1.20859735294118	4.77828906666667	2.76900953571429	2.52150032881356	5.47292342857143	3.06316928571429
ENSACAG00000000024	4.48974747058824	2.22351739333333	2.46869742857143	2.18176719491525	4.92988	3.67851285714286
ENSACAG00000000025	0	0	0	0.00908818813559322	0	0
ENSACAG00000000026	3.67570411764706	2.44496586666667	2.63574864285714	1.42463564067797	5.34006928571429	3.97035485714286
ENSACAG00000000027	3.51755241176471	1.87519453333333	1.5242305	0.411270898305085	3.34716457142857	1.38847842857143
ENSACAG00000000028	5.552026	4.66581566666667	5.80124914285714	2.94480755932203	5.87810228571429	5.45942428571429
ENSACAG00000000029	4.01217288235294	3.90620993333333	3.65579407142857	1.79456726610169	5.59555071428571	3.83761814285714
ENSACAG00000000030	4.95608420588235	3.2838866	2.73348692857143	0.740231561694915	6.74881985714286	2.93272357142857
ENSACAG00000000031	4.13497774705882	0.765560713333333	0.332071985714286	0.0183504355932203	2.01019204285714	1.3475057
ENSACAG00000000032	0.675308505882353	0.647093012	2.10585902857143	0.146818301864407	1.50453321428571	2.79079529714286
ENSACAG00000000033	2.21061129411765	1.6491448	1.78398101428571	1.52280486949153	5.68080971428571	3.45306671428571
ENSACAG00000000034	4.02373947058824	2.9869322	2.96891578571429	1.87494496101695	5.17821657142857	4.05622571428571
ENSACAG00000000035	2.82796638235294	0.187597574666667	0.166381590714286	0.129422774576271	1.2983747	0.586898485714286
ENSACAG00000000036	0.0538956776470588	0.0273743986666667	0.0526667842857143	0.00972911254237288	2.27499721285714	0.0664901642857143
ENSACAG00000000037	4.07013952941176	0.412462126	0.626472035714286	0.0767360811864407	1.071238	1.95184865
ENSACAG00000000038	4.21368888235294	3.3174116	3.48807535714286	2.43711332542373	5.99193028571429	4.32058442857143
ENSACAG00000000039	3.00869288235294	2.10656562	2.01050499285714	0.911787869322034	4.70307885714286	3.40930942857143
ENSACAG00000000040	0.625835494117647	0.0573203266666667	0.0959763071428571	0.0310803423728814	0.398021514285714	2.44572555714286
ENSACAG00000000041	0.336674157647059	0.0944317586666667	0.0458624571428571	0.0248501544067797	5.63266244285714	0.936540078571429
ENSACAG00000000042	7.57995270588235	6.52346966666667	6.67000078571429	6.30549338983051	8.14635857142857	7.03722114285714
ENSACAG00000000043	3.61659082352941	5.69616193333333	4.57061242857143	3.01431898305085	3.42923157142857	3.91668871428571
ENSACAG00000000044	7.60038735294118	8.6188624	9.0407535	8.6931796779661	8.10501642857143	8.02342671428571
ENSACAG00000000045	4.63739564705882	3.86213713333333	3.98546021428571	2.51991701355932	4.78862414285714	4.19392342857143
ENSACAG00000000046	5.248706	5.1656548	5.44354278571429	5.62307422033898	5.607517	6.265532
ENSACAG00000000047	2.301539	1.47456908	0.237031747142857	0.0293598438983051	0.691768385714286	0.34307891
ENSACAG00000000048	3.49266558823529	3.88596813333333	2.22679821428571	1.83434788305085	1.44837087142857	2.4691768
ENSACAG00000000051	2.65168976470588	1.71700369333333	3.61368707142857	0.355516205423729	3.58554057142857	2.62358642857143
ENSACAG00000000052	0.606023741176471	0.411823953333333	1.42652972142857	0.406620846271186	0.339344971428571	0.952030371428571
ENSACAG00000000053	0.407993044705882	0.129519667333333	0.121896705714286	0.0355646581355932	0.507472914285714	0.305365857142857
ENSACAG00000000054	0.990911588235294	0.58983044	0.630978421428571	0.313740670508475	1.29862601428571	1.12890774285714
ENSACAG00000000055	5.43650761764706	0.0646933606666667	0.146065249285714	0.0562421815254237	0.178117637142857	0.993884854285714
ENSACAG00000000057	1.66065874705882	3.43407626666667	1.81656568571429	0.82342546559322	6.77147571428571	1.43097881428571
ENSACAG00000000058	5.04477276470588	3.9100566	3.34445514285714	2.29676504576271	4.73364742857143	4.88037271428571
ENSACAG00000000059	4.39783658823529	3.9511504	3.99543035714286	2.83787779661017	5.59135742857143	4.33773428571429
ENSACAG00000000060	4.366396	3.072236	3.4521085	3.14347459322034	5.46163728571429	3.77765914285714
ENSACAG00000000061	7.17929211764706	7.67365793333333	7.92025828571429	10.3243265932203	8.28198214285714	7.08805942857143
ENSACAG00000000062	7.37221888235294	6.43329906666667	6.517949	5.29804881355932	7.58037785714286	6.68395757142857
ENSACAG00000000063	3.679375	3.68847746666667	4.54927671428571	2.28512330508475	5.994051	4.13037442857143
ENSACAG00000000064	3.98548717647059	3.04681592	3.29767	2.7963720338983	4.92612871428571	3.85756614285714
ENSACAG00000000065	3.17028016470588	0.856862886666667	0.8336384	1.22095209152542	1.37001037142857	2.3843989
ENSACAG00000000066	2.33181670588235	0.380258621333333	0.624586335714286	0.162792749152542	0.851119814285714	2.60891734285714
ENSACAG00000000067	5.72162614705882	0.973504306666667	0.910331214285714	0.133952085423729	1.25621357142857	1.48186396142857
ENSACAG00000000068	2.94742792352941	2.28104305333333	3.98757007142857	2.13907963898305	3.48953014285714	2.69794771428571
ENSACAG00000000070	5.71497976470588	4.60952893333333	5.37152242857143	1.28321932033898	5.92427085714286	3.86277728571429
ENSACAG00000000071	5.609285	5.3408286	4.96127242857143	4.71460094915254	6.79914357142857	4.71593014285714
ENSACAG00000000073	5.73627535294118	4.21483406666667	4.3558965	4.07992284745763	5.20954914285714	4.94005314285714
ENSACAG00000000074	6.78868035294118	5.83579466666667	5.46136657142857	4.59268874576271	6.88944214285714	6.354454
ENSACAG00000000075	0	0	0	0.394136101694915	0	5.70245714285714e-08
ENSACAG00000000076	4.20549282352941	4.18436033333333	3.64071364285714	1.86023131260691	6.389817	3.00206542857143
ENSACAG00000000077	0.519660088235294	1.95173253333333	5.44035309285714	4.99877723728814	2.12616958571429	3.09887542857143
ENSACAG00000000079	5.97507835294118	4.4983444	5.9699405	3.32367949152542	3.77095485714286	4.63972128571429
ENSACAG00000000080	3.15959552941176	2.32431273333333	2.81972942857143	1.70602845762712	4.29861371428571	2.84167785714286
ENSACAG00000000081	2.66476323529412	3.17966293333333	2.93842485714286	1.55467665084746	2.17360685714286	2.58703757142857
ENSACAG00000000082	2.88888105882353	1.87925173333333	2.16033757142857	1.42695972881356	4.56996885714286	2.38785514285714
ENSACAG00000000083	4.02792405882353	3.81530606666667	2.62177778571429	1.99765665084746	3.12076985714286	4.30283842857143
ENSACAG00000000084	4.44893952941176	3.89202986666667	1.68007897857143	0.468813493220339	1.36328831428571	2.0784396
ENSACAG00000000085	3.41513152941176	3.30998513333333	2.1417344	0.471977383220339	3.14384942857143	1.49221708571429
