brain	heart	kidney	liver	ovary	testis
ENSAMXG00000000001	4.48991271428571	3.410012	2.57531133333333	1.8566488	1.781051	1.673507
ENSAMXG00000000002	1.98573528571429	1.73891096666667	1.99576933333333	0.933548	1.36022361	1.0143642
ENSAMXG00000000003	5.12686528571429	0.899649766666667	1.21639466666667	0.4891812	2.25669455	2.095016
ENSAMXG00000000004	3.09952614285714	0.170312703333333	4.431955	0	0.164506195	0.3259855
ENSAMXG00000000005	4.08458614285714	1.8261551	2.35485	0.87011075	0.762714215	0.639325633333333
ENSAMXG00000000006	0.15926291	0	0.03719818	0.88442365	0.323192055	0.7357814
ENSAMXG00000000007	3.96662671428571	0.552005533333333	0.349149933333333	0.194133865	0.15469115	0.3716959
ENSAMXG00000000008	7.45192371428571	0.5310718	0.35896636	0.20963285	0.13943367	0.242317433333333
ENSAMXG00000000009	5.20564514285714	3.88266266666667	3.591008	2.0574155	1.8051564	2.033839
ENSAMXG00000000010	0.921253314285714	0	0.2580851	0	1.3350872	0.994315
ENSAMXG00000000011	4.05170257142857	1.98064766666667	5.14432466666667	3.0887425	4.583564	4.86298266666667
ENSAMXG00000000012	3.44216128571429	2.27739933333333	2.23048366666667	1.3698355	3.5252065	2.42205466666667
ENSAMXG00000000013	2.25678314285714	1.66844933333333	1.80731116666667	0.6349385	1.070052	1.29151906666667
ENSAMXG00000000014	2.29437257142857	2.29548983333333	5.654259	1.7065732	1.43964415	1.03798633333333
ENSAMXG00000000015	1.70924385714286	0.6340647	0.830021766666667	0.21211365	1.0002879	0.835229266666667
ENSAMXG00000000016	5.16488742857143	0.591275366666667	0.831918033333333	0.1994488	0.21375285	0.462909033333333
ENSAMXG00000000017	3.41825014285714	3.85351566666667	3.675195	3.490026	2.15101675	1.26230393333333
ENSAMXG00000000018	5.47586942857143	5.85179133333333	6.22976333333333	4.7384795	3.5162165	3.50879466666667
ENSAMXG00000000019	3.18043428571429	4.88049466666667	3.83400033333333	3.089044	1.94359365	1.68825533333333
ENSAMXG00000000020	2.74404542857143	2.71744033333333	3.564645	2.212756	3.5461985	1.7531457
ENSAMXG00000000021	4.14107485714286	2.0060803	1.85708666666667	0.5682963	0.58012705	0.834938433333333
ENSAMXG00000000022	0.583567	1.138314	0.806007886666667	0.234877965	1.3487645	1.3360893
ENSAMXG00000000023	4.814951	5.533425	6.31853433333333	1.2424135	4.9884995	1.87418966666667
ENSAMXG00000000024	1.73768975714286	0.45789983	0.909897666666667	0.02804133	1.9031528	1.955075
ENSAMXG00000000025	5.76975671428571	0.379936166666667	1.08916863333333	0.11311	0.36530435	1.04358426666667
ENSAMXG00000000026	2.92863657142857	7.71816566666667	2.769044	1.030499	1.4969225	1.28884526666667
ENSAMXG00000000027	2.45920528571429	4.110645	2.62937266666667	0.57526145	2.08937125	1.78544613333333
ENSAMXG00000000028	6.59201842857143	7.16347	4.06786666666667	2.4793805	3.5055095	3.10236366666667
ENSAMXG00000000029	2.28767371428571	0.111393833333333	0.531328233333333	0.40339425	1.2690245	1.34595642333333
ENSAMXG00000000030	2.15314428571429	0.9774213	3.67275666666667	0.2479811	3.166227	3.93887166666667
ENSAMXG00000000031	2.23614842857143	2.49443633333333	2.58311433333333	2.1524685	3.750982	3.73267166666667
ENSAMXG00000000032	1.94221802857143	0.63951786	0.801554653333333	0.326828465	0.10509198	0.948382333333333
ENSAMXG00000000033	7.548274	8.07704133333333	6.90187266666667	4.3658815	6.3902315	5.33031266666667
ENSAMXG00000000034	5.05635728571429	1.77401686666667	1.7883309	0.2092693	2.4856425	1.62867833333333
ENSAMXG00000000035	2.34112085714286	2.97072166666667	3.06701633333333	1.74522225	3.678359	3.16537
ENSAMXG00000000036	5.10125814285714	1.7860784	0.27352137	0	0.021673115	0.116384033333333
ENSAMXG00000000037	4.10560114285714	2.762775	2.75847266666667	1.577692	4.260699	3.044865
ENSAMXG00000000038	3.10667042857143	3.036284	2.487845	1.4418025	0.66946385	0.720726633333333
