brain	heart	kidney	liver	ovary	testis
ENSBTAG00000000005	5.1064614	2.73909276311111	2.01313277777778	2.62612393162641	2.8511473	4.13923367741936
ENSBTAG00000000008	0.074892322	0.0423617855555556	6.35825166666667	0.0304282399320755	0.161667934	0.938226681290323
ENSBTAG00000000009	1.18506136	0.925662657	1.20248812222222	0.866627074116981	2.1117644	1.06988537419355
ENSBTAG00000000010	5.980317	5.27826973922222	5.08203522222222	4.50756749890943	5.4086144	5.02133419354839
ENSBTAG00000000011	2.9477298	0.391055563333333	1.20100111777778	6.67257681933585	0.49142359	0.837104558709677
ENSBTAG00000000012	4.481251	2.71999101266667	3.58043677777778	3.15641899767925	3.8691978	4.76412674193548
ENSBTAG00000000013	3.8991706	3.12254103	3.95682466666667	3.13318953504906	4.5745875	4.6172305483871
ENSBTAG00000000014	6.6222982	6.81457698155556	7.04311933333333	5.82455649831321	6.6050868	6.06134361290323
ENSBTAG00000000015	2.511456	2.19288282666667	1.18204344444444	1.13581447019623	1.81732532	1.41245428709677
ENSBTAG00000000016	1.19660032	0.320979268888889	0.414002033333333	0.236974609709434	0.53286821	1.01685762258065
ENSBTAG00000000019	9.1592256	5.72431860566667	7.68178588888889	6.23298394163396	7.160948	6.78315216129032
ENSBTAG00000000020	1.69561664	0	0.01099935	0.369933999822642	0.100472309	0.903217564516129
ENSBTAG00000000021	4.792261	5.15262717733333	5.08847933333333	4.49451279626038	5.5115886	6.53496170967742
ENSBTAG00000000022	3.1127512	3.87145453466667	3.465819	2.62624362405283	4.1300903	4.722024
ENSBTAG00000000023	5.0791478	3.98414700522222	4.65731722222222	3.67685147547547	6.0578438	6.13635006451613
ENSBTAG00000000024	5.2167892	4.356626032	4.363911	3.67164325459245	5.2543561	6.20711435483871
ENSBTAG00000000025	7.5944532	4.32243986511111	5.34536044444444	4.93745503487547	5.7790135	5.82382070967742
ENSBTAG00000000026	4.373004	2.60187204122222	4.12323455555556	2.89528385146038	4.1409609	4.31471548387097
ENSBTAG00000000027	0.0299645	0	0	0.0190437905660377	0	0.304789125806452
ENSBTAG00000000029	2.6197752	0.0518921333333333	3.70493844444444	0.0130744373207547	0.12328371	2.50618908064516
ENSBTAG00000000030	2.6600402	0.445502813333333	0.713657	0.398831525350943	2.3174729	3.01393529032258
ENSBTAG00000000031	0.54667368	0.238701779555556	4.93932411111111	0.258954527898113	0.5879374	0.709094892580645
ENSBTAG00000000032	2.563271	2.01838351455556	2.29875677777778	2.24917662432453	2.6611303	1.79771180967742
ENSBTAG00000000033	2.0797456	1.92834844722222	0.5968068	0.735121376618868	0.43566778	2.09690390516129
ENSBTAG00000000037	4.1375074	2.90152459477778	3.60829233333333	2.99398930586415	4.2615363	4.72790241935484
ENSBTAG00000000039	3.442283	2.36662258733333	4.11424744444444	2.83891229638491	3.6291584	3.74742632258065
ENSBTAG00000000040	4.3669976	2.62235928566667	3.60102811111111	2.31607274757358	3.2253985	3.60996625806452
ENSBTAG00000000042	3.8734552	2.00373790222222	2.21454411111111	2.43297666691698	4.5244723	2.89763824193548
ENSBTAG00000000044	1.500763	3.28660320377778	0.00366715666666667	0.0317490532264151	0.019047385	0.11126482
ENSBTAG00000000046	3.567839	2.65601345511111	3.49145433333333	2.93940857611698	3.3625899	2.78704874193548
ENSBTAG00000000049	2.9906288	1.99896516033333	2.68667988888889	1.77849839402264	3.7489967	4.46112309677419
ENSBTAG00000000050	4.8247382	3.96364431066667	5.11899522222222	3.74540591183774	5.0823103	4.81565003225806
ENSBTAG00000000052	4.4412202	2.89035527966667	1.58395977777778	1.40873283756604	3.5997198	3.10480464516129
ENSBTAG00000000053	3.3014966	3.42990168111111	1.74800744444444	0.739825999543396	3.5822064	2.19471416129032
ENSBTAG00000000054	3.5741442	2.200542114	3.16101666666667	1.85122705455472	3.7150255	3.71123487096774
ENSBTAG00000000056	4.5139548	4.20942969022222	3.76318255555556	2.17985700539245	4.8943725	5.45489087096774
ENSBTAG00000000057	2.5260388	2.565274949	2.28439177777778	0.43638661970566	3.5436868	4.22824048387097
ENSBTAG00000000059	0.19688374	0.668797	0	0.0171984467924528	0.4439634	0.0542789290322581
ENSBTAG00000000060	0	0	0	0.00174934589433962	0.006507662	0.675606857096774
ENSBTAG00000000061	4.8651018	2.94214556288889	3.34794533333333	0.892353256143396	3.9376378	1.5263921
ENSBTAG00000000062	1.6567128	4.73702080822222	1.668647	0.427858211984906	2.231551	3.54335033548387
ENSBTAG00000000064	3.2725002	1.70193816311111	2.35129655555556	2.19048927998113	3.7139456	4.02127332258064
ENSBTAG00000000065	3.8913474	3.969016252	4.21696644444445	5.37503993399623	4.6084011	4.95344170967742
ENSBTAG00000000066	0.02823764	0.183049772555556	0.0149307522222222	0.0531936631283019	1.20238286	0.23773554
ENSBTAG00000000067	3.3192952	2.528702636	4.57519277777778	4.39924582807925	3.2497004	3.86198453225806
ENSBTAG00000000070	0	0.569017679111111	0.0451912822222222	7.37652130989811	0.15749173	1.1134894516129
ENSBTAG00000000071	0.82861314	0.277318399	0.0942901222222222	0.00355167758490566	0.083021384	0.0698102729032258
ENSBTAG00000000072	3.8656274	3.94411379388889	4.16014	3.55765864984906	4.5079849	4.31239377419355
ENSBTAG00000000073	5.802909	4.25853206844444	6.41744722222222	4.4754272035434	6.7818013	5.94662967741935
