brain	heart	kidney	liver	ovary	testis
ENSCJAG00000000001	0.89787919875	0.5450030656	2.109798	3.63421992	2.127755	4.376301
ENSCJAG00000000002	0.506927896	0.015375212	2.8768494	0.106911334	3.215048	0.6238755
ENSCJAG00000000003	1.19999269075	4.1857873936	9.94887242	7.5040732	7.41489	2.97388471428571
ENSCJAG00000000004	0	0	0.06490936	0	0	0.705093528571428
ENSCJAG00000000005	5.05316127975	4.392916873	4.9490052	4.83920626666667	6.645942	6.31949714285714
ENSCJAG00000000007	4.5928967305	4.8611550758	3.0110706	5.43756026666667	1.719416	2.33128842857143
ENSCJAG00000000008	10.430633153	9.4504206944	10.759374	9.08352086666667	11.11062	10.0948031428571
ENSCJAG00000000009	2.775243056	3.1148979376	3.9631996	3.83733525333333	4.676205	4.80147101428571
ENSCJAG00000000010	3.05204533175	1.2459792162	1.164316	0.739635473333333	1.178555	1.74661048571429
ENSCJAG00000000011	2.98314215725	1.2304104388	1.2420099	0.92602432	2.873874	1.87767528571429
ENSCJAG00000000012	1.59109656675	1.6291704288	1.1598064	0.61936906	1.416132	0.389648614285714
ENSCJAG00000000014	5.03647769225	4.5711413916	4.7940972	3.65790526666667	6.077291	4.68070657142857
ENSCJAG00000000015	4.983870815	4.9066585952	4.8286162	3.32089353333333	6.114089	4.32957457142857
ENSCJAG00000000017	3.07014486075	1.6333800086	3.4007614	0.230408004	3.800102	2.56241428571429
ENSCJAG00000000018	0	0	0	0	0	3.17797271428571
ENSCJAG00000000020	0	0.017616268	0	0	0	0.7551496
ENSCJAG00000000022	3.231012622	2.2286669682	2.3775418	1.58923104	3.23032	3.10647728571429
ENSCJAG00000000023	2.3651184	1.6374168166	1.52944456	0.764917433333333	4.152349	5.24009985714286
ENSCJAG00000000024	2.666516235	1.854829798	1.49884492	1.43934672666667	1.392247	2.96527027142857
ENSCJAG00000000026	5.69788460375	4.3768757626	4.224414	3.31301673333333	4.887092	4.37694385714286
ENSCJAG00000000028	2.75788053375	1.5967670374	2.6477656	0.848806813333333	2.986001	1.77331414285714
ENSCJAG00000000029	0.80264379425	0.7400206818	1.67561852	1.41163766	1.00868	0.565841671428571
ENSCJAG00000000030	2.174334072	1.213935675	1.3521804	0.67774612	0.9427337	2.35649047142857
ENSCJAG00000000032	4.3611877985	0.1545703398	1.70863872	0.0515030204666667	0.3379565	2.05365628571429
ENSCJAG00000000033	5.240419511	4.3651082576	4.0529318	2.69556306666667	4.814176	5.88618957142857
ENSCJAG00000000034	4.55111413075	4.4537639354	4.3596878	2.76007004666667	5.234706	2.66938642857143
ENSCJAG00000000035	5.00391703125	3.2441729186	3.3653996	2.07337039333333	4.280073	5.09645228571429
ENSCJAG00000000036	3.76563346175	2.8263283848	2.4977344	1.59724466	2.871247	2.84813242857143
ENSCJAG00000000037	7.011548315	6.1260241516	6.3305078	4.6410498	7.124971	7.27612585714286
ENSCJAG00000000038	2.4197260125	1.4444073692	1.18452652	0.134587586666667	0	0.3883804
ENSCJAG00000000040	5.0210857765	0.7736157102	5.3873169	3.53835313333333	2.405566	3.41403571428571
ENSCJAG00000000041	1.5942803685	1.0483789928	1.42524338	0.8424939	0.8432056	0.470786257142857
ENSCJAG00000000042	3.7417040015	3.7607716428	5.5720988	4.32934733333333	5.867266	4.67013
ENSCJAG00000000043	0.1204939115	0.1675407818	2.3481929	0.266592645333333	3.870031	2.83931942857143
ENSCJAG00000000044	4.24177248775	2.8778409412	3.0141314	1.90118999333333	3.561326	2.61357271428571
ENSCJAG00000000045	2.356834764	1.4786293238	2.178331	1.10199157333333	2.91889	2.47047271428571
