brain	kidney	liver	ovary	testis
ENSCPOG00000000007	3.51824466666667	4.89413975	4.43354744042857	3.29317	3.203915
ENSCPOG00000000011	0.0405160666666667	0	0.00851399571428571	0	0.4923403
ENSCPOG00000000012	0	0	0	0	0.1749113
ENSCPOG00000000013	1.73032933333333	0.385125775	0.534182232714286	1.170508	1.683319
ENSCPOG00000000014	0	0	0.0338484285714286	0	0
ENSCPOG00000000015	5.24299933333333	8.00292125	7.52278099085714	5.707387	4.513093
ENSCPOG00000000016	0.445664466666667	0	0	0	3.153627
ENSCPOG00000000018	0.858066733333333	0.681964275	0.605130871285714	2.598391	3.824411
ENSCPOG00000000020	5.09473833333333	4.86335325	4.61403194128571	4.307563	7.024739
ENSCPOG00000000022	6.77049733333333	0.322070425	1.32884502314286	0.5346194	0
ENSCPOG00000000023	9.247924	9.4188705	8.82359125057143	12.0808	8.007341
ENSCPOG00000000024	4.31893633333333	3.1172455	4.11752460185714	2.927149	4.628103
ENSCPOG00000000027	1.36685693333333	0.64392185	0.0182184985714286	0.4467252	0.07692667
ENSCPOG00000000029	0.454703466666667	5.311138	0	0	2.209669
ENSCPOG00000000031	5.801147	4.7581715	4.39934681671429	5.668721	6.972371
ENSCPOG00000000032	5.09167933333333	4.77391925	3.65206497828571	4.872789	3.266061
ENSCPOG00000000034	1.632374	2.3441975	0.132222648714286	1.7587	4.800051
ENSCPOG00000000035	4.821302	4.13593175	4.14679396057143	5.387049	3.767612
ENSCPOG00000000036	1.68729833333333	0.1168635275	0.165008495714286	0.9114078	3.09771
ENSCPOG00000000038	4.70381433333333	4.76754725	3.08264244742857	3.994576	2.4108
ENSCPOG00000000039	0.250315233333333	0.10024795	0.464828311142857	0	2.062926
ENSCPOG00000000040	3.063097	3.4041035	4.04686449342857	2.800964	1.720821
ENSCPOG00000000042	0.0417407	0.0202284275	0	0	0.9010318
ENSCPOG00000000044	3.12200333333333	2.527679	2.23759838571429	4.001658	1.603051
ENSCPOG00000000046	2.29648266666667	1.56604725	0.798292475285714	2.16775	0.3194619
ENSCPOG00000000047	4.26687933333333	5.46258575	4.43908961957143	4.861022	1.913699
ENSCPOG00000000048	7.348682	7.88404525	6.58965205542857	9.913717	8.897792
ENSCPOG00000000051	5.748933	5.03407175	4.13453357285714	5.388224	5.275961
ENSCPOG00000000052	3.59265966666667	2.46918825	2.76992366385714	2.921771	2.355854
ENSCPOG00000000054	0	0	0.01380858	0.2283471	0
ENSCPOG00000000055	0.672132033333333	0.0604390025	4.34630540271429	0.2101033	0.8717569
ENSCPOG00000000057	7.50065366666667	7.12011925	7.66540172914286	8.565429	8.221408
ENSCPOG00000000058	3.574267	4.0408295	0.937791517142857	2.02307	1.470438
ENSCPOG00000000059	2.44982133333333	2.20785625	1.99088891057143	2.485566	4.209095
ENSCPOG00000000060	0.0808167633333333	0.1361428925	0.0117251857142857	1.403295	0.8652331
ENSCPOG00000000061	3.54741566666667	1.78253625	0.935526565285714	2.985209	2.527566
ENSCPOG00000000064	3.012092	1.10792785	2.729652027	1.062453	1.969653
ENSCPOG00000000066	3.36094233333333	4.04288475	3.67333948514286	4.630953	4.958318
ENSCPOG00000000067	5.250126	3.994009	3.51503790485714	4.572405	6.243378
ENSCPOG00000000069	1.42422933333333	0.341168625	0.279819752714286	0.3936732	0.7151185
ENSCPOG00000000070	1.55267933333333	0.0176520475	0.134143745	0.3194781	0.7197074
ENSCPOG00000000072	7.45708066666667	6.8184495	6.02483708071429	7.461962	5.222646
ENSCPOG00000000073	2.56766066666667	1.82835325	1.72435606185714	2.054143	4.297485
ENSCPOG00000000074	0.7959945	1.717114	9.20619859857143	3.597865	1.732182
ENSCPOG00000000075	3.30392266666667	3.85752575	3.08701590357143	3.858647	4.876738
ENSCPOG00000000076	7.26937666666667	4.919006	1.60285646714286	3.751499	4.547707
ENSCPOG00000000077	4.46169366666667	4.13498525	4.39114650885714	4.7996	6.480549
ENSCPOG00000000078	6.00548666666667	0.289715825	0.281424605428571	0.2484814	0.1879197
ENSCPOG00000000079	6.66019266666667	1.5038855	0.273814970857143	0.7735704	5.020086
ENSCPOG00000000080	3.889596	0.79192005	1.03849028042857	0.9427112	1.348612
ENSCPOG00000000081	3.706967	2.54846225	0.0259881882857143	0.5026158	0.4604668
ENSCPOG00000000082	4.16169533333333	3.31222475	1.352997208	3.673681	0.6194872
ENSCPOG00000000083	2.566516	1.7017005	1.25094679928571	2.082209	1.998073
ENSCPOG00000000085	0.325520133333333	0.029391225	0.0264429025714286	0	0.2990348
ENSCPOG00000000086	4.10579533333333	3.9748385	3.675147047	4.806127	3.398237
ENSCPOG00000000088	0.504992066666667	0	0.663110218	0.1244748	0
ENSCPOG00000000091	3.15457	1.81441225	0.198391844142857	2.597395	8.09662
ENSCPOG00000000094	2.61420733333333	0.9031005	1.47910779214286	1.841096	1.665611
ENSCPOG00000000096	5.500616	0	0.0301970485714286	2.787155	0.3482913
ENSCPOG00000000097	4.34784766666667	0	0.0337869414285714	0	0.1295522
ENSCPOG00000000098	6.121922	5.29878125	5.26529443685714	5.309726	3.104293
ENSCPOG00000000100	0	0.1530308	0.969555217571429	0	0
ENSCPOG00000000101	7.61906133333333	6.02454275	4.54326104814286	5.907714	4.344066
ENSCPOG00000000102	6.53715333333333	4.4980585	5.01797001285714	6.573661	4.820776
ENSCPOG00000000103	3.40001	0.0876739225	0.706472939142857	0.2972114	0
ENSCPOG00000000106	6.26124866666667	3.70290975	3.56975911	4.972495	3.750832
ENSCPOG00000000108	4.62718366666667	5.32036475	2.99123762328571	5.342075	2.862193
ENSCPOG00000000112	0	0	0	0	0.1507104
ENSCPOG00000000113	0	0	0	0	0
ENSCPOG00000000114	2.398047	2.33945425	0.00630412142857143	0	0.1296543
ENSCPOG00000000116	0	0	0	0	0
ENSCPOG00000000119	4.167491	0.055953765	0	0.4154515	0
ENSCPOG00000000120	5.07294833333333	0.225675825	0.430176469714286	1.700626	0.3650423
ENSCPOG00000000121	0.681898033333333	3.6197065	0.00798541571428571	0.2922481	0.6807402
ENSCPOG00000000124	4.27857933333333	3.06993075	3.09553278185714	3.896582	3.841625
ENSCPOG00000000125	0.6369336	0	0	0	0.6827845
ENSCPOG00000000126	6.18251533333333	4.399191	3.754081001	5.697783	5.842492
ENSCPOG00000000127	5.24153066666667	5.760004	6.03088814157143	6.488621	5.232384
ENSCPOG00000000128	5.54984733333333	4.85031	4.46212055228571	5.325016	5.514574
ENSCPOG00000000131	5.60507966666667	2.466674	2.05823437071429	5.130359	3.540634
ENSCPOG00000000135	5.15171033333333	4.32328475	3.72896151485714	4.574483	4.459209
ENSCPOG00000000136	5.054912	3.752122	4.16471614885714	3.525881	4.227803
ENSCPOG00000000137	4.23289333333333	3.6763535	2.551524578	4.11495	3.531119
ENSCPOG00000000138	4.62378333333333	3.01742625	2.45584390928571	3.688602	2.457904
ENSCPOG00000000139	2.40429866666667	1.3240825	1.18840143814286	1.03991	4.90486
ENSCPOG00000000140	4.56064666666667	4.98785225	5.01016111157143	4.488631	2.954146
ENSCPOG00000000141	5.62057333333333	0.9108255	0.0181670771428571	0.7356019	2.697434
ENSCPOG00000000142	4.26137233333333	4.23603475	4.36497681085714	2.742317	6.31474
ENSCPOG00000000143	4.31305166666667	4.6421865	3.69044574685714	3.315905	5.002788
ENSCPOG00000000144	4.12513766666667	3.0944585	3.06910713328571	4.193653	3.841178
ENSCPOG00000000146	6.21213333333333	6.26123175	5.80502542	1.210457	2.982125
ENSCPOG00000000148	0	0	0.410341831428571	0.1857308	6.660338
ENSCPOG00000000149	3.23029933333333	4.1643905	3.288875093	4.288779	3.075777
ENSCPOG00000000150	1.63300166666667	0	0.232624486857143	0	0
ENSCPOG00000000153	4.70223366666667	4.939451	3.92723706185714	6.295176	1.283501
ENSCPOG00000000154	5.54602733333333	0.0337030625	0.0314947914285714	0.4074952	2.760259
ENSCPOG00000000156	7.84365366666667	1.074693	0.322129422714286	3.804239	2.000519
ENSCPOG00000000157	0.1578176	3.61169475	0.142892982285714	1.327946	0.08428841
ENSCPOG00000000160	3.48275433333333	4.04901125	3.39044940142857	3.555693	3.671044
ENSCPOG00000000161	3.936713	4.17103725	4.56767598271429	5.558084	6.171551
ENSCPOG00000000162	3.926746	2.7701305	0.701127351142857	3.255146	0.8162337
ENSCPOG00000000164	7.230348	4.185443	1.526913118	3.329134	4.918653
