brain	kidney	liver
ENSCSAG00000000006	10.4060958626667	12.438762183	9.039003857
ENSCSAG00000000010	9.694090433	12.4340778	8.2035220575
ENSCSAG00000000016	15.140120727	13.321477031	14.4443610945
ENSCSAG00000000019	14.679734525	13.3961877205	13.389437226
ENSCSAG00000000021	12.7570030953333	14.924386422	12.2093846715
ENSCSAG00000000022	12.3524973293333	12.941512836	11.83990074
ENSCSAG00000000023	14.498587494	13.97888245	12.6583674815
ENSCSAG00000000025	12.09433	12.178086686	10.345200255
ENSCSAG00000000027	11.1836431126667	13.789952806	10.9151361685
ENSCSAG00000000028	10.484927874	12.090272823	10.019205832
ENSCSAG00000000032	10.1045395016667	11.2686458705	9.346032984
ENSCSAG00000000033	10.1907193283333	11.689594862	9.529856456
ENSCSAG00000000035	10.722565291	12.47494358	10.361932526
ENSCSAG00000000038	0	0	0
ENSCSAG00000000039	0	0.338031679	0
ENSCSAG00000000040	0	0.46288771	0
ENSCSAG00000000041	0	0	0
ENSCSAG00000000042	0	2.60036	0
ENSCSAG00000000043	0.202810576	0.4038970835	0
ENSCSAG00000000044	0	1.595392	0
ENSCSAG00000000045	0.969912849333333	1.784095	0
ENSCSAG00000000046	1.19777501066667	1.34248	0
ENSCSAG00000000047	1.21355702833333	2.500972122	0.11777715
ENSCSAG00000000048	1.720808854	1.7038037465	0
ENSCSAG00000000049	0.491703666666667	0	0
ENSCSAG00000000050	1.06335069066667	1.2456674575	1.9535537085
ENSCSAG00000000051	0.299076	0	0
ENSCSAG00000000052	5.240495664	4.6381230005	3.1998663015
ENSCSAG00000000053	0.237687733333333	0.567291195	0
ENSCSAG00000000054	0.40637094	0	0
ENSCSAG00000000055	6.11284205	6.353966675	5.7310793115
ENSCSAG00000000056	2.774158475	1.329005174	2.5452176255
ENSCSAG00000000057	5.22417647766667	8.580302853	6.374191171
ENSCSAG00000000058	0.91920884	0.362588771	1.202885704
ENSCSAG00000000059	1.13461300666667	0.149089842	0.4059610675
ENSCSAG00000000060	3.25708349166667	0	0
ENSCSAG00000000061	0	0	0
ENSCSAG00000000062	5.637385064	0.6718103105	1.0538168575
ENSCSAG00000000063	0	0	0
ENSCSAG00000000064	0	0	0
ENSCSAG00000000065	2.40225912066667	1.438454901	0.800160313
ENSCSAG00000000066	0	0	0
ENSCSAG00000000067	0	0	0
ENSCSAG00000000068	0	0	0
ENSCSAG00000000069	0	0	0
ENSCSAG00000000070	0	0	0
ENSCSAG00000000071	1.293879471	1.536505109	0.5423075
ENSCSAG00000000072	0	0	0
ENSCSAG00000000073	0	0	0
ENSCSAG00000000074	2.63371684433333	0	0
ENSCSAG00000000075	0	0	0
ENSCSAG00000000076	6.39115926	5.4152674265	6.979256868
ENSCSAG00000000077	0	0	0
ENSCSAG00000000078	0	0	0.14106095
ENSCSAG00000000079	2.09452390066667	0	0.2627303065
ENSCSAG00000000080	0	0	1.191791767
ENSCSAG00000000081	0	1.342046	0
ENSCSAG00000000082	0.1247691	0	0.1099544
ENSCSAG00000000083	3.28614759733333	2.4599585235	3.154301558
ENSCSAG00000000084	0	0	0.793803734
ENSCSAG00000000085	5.78576426966667	0.1001146865	1.423427936
ENSCSAG00000000086	0.795334333333333	0	0
ENSCSAG00000000087	0.464140281333333	1.3130682485	0
ENSCSAG00000000088	1.824576037	0	0.9503480005
ENSCSAG00000000089	0	0	14.128739233
ENSCSAG00000000090	2.19720279566667	4.7784197295	4.6424999325
ENSCSAG00000000091	4.53185920466667	2.6601908325	0.475514271
ENSCSAG00000000092	0.0790137	0	0
ENSCSAG00000000093	2.381133107	0.0345106395	0
ENSCSAG00000000094	0.724281968333333	0.3751767645	0.682525885
ENSCSAG00000000095	0	0	0
ENSCSAG00000000096	1.949428427	1.9623532485	2.789565065
ENSCSAG00000000097	1.787178262	0.8447770915	0.808304238
ENSCSAG00000000098	7.82623479833333	9.7329228895	8.1001026235
ENSCSAG00000000099	5.80370971966667	0.0784759205	1.919671937
ENSCSAG00000000100	2.13120795033333	0.0965378465	1.578706747
ENSCSAG00000000101	0.721141177333333	0	0.1626356355
ENSCSAG00000000102	3.75433748266667	0	0
ENSCSAG00000000103	0.169628333333333	0	0
ENSCSAG00000000104	2.997206916	2.4827750755	2.3176410685
ENSCSAG00000000105	5.41465161366667	8.5087885045	5.6189226565
ENSCSAG00000000106	5.20336836133333	0.06939085	7.280862983
ENSCSAG00000000107	0	0	0
ENSCSAG00000000108	0	0.049647735	0
ENSCSAG00000000109	0	0	0
ENSCSAG00000000110	4.216586859	2.57813424	2.350667972
ENSCSAG00000000111	3.56859704733333	10.620760873	3.522047429
ENSCSAG00000000112	2.316155156	1.5540701455	2.216787576
ENSCSAG00000000113	1.75309201966667	2.5607313485	2.2900115735
ENSCSAG00000000114	2.60544917	3.482076228	4.765720438
ENSCSAG00000000115	3.65107355966667	3.917933607	2.308325744
ENSCSAG00000000116	1.91850635	0.284595083	2.027532646
ENSCSAG00000000117	4.18257603033333	0.6413978685	2.464281193
ENSCSAG00000000118	5.11159823266667	5.0325438315	4.025150801
ENSCSAG00000000119	2.05257433533333	0.5630075	2.0748171335
ENSCSAG00000000120	0.0732249	0	0
ENSCSAG00000000121	3.15505824166667	3.1469624675	2.019515547
ENSCSAG00000000122	1.91308750833333	0	2.263861724
ENSCSAG00000000123	6.03269556666667	3.5810350455	5.729272449
ENSCSAG00000000124	6.78748736533333	6.4076851565	6.141173214
ENSCSAG00000000125	2.05616981566667	0	0.048738315
ENSCSAG00000000126	3.346817867	0	3.5647116585
ENSCSAG00000000127	0.757984991	0	0
ENSCSAG00000000128	0.392778883333333	0	0
ENSCSAG00000000129	0.525736285666667	0.241366328	0.8185129545
ENSCSAG00000000130	2.36717926133333	1.55107227	0.6889681805
ENSCSAG00000000131	0	1.7220896155	0
ENSCSAG00000000132	4.58370861033333	4.977398642	1.0456602145
ENSCSAG00000000133	0.775693493333333	1.7634574005	0.379866398
ENSCSAG00000000134	5.500589128	8.1329638715	5.9775641665
ENSCSAG00000000135	2.09615694666667	0.040009458	0.2887472665
ENSCSAG00000000136	2.09585847433333	0.4046252955	0.810311045
