brain	kidney	liver	testis
ENSECAG00000000001	3.8611395	4.017049	3.34978766666667	4.0363925
ENSECAG00000000002	5.7821935	5.62980333333333	4.687531	4.33809683333333
ENSECAG00000000003	6.2387565	5.870601	5.37533666666667	2.705829
ENSECAG00000000004	5.0407295	5.05692433333333	4.49283833333333	3.13588333333333
ENSECAG00000000005	0	3.53421733333333	3.34962	0.06033603
ENSECAG00000000006	5.695103	0	0.106824923333333	2.2331735
ENSECAG00000000007	5.506173	5.91078433333333	4.73358666666667	4.27355216666667
ENSECAG00000000008	11.219125	11.8457466666667	11.0937066666667	7.802365
ENSECAG00000000009	2.7250795	2.59628033333333	1.04210023333333	3.1246295
ENSECAG00000000010	5.355248	5.10853233333333	5.893305	2.20642283333333
ENSECAG00000000011	3.458789	3.47050533333333	2.62069166666667	1.40707465
ENSECAG00000000012	1.612152	3.094338	1.54934733333333	3.6259335
ENSECAG00000000013	2.0006265	1.2596904	0	1.72145733333333
ENSECAG00000000014	5.2581085	5.991979	2.005864	4.80265116666667
ENSECAG00000000015	4.708457	3.678354	3.31971266666667	3.22631716666667
ENSECAG00000000016	4.361142	4.35089633333333	3.27509333333333	4.92577783333333
ENSECAG00000000017	5.560993	3.72878866666667	1.977851	4.51877133333333
ENSECAG00000000018	3.449789	4.73366	3.00130866666667	4.51490883333333
ENSECAG00000000019	5.706896	6.692245	5.606231	5.48885716666667
ENSECAG00000000020	3.3791145	3.66285466666667	2.69757633333333	4.158829
ENSECAG00000000021	3.224002	2.24235833333333	2.037608	0.6107325
ENSECAG00000000022	4.506325	2.85788733333333	1.772797	3.030283
ENSECAG00000000023	6.295782	5.54733466666667	4.62902833333333	3.99773966666667
ENSECAG00000000024	0.50520715	2.853486	0.0810309333333333	0.031111125
ENSECAG00000000025	3.354136	1.72847733333333	0.650584866666667	0.4896169
ENSECAG00000000026	1.1964535	2.28553933333333	2.22499266666667	0.806126616666667
ENSECAG00000000027	0.1737155	0.143467833333333	0.09291145	0.0223291083333333
ENSECAG00000000028	0.544169	0	0.713103166666667	0.0977501
ENSECAG00000000029	5.127864	5.29409366666667	4.997613	4.54985966666667
ENSECAG00000000030	5.1129065	4.57673166666667	3.889509	5.02409283333333
ENSECAG00000000031	6.8591515	3.60732766666667	2.86836466666667	1.64621783333333
ENSECAG00000000032	0.856257	1.09358326666667	0.831062466666667	0.0362318
ENSECAG00000000033	1.9267615	1.00564296666667	0.7329487	0.5120655
ENSECAG00000000034	4.3287465	0	0	1.15706746666667
ENSECAG00000000035	4.6335665	4.359284	3.81033533333333	2.32857466666667
ENSECAG00000000036	6.5854925	6.80302133333333	4.40303766666667	4.52678433333333
ENSECAG00000000037	6.965889	8.00761666666667	7.061706	6.05571933333333
ENSECAG00000000038	0	0	0	0
ENSECAG00000000039	0.0903814	0.132772266666667	4.56751933333333	0.0953891916666667
ENSECAG00000000040	1.7029895	1.29529903333333	0.4159151	0.745453233333333
ENSECAG00000000041	1.213122	1.89339766666667	2.06589633333333	4.5530635
ENSECAG00000000042	5.8346325	5.76214733333333	5.037243	4.88183583333333
ENSECAG00000000043	0.85296565	1.56995016666667	0	0.05078643
ENSECAG00000000044	0.3645526	0.268338533333333	0.0901803	0.224273083333333
ENSECAG00000000045	0.31025086	0.1535369	0.09956533	0.412806683333333
ENSECAG00000000046	4.6834625	3.37241833333333	1.30600393333333	0.644305816666667
ENSECAG00000000047	5.9996575	7.323746	6.27272	6.25044083333333
ENSECAG00000000048	5.191363	4.64962766666667	3.79766566666667	6.49167816666667
ENSECAG00000000049	0.51892205	0.570714466666667	0.0832241	0.0154169833333333
ENSECAG00000000050	6.085502	4.18695366666667	4.45578866666667	2.355036
ENSECAG00000000051	1.838981	0.763669266666667	1.263909	0.15033949
ENSECAG00000000052	0.15134375	1.0159627	0.110958933333333	0.0582941666666667
ENSECAG00000000053	5.31142	5.157232	4.44575833333333	5.6754345
ENSECAG00000000054	1.330111	1.847207	0.878853633333333	0.167204666666667
ENSECAG00000000055	0.60008535	0.315614733333333	0.2082243	0.0442288833333333
ENSECAG00000000056	3.611948	0.01504499	0	0.0184289683333333
ENSECAG00000000057	3.649838	4.329192	3.33153833333333	3.44875416666667
ENSECAG00000000058	2.622488	0.0649848	0.2910384	0.544313466666667
ENSECAG00000000059	3.635646	1.14993596666667	1.21837333333333	0.120098983333333
ENSECAG00000000060	5.3696015	4.72052233333333	4.04391166666667	6.44744583333333
ENSECAG00000000061	0.6620406	0.8241452	1.5988178	1.18118871666667
ENSECAG00000000062	0	0	0	0
ENSECAG00000000063	0.0554434	0.1427689	0.291106266666667	5.18427883333333
ENSECAG00000000064	6.439568	6.33933666666667	5.21134566666667	7.0573895
ENSECAG00000000065	3.581719	0	0	0.270361266666667
ENSECAG00000000066	7.748788	7.16464333333333	6.78316366666667	6.58800683333333
ENSECAG00000000067	2.296774	0	0	0
ENSECAG00000000068	0	0.0276795433333333	0.0324366966666667	0
ENSECAG00000000069	0	0	0	0.06929185
ENSECAG00000000070	0.4159596	0.137428	0.182187833333333	0.0352949866666667
ENSECAG00000000071	0	0	0	0
ENSECAG00000000072	6.664411	0.402019726666667	0.0280748166666667	2.176825
ENSECAG00000000073	0	0	0	5.93675583333333
ENSECAG00000000074	3.6181	4.617083	2.55782733333333	1.755044
ENSECAG00000000075	0.32453685	0	0	0
ENSECAG00000000076	4.0722165	0	0	4.12323116666667
ENSECAG00000000077	4.06372	2.925304	2.273094	3.82983966666667
ENSECAG00000000078	5.8290015	4.94542733333333	4.419197	5.18595483333333
ENSECAG00000000079	2.1810565	1.03465366666667	1.846518	1.10979988333333
ENSECAG00000000080	3.6562245	4.96110333333333	3.75554066666667	1.88383666666667
ENSECAG00000000081	1.1412758	6.27355666666667	0.702993566666667	1.23860981666667
ENSECAG00000000083	0.2016082	0	0	0
ENSECAG00000000084	4.8081745	4.92010433333333	4.34901566666667	5.29459416666667
ENSECAG00000000085	4.097974	5.85670033333333	5.070132	4.8554265
ENSECAG00000000086	0.2405954	0	0.0367614666666667	0
ENSECAG00000000087	3.054513	0.0315017966666667	0	0.00566842833333333
ENSECAG00000000088	0	0	0	3.63279583333333
ENSECAG00000000089	0.20321175	0.144379366666667	0	0.0190393833333333
ENSECAG00000000090	1.1518345	2.173989	1.27822466666667	0.759907233333333
ENSECAG00000000091	3.909842	7.492772	6.09789233333333	2.47731116666667
ENSECAG00000000092	0.0670065	0	0.1429639	0.528257883333333
ENSECAG00000000093	0	2.9126198	0.0278651933333333	2.4651385
ENSECAG00000000094	0.08418175	0	0	1.2144595
ENSECAG00000000095	7.90941	6.59706866666667	8.592876	5.16420283333333
ENSECAG00000000096	4.9740455	3.32807233333333	3.25122	2.43222366666667
ENSECAG00000000097	1.6996595	6.87879766666667	5.09072366666667	1.05038536666667
ENSECAG00000000098	0.7320206	0.538124366666667	0.8516522	0.213529333333333
ENSECAG00000000099	9.401617	6.32454666666667	0.9448673	4.297752
ENSECAG00000000100	0.99434585	0.7172853	1.20895066666667	0.247726583333333
ENSECAG00000000101	3.253359	3.15385466666667	2.96514933333333	3.97747283333333
ENSECAG00000000102	5.9542425	5.711072	5.013959	5.06810083333333
ENSECAG00000000103	6.1223595	5.73287233333333	4.12195166666667	8.1396375
