brain	kidney	liver
ENSEEUG00000000001	0	0	0
ENSEEUG00000000002	6.9519245	6.991821	6.4663095
ENSEEUG00000000003	0	0	0
ENSEEUG00000000004	3.562692	2.3329755	2.76379
ENSEEUG00000000005	0	0	0
ENSEEUG00000000006	0	0	0
ENSEEUG00000000007	5.2394275	5.2434545	4.3442765
ENSEEUG00000000008	2.7510745	2.9244585	2.3186655
ENSEEUG00000000009	2.161832	0.6873555	1.6033395
ENSEEUG00000000010	5.7037875	1.2836425	0.3074205
ENSEEUG00000000011	3.076962	4.9236355	5.817464
ENSEEUG00000000012	6.695405	8.353172	7.390288
ENSEEUG00000000013	0.21404285	5.0403285	6.582803
ENSEEUG00000000014	7.981762	7.250724	6.7853635
ENSEEUG00000000015	4.8724165	3.4634715	2.005961
ENSEEUG00000000016	0	0	0
ENSEEUG00000000017	2.0801895	2.999667	4.3915145
ENSEEUG00000000018	4.6395225	5.0759195	3.83697
ENSEEUG00000000019	8.631966	6.032429	0
ENSEEUG00000000020	5.330912	4.607177	3.19678
ENSEEUG00000000021	3.668313	1.1959145	2.885749
ENSEEUG00000000022	2.0186345	3.0621905	1.815591
ENSEEUG00000000023	5.615893	5.159791	1.00118575
ENSEEUG00000000024	5.4713205	5.048626	5.2191375
ENSEEUG00000000025	4.960297	4.5129645	2.76587
ENSEEUG00000000026	0	0.930253	1.1800935
ENSEEUG00000000027	3.6711935	2.840557	2.346254
ENSEEUG00000000028	0	0	0
ENSEEUG00000000029	6.1111895	5.7093745	2.7524415
ENSEEUG00000000030	7.191859	7.9387275	5.0421855
ENSEEUG00000000031	0	0	0
ENSEEUG00000000032	6.4790865	5.4556235	4.113947
ENSEEUG00000000033	5.154755	4.8258225	4.282111
ENSEEUG00000000034	3.9142925	3.466685	2.3306555
ENSEEUG00000000035	0.761653	0	0
ENSEEUG00000000036	2.8602235	2.9981745	3.4199505
ENSEEUG00000000037	2.6541425	2.1524915	0
ENSEEUG00000000038	2.2565785	5.5337595	2.740237
ENSEEUG00000000039	5.5135	5.1806225	4.2017955
ENSEEUG00000000040	12.35167	10.12772	7.2962075
ENSEEUG00000000041	1.398949	0.14834565	0
ENSEEUG00000000042	0.40601755	1.639702	1.517623
ENSEEUG00000000043	1.2248927	0.3058477	0.08559972
ENSEEUG00000000044	1.661536	2.182342	1.4939015
ENSEEUG00000000045	5.1520365	5.4430645	5.443578
ENSEEUG00000000046	0.5619905	0.3926708	0
ENSEEUG00000000047	7.1475655	7.2495675	6.8219165
ENSEEUG00000000048	0.31799695	0.54554075	0
ENSEEUG00000000049	0	0.2071705	0.9001082
ENSEEUG00000000050	1.468823	3.885227	4.0483345
ENSEEUG00000000051	9.5075815	0.3305551	0.147607
ENSEEUG00000000052	0.11500805	0.105167	0.15245565
ENSEEUG00000000053	0	0	0
ENSEEUG00000000054	2.6108685	3.5035105	2.4344585
ENSEEUG00000000055	5.3285905	5.854394	6.1681195
ENSEEUG00000000056	2.5598045	5.017472	4.83746
ENSEEUG00000000057	5.5630005	5.183825	4.1564785
ENSEEUG00000000058	5.027289	4.816029	3.653383
ENSEEUG00000000059	8.1862935	3.4714595	3.751638
ENSEEUG00000000060	0	2.852188	2.2453455
