brain	heart	kidney	liver	testis
ENSFCAG00000000001	3.6181936	NA	3.282805	3.775411	4.95521146666667
ENSFCAG00000000006	0.68627516	NA	0.4435142	0.04615324	1.54360530666667
ENSFCAG00000000007	6.2405136	NA	3.59781733333333	4.1144854	5.6527482
ENSFCAG00000000015	2.4884944	NA	1.87627466666667	2.7320762	3.79847313333333
ENSFCAG00000000021	4.8052022	NA	4.60274666666667	4.3054356	4.73717566666667
ENSFCAG00000000022	7.0629494	NA	4.202713	2.8309774	2.46447293333333
ENSFCAG00000000023	2.9508426	NA	1.43464633333333	2.6071568	1.58132842
ENSFCAG00000000024	4.3767084	NA	2.535393	2.6383838	3.70219513333333
ENSFCAG00000000027	0.0402643	NA	0	0.02548538	0.0479732333333333
ENSFCAG00000000028	3.259418	NA	3.208352	1.8819576	3.77795453333333
ENSFCAG00000000029	4.4029948	NA	4.374989	3.5140578	4.36501213333333
ENSFCAG00000000030	0.20306314	NA	0.505294603333333	0.6438196	1.92539202666667
ENSFCAG00000000031	2.7621268	NA	4.88176266666667	5.4585344	3.94259633333333
ENSFCAG00000000032	3.0823334	NA	3.06388733333333	2.5323646	3.56223466666667
ENSFCAG00000000034	2.4478054	NA	4.021198	1.15180078	4.742897
ENSFCAG00000000035	2.49970408	NA	1.91613273333333	1.19567012	0.339178157333333
ENSFCAG00000000036	0.0441742	NA	0	0.03532897	2.812727518
ENSFCAG00000000038	3.6100768	NA	3.69314433333333	2.3530812	4.40103686666667
ENSFCAG00000000042	2.2552804	NA	2.889577	2.029831	2.4688662
ENSFCAG00000000043	3.8524474	NA	4.48712633333333	2.8480848	1.58442423333333
ENSFCAG00000000044	4.1310776	NA	3.575202	4.210869	3.2527084
ENSFCAG00000000046	4.1162304	NA	5.24950066666667	4.0639548	6.06910946666667
ENSFCAG00000000049	5.9453852	NA	3.846682	2.7986732	4.83243366666667
ENSFCAG00000000050	6.0738122	NA	5.85411966666667	5.570346	6.79318706666667
ENSFCAG00000000051	3.0025802	NA	2.73764833333333	6.9885214	2.66040753333333
ENSFCAG00000000052	4.4772872	NA	4.02680533333333	3.6285352	5.05396633333333
ENSFCAG00000000053	4.8645426	NA	4.254383	4.0163328	5.08639433333333
ENSFCAG00000000055	1.43905914	NA	0.0689777333333333	0.152194836	0.136958910666667
ENSFCAG00000000059	3.503195	NA	0.6930497	0.87199444	1.42247861333333
ENSFCAG00000000061	3.2188688	NA	4.458734	3.051182	3.63904226666667
ENSFCAG00000000062	4.0851594	NA	4.05286466666667	3.1017866	5.32150006666667
ENSFCAG00000000063	3.782136	NA	0.455598466666667	0.18836545	0.561263478
ENSFCAG00000000066	0.017625822	NA	0	0	0.37928526
ENSFCAG00000000067	3.0804314	NA	2.43261766666667	1.646576	3.99774833333333
ENSFCAG00000000068	4.8629364	NA	3.001082	1.6299319	3.39022146666667
ENSFCAG00000000069	3.6936938	NA	3.66295666666667	3.4168076	4.71567086666667
ENSFCAG00000000072	1.08691994	NA	0.396172633333333	0.8827079	0.286262153333333
ENSFCAG00000000074	4.1167258	NA	4.63525666666667	4.2701372	4.39711253333333
ENSFCAG00000000075	0.445618	NA	7.62754333333333	2.527222	1.33868854666667
ENSFCAG00000000076	5.810016	NA	6.315059	5.6529932	5.25728733333333
ENSFCAG00000000077	1.50315986	NA	1.12400763333333	0.80332926	2.61815382
ENSFCAG00000000079	3.638602	NA	4.856836	3.8906486	3.78353453333333
ENSFCAG00000000080	5.8465618	NA	1.73508833333333	0.95364962	1.75366666666667
ENSFCAG00000000081	0.7075168	NA	0.0281992766666667	0.0257096	2.02737573333333
ENSFCAG00000000082	4.7831994	NA	5.14846066666667	4.413105	5.4656722
ENSFCAG00000000083	3.5247254	NA	3.12989166666667	2.5619662	3.427944
ENSFCAG00000000084	5.0745774	NA	1.47744266666667	3.3848564	3.17996986666667
