brain	kidney	liver	ovary	testis
ENSFDAG00000000006	5.22595	1.11854575	1.0278225	0	0.1943433
ENSFDAG00000000010	6.751812	3.04141075	1.990732125	2.051075	0.77367995
ENSFDAG00000000016	6.397084	2.513126	2.05378305	0.7486451	0.80564865
ENSFDAG00000000019	6.368918	2.244780825	2.098858125	0.9872148	0.5940611
ENSFDAG00000000021	17.53508	16.43306	16.2462825	13.918325	13.140425
ENSFDAG00000000022	6.22873	1.42944725	1.31512975	0	0.12040565
ENSFDAG00000000023	5.84832	1.2740465	1.175218	0	0
ENSFDAG00000000025	5.323781	1.27011225	1.1809605	0	0
ENSFDAG00000000027	4.387928	0.89465925	0.72107025	0	0
ENSFDAG00000000028	5.095317	1.510569275	1.163658835	0.32714745	0.08399495
ENSFDAG00000000032	3.149004	0.71356775	0.623955	0	0
ENSFDAG00000000033	4.023273	0.909038575	0.71419025	0	0.18426685
ENSFDAG00000000035	5.760759	3.13764975	1.8456738	3.7370995	1.329321
ENSFDAG00000000038	6.248541	5.3796225	4.0478395	5.118673	6.6859025
ENSFDAG00000000039	4.01154	3.91998425	3.12435775	4.0009735	4.327685
ENSFDAG00000000040	1.120531	1.374672325	2.14115125	2.4398195	0.3080101
ENSFDAG00000000041	5.036675	0.2713023225	1.233739475	0.45783415	1.0340328
ENSFDAG00000000042	5.852169	4.52902275	4.164042	4.608761	5.818288
ENSFDAG00000000043	1.336997	4.31791075	1.825336	1.150777	1.887453
ENSFDAG00000000044	11.89084	10.34193925	9.710777	10.31789	12.443415
ENSFDAG00000000045	5.078759	4.46765	3.96126625	5.835188	5.9013355
ENSFDAG00000000046	1.880274	1.9669125	2.24725325	2.3496445	6.6354845
ENSFDAG00000000047	0	0	0	0	0.26950575
ENSFDAG00000000048	5.424065	5.15327525	4.06751675	5.6177865	5.520636
ENSFDAG00000000049	6.687096	5.65112425	4.956597	5.898523	5.001235
ENSFDAG00000000051	3.774524	5.06185525	1.60432925	2.1564755	2.435405
ENSFDAG00000000054	4.766786	5.104499	3.55369175	4.8587165	2.959373
ENSFDAG00000000056	0	0	0	0	0.098839
ENSFDAG00000000057	5.479476	0.2546966	0.018755945	0.60096075	0.5584475
ENSFDAG00000000058	6.026061	3.321943	2.459052	3.7016785	4.710498
ENSFDAG00000000063	4.724923	4.2136285	3.51341675	4.868529	4.2043475
ENSFDAG00000000064	6.729104	3.37418075	1.034884925	5.2204245	2.4657555
ENSFDAG00000000068	7.178021	7.47364325	6.7124725	6.766023	6.404792
ENSFDAG00000000069	2.306557	3.690793	5.30455425	5.036668	3.1173085
ENSFDAG00000000070	4.531213	0.256606725	0.161322125	1.06433155	2.7222635
ENSFDAG00000000074	4.38111	0.438307675	0.898282475	0.72750005	1.5198175
ENSFDAG00000000075	0	0	0	0	0
ENSFDAG00000000076	0.3834505	2.2360295	0.317701135	0.67026035	0.8860668
ENSFDAG00000000077	1.740129	2.02276725	1.0265571	1.194442	2.1593855
ENSFDAG00000000079	5.202947	5.280259	4.44073475	5.4498955	5.024768
ENSFDAG00000000084	0.6804108	0	0	0	2.260136
ENSFDAG00000000085	0	0	0	0	0
ENSFDAG00000000086	0.199134	0	0	0	0.04939673
ENSFDAG00000000087	0	0	0.02392903	0	3.611847
ENSFDAG00000000089	1.26877	1.036656625	0.738376475	1.157198	4.958501
ENSFDAG00000000091	3.454182	2.9765455	1.774926	2.721843	2.7939945
ENSFDAG00000000093	2.845388	4.57070075	2.05337275	3.671651	2.411805
ENSFDAG00000000094	4.736367	4.192575	2.56915225	4.4852575	4.108481
ENSFDAG00000000095	5.503054	4.36560925	3.31222175	4.877228	6.5563785
ENSFDAG00000000098	0	0	0	0	0
ENSFDAG00000000099	7.08758	0.0430330625	0.0319475425	0.11613554	0.33161535
ENSFDAG00000000103	5.917413	6.46921025	5.330059	6.9620475	6.508168
ENSFDAG00000000104	0.1575017	0	0	0.046745745	0.0760534
ENSFDAG00000000105	5.308681	6.221724	7.05316	4.335665	3.8822185
ENSFDAG00000000106	8.178321	8.90207375	7.93454025	8.734926	8.657989
ENSFDAG00000000107	6.449883	5.456908	4.90653425	5.441456	5.2781515
ENSFDAG00000000110	3.046668	2.2545945	1.447824675	4.6228385	6.256469
ENSFDAG00000000114	0	2.08377	2.950640225	1.899212	0
ENSFDAG00000000116	6.098552	6.0736775	4.2883745	5.7353755	4.7424705
ENSFDAG00000000117	7.377696	8.9661195	9.35163325	9.1089815	7.1247675
ENSFDAG00000000118	0	0	0	0.0859864	0.651382
ENSFDAG00000000119	2.126504	3.7345565	3.488024	4.5310665	2.4617565
