brain	heart	kidney	liver	ovary	testis
ENSGMOG00000000001	0.384944995	0.6708213	3.201974	5.2904015302	8.211343	4.341694
ENSGMOG00000000002	3.284953804	1.935373	2.452345	1.4458051585	3.063142	1.925312
ENSGMOG00000000003	0	2.728798	0	0.01261876	4.255032	3.696851
ENSGMOG00000000004	3.810011156	0.01929797	0.0447483	2.5236636974	0.7081457	2.218787
ENSGMOG00000000005	0.587457167	0.1441365	0	0.063744998	1.534505	0
ENSGMOG00000000006	5.277679816	3.188709	3.399231	3.5732355804	6.313924	5.826754
ENSGMOG00000000007	4.745968715	0.09573677	0.1111383	0.3450093823	0.07174455	1.381271
ENSGMOG00000000008	1.198846141	5.025547	4.106742	4.343610897	0.125912	0.7942512
ENSGMOG00000000009	5.062009429	3.110453	3.568932	3.484282436	5.976185	5.184614
ENSGMOG00000000010	3.427434541	0.007563191	0.002990721	0.0075809058	0.3676629	0.4818331
ENSGMOG00000000011	1.294376665	0.1340886	0.8474277	2.6883050626	0	0.2237722
ENSGMOG00000000012	1.747069392	0.1183068	0.1415453	0.5772693703	0.1952481	0.5386136
ENSGMOG00000000013	0	0	0	0	0	0
ENSGMOG00000000014	7.543696931	6.334325	6.204866	6.8779356006	8.804812	9.273854
ENSGMOG00000000015	4.712144524	3.565414	3.609223	4.5402043241	4.776409	5.973159
ENSGMOG00000000016	5.676278693	2.052346	2.904925	3.0748193037	3.842436	3.680178
ENSGMOG00000000017	3.363393984	0.4034063	0.1792754	0.5312978	0.499327	0.8161524
ENSGMOG00000000018	1.029502359	1.132432	2.376232	2.0778219056	4.875475	2.125925
ENSGMOG00000000019	3.317068135	2.187983	2.458351	3.9165350494	2.57056	4.600151
ENSGMOG00000000020	2.872381602	1.468594	1.74941	2.0172999631	2.796155	3.398612
ENSGMOG00000000021	2.797060721	2.515117	2.788452	2.8348697403	4.264822	6.464678
ENSGMOG00000000022	1.327526417	1.24715	2.245611	1.08096088	0.09435945	0.7886465
