heart	kidney	liver	testis
ENSGGOG00000000003	0	0.15691162	0.83152405	0.0719888533333333
ENSGGOG00000000004	0.066528855	0.2495797	0.13953155	1.82924356666667
ENSGGOG00000000005	1.37447925	2.9453295	2.023161	2.757317
ENSGGOG00000000006	0.21393435	1.511408	1.496551	1.72631723333333
ENSGGOG00000000007	0.10328022	0.39614625	0.05973265	5.95316266666667
ENSGGOG00000000008	0.005858125	0.033038585	0.09512191	2.099357
ENSGGOG00000000009	0.03945559	0.44552445	0.044071665	0.932687233333333
ENSGGOG00000000010	1.77059	0.2429902	0.60219985	2.91860266666667
ENSGGOG00000000011	0.122380355	0.53016	0.4655626	0.760573733333333
ENSGGOG00000000013	0.51482575	1.4238825	0.2270517	0.682728733333333
ENSGGOG00000000014	2.849926	4.262209	3.579454	5.85300333333333
ENSGGOG00000000015	4.2752805	5.7508295	5.091511	4.94255966666667
ENSGGOG00000000016	0.02622151	0	0	0.137975133333333
ENSGGOG00000000018	0.9995123	3.379667	0.8184445	1.60761366666667
ENSGGOG00000000019	0.41523685	1.209428	1.4029489	3.83844466666667
ENSGGOG00000000020	1.808283	2.682389	2.5225205	2.42587933333333
ENSGGOG00000000023	0.185481235	0.03763654	0.1638127	0.420426133333333
ENSGGOG00000000024	0.2189154	0.21397633	0.5579584	1.27113533333333
ENSGGOG00000000025	2.678098	2.5369765	3.157218	2.92333866666667
ENSGGOG00000000027	0.069714235	0.173489145	0.178174465	1.55287763333333
ENSGGOG00000000028	0.029365285	0.00771139	0	4.986989
ENSGGOG00000000029	0.15445955	2.046584	0.8343922	0.634351766666667
ENSGGOG00000000030	2.5865355	4.7924025	3.7593005	3.528512
ENSGGOG00000000031	0.37999365	0.27587785	0.69846375	1.14267253333333
ENSGGOG00000000032	0.46528285	1.260691	1.20184735	2.00478666666667
ENSGGOG00000000033	2.1062455	2.8363545	1.1467119	3.34978866666667
ENSGGOG00000000035	1.648746	4.5210765	3.00281	3.38698066666667
ENSGGOG00000000036	4.5201	5.3585065	4.234682	5.93465866666667
ENSGGOG00000000037	0	0	0	0.367517
ENSGGOG00000000038	3.1927845	4.5773605	4.693452	2.18314333333333
ENSGGOG00000000039	1.563315	3.732408	3.4124295	2.65114266666667
ENSGGOG00000000040	4.235168	5.2759845	4.719597	5.26249
ENSGGOG00000000041	1.946449	3.584775	1.8266795	6.10803
ENSGGOG00000000042	0	0	0.40534535	0
ENSGGOG00000000043	0.4669201	1.2034506	1.48230635	0.617434033333333
ENSGGOG00000000044	0.53078675	2.3998395	1.791203	1.0651271
ENSGGOG00000000045	3.436556	3.5559585	2.291226	1.99453166666667
ENSGGOG00000000046	0	0	0	0.458519366666667
ENSGGOG00000000047	4.7177605	5.920063	6.185261	0.5889645
ENSGGOG00000000049	1.438008	3.5197115	2.7421745	3.44290133333333
ENSGGOG00000000050	1.20903745	6.5472365	7.026485	1.65651003333333
ENSGGOG00000000051	2.44278	4.2940815	4.3881455	3.99881866666667
ENSGGOG00000000053	2.5958485	4.131157	3.77841	4.11197233333333
ENSGGOG00000000054	0	0.4977173	0.62324205	0
ENSGGOG00000000055	0	0	0	0
ENSGGOG00000000056	0.55610715	1.839736	1.0513484	3.62392666666667
ENSGGOG00000000057	0.01901444	1.427478	4.9394605	0.0534727
ENSGGOG00000000058	0.59557475	0.89206325	0.83356885	1.4318373
ENSGGOG00000000061	0.60194095	2.4167295	2.171008	4.71775933333333
ENSGGOG00000000062	3.7205715	5.486247	4.4328165	5.73631466666667
ENSGGOG00000000063	0.54093355	2.907695	2.043533	2.54242533333333
ENSGGOG00000000065	2.217502	3.8252645	3.213289	4.94306433333333
ENSGGOG00000000066	0.30436155	0.4921831	0.02590279	0.116892033333333
ENSGGOG00000000067	0.6885315	0	0.24473805	1.3650404
ENSGGOG00000000069	5.274839	7.1995435	6.3162535	6.42918166666667
ENSGGOG00000000071	1.6175845	3.2241425	2.2353335	7.25981033333333
ENSGGOG00000000072	1.3940845	2.6984005	2.061149	2.62986833333333
ENSGGOG00000000073	2.5870355	5.4067105	4.3512045	6.00062666666667
ENSGGOG00000000074	3.7888645	5.818577	4.4825065	6.10938166666667
ENSGGOG00000000075	0.6641957	2.250595	2.2958675	4.91837166666667
ENSGGOG00000000076	0.87369825	0.3931476	2.4886415	1.72001366666667
