brain	heart	kidney	liver	ovary	testis
ENSG00000000003	2.2698175	2.453432	4.4256025	4.8557554	6.142769	5.8615338
ENSG00000000005	0.1250513	0.36947994	0.583695313333333	0.063782206	1.09261136666667	0.71472792
ENSG00000000419	2.63122832	4.619814	3.9309078	3.55115802	6.41644433333333	4.51663248
ENSG00000000457	1.81020178	1.8578104	2.06582533333333	2.0276911	3.311521	2.55737386
ENSG00000000460	0.99972253	1.03722532	0.918102096666667	1.21046928	3.001603	3.24711034
ENSG00000000938	1.7683268	2.7079572	1.96388233333333	1.9698236	2.148696	2.3431272
ENSG00000000971	2.2644114	4.8594396	3.48397733333333	8.3004794	6.678274	4.7516092
ENSG00000001036	3.242652	4.1498274	5.2021185	3.9550872	6.22110466666667	4.0825658
ENSG00000001084	3.364159	4.0153458	4.2191145	4.9455508	4.90517733333333	3.8958688
ENSG00000001167	1.754236464	2.6635082	2.51137005	1.99284652	3.95530766666667	4.2843774
ENSG00000001460	2.60724736	1.78548	2.58623485	1.04366724	3.32660366666667	4.7869696
ENSG00000001461	3.8928466	3.4304766	3.33509951666667	1.43309438	3.16476766666667	2.4601722
ENSG00000001497	2.9216008	3.1884048	3.62019446666667	2.7494413	4.86998666666667	4.3646192
ENSG00000001561	3.3176026	3.0043882	3.15430933333333	1.34435356	2.63795566666667	2.28529888
ENSG00000001617	1.14334468	3.5866632	3.70687821666667	1.942192	3.01000733333333	2.2039646
ENSG00000001626	2.242951024	1.009857978	1.57048803316667	1.510291126	4.1024	1.5558203
ENSG00000001629	3.56890164	3.6587232	3.83122616666667	2.361143	4.344264	4.19208176
ENSG00000001630	4.1698318	3.3355082	4.13140733333333	5.0601044	6.070852	5.2538008
ENSG00000001631	3.412242	3.6515972	3.8102375	2.78587094	4.903952	4.2290788
ENSG00000002016	2.24007758	3.1324338	2.88112793333333	2.12594824	4.47177833333333	3.157467
ENSG00000002079	0.080498052	0.13165695	0.202888243333333	0.101392062	0.240276763333333	1.22028524
ENSG00000002330	3.5097214	4.8892972	5.1097395	3.9462554	4.70098033333333	5.0401956
ENSG00000002549	3.08305322	4.1895258	5.32272166666667	4.1910866	4.68138433333333	5.0605244
ENSG00000002586	4.765769	7.739321	5.792321	6.2013962	8.01072633333333	7.9056498
ENSG00000002587	1.29108022	0.74909574	1.7424942	0.159923152	3.00347733333333	1.53466024
ENSG00000002726	0.12310634	0.51806514	7.64272766666667	1.1852656	2.87688523333333	1.720446536
ENSG00000002745	0.349335796	0.072390694	0.0361769833333333	0.011511272	0.229399233333333	0.24729164
ENSG00000002746	3.2072664	0.46056568	3.05995	0.190387068	0.853161733333333	2.5908998
ENSG00000002822	3.1356912	3.2685536	3.77437216666667	3.9560742	4.47809966666667	5.5231362
ENSG00000002834	3.9396806	4.455868	5.379632	4.4373662	6.81085233333333	5.266785
ENSG00000002919	2.3151546	2.7981054	3.47833248333333	2.55064572	4.13977733333333	3.6889228
ENSG00000002933	5.313293	5.1328176	9.24385833333333	9.3657476	7.253467	5.320331
ENSG00000003056	5.2790498	6.369552	6.52084233333333	5.2181778	7.11274233333333	6.7294968
ENSG00000003096	1.36122006	2.0435914	2.95854316666667	0.862673178	2.3652544	2.35710582
ENSG00000003137	1.91494488	1.65166594	1.89430343833333	0.36322238	1.73741933333333	3.497410686
ENSG00000003147	3.420062	4.9983106	3.93041036666667	2.51669858	4.85942633333333	5.3886908
ENSG00000003249	4.2814538	1.52708432	2.785889	1.32617486	1.69777133333333	1.50061588
