kidney	liver
ENSLACG00000000001	0	0
ENSLACG00000000002	0	0
ENSLACG00000000003	0.280633304	0
ENSLACG00000000004	0	0
ENSLACG00000000005	0	0
ENSLACG00000000006	0.048992635	0
ENSLACG00000000007	0	0
ENSLACG00000000008	0	0
ENSLACG00000000009	0.993727975	0
ENSLACG00000000010	2.016928803	2.948599
ENSLACG00000000011	8.046480147	6.273497
ENSLACG00000000012	2.076223864	2.955462
ENSLACG00000000013	3.547338772	4.223515
ENSLACG00000000014	1.677598443	4.307144
ENSLACG00000000015	4.521408853	5.870145
ENSLACG00000000016	2.042336156	0
ENSLACG00000000017	6.044352587	5.777159
ENSLACG00000000018	8.388984643	1.608923
ENSLACG00000000019	6.53254382	5.312117
ENSLACG00000000020	1.156713729	4.463616
ENSLACG00000000021	2.067566443	1.422368
ENSLACG00000000022	0.678144038	3.242636
ENSLACG00000000023	1.746145051	2.063327
ENSLACG00000000024	2.511078343	2.578707
ENSLACG00000000025	2.325075505	3.696639
ENSLACG00000000026	2.505093163	2.931674
ENSLACG00000000027	2.214345546	3.83372
ENSLACG00000000028	0.904149566	0
ENSLACG00000000029	0.532714924	0
ENSLACG00000000030	1.514839326	0
ENSLACG00000000031	0.358952076	1.740107
ENSLACG00000000032	0.855694752	2.98684
ENSLACG00000000033	1.82180816	3.519882
ENSLACG00000000034	0.248707269	0
ENSLACG00000000035	1.421344501	3.668562
ENSLACG00000000036	5.421327668	2.785728
ENSLACG00000000037	0	0
ENSLACG00000000038	0.965942349	2.018855
ENSLACG00000000039	3.390216429	5.311005
ENSLACG00000000040	0.263312098	3.630743
ENSLACG00000000041	5.207682053	2.943426
ENSLACG00000000042	1.781573741	3.359448
ENSLACG00000000043	2.614354132	5.646255
ENSLACG00000000044	2.297338174	6.205959
ENSLACG00000000045	0	0
ENSLACG00000000046	0.67276657	0
ENSLACG00000000047	1.350236973	2.292481
ENSLACG00000000048	2.236657926	1.937887
ENSLACG00000000049	0.147469522	0
ENSLACG00000000050	0.310550692	0
ENSLACG00000000051	4.285335631	6.02076
ENSLACG00000000052	0	0
ENSLACG00000000053	1.390453081	2.683016
ENSLACG00000000054	1.385723688	0
ENSLACG00000000055	0.578330118	3.564451
ENSLACG00000000056	0.746899186	2.102399
ENSLACG00000000057	0.090192349	0
ENSLACG00000000058	0.334446997	0
ENSLACG00000000059	1.005033428	0
ENSLACG00000000060	1.752658688	3.666836
ENSLACG00000000061	3.225944289	6.098906
ENSLACG00000000062	0.800758703	2.760542
ENSLACG00000000063	0.207818654	1.507262
ENSLACG00000000064	0.466566567	2.426832
ENSLACG00000000065	0	0
ENSLACG00000000066	0	0
ENSLACG00000000067	2.423096744	3.470068
ENSLACG00000000068	0.172564321	0
ENSLACG00000000069	0	1.188027
ENSLACG00000000070	0.185478392	0
ENSLACG00000000071	2.293305735	2.823637
ENSLACG00000000072	0.228826077	0
ENSLACG00000000073	0	0
ENSLACG00000000074	0	0
ENSLACG00000000075	0	0
ENSLACG00000000076	0	0
ENSLACG00000000077	0	2.276705
ENSLACG00000000078	1.358683197	5.005741
ENSLACG00000000079	0.095824525	0
ENSLACG00000000080	0.035786834	0
ENSLACG00000000081	0.653779121	0
ENSLACG00000000082	0	0
ENSLACG00000000083	1.99567988	2.441691
ENSLACG00000000084	1.717232238	3.69596
ENSLACG00000000085	2.526221589	2.68995
ENSLACG00000000086	2.210831456	0
ENSLACG00000000087	0.185560852	1.811002
ENSLACG00000000088	0	0
ENSLACG00000000089	0	0
ENSLACG00000000090	0	0
ENSLACG00000000091	0	0
ENSLACG00000000092	0.446823667	0
ENSLACG00000000093	0	2.662456
ENSLACG00000000094	0	0
ENSLACG00000000095	0.11079739	0
ENSLACG00000000096	2.522349583	1.254854
ENSLACG00000000097	0	0
ENSLACG00000000098	0.128966941	1.762417
ENSLACG00000000099	2.885117471	2.821378
ENSLACG00000000100	2.391146304	4.674003
ENSLACG00000000101	0.6787408	1.630895
ENSLACG00000000102	0	0
ENSLACG00000000103	0.139445919	1.87725
ENSLACG00000000104	1.173773463	0
ENSLACG00000000105	0.639465569	0
ENSLACG00000000106	1.299467405	0
ENSLACG00000000107	1.160668533	3.575542
ENSLACG00000000108	3.330721877	5.900867
ENSLACG00000000109	1.905308535	0
ENSLACG00000000110	0.442426554	1.34564
ENSLACG00000000111	0.645744999	1.30818
ENSLACG00000000112	1.862891721	2.106318
ENSLACG00000000113	0.217730764	2.65323
ENSLACG00000000114	0	0
ENSLACG00000000115	0	0
ENSLACG00000000116	0	0
ENSLACG00000000117	0	0
ENSLACG00000000118	0	0
ENSLACG00000000119	0.387027197	4.167832
ENSLACG00000000120	0.342753842	0
ENSLACG00000000121	0	4.11315
ENSLACG00000000122	5.353658516	4.037391
ENSLACG00000000123	3.036142835	5.475052
ENSLACG00000000124	0	2.093854
ENSLACG00000000125	0.778301949	2.431532
ENSLACG00000000126	0.292907759	2.514559
ENSLACG00000000127	0	0
ENSLACG00000000128	1.005249063	3.766987
ENSLACG00000000129	0.714412586	0
ENSLACG00000000130	0	1.535968
ENSLACG00000000131	0	0
ENSLACG00000000132	0.363597233	0
ENSLACG00000000133	3.150733504	2.485993
ENSLACG00000000134	0.613096893	0
ENSLACG00000000135	1.81314293	0
ENSLACG00000000136	0	0
ENSLACG00000000137	0	0
ENSLACG00000000138	1.98458935	2.846794
ENSLACG00000000139	0.081848572	6.696898
ENSLACG00000000140	0	2.880084
ENSLACG00000000141	0.572505545	0
ENSLACG00000000142	0	0
ENSLACG00000000143	0	0
ENSLACG00000000144	0	0
ENSLACG00000000145	0.140073166	2.555706
ENSLACG00000000146	1.775834379	0
ENSLACG00000000147	2.905730202	6.852723
ENSLACG00000000148	1.421716122	0
ENSLACG00000000149	0	0
ENSLACG00000000150	0.778200164	1.148212
ENSLACG00000000151	0	0
ENSLACG00000000152	0.191840551	0
ENSLACG00000000153	0.443397658	0
ENSLACG00000000154	0	0
ENSLACG00000000155	0.687956494	0
ENSLACG00000000156	0.441264615	0
ENSLACG00000000157	0	0
ENSLACG00000000158	0.064459222	0
ENSLACG00000000159	0.221382181	3.661601
ENSLACG00000000160	0	0
ENSLACG00000000161	0.777489153	2.029442
ENSLACG00000000162	0.39238777	3.284926
ENSLACG00000000163	4.398001421	3.19389
ENSLACG00000000164	0	0
ENSLACG00000000165	0.46939944	4.847636
ENSLACG00000000166	2.14600997	3.766663
ENSLACG00000000167	0.39081734	3.414177
ENSLACG00000000168	0.123554431	3.397491
ENSLACG00000000169	0.706506682	0
ENSLACG00000000170	0	0
ENSLACG00000000171	1.332604829	0
ENSLACG00000000172	0.666067569	3.013611
ENSLACG00000000173	0.23701419	0
ENSLACG00000000174	8.315520946	4.372569
ENSLACG00000000175	0.715275756	3.880705
ENSLACG00000000176	0	4.965669
ENSLACG00000000177	0	0
ENSLACG00000000178	0	0
ENSLACG00000000179	1.439027321	0
ENSLACG00000000180	0	4.975924
ENSLACG00000000181	0	0
ENSLACG00000000182	0.411675713	1.346656
ENSLACG00000000183	0	0
ENSLACG00000000184	0	0
ENSLACG00000000185	1.924837201	0
ENSLACG00000000186	0	0
ENSLACG00000000187	0.16943376	0
ENSLACG00000000188	3.71154997	0
ENSLACG00000000189	0	0
ENSLACG00000000190	0.50053694	0
ENSLACG00000000191	0.174903638	0
ENSLACG00000000192	0.307486815	0
ENSLACG00000000193	0.422278219	3.849209
ENSLACG00000000194	0.086492753	0
ENSLACG00000000195	0.158779076	2.979808
ENSLACG00000000196	0	0
ENSLACG00000000197	0.58648134	0
ENSLACG00000000198	0	5.397851
ENSLACG00000000199	0	0
ENSLACG00000000200	0	0
ENSLACG00000000201	0	0
ENSLACG00000000202	0	0
ENSLACG00000000203	1.293717725	0
ENSLACG00000000204	1.442916963	5.20203
ENSLACG00000000205	1.320617533	6.879142
ENSLACG00000000206	0.357577903	0
ENSLACG00000000207	0	0
ENSLACG00000000208	0.401550739	0.5096401
ENSLACG00000000209	0	6.690724
ENSLACG00000000210	3.460469985	5.190095
ENSLACG00000000211	1.080848646	5.564055
ENSLACG00000000212	3.850639426	4.121413
ENSLACG00000000213	0.23542685	2.550994
ENSLACG00000000214	0.220743509	1.579151
ENSLACG00000000215	0	0
ENSLACG00000000216	2.085934473	2.966488
ENSLACG00000000217	1.727328011	0
ENSLACG00000000218	2.561475226	4.909644
ENSLACG00000000219	0	0
ENSLACG00000000220	0	0
ENSLACG00000000221	2.095499142	0
ENSLACG00000000222	0.077860832	0
ENSLACG00000000223	0.486612441	3.563256
ENSLACG00000000224	0.29903712	0
ENSLACG00000000225	0.436860093	1.87438
ENSLACG00000000226	2.495083678	5.222681
ENSLACG00000000227	0.583125261	2.886892
ENSLACG00000000228	0	0
ENSLACG00000000229	0.058866035	2.389586
ENSLACG00000000230	0.610983471	2.280193
ENSLACG00000000231	0.867051944	1.736614
ENSLACG00000000232	0.344435394	0
ENSLACG00000000233	1.714579635	3.166126
ENSLACG00000000234	0.978945343	0
ENSLACG00000000235	0.235553068	0
ENSLACG00000000236	0	0
ENSLACG00000000237	0	0
ENSLACG00000000238	0	0
ENSLACG00000000239	0.188374337	0
ENSLACG00000000240	0.513570584	2.383085
ENSLACG00000000241	0	0
ENSLACG00000000242	1.068615784	3.062983
ENSLACG00000000243	0.164016464	0
ENSLACG00000000244	1.736977136	0
ENSLACG00000000245	3.818993678	15.87631
ENSLACG00000000246	0	0
ENSLACG00000000247	1.931017335	0
ENSLACG00000000248	1.528316262	7.461463
ENSLACG00000000249	0.543956087	0
ENSLACG00000000250	0.60886169	3.594178
ENSLACG00000000251	0.981296652	2.431698
ENSLACG00000000252	0	0
ENSLACG00000000253	0.278721077	0
ENSLACG00000000254	0.510247988	0
ENSLACG00000000255	0	0
ENSLACG00000000256	0.059589939	2.417056
ENSLACG00000000257	0.115410186	6.016053
ENSLACG00000000258	1.222989986	5.527849
ENSLACG00000000259	1.033701382	4.410897
ENSLACG00000000260	0.1929289	0
ENSLACG00000000261	0	1.544446
ENSLACG00000000262	0.05428754	0
ENSLACG00000000263	1.9547435	3.284785
ENSLACG00000000264	1.46619379	1.18435
ENSLACG00000000265	0.519604301	0
ENSLACG00000000266	0	1.749015
ENSLACG00000000267	0.157536601	0
ENSLACG00000000268	1.099759755	1.960375
ENSLACG00000000269	1.366946023	5.065275
ENSLACG00000000270	1.237019087	4.414954
ENSLACG00000000271	1.627177234	0
ENSLACG00000000272	2.43571126	4.475532
ENSLACG00000000273	0.090862507	2.576041
ENSLACG00000000274	1.817054253	4.135149
ENSLACG00000000275	0.871346897	0
ENSLACG00000000276	2.569401164	3.177586
ENSLACG00000000277	1.301570088	4.098521
ENSLACG00000000278	0	0
ENSLACG00000000279	0.397144702	4.431028
ENSLACG00000000280	0.718526903	1.399105
ENSLACG00000000281	0.286494406	2.590463
ENSLACG00000000282	0.092960123	0
ENSLACG00000000283	0	0
ENSLACG00000000284	5.224947078	4.171527
ENSLACG00000000285	0.094798037	0
ENSLACG00000000286	0.546847552	0
ENSLACG00000000287	1.802958315	1.970121
ENSLACG00000000288	2.409703203	2.852764
ENSLACG00000000289	0.539139947	0
ENSLACG00000000290	2.08590049	4.863086
ENSLACG00000000291	4.219679667	5.581577
ENSLACG00000000292	0	0
ENSLACG00000000293	0	0
ENSLACG00000000294	1.594032527	6.296202
ENSLACG00000000295	0	0
ENSLACG00000000296	0.41192839	0
ENSLACG00000000297	0	0
ENSLACG00000000298	1.206805737	2.84873
ENSLACG00000000299	0.668968694	0
ENSLACG00000000300	1.975707216	2.533845
ENSLACG00000000301	0	0
ENSLACG00000000302	0.5535807	0
ENSLACG00000000303	0	3.370969
ENSLACG00000000304	0.456829274	1.871327
ENSLACG00000000305	0	0
ENSLACG00000000306	0.836312782	2.701536
ENSLACG00000000307	1.120172754	4.242199
ENSLACG00000000308	0	0
ENSLACG00000000309	2.94428875	3.441296
ENSLACG00000000310	0	0
ENSLACG00000000311	0.283357619	0
ENSLACG00000000312	0	2.305991
ENSLACG00000000313	0	6.572709
ENSLACG00000000314	0	0
ENSLACG00000000315	2.114370357	3.050638
ENSLACG00000000316	0.204712922	1.319814
ENSLACG00000000317	0	0
ENSLACG00000000318	0	3.787485
ENSLACG00000000319	0	0
ENSLACG00000000320	1.50640391	2.782662
ENSLACG00000000321	0	0
ENSLACG00000000322	0	0
ENSLACG00000000323	0.225109547	1.391685
ENSLACG00000000324	0	3.399957
ENSLACG00000000325	0	0
ENSLACG00000000326	0	0
ENSLACG00000000327	0.609131803	0
ENSLACG00000000328	1.918214475	1.974511
ENSLACG00000000329	0	0
ENSLACG00000000330	0.085539958	1.564164
ENSLACG00000000331	0	0
ENSLACG00000000332	0.235315328	0
ENSLACG00000000333	2.237606546	0.6777716
ENSLACG00000000334	0.434665053	0
ENSLACG00000000335	0	0
ENSLACG00000000336	0.118332214	0
ENSLACG00000000337	0	0
ENSLACG00000000338	3.577513423	4.318179
ENSLACG00000000339	0.550945077	1.65356
ENSLACG00000000340	1.240479199	4.854519
ENSLACG00000000341	3.592074261	0
ENSLACG00000000342	0.371203093	0.8119223
ENSLACG00000000343	0.691632426	2.928186
ENSLACG00000000344	0	0
ENSLACG00000000345	0.187627144	2.974393
ENSLACG00000000346	0.254566229	0
ENSLACG00000000347	1.391063795	2.924448
ENSLACG00000000348	0.041679931	0
ENSLACG00000000349	0.401792092	0.7881987
ENSLACG00000000350	2.335125911	4.448553
ENSLACG00000000351	4.669650438	3.663584
ENSLACG00000000352	0.255934534	4.165365
ENSLACG00000000353	0	0
ENSLACG00000000354	2.865247776	5.400729
ENSLACG00000000355	0.017576332	0
ENSLACG00000000356	1.648598892	1.403153
ENSLACG00000000357	0.295158765	4.52543
ENSLACG00000000358	0	0
ENSLACG00000000359	1.701007806	0
ENSLACG00000000360	0	3.941003
ENSLACG00000000361	0.842574217	0
ENSLACG00000000362	0	0
ENSLACG00000000363	0.900715746	8.271855
ENSLACG00000000364	0	0
ENSLACG00000000365	3.001825657	3.112367
ENSLACG00000000366	0	0
ENSLACG00000000367	0.840074837	6.072247
ENSLACG00000000368	2.43785625	0
ENSLACG00000000369	0.273329685	0
ENSLACG00000000370	1.229045195	2.882833
ENSLACG00000000371	0.105655821	0
ENSLACG00000000372	0.867247303	0
ENSLACG00000000373	0.697354826	2.142766
ENSLACG00000000374	0	0
ENSLACG00000000375	2.696792863	1.519809
ENSLACG00000000376	0	0
ENSLACG00000000377	1.745409455	3.841389
ENSLACG00000000378	0	0
ENSLACG00000000379	0	0
ENSLACG00000000380	0	5.571143
ENSLACG00000000381	1.180561638	1.823949
ENSLACG00000000382	0.499066717	3.299643
ENSLACG00000000383	0	0
ENSLACG00000000384	1.121565842	0
ENSLACG00000000385	0.801018727	1.9282
ENSLACG00000000386	0	4.257365
ENSLACG00000000387	0	0
ENSLACG00000000388	0	0
ENSLACG00000000389	0.510211523	1.604664
ENSLACG00000000390	1.062453328	3.618145
ENSLACG00000000391	1.042770393	0
ENSLACG00000000392	0.786137135	0
ENSLACG00000000393	0	0
ENSLACG00000000394	0.889647979	0
ENSLACG00000000395	0.087491355	0
ENSLACG00000000396	0.763373329	1.502626
ENSLACG00000000397	3.056909485	5.029859
ENSLACG00000000398	0	0
ENSLACG00000000399	0.981942499	0
ENSLACG00000000400	0	0
ENSLACG00000000401	0	0
ENSLACG00000000402	0.29442715	0
ENSLACG00000000403	2.776419872	0
ENSLACG00000000404	0	0
ENSLACG00000000405	6.174937663	0
ENSLACG00000000406	0.324136507	2.14527
ENSLACG00000000407	0	0
