brain	heart	kidney	liver	ovary	testis
ENSLOCG00000000001	4.2140175	3.780583	2.2498525	2.6236951945	1.788669	4.897461
ENSLOCG00000000002	0.206941615	0.39066285	0.2636638	0.502663462	0.3192237	1.040344
ENSLOCG00000000003	7.089277	3.7915105	1.4468535	2.104579698	0.05806929	1.09132595
ENSLOCG00000000004	5.400568	3.781035	3.3649865	2.853997596	4.28267	4.2149685
ENSLOCG00000000005	4.537873	3.936858	2.8404975	2.9251190955	3.810659	3.975217
ENSLOCG00000000006	6.8819715	7.897858	6.607296	7.4347471495	6.984658	4.8501405
ENSLOCG00000000007	5.174533	4.899752	4.000668	4.1839587755	5.082869	3.918216
ENSLOCG00000000008	2.663789	0.1598101	0.165531065	0.07582292	0	0.19907555
ENSLOCG00000000009	5.758058	5.727731	5.1379355	5.1006131175	5.267011	6.091543
ENSLOCG00000000010	4.4667295	3.933082	3.094482	3.4654314875	3.256709	3.4050095
ENSLOCG00000000011	6.108716	4.782096	3.9767695	4.2047732795	2.612558	4.6570395
ENSLOCG00000000012	5.5428085	4.654032	3.7087125	3.6337469355	4.666717	5.152437
ENSLOCG00000000013	3.5841455	1.18762855	1.3069015	1.471284443	0.1700981	4.5471425
ENSLOCG00000000014	4.76252	1.1962292	1.634269915	2.2336148935	0.4936002	5.9061985
ENSLOCG00000000015	4.077981	0.90960304	1.080055	1.696824274	0.2710886	3.9042465
ENSLOCG00000000016	2.0309175	3.095386	1.4922445	1.4418312875	0.1670226	3.835943
ENSLOCG00000000017	12.24078	13.26982	13.2669	13.252548071	8.358809	12.57649
ENSLOCG00000000018	0.33897122	0.82359385	1.7229445	0.749248691	0	1.3142147
ENSLOCG00000000019	0	0	0	0	0	0.1619062
ENSLOCG00000000020	3.8548255	2.3195005	1.479228	1.325977238	1.472592	1.321276
ENSLOCG00000000021	0.05875565	0.2353517	0.1668773	0.073818115	0	0.5668905
ENSLOCG00000000022	2.509575	2.7839036	0.3229557	2.1222542655	0.1919783	2.127373
ENSLOCG00000000023	4.1901775	2.9071175	1.0151396	1.4284856515	1.94262	0.94231855
ENSLOCG00000000024	3.1557915	2.9016195	2.026262	2.101028818	3.540213	2.8716625
ENSLOCG00000000025	1.8804135	1.1333545	0.05686545	0.1225261105	0.03111637	0.18752764
ENSLOCG00000000026	0.6977864	1.5701085	0.67147185	0.655001289	4.010382	2.88942665
ENSLOCG00000000027	0	1.180577	0.06644	0.365099545	0	2.1329735
ENSLOCG00000000028	0.657198485	0.9999025	0.08498397	0.48671821	0	2.7081665
ENSLOCG00000000029	0.8002315	3.008022	0.93160015	0.5876983345	0	1.6435745
ENSLOCG00000000030	0	1.659572	0	0.55998018	0.05807234	2.45587
ENSLOCG00000000031	4.1587365	3.8240175	3.5277205	3.0362661425	4.704424	4.0846355
ENSLOCG00000000032	0.50505995	0	0	0	0	0.12522855
ENSLOCG00000000033	0.89204485	1.3160365	0.083928125	0.80802355	0.1065425	1.7126345
ENSLOCG00000000034	0.50071795	1.7940598	0.14658355	0.253576583	0.1474865	1.3402577
ENSLOCG00000000035	0.8470906	0.3072558	0.20778645	2.9591466555	0	4.1578309
ENSLOCG00000000036	0	1.628936	0	0.356849225	0	2.2547115
ENSLOCG00000000037	0.8694151	1.0461659	0.18636708	1.037817655	0.2517288	0.38539725
ENSLOCG00000000038	0	3.0884105	0	1.274718765	0	3.0923425
ENSLOCG00000000039	0.2862426	0.844108	0	0.707086715	0	1.4399795
ENSLOCG00000000040	4.1615385	3.6993955	2.4896315	2.6094185035	0.1443286	2.381126
ENSLOCG00000000041	0.30236495	1.273625	0.06678612	1.01072565	0.03517836	1.8797527
ENSLOCG00000000042	0.24377235	1.243182	0	0.679217825	0.04556724	1.78031986
ENSLOCG00000000043	2.884862	2.9805955	1.2308905	0.546404407	0.7221801	1.0148427
ENSLOCG00000000044	1.02447185	0.6441495	0.28590585	0.79210846	0.1266674	0.64403255
ENSLOCG00000000045	6.3943865	6.038701	5.2824245	4.3420533835	3.676786	5.171409
ENSLOCG00000000046	2.3464055	2.1208982	0.96697835	1.8857456095	1.466386	2.1623325
ENSLOCG00000000047	0.78970625	1.4544505	0.86131715	0.8700716435	0.09554721	1.0705183
ENSLOCG00000000048	4.219678	5.6414885	3.9139725	6.8526056005	4.365644	5.012508
ENSLOCG00000000049	0.6861551	0.8768919	0.49262525	0.9478672155	1.266085	0.84006905
ENSLOCG00000000050	6.2806765	5.4545675	4.405643	4.840365247	4.952995	5.0357765
ENSLOCG00000000051	1.32537655	0.3891353	0.121894	0.3271339635	0.08240857	0.95335055
ENSLOCG00000000052	2.457861	0.7268806	0.41353855	0.8402659425	0.1047874	1.813155
ENSLOCG00000000053	3.518513	2.767103	1.7023736	2.124104027	0.9747797	3.463923
ENSLOCG00000000054	3.2633155	2.638506	2.7873475	2.2706454555	0.3201588	3.282252
ENSLOCG00000000055	2.4977435	6.2683885	5.3392075	4.250525508	1.14556	1.9236965
ENSLOCG00000000056	1.29209745	1.7551165	1.14336715	0.865387369	0.9970879	2.0026009
ENSLOCG00000000057	1.077476	0.573488	0.45408735	0.537664834	0.1295388	2.18092375
ENSLOCG00000000058	5.0522785	0.28253805	1.1466846	0.321073583	0.7369546	1.532133
ENSLOCG00000000059	2.107561	2.6342875	1.6481435	1.9657452805	1.431922	2.496317
ENSLOCG00000000060	0.111078675	0.16502275	0.537715	0.75978353	0	2.85278875
ENSLOCG00000000061	1.2377955	1.90822	1.11948315	1.0663874485	0.08756603	1.9354583
ENSLOCG00000000062	0	0.18551065	0.32677815	0	0	0
ENSLOCG00000000063	0.47147465	1.350002	0.9653994	0.614060652	0.6023581	0.07614495
ENSLOCG00000000064	0	1.5677525	0.4362166	0.471201079	0	0.3055437
ENSLOCG00000000065	2.062763	3.1990375	1.13588475	3.076022087	0.1393713	1.30140075
ENSLOCG00000000066	0.3413587	1.8620085	0.13125385	0.08301898	0	0.0867473
ENSLOCG00000000067	4.020758	2.9635963	0	4.80847288	1.565154	2.3780035
ENSLOCG00000000068	2.363123	2.5445825	1.551419	1.16322553	2.530917	3.276348
ENSLOCG00000000069	0.3551509	1.038729	0.1823977	1.24627912	0.7501606	4.26763735
ENSLOCG00000000070	1.2200728	3.5604046	2.446388	2.170505511	3.342075	4.863255
