brain	heart	kidney	liver	testis
ENSMFAG00000000025	0.96723145	3.3250115	3.33719622	1.91435462	3.134079
ENSMFAG00000000026	0	1.22811715	2.32819698	2.3931819	0.9106943
ENSMFAG00000000027	0.664665	3.3666525	2.93186052	1.7263234	0.6190617
ENSMFAG00000000028	4.2654895	0.12391455	0.020594814	0.008177644	0.409354
ENSMFAG00000000029	6.1742705	0	0.270890176	0.018046086	0.1847348
ENSMFAG00000000030	1.622264	0.50102	0.67432008	0.18295154	3.489877
ENSMFAG00000000031	0.7347945	0.05044625	0.10599556	0	1.996555
ENSMFAG00000000033	2.1568135	3.356282	3.1432112	1.79847866	2.171223
ENSMFAG00000000034	0.127175425	0.2219544	0.221264432	0.084961828	0.3214825
ENSMFAG00000000035	1.44448915	0	0.05601784	0.00977627	0.5581295
ENSMFAG00000000036	0.37249885	0	0.02273828	0.02150638	0.2809243
ENSMFAG00000000037	6.6300825	4.7055265	5.5415228	4.4656438	5.229749
ENSMFAG00000000038	3.502896	5.2080595	5.5853844	5.003613	2.924573
ENSMFAG00000000039	6.346108	5.064782	6.619828	7.5824286	3.989975
ENSMFAG00000000040	0.5890251	1.15910705	0.82332716	2.3748098	2.596549
ENSMFAG00000000041	3.9549225	0.048603395	0.033427278	0.1813918	0.1656483
ENSMFAG00000000042	4.7232255	5.733683	5.667569	4.3088102	4.666542
ENSMFAG00000000043	3.884735	5.497813	6.662272	5.5547426	4.714897
ENSMFAG00000000044	6.9344375	8.3027845	6.711517	5.9168522	6.201144
ENSMFAG00000000045	5.263081	4.466713	7.6347238	5.0930638	4.595223
ENSMFAG00000000046	0.3540605	1.190838	1.87134548	0.72271862	4.692634
ENSMFAG00000000047	0	0	0.31718608	0	0
ENSMFAG00000000048	0.352762635	0.4387271	6.1352622	0.99330304	1.551098
ENSMFAG00000000049	0.0856617	0.69878005	0.39962422	0.25112334	6.202553
ENSMFAG00000000050	4.380858	3.9635585	4.1142668	2.7783414	2.423677
ENSMFAG00000000051	1.297691	2.1060145	2.28641752	1.03965554	4.106189
ENSMFAG00000000052	3.7007175	3.753255	3.5075602	2.387691	2.837542
ENSMFAG00000000053	7.531062	5.423842	5.9589622	5.5706518	7.484887
ENSMFAG00000000054	0	0	0.41652166	0.36472468	0.4698974
ENSMFAG00000000055	2.0616195	2.0209845	1.45462082	1.43406396	3.258398
ENSMFAG00000000056	4.0651675	0.6452722	1.13707122	0.27540474	3.6551
ENSMFAG00000000057	0.22949175	3.0674945	2.9003966	2.221119	0.9106943
ENSMFAG00000000058	0.833369	1.1076758	1.00788138	0.8752668	3.547339
