brain	heart	kidney	liver	ovary	testis
ENSMMUG00000000001	2.42322056363636	0.934577215384615	1.62130043004348	1.02331756363636	3.320369	3.04492107142857
ENSMMUG00000000002	1.38004594318182	0.815097465384615	1.99170860991304	0.615374918181818	2.859453	2.89271592857143
ENSMMUG00000000005	1.805660775	3.79749823076923	3.44471946508696	5.33226685151515	3.670453	3.62142442142857
ENSMMUG00000000006	0.182388877272727	0.164558785384615	1.14432359156522	1.00654464878788	0	0.453581039285714
ENSMMUG00000000007	3.28001637045455	2.39454928461538	3.450318541	4.16765090909091	6.147678	4.23672510714286
ENSMMUG00000000009	2.67689201363636	2.98135461538462	3.76421931886957	3.3169836969697	8.906252	5.51412065357143
ENSMMUG00000000010	4.94281454545455	4.17830961538462	4.76042548526087	5.14669690909091	5.82072	5.70941667857143
ENSMMUG00000000012	0.289906313636364	0.257838991538462	1.94675463982609	0.570827703030303	3.337286	1.22114635357143
ENSMMUG00000000013	4.19322854772727	2.34896781538462	2.94475846195652	2.96953889393939	7.007041	4.259719
ENSMMUG00000000015	0.114012070454545	0.175046712307692	0.258402308869565	0.661849457575758	2.86482	4.53665778571429
ENSMMUG00000000016	4.44478875	1.97039258461538	3.87539072082609	3.0530763030303	7.447506	6.53813542857143
ENSMMUG00000000017	0.0950883081818182	0.0628905384615385	0.128106247826087	0.00342522727272727	0	0.716209486428571
ENSMMUG00000000018	0.00293378636363636	0	2.4214782583913	0	0	0.206458108928571
ENSMMUG00000000019	2.10383175	1.53489226923077	2.57534629273913	2.46580815151515	2.10047	2.161274425
ENSMMUG00000000020	0.592991518409091	0.591170576153846	0.0495720012173913	0.100237322424242	0.2508234	0.196309900714286
ENSMMUG00000000021	0.924256531818182	0.687064169230769	1.00932768456522	1.11200344848485	3.889606	4.33093171428571
ENSMMUG00000000022	0.218782621590909	0.05426787	0.0707178813043478	0.204269474848485	0.9175364	0.817766660714286
ENSMMUG00000000023	0.0889073397727273	0.13395482	0.736522128521739	1.17585822121212	3.674608	0.690748751071429
ENSMMUG00000000024	0.192938619545455	0.123406382307692	0.210013066217391	0.314371685151515	1.928	0.49696916
ENSMMUG00000000025	3.21064718636364	1.03744399230769	3.2759241533913	2.23911622424242	3.976244	2.98170153571429
ENSMMUG00000000026	3.37266222272727	4.38312692307692	4.32672981491304	3.88359487878788	6.236912	4.70778785714286
ENSMMUG00000000029	3.73152781363636	1.97978593846154	2.96945503021739	2.74940625757576	5.70785	4.64347939285714
ENSMMUG00000000031	2.76277560227273	0.617079945384615	0.286836564956522	0.171875266666667	3.94228	1.53582207392857
ENSMMUG00000000032	1.14851864090909	0.716515395384615	1.33065799004348	0.477644802121212	2.957235	5.80451403571429
