brain	heart	kidney	liver
ENSMNEG00000000001	4.74796202	0.840373	1.746115	1.579756
ENSMNEG00000000002	1.82558489666667	0.8879705	2.024965	0.2813956
ENSMNEG00000000003	5.11956901333333	1.898824	0.4698599	0.09116686
ENSMNEG00000000004	0.0473247333333333	0	0	0
ENSMNEG00000000006	4.99487567666667	6.85905	6.908441	6.180395
ENSMNEG00000000007	2.03550158	0.7594593	0.1806011	0.2554729
ENSMNEG00000000011	4.43723168666667	2.218831	2.813159	2.472106
ENSMNEG00000000012	0.05669499	0	0	0
ENSMNEG00000000014	3.52424515666667	3.244966	3.248099	1.370287
ENSMNEG00000000016	0	0	0.3183701	1.170053
ENSMNEG00000000019	4.28256046333333	4.08882	4.533457	4.342057
ENSMNEG00000000021	1.48304256	2.709677	2.17676	1.369612
ENSMNEG00000000022	1.86401281	4.225892	5.115803	3.864959
ENSMNEG00000000024	0.107267043333333	0	0	0
ENSMNEG00000000025	3.91297239333333	1.614846	1.477273	0.7252028
ENSMNEG00000000026	1.52733157	0	0	0
ENSMNEG00000000027	2.02105998	0.2319878	0	0
ENSMNEG00000000029	5.18693128333333	6.201614	5.717479	5.7799
ENSMNEG00000000030	0	1.14091	6.037514	1.78673
ENSMNEG00000000032	3.02846837333333	1.556738	3.52301	2.504356
ENSMNEG00000000034	3.28341291	3.149342	3.476965	2.506673
ENSMNEG00000000036	0.0164935466666667	0.1023186	1.342549	0
ENSMNEG00000000037	4.31373741666667	3.567132	4.913263	4.82918
ENSMNEG00000000038	4.13722857333333	0.5551761	4.268102	4.103606
ENSMNEG00000000039	4.71774787666667	7.167725	7.90633	7.182413
ENSMNEG00000000040	2.97901479	2.006815	3.849769	2.540608
ENSMNEG00000000042	8.39644158333333	1.593903	1.617185	3.165753
ENSMNEG00000000043	4.09616188333333	2.733131	2.888553	1.864195
ENSMNEG00000000045	0.37779031	1.064165	0.1447447	0.555398
ENSMNEG00000000046	4.76983743333333	4.414945	4.772204	3.10379
ENSMNEG00000000048	3.82519738333333	2.092086	2.668541	1.611564
ENSMNEG00000000049	5.50836476666667	5.663026	6.383205	5.162259
ENSMNEG00000000050	4.27871991666667	2.893527	2.312627	4.838624
ENSMNEG00000000052	6.32932411	0.3628794	1.844417	1.710975
ENSMNEG00000000053	3.73911676333333	0.08632603	0.3094905	0.1224342
ENSMNEG00000000056	0.1075017	0.8211975	0	0
ENSMNEG00000000057	6.05491693666667	4.522928	5.213526	4.040235
ENSMNEG00000000060	3.98370977	2.639985	1.654593	1.404848
ENSMNEG00000000061	2.7522625	3.284914	2.104555	1.255603
ENSMNEG00000000068	0.996674763333333	0.974624	1.678969	1.03923
ENSMNEG00000000074	0	0	0	0
ENSMNEG00000000076	2.13617914666667	4.643672	5.157122	4.034939
ENSMNEG00000000084	2.04145618333333	0.8137882	1.929215	0.9096126
ENSMNEG00000000085	3.54863564333333	0.1408179	0.02003076	0
ENSMNEG00000000089	0	0.07072015	0.06787257	2.606895
ENSMNEG00000000096	2.07704791333333	0.2533588	1.685433	0.633463
ENSMNEG00000000097	1.85752313666667	2.992611	7.006389	3.184353
ENSMNEG00000000098	5.22778175666667	4.582705	5.239906	3.626097
ENSMNEG00000000099	5.50581998	0.9413753	1.364718	0.2205479
ENSMNEG00000000100	7.96493543	7.731371	7.87327	6.986076
ENSMNEG00000000102	6.54685556666667	3.142773	3.107071	2.021889
ENSMNEG00000000117	0.273287033333333	0	2.150956	0
ENSMNEG00000000126	6.29766610333333	5.580447	5.697076	5.308601
ENSMNEG00000000128	4.48715794666667	4.219997	4.127864	2.498105
ENSMNEG00000000129	6.19334544333333	6.201941	5.695212	5.083737
ENSMNEG00000000130	8.46062372333333	4.544134	5.848095	4.3753
ENSMNEG00000000131	4.33509528333333	4.368502	5.26827	4.316553
ENSMNEG00000000149	0	0	0.4918377	0
ENSMNEG00000000150	12.9557611233333	13.56579	13.07964	12.34279
ENSMNEG00000000151	7.32875363333333	1.273248	1.387182	0.7944392
ENSMNEG00000000175	5.71418736	4.539028	4.512669	2.994489
ENSMNEG00000000177	2.44643817333333	0	0	0.3848909
ENSMNEG00000000178	0.51848254	0.6666075	8.50299	4.391638
ENSMNEG00000000192	3.41488304333333	3.59983	4.849939	2.5671
ENSMNEG00000000205	5.67088872	0.980331	8.412735	8.717793
ENSMNEG00000000206	0.567625776666667	0	0.4236868	14.21627
ENSMNEG00000000207	1.44739259666667	0.5745908	2.743043	0
ENSMNEG00000000208	4.22971835666667	3.663345	4.629759	5.154834
ENSMNEG00000000209	8.82271278	6.153267	7.055609	5.010138
ENSMNEG00000000224	2.79640724	0.2035595	0	0
ENSMNEG00000000229	0.312235633333333	0.1570683	1.576043	1.474571
ENSMNEG00000000247	0	0.5515731	0.5283473	0
ENSMNEG00000000255	5.718977	4.809753	6.421984	4.535317
ENSMNEG00000000256	1.64679360666667	0	0.5321314	1.015205
ENSMNEG00000000258	3.42960756	2.478418	3.414575	2.276973
ENSMNEG00000000259	2.45537566333333	2.533641	3.212891	2.597371
ENSMNEG00000000269	3.03146072333333	2.247745	1.260236	0.1729841
ENSMNEG00000000270	3.92763312333333	3.661248	4.440115	1.587408
ENSMNEG00000000275	1.84122208666667	0.1360763	3.540102	0
ENSMNEG00000000290	0	0	0	0
ENSMNEG00000000292	3.93879931	6.015428	5.256977	5.010507
ENSMNEG00000000293	0	1.342964	6.336449	2.252361
ENSMNEG00000000294	0.02905632	0.03039682	6.44466	0.02141377
ENSMNEG00000000308	2.59112804333333	0	1.124216	0
ENSMNEG00000000320	1.29360838666667	0.6031532	1.023993	0.4493046
ENSMNEG00000000321	3.68834669	5.349829	5.250007	5.197492
ENSMNEG00000000322	0	0	0	0
ENSMNEG00000000323	3.76749235666667	2.206259	3.08975	1.407717
ENSMNEG00000000324	0	0.004096539	2.715599e-07	4.445687
ENSMNEG00000000325	1.98562612666667	2.839853	2.435437	1.665343
ENSMNEG00000000326	7.23019041666667	9.527961	8.421623	6.876859
ENSMNEG00000000345	2.93998865	0.7526373	0.94166	0.6172797
ENSMNEG00000000351	3.52172536666667	0.6719636	0.3580833	0
ENSMNEG00000000354	5.24353121	4.193346	4.773511	3.433822
ENSMNEG00000000355	6.60226724	5.133176	7.234586	5.192182
ENSMNEG00000000375	3.43082341666667	3.23093	3.20201	1.888395
ENSMNEG00000000380	3.43140575666667	3.220387	2.284489	0.9008239
ENSMNEG00000000381	4.89377857666667	1.646559	6.236561	0
ENSMNEG00000000401	6.83179909	5.300713	2.057773	1.499792
ENSMNEG00000000402	0	0	0	0
ENSMNEG00000000403	3.21799940333333	1.39869	1.462607	1.209285
ENSMNEG00000000404	4.91859253333333	2.828865	2.158024	1.311712
ENSMNEG00000000405	3.72828234	2.585837	2.876366	1.593325
ENSMNEG00000000422	6.49687116666667	6.108167	2.174275	0
ENSMNEG00000000428	3.09800162	2.958826	2.284396	2.932573
ENSMNEG00000000429	0	0	0	0
ENSMNEG00000000430	6.78458555	4.03747	4.036169	3.637251
ENSMNEG00000000445	0.0457967	0	0	0
ENSMNEG00000000446	0	0	4.771151	1.931305
ENSMNEG00000000447	2.01480122666667	0.3452908	0	0
ENSMNEG00000000448	2.02482195	8.794831	3.975687	2.867948
ENSMNEG00000000449	2.48822859666667	1.902542	2.257861	0.9705194
ENSMNEG00000000450	6.26663907	6.599579	6.956109	5.380533
ENSMNEG00000000451	6.33802816333333	5.658569	5.557141	4.05202
ENSMNEG00000000452	4.66634923	3.993058	6.794182	3.784671
ENSMNEG00000000453	2.32011558333333	0.5673069	0.760829	0.7532348
ENSMNEG00000000471	2.45306135	0.1144771	0.2406135	0.06153056
ENSMNEG00000000472	0	0	0	0
ENSMNEG00000000473	6.26929131	7.054653	7.0625	6.407876
ENSMNEG00000000474	5.45837624333333	4.365898	4.88097	4.163939
ENSMNEG00000000509	5.26220974666667	5.021973	5.610248	3.997654
ENSMNEG00000000510	5.98976867666667	4.781926	4.733603	3.747362
ENSMNEG00000000511	4.26996239666667	3.138361	4.000321	3.432425
ENSMNEG00000000542	1.30521120333333	0.6360199	2.468672	1.213602
ENSMNEG00000000543	5.30677305333333	6.494905	8.408996	7.560073
ENSMNEG00000000544	1.30242482666667	1.113624	0.6346546	0.9575499
ENSMNEG00000000571	3.45145268333333	0	0	0.238771
ENSMNEG00000000587	9.07514999	0	0	0
ENSMNEG00000000602	4.09230729666667	4.957673	4.314871	3.618344
ENSMNEG00000000617	5.01608771333333	0.1348114	2.310541	0.1885794
ENSMNEG00000000618	8.49616097333333	1.128241	3.638537	0.8725522
ENSMNEG00000000643	4.52222983333333	4.815954	5.806753	4.728347
ENSMNEG00000000644	5.18006976666667	7.531498	4.640534	4.44748
ENSMNEG00000000645	0	0	0	0
ENSMNEG00000000672	5.14491462666667	6.355966	6.494094	5.067208
ENSMNEG00000000673	5.2593424	4.881914	5.665965	4.513932
ENSMNEG00000000674	0.108173436666667	0	0.1411385	0
ENSMNEG00000000675	4.94869632	4.798585	5.031417	6.324317
ENSMNEG00000000689	2.74928511666667	4.068327	3.342833	4.333774
ENSMNEG00000000690	4.89408610333333	0.5668278	0.0171678	0.049356
ENSMNEG00000000708	3.06942486666667	2.220466	1.687813	1.091916
ENSMNEG00000000717	0.848250546666667	0	1.131451	0.9119439
ENSMNEG00000000719	5.21880637666667	3.104945	3.276675	1.041306
ENSMNEG00000000727	7.06831831	4.110541	4.660107	0.8142731
ENSMNEG00000000752	4.65679058333333	0.01611459	0.03161187	0
ENSMNEG00000000753	5.33635592	0	0	0.3541497
ENSMNEG00000000754	1.89854672333333	0.9440346	0.2549906	0.1888579
ENSMNEG00000000755	3.84823676666667	3.499336	6.952834	3.722007
ENSMNEG00000000757	7.21555117	6.276014	6.038974	4.582876
ENSMNEG00000000767	0	0.6120694	2.661943	1.678054
ENSMNEG00000000785	2.04147463666667	2.180282	1.831577	1.439698
ENSMNEG00000000786	2.22475919666667	3.95169	4.031175	0
ENSMNEG00000000787	3.75293696333333	0.3749059	2.685346	2.70101
ENSMNEG00000000811	3.67859490333333	0	2.501765	1.658906
ENSMNEG00000000812	1.46837533333333	0	0	0
ENSMNEG00000000815	0	0	0	0
ENSMNEG00000000819	6.19218409333333	6.702291	6.166029	4.615304
ENSMNEG00000000824	2.99874299	4.943729	4.384319	2.709853
ENSMNEG00000000827	8.26865132333333	6.253421	7.033816	5.38243
ENSMNEG00000000828	4.79856772333333	3.478739	5.101608	3.569877
ENSMNEG00000000844	0.6170778	0	2.046509	1.013341
ENSMNEG00000000847	4.68046524	4.50354	5.12372	4.842339
ENSMNEG00000000853	1.29637030666667	1.041614	1.229083	0
ENSMNEG00000000857	5.62603081333333	9.339895	7.408703	6.564968
ENSMNEG00000000862	5.47462099666667	1.014284	1.064462	0.6454185
ENSMNEG00000000866	4.50892298666667	3.5103	3.992276	2.895485
ENSMNEG00000000870	2.85738988333333	0.3263763	0.423747	9.433477
ENSMNEG00000000899	3.07977374	0	2.665506	1.824959
ENSMNEG00000000900	1.72597991	0.965816	0.8994054	0.08259741
ENSMNEG00000000901	5.64797297	3.938333	5.513257	3.815381
ENSMNEG00000000902	0.518474666666667	0	0	0
ENSMNEG00000000903	4.44902424	4.756926	4.670042	2.516639
ENSMNEG00000000904	0.42759987	0.6087496	1.216488	0.09313745
ENSMNEG00000000927	5.14442885666667	0.1323669	0.06591816	0
ENSMNEG00000000950	1.89675795666667	0.3081162	0.0815796	0
ENSMNEG00000000951	7.87786977333333	8.238949	7.81253	7.599139
ENSMNEG00000000952	2.93724418666667	0.3545086	1.058365	0.2596618
ENSMNEG00000000953	5.23945996666667	0.4642908	1.234146	0
ENSMNEG00000000977	2.07839868333333	0	0	1.760638
