brain	heart	liver
ENSMGAG00000000617	9.2517929676	0.1237415051	0.1073668115
ENSMGAG00000000629	0.0680709431	0.1327688424	3.44263397342857
ENSMGAG00000000631	0	0	0
ENSMGAG00000000633	8.8790140742	9.3720976938	8.89651913035714
ENSMGAG00000000634	0.20201778	0.5602257146	9.45403123671429
ENSMGAG00000000635	3.2617963189	2.3097960334	6.90535098392857
ENSMGAG00000000636	1.5976536269	1.9436504998	1.32334118471429
ENSMGAG00000000637	6.3846741321	4.7511285571	4.17754845357143
ENSMGAG00000000638	2.0744998233	1.1428089506	0.6793866695
ENSMGAG00000000639	1.0750622562	2.0862440365	1.35087370835714
ENSMGAG00000000641	2.6305479326	2.1646545146	3.01257712114286
ENSMGAG00000000643	0.164320723	0.1670471204	0.0459189441428571
ENSMGAG00000000644	0.869151422	0.021516541	0.0582309656428571
ENSMGAG00000000645	5.6922242853	3.1187056659	1.55251612371429
ENSMGAG00000000646	6.4456141678	5.2940930685	5.72311896
ENSMGAG00000000647	3.8593710097	2.7114545807	1.86832495171429
ENSMGAG00000000648	5.6933359673	3.7764796527	3.885021334
ENSMGAG00000000649	6.246350611	6.295256698	5.11579657542857
ENSMGAG00000000650	4.644585435	2.7149064262	4.96076894085714
ENSMGAG00000000651	0.5909862932	0.0474752288	0.203664119214286
ENSMGAG00000000653	5.6097220295	4.7809537331	4.15420314435714
ENSMGAG00000000654	1.8349207982	1.6550554119	0.277774569214286
ENSMGAG00000000655	6.5314836472	4.3034765522	3.93142221735714
ENSMGAG00000000656	7.447019362	6.9119104709	7.25791259978571
ENSMGAG00000000657	0.6607735199	1.6180074242	2.57480042235714
ENSMGAG00000000659	0.1496958247	0	0
ENSMGAG00000000660	6.0884872104	0.5107643269	0.1523066505
ENSMGAG00000000661	0.070262474	0	0
ENSMGAG00000000662	0.24550523	0	0.141070056
ENSMGAG00000000663	2.0063237957	2.4422962829	1.18486187728571
ENSMGAG00000000664	0.009176319	0.0973847461	1.83816556221429
ENSMGAG00000000665	0.5196135043	1.6779364683	1.70949102128571
ENSMGAG00000000667	4.8275543387	4.0336315865	2.36156247935714
ENSMGAG00000000668	0.09346539	0	0
ENSMGAG00000000669	5.6947697603	3.5405965148	3.464016888
ENSMGAG00000000670	0.1715247636	0	0.0480281831428571
ENSMGAG00000000671	0	0	0
ENSMGAG00000000672	0	0	0
ENSMGAG00000000673	1.1092413813	0.0978331076	0
ENSMGAG00000000674	0.6272617864	3.8823152376	0.900983664285714
ENSMGAG00000000676	4.2058790578	2.7074828719	2.91041009521429
ENSMGAG00000000677	3.2704244611	2.3283400562	0.989787570714286
ENSMGAG00000000678	3.0257815712	1.6728834829	0.773843853357143
ENSMGAG00000000679	0	0.0084815223	0.228356889071429
ENSMGAG00000000680	3.770633813	2.8121671974	3.08644017478571
ENSMGAG00000000682	0.5768650288	0.3470872737	0.427952145285714
ENSMGAG00000000683	4.6046737968	3.5251139466	4.44985674671429
ENSMGAG00000000684	6.3438115374	5.886016351	5.53286637907143
ENSMGAG00000000685	7.3346667021	0.494866391	0.478319873214286
ENSMGAG00000000686	0.3119901895	0.0598735756	0.0329621550714286
ENSMGAG00000000687	3.5353483368	0.4733588008	0.427758188428571
ENSMGAG00000000689	4.5863553407	4.344709399	4.01929432342857
ENSMGAG00000000690	1.134262482	2.210990906	1.29817626257143
ENSMGAG00000000691	5.8572743281	4.5860013161	6.69109292078571
ENSMGAG00000000692	2.1934404808	3.4032687007	1.70211325542857
ENSMGAG00000000693	6.6696458856	5.6363765872	5.84903821564286
ENSMGAG00000000694	0.300159492	0.0432917843	0.0428992705
ENSMGAG00000000695	0.3926883755	2.1626659102	1.67887212478571
ENSMGAG00000000696	9.4010882275	2.3350971712	1.26589857435714
ENSMGAG00000000698	4.5948215982	1.7315968536	4.02440150028571
ENSMGAG00000000699	1.6628961859	0.8850304949	0.870519970785714
ENSMGAG00000000700	6.111639031	5.3353633625	5.343758762
ENSMGAG00000000701	5.5366139685	5.3591767908	4.22351409457143
ENSMGAG00000000702	0.2741604444	0.0413193852	0.0628972362857143
ENSMGAG00000000703	1.7745242349	0.2042648039	0.633276330285714
ENSMGAG00000000704	2.5207147165	0.0182340161	0.0739746810714286
ENSMGAG00000000705	8.5777333897	8.1908419285	7.93513534007143
ENSMGAG00000000706	3.5803401421	3.0453554432	3.59713556357143
ENSMGAG00000000707	4.0527719043	3.3798806101	3.23957934992857
ENSMGAG00000000708	6.6381841167	0.3979312942	0.139787757857143
ENSMGAG00000000709	4.3289055857	1.4180682418	1.63603141385714
ENSMGAG00000000710	4.3988878574	3.9861530716	6.00115439957143
ENSMGAG00000000711	5.0535401351	4.2529348175	5.78302656757143
